species,pokedex,number
106,kanto,106
106,original-johto,144
106,updated-johto,146
106,letsgo-kanto,106
106,galar,108
106,blueberry,93
107,national,107
107,kanto,107
107,original-johto,145
107,updated-johto,147
107,letsgo-kanto,107
107,galar,109
107,blueberry,94
108,national,108
108,kanto,108
108,original-johto,178
108,extended-sinnoh,161
108,updated-johto,180
108,updated-unova,284
108,kalos-mountain,134
108,updated-alola,375
108,updated-poni,122
108,letsgo-kanto,108
108,isle-of-armor,54
108,hisui,125
109,national,109
109,kanto,109
109,original-johto,114
109,hoenn,108
109,updated-johto,115
109,updated-unova,46
109,updated-hoenn,113
109,letsgo-kanto,109
109,galar,250
109,kitakami,135
110,national,110
110,kanto,110
110,original-johto,115
110,hoenn,109
110,updated-johto,116
110,updated-unova,47
110,updated-hoenn,114
110,letsgo-kanto,110
110,galar,251
110,kitakami,136
111,national,111
111,kanto,111
111,original-johto,206
111,hoenn,169
111,extended-sinnoh,186
111,updated-johto,211
111,conquest-gallery,160
111,kalos-coastal,50
111,updated-hoenn,176
111,letsgo-kanto,111
111,galar,264
111,isle-of-armor,183
111,hisui,120
111,blueberry,5
112,national,112
112,kanto,112
112,original-johto,207
112,hoenn,170
112,extended-sinnoh,187
112,updated-johto,212
112,conquest-gallery,161
112,kalos-coastal,51
112,updated-hoenn,177
112,letsgo-kanto,112
112,galar,265
112,isle-of-armor,184
112,hisui,121
112,blueberry,6
113,national,113
113,kanto,113
113,original-johto,217
113,original-sinnoh,97
113,extended-sinnoh,97
113,updated-johto,222
113,original-alola,33
113,original-melemele,33
113,original-akala,17
113,original-ulaula,16
113,original-poni,9
113,updated-alola,40
113,updated-melemele,40
113,updated-akala,17
113,updated-ulaula,16
113,updated-poni,16
113,letsgo-kanto,113
113,isle-of-armor,7
113,hisui,87
113,paldea,44
113,blueberry,17
114,national,114
114,kanto,114
114,original-johto,179
114,extended-sinnoh,181
114,updated-johto,182
114,updated-unova,217
114,letsgo-kanto,114
114,isle-of-armor,80
114,hisui,95
115,national,115
115,kanto,115
115,original-johto,205
115,updated-johto,210
115,kalos-coastal,62
115,original-alola,165
115,original-akala,92
115,updated-alola,199
115,updated-akala,100
115,letsgo-kanto,115
115,isle-of-armor,172
115,lumiose-city,223
115,champions,115
116,national,116
116,kanto,116
116,original-johto,186
116,hoenn,184
116,updated-johto,190
116,kalos-coastal,39
116,updated-hoenn,193
116,letsgo-kanto,116
116,isle-of-armor,198
116,blueberry,52
117,national,117
117,kanto,117
117,original-johto,187
117,hoenn,185
117,updated-johto,191
117,kalos-coastal,40
117,updated-hoenn,194
117,letsgo-kanto,117
117,isle-of-armor,199
117,blueberry,53
118,national,118
118,kanto,118
118,original-johto,78
118,hoenn,50
118,original-sinnoh,78
118,extended-sinnoh,78
118,updated-johto,78
118,kalos-central,53
118,updated-hoenn,51
118,original-alola,153
118,original-akala,80
118,original-ulaula,72
118,updated-alola,186
118,updated-akala,87
118,updated-ulaula,78
118,letsgo-kanto,118
118,galar,146
118,isle-of-armor,94
119,national,119
119,kanto,119
119,original-johto,79
119,hoenn,51
119,original-sinnoh,79
119,extended-sinnoh,79
119,updated-johto,79
119,kalos-central,54
119,updated-hoenn,52
119,original-alola,154
119,original-akala,81
119,original-ulaula,73
119,updated-alola,187
119,updated-akala,88
119,updated-ulaula,79
119,letsgo-kanto,119
119,galar,147
119,isle-of-armor,95
120,national,120
120,kanto,120
120,original-johto,167
120,hoenn,143
120,updated-johto,169
120,updated-unova,238
120,kalos-coastal,34
120,updated-hoenn,148
120,original-alola,184
120,original-akala,111
120,updated-alola,223
120,updated-akala,124
120,letsgo-kanto,120
120,isle-of-armor,98
120,lumiose-city,36
121,national,121
121,kanto,121
121,original-johto,168
121,hoenn,144
121,updated-johto,170
121,updated-unova,239
121,kalos-coastal,35
121,updated-hoenn,149
121,original-alola,185
121,original-akala,112
121,updated-alola,224
121,updated-akala,125
121,letsgo-kanto,121
121,isle-of-armor,99
121,lumiose-city,37
121,champions,121
122,national,122
122,kanto,122
122,original-johto,156
122,original-sinnoh,95
122,extended-sinnoh,95
122,updated-johto,158
122,kalos-coastal,114
122,updated-alola,60
122,updated-melemele,60
122,letsgo-kanto,122
122,galar,365
122,crown-tundra,11
122,hisui,77
122,hyperspace,109
123,national,123
123,kanto,123
123,original-johto,110
123,extended-sinnoh,195
123,updated-johto,111
123,conquest-gallery,188
123,kalos-mountain,136
123,original-alola,275
123,original-poni,90
123,updated-alola,365
123,updated-poni,112
123,letsgo-kanto,123
123,isle-of-armor,118
123,hisui,72
123,paldea,260
123,blueberry,19
123,lumiose-city,176
124,national,124
124,kanto,124
124,original-johto,153
124,updated-johto,155
124,kalos-mountain,84
124,updated-alola,110
124,updated-melemele,110
124,letsgo-kanto,124
124,crown-tundra,14
125,national,125
125,kanto,125
125,original-johto,155
125,extended-sinnoh,198
125,updated-johto,157
125,updated-unova,57
125,original-alola,227
125,original-ulaula,99
125,updated-alola,296
125,updated-ulaula,117
125,letsgo-kanto,125
125,crown-tundra,16
125,hisui,183
125,blueberry,11
126,national,126
126,kanto,126
126,original-johto,151
126,extended-sinnoh,201
126,updated-johto,153
126,updated-unova,54
126,original-alola,167
126,original-akala,94
126,updated-alola,201
126,updated-akala,102
126,letsgo-kanto,126
126,crown-tundra,19
126,hisui,175
126,blueberry,14
127,national,127
127,kanto,127
127,original-johto,112
127,hoenn,167
127,updated-johto,113
127,updated-unova,146
127,kalos-coastal,130
127,updated-hoenn,174
127,original-alola,175
127,original-akala,102
127,original-poni,65
127,updated-alola,211
127,updated-akala,112
127,updated-poni,78
127,letsgo-kanto,127
127,isle-of-armor,120
127,lumiose-city,178
127,champions,127
128,national,128
128,kanto,128
128,original-johto,148
128,updated-johto,150
128,kalos-coastal,125
128,original-alola,137
128,original-akala,64
128,original-poni,61
128,updated-alola,170
128,updated-akala,71
128,updated-poni,73
128,letsgo-kanto,128
128,isle-of-armor,116
128,paldea,223
128,blueberry,22
128,champions,128
129,national,129
129,kanto,129
129,original-johto,76
129,hoenn,52
129,original-sinnoh,23
129,extended-sinnoh,23
129,updated-johto,76
129,conquest-gallery,13
129,kalos-central,49
129,updated-hoenn,53
129,original-alola,91
129,original-melemele,91
129,original-akala,34
129,original-ulaula,51
129,original-poni,41
129,updated-alola,111
129,updated-melemele,111
129,updated-akala,34
129,updated-ulaula,54
129,updated-poni,53
129,letsgo-kanto,129
129,galar,144
129,isle-of-armor,42
129,crown-tundra,62
129,hisui,80
129,paldea,134
129,kitakami,43
129,lumiose-city,32
130,national,130
130,kanto,130
130,original-johto,77
130,hoenn,53
130,original-sinnoh,24
130,extended-sinnoh,24
130,updated-johto,77
130,conquest-gallery,14
130,kalos-central,50
130,updated-hoenn,54
130,original-alola,92
130,original-melemele,92
130,original-akala,35
130,original-ulaula,52
130,original-poni,42
130,updated-alola,112
130,updated-melemele,112
130,updated-akala,35
130,updated-ulaula,55
130,updated-poni,54
130,letsgo-kanto,130
130,galar,145
130,isle-of-armor,43
130,crown-tundra,63
130,hisui,81
130,paldea,135
130,kitakami,44
130,lumiose-city,33
130,champions,130
131,national,131
131,kanto,131
131,original-johto,219
131,updated-johto,224
131,updated-unova,242
131,conquest-gallery,190
131,kalos-coastal,150
131,original-alola,268
131,original-poni,83
131,updated-alola,353
131,updated-poni,100
131,letsgo-kanto,131
131,galar,361
131,crown-tundra,190
131,blueberry,145
132,national,132
132,kanto,132
132,original-johto,92
132,updated-johto,92
132,updated-unova,261
132,kalos-mountain,138
132,original-alola,209
132,original-ulaula,81
132,updated-alola,271
132,updated-ulaula,92
132,letsgo-kanto,132
132,galar,373
132,isle-of-armor,207
132,paldea,212
132,champions,132
133,national,133
133,kanto,133
133,original-johto,180
133,extended-sinnoh,163
133,updated-johto,184
133,updated-unova,91
133,conquest-gallery,1
133,kalos-coastal,77
133,original-alola,123
133,original-akala,50
133,updated-alola,153
133,updated-akala,54
133,letsgo-kanto,133
133,galar,196
133,crown-tundra,74
133,hisui,25
133,paldea,179
133,lumiose-city,100
134,national,134
134,kanto,134
134,original-johto,181
134,extended-sinnoh,164
134,updated-johto,185
134,updated-unova,92
134,conquest-gallery,2
134,kalos-coastal,78
134,original-alola,124
134,original-akala,51
134,updated-alola,154
134,updated-akala,55
134,letsgo-kanto,134
134,galar,197
134,crown-tundra,75
134,hisui,26
134,paldea,180
134,lumiose-city,101
134,champions,134
135,national,135
135,kanto,135
135,original-johto,182
135,extended-sinnoh,165
135,updated-johto,186
135,updated-unova,93
135,conquest-gallery,3
135,kalos-coastal,79
135,original-alola,125
135,original-akala,52
135,updated-alola,155
135,updated-akala,56
135,letsgo-kanto,135
135,galar,198
135,crown-tundra,76
135,hisui,27
135,paldea,181
135,lumiose-city,102
135,champions,135
136,national,136
136,kanto,136
136,original-johto,183
136,extended-sinnoh,166
136,updated-johto,187
136,updated-unova,94
136,conquest-gallery,4
136,kalos-coastal,80
136,original-alola,126
136,original-akala,53
136,updated-alola,156
136,updated-akala,57
136,letsgo-kanto,136
136,galar,199
136,crown-tundra,77
136,hisui,28
136,paldea,182
136,lumiose-city,103
136,champions,136
137,national,137
137,kanto,137
137,original-johto,215
137,extended-sinnoh,192
137,updated-johto,220
137,original-alola,217
137,original-ulaula,89
137,updated-alola,281
137,updated-ulaula,102
137,letsgo-kanto,137
137,isle-of-armor,208
137,hisui,133
137,blueberry,129
137,hyperspace,11
138,national,138
138,kanto,138
138,original-johto,220
138,updated-johto,225
138,updated-alola,227
138,updated-akala,128
138,letsgo-kanto,138
138,crown-tundra,123
139,national,139
139,kanto,139
139,original-johto,221
139,updated-johto,226
139,updated-alola,228
139,updated-akala,129
139,letsgo-kanto,139
139,crown-tundra,124
140,national,140
140,kanto,140
140,original-johto,222
140,updated-johto,227
140,updated-alola,229
140,updated-akala,130
140,letsgo-kanto,140
140,crown-tundra,125
141,national,141
141,kanto,141
141,original-johto,223
141,updated-johto,228
141,updated-alola,230
141,updated-akala,131
141,letsgo-kanto,141
141,crown-tundra,126
142,national,142
142,kanto,142
142,original-johto,224
142,updated-johto,229
142,kalos-coastal,68
142,original-alola,284
142,original-poni,99
142,updated-alola,382
142,updated-poni,129
142,letsgo-kanto,142
142,crown-tundra,127
142,lumiose-city,192
142,champions,142
143,national,143
143,kanto,143
143,original-johto,225
143,original-sinnoh,113
143,extended-sinnoh,113
143,updated-johto,230
143,conquest-gallery,179
143,kalos-central,139
143,original-alola,36
143,original-melemele,36
143,updated-alola,43
143,updated-melemele,43
143,letsgo-kanto,143
143,galar,261
143,crown-tundra,173
143,hisui,52
143,kitakami,103
143,champions,143
144,national,144
144,kanto,144
144,original-johto,235
144,updated-johto,240
144,conquest-gallery,192
144,kalos-coastal,151
144,letsgo-kanto,144
144,crown-tundra,202
145,national,145
145,kanto,145
145,original-johto,236
145,updated-johto,241
145,kalos-coastal,152
145,letsgo-kanto,145
145,crown-tundra,203
146,national,146
146,kanto,146
146,original-johto,237
146,updated-johto,242
146,kalos-coastal,153
146,letsgo-kanto,146
146,crown-tundra,204
147,national,147
147,kanto,147
147,original-johto,241
147,updated-johto,246
147,conquest-gallery,76
147,kalos-mountain,145
147,original-alola,281
147,original-poni,96
147,updated-alola,379
147,updated-poni,126
147,letsgo-kanto,147
147,crown-tundra,194
147,paldea,347
147,lumiose-city,145
148,national,148
148,kanto,148
148,original-johto,242
148,updated-johto,247
148,conquest-gallery,77
148,kalos-mountain,146
148,original-alola,282
148,original-poni,97
148,updated-alola,380
148,updated-poni,127
148,letsgo-kanto,148
148,crown-tundra,195
148,paldea,348
148,lumiose-city,146
149,national,149
149,kanto,149
149,original-johto,243
149,updated-johto,248
149,conquest-gallery,78
149,kalos-mountain,147
149,original-alola,283
149,original-poni,98
149,updated-alola,381
149,updated-poni,128
149,letsgo-kanto,149
149,crown-tundra,196
149,paldea,349
149,lumiose-city,147
149,champions,149
150,national,150
150,kanto,150
150,original-johto,249
150,updated-johto,254
150,conquest-gallery,196
150,kalos-mountain,151
150,letsgo-kanto,150
150,lumiose-city,232
151,national,151
151,kanto,151
151,original-johto,250
151,updated-johto,255
151,letsgo-kanto,151
152,national,152
152,original-johto,1
152,updated-johto,1
152,blueberry,173
152,lumiose-city,1
153,national,153
153,original-johto,2
153,updated-johto,2
153,blueberry,174
153,lumiose-city,2
154,national,154
154,original-johto,3
154,updated-johto,3
154,blueberry,175
154,lumiose-city,3
154,champions,154
155,national,155
155,original-johto,4
155,updated-johto,4
155,hisui,4
155,blueberry,176
156,national,156
156,original-johto,5
156,updated-johto,5
156,hisui,5
156,blueberry,177
157,national,157
157,original-johto,6
157,updated-johto,6
157,hisui,6
157,blueberry,178
157,champions,157
158,national,158
158,original-johto,7
158,updated-johto,7
158,blueberry,179
158,lumiose-city,7
159,national,159
159,original-johto,8
159,updated-johto,8
159,blueberry,180
159,lumiose-city,8
160,national,160
160,original-johto,9
160,updated-johto,9
160,blueberry,181
160,lumiose-city,9
160,champions,160
161,national,161
161,original-johto,19
161,updated-johto,19
161,kalos-central,109
161,kitakami,26
162,national,162
162,original-johto,20
162,updated-johto,20
162,kalos-central,110
162,kitakami,27
163,national,163
163,original-johto,15
163,original-sinnoh,106
163,extended-sinnoh,106
163,updated-johto,15
163,kalos-mountain,117
163,updated-alola,212
163,updated-akala,113
163,galar,19
163,kitakami,45
164,national,164
164,original-johto,16
164,original-sinnoh,107
164,extended-sinnoh,107
164,updated-johto,16
164,kalos-mountain,118
164,updated-alola,213
164,updated-akala,114
164,galar,20
164,kitakami,46
165,national,165
165,original-johto,30
165,updated-johto,30
165,kalos-central,74
165,original-alola,20
165,original-melemele,20
165,original-ulaula,8
165,updated-alola,20
165,updated-melemele,20
165,updated-ulaula,8
166,national,166
166,original-johto,31
166,updated-johto,31
166,kalos-central,75
166,original-alola,21
166,original-melemele,21
166,original-ulaula,9
166,updated-alola,21
166,updated-melemele,21
166,updated-ulaula,9
167,national,167
167,original-johto,32
167,updated-johto,32
167,kalos-mountain,107
167,original-alola,22
167,original-melemele,22
167,original-ulaula,10
167,updated-alola,22
167,updated-melemele,22
167,updated-ulaula,10
167,kitakami,1
167,lumiose-city,58
168,national,168
168,original-johto,33
168,updated-johto,33
168,kalos-mountain,108
168,original-alola,23
168,original-melemele,23
168,original-ulaula,11
168,updated-alola,23
168,updated-melemele,23
168,updated-ulaula,11
168,kitakami,2
168,lumiose-city,59
168,champions,168
169,national,169
169,original-johto,39
169,hoenn,65
169,original-sinnoh,30
169,extended-sinnoh,30
169,updated-johto,39
169,updated-unova,63
169,conquest-gallery,25
169,kalos-central,147
169,updated-hoenn,67
169,original-alola,70
169,original-melemele,70
169,original-akala,28
169,original-ulaula,37
169,original-poni,21
169,updated-alola,82
169,updated-melemele,82
169,updated-akala,28
169,updated-ulaula,37
169,updated-poni,28
169,crown-tundra,146
169,hisui,36
169,hyperspace,96
170,national,170
170,original-johto,174
170,hoenn,181
170,updated-johto,176
170,kalos-coastal,147
170,updated-hoenn,190
170,original-alola,201
170,original-akala,128
170,updated-alola,257
170,updated-akala,158
170,galar,220
170,isle-of-armor,188
170,blueberry,78
171,national,171
171,original-johto,175
171,hoenn,182
171,updated-johto,177
171,kalos-coastal,148
171,updated-hoenn,191
171,original-alola,202
171,original-akala,129
171,updated-alola,258
171,updated-akala,159
171,galar,221
171,isle-of-armor,189
171,blueberry,79
172,national,172
172,original-johto,21
172,hoenn,155
172,original-sinnoh,103
172,extended-sinnoh,103
172,updated-johto,21
172,conquest-gallery,15
172,kalos-central,35
172,updated-hoenn,162
172,original-alola,24
172,original-melemele,24
172,updated-alola,31
172,updated-melemele,31
172,galar,193
172,isle-of-armor,84
172,hisui,55
172,paldea,73
172,kitakami,20
172,lumiose-city,52
173,national,173
173,original-johto,40
173,original-sinnoh,99
173,extended-sinnoh,99
173,updated-johto,40
173,updated-unova,88
173,original-alola,210
173,original-ulaula,82
173,updated-alola,272
173,updated-ulaula,93
173,galar,254
173,crown-tundra,43
173,hisui,199
173,kitakami,151
173,lumiose-city,55
174,national,174
174,original-johto,43
174,hoenn,137
174,updated-johto,43
174,updated-unova,281
174,conquest-gallery,20
174,kalos-mountain,119
174,updated-hoenn,142
174,original-alola,134
174,original-akala,61
174,updated-alola,167
174,updated-akala,68
174,isle-of-armor,11
174,paldea,59
174,hyperspace,76
175,national,175
175,original-johto,46
175,extended-sinnoh,173
175,updated-johto,46
175,galar,257
175,hisui,127
176,national,176
176,original-johto,47
176,extended-sinnoh,174
176,updated-johto,47
176,galar,258
176,hisui,128
177,national,177
177,original-johto,159
177,hoenn,162
177,updated-johto,161
177,updated-hoenn,169
177,updated-alola,252
177,updated-akala,153
177,galar,92
178,national,178
178,original-johto,160
178,hoenn,163
178,updated-johto,162
178,updated-hoenn,170
178,updated-alola,253
178,updated-akala,154
178,galar,93
179,national,179
179,original-johto,53
179,updated-johto,53
179,updated-unova,25
179,conquest-gallery,45
179,kalos-coastal,127
179,updated-alola,162
179,updated-akala,63
179,paldea,101
179,lumiose-city,24
180,national,180
180,original-johto,54
180,updated-johto,54
180,updated-unova,26
180,conquest-gallery,46
180,kalos-coastal,128
180,updated-alola,163
180,updated-akala,64
180,paldea,102
180,lumiose-city,25
181,national,181
181,original-johto,55
181,updated-johto,55
181,updated-unova,27
181,conquest-gallery,47
181,kalos-coastal,129
181,updated-alola,164
181,updated-akala,65
181,paldea,103
181,lumiose-city,26
181,champions,181
182,national,182
182,original-johto,86
182,hoenn,91
182,updated-johto,86
182,kalos-central,108
182,updated-hoenn,94
182,galar,58
182,blueberry,65
183,national,183
183,original-johto,130
183,hoenn,55
183,original-sinnoh,125
183,extended-sinnoh,125
183,updated-johto,132
183,updated-unova,31
183,kalos-central,42
183,updated-hoenn,56
183,isle-of-armor,140
183,paldea,47
184,national,184
184,original-johto,131
184,hoenn,56
184,original-sinnoh,126
184,extended-sinnoh,126
184,updated-johto,133
184,updated-unova,32
184,kalos-central,43
184,updated-hoenn,57
184,isle-of-armor,141
184,paldea,48
184,champions,184
185,national,185
185,original-johto,106
185,original-sinnoh,93
185,extended-sinnoh,93
185,updated-johto,107
185,kalos-mountain,130
185,original-alola,31
185,original-melemele,31
185,original-akala,15
185,updated-alola,38
185,updated-melemele,38
185,updated-akala,15
185,galar,253
185,hisui,124
185,paldea,88
185,kitakami,84
186,national,186
186,original-johto,75
186,updated-johto,75
186,kalos-mountain,36
186,original-alola,152
186,original-akala,79
186,original-ulaula,71
186,updated-alola,185
186,updated-akala,86
186,updated-ulaula,77
186,isle-of-armor,145
186,kitakami,42
186,champions,186
187,national,187
187,original-johto,67
187,updated-johto,67
187,kalos-central,135
187,paldea,16
188,national,188
188,original-johto,68
188,updated-johto,68
188,kalos-central,136
188,paldea,17
189,national,189
189,original-johto,69
189,updated-johto,69
189,kalos-central,137
189,paldea,18
190,national,190
190,original-johto,122
190,original-sinnoh,63
190,extended-sinnoh,63
190,updated-johto,123
190,updated-alola,368
190,updated-poni,115
190,hisui,78
190,kitakami,47
191,national,191
191,original-johto,102
191,updated-johto,103
191,updated-unova,20
191,paldea,31
192,national,192
192,original-johto,103
192,updated-johto,104
192,updated-unova,21
192,paldea,32
193,national,193
193,original-johto,101
193,extended-sinnoh,183
193,updated-johto,101
193,updated-unova,286
193,kalos-coastal,87
193,hisui,105
193,kitakami,3
194,national,194
194,original-johto,56
194,original-sinnoh,117
194,extended-sinnoh,117
194,updated-johto,56
194,conquest-gallery,18
194,kalos-mountain,17
194,galar,100
194,isle-of-armor,58
194,paldea,53
194,kitakami,5
195,national,195
195,original-johto,57
195,original-sinnoh,118
195,extended-sinnoh,118
195,updated-johto,57
195,conquest-gallery,19
195,kalos-mountain,18
195,galar,101
195,isle-of-armor,59
195,kitakami,6
196,national,196
196,original-johto,184
196,extended-sinnoh,167
196,updated-johto,188
196,updated-unova,95
196,conquest-gallery,5
196,kalos-coastal,81
196,original-alola,127
196,original-akala,54
196,updated-alola,157
196,updated-akala,58
196,galar,200
196,crown-tundra,79
196,hisui,29
196,paldea,183
196,lumiose-city,104
196,champions,196
197,national,197
197,original-johto,185
197,extended-sinnoh,168
197,updated-johto,189
197,updated-unova,96
197,conquest-gallery,6
197,kalos-coastal,82
197,original-alola,128
197,original-akala,55
197,updated-alola,158
197,updated-akala,59
197,galar,201
197,crown-tundra,78
197,hisui,30
197,paldea,184
197,lumiose-city,105
197,champions,197
198,national,198
198,original-johto,208
198,original-sinnoh,74
198,extended-sinnoh,74
198,updated-johto,213
198,kalos-mountain,51
198,original-alola,277
198,original-poni,92
198,updated-alola,78
198,updated-melemele,78
198,hisui,140
198,paldea,232
199,national,199
199,original-johto,82
199,updated-johto,82
199,kalos-coastal,135
199,original-alola,39
199,original-melemele,39
199,original-ulaula,20
199,updated-alola,46
199,updated-melemele,46
199,updated-ulaula,20
199,isle-of-armor,3
199,paldea,326
199,blueberry,77
199,lumiose-city,139
199,champions,199
200,national,200
200,original-johto,214
200,original-sinnoh,72
200,extended-sinnoh,72
200,updated-johto,219
200,conquest-gallery,183
200,original-alola,66
200,original-melemele,66
200,updated-alola,372
200,updated-poni,119
200,hisui,197
200,paldea,114
201,national,201
201,original-johto,61
201,original-sinnoh,114
201,extended-sinnoh,114
201,updated-johto,61
201,hisui,142
202,national,202
202,original-johto,107
202,hoenn,161
202,updated-johto,108
202,kalos-coastal,119
202,updated-hoenn,168
202,galar,217
203,national,203
203,original-johto,147
203,hoenn,164
203,original-sinnoh,121
203,extended-sinnoh,121
203,updated-johto,149
203,updated-hoenn,171
203,paldea,192
203,blueberry,25
204,national,204
204,original-johto,93
204,updated-johto,93
204,conquest-gallery,56
204,updated-alola,268
204,updated-ulaula,89
204,paldea,258
205,national,205
205,original-johto,94
205,updated-johto,94
205,conquest-gallery,57
205,updated-alola,269
205,updated-ulaula,90
205,paldea,259
205,champions,205
206,national,206
206,original-johto,52
206,updated-johto,52
206,updated-unova,35
206,kalos-central,40
206,updated-alola,63
206,updated-melemele,63
206,isle-of-armor,52
206,paldea,188
206,kitakami,160
207,national,207
207,original-johto,189
207,extended-sinnoh,153
207,updated-johto,193
207,updated-unova,221
207,kalos-mountain,115
207,hisui,185
207,kitakami,121
208,national,208
208,original-johto,63
208,original-sinnoh,35
208,extended-sinnoh,35
208,updated-johto,63
208,updated-unova,72
208,conquest-gallery,176
208,kalos-coastal,54
208,galar,179
208,hisui,119
208,lumiose-city,198
208,champions,208
209,national,209
209,original-johto,123
209,updated-johto,125
209,kalos-coastal,71
209,original-alola,258
209,original-poni,73
209,updated-alola,339
209,updated-poni,86
209,blueberry,151
210,national,210
210,original-johto,124
210,updated-johto,126
210,kalos-coastal,72
210,original-alola,259
210,original-poni,74
210,updated-alola,340
210,updated-poni,87
210,blueberry,152
211,national,211
211,original-johto,161
211,updated-johto,163
211,kalos-coastal,38
211,galar,304
211,hisui,84
211,paldea,331
211,blueberry,146
211,hyperspace,37
211,champions,211
212,national,212
212,original-johto,111
212,extended-sinnoh,196
212,updated-johto,112
212,conquest-gallery,189
212,kalos-mountain,137
212,original-alola,276
212,original-poni,91
212,updated-alola,366
212,updated-poni,113
212,isle-of-armor,119
212,hisui,74
212,paldea,261
212,blueberry,20
212,lumiose-city,177
212,champions,212
213,national,213
213,original-johto,166
213,updated-johto,168
213,updated-unova,232
213,kalos-mountain,14
213,galar,227
213,crown-tundra,170
214,national,214
214,original-johto,113
214,hoenn,168
214,original-sinnoh,62
214,extended-sinnoh,62
214,updated-johto,114
214,updated-unova,145
214,kalos-coastal,131
214,updated-hoenn,175
214,updated-alola,367
214,updated-poni,114
214,isle-of-armor,121
214,hisui,75
214,paldea,262
214,kitakami,49
214,lumiose-city,179
214,champions,214
215,national,215
215,original-johto,213
215,original-sinnoh,144
215,extended-sinnoh,144
215,updated-johto,218
215,updated-unova,252
215,conquest-gallery,181
215,kalos-mountain,91
215,original-alola,249
215,original-ulaula,121
215,updated-alola,326
215,updated-ulaula,147
215,galar,292
215,crown-tundra,28
215,hisui,202
215,paldea,230
215,kitakami,170
216,national,216
216,original-johto,193
216,updated-johto,198
216,kalos-mountain,132
216,hisui,112
216,paldea,215
217,national,217
217,original-johto,194
217,updated-johto,199
217,kalos-mountain,133
217,hisui,113
217,paldea,216
218,national,218
218,original-johto,211
218,hoenn,103
218,updated-johto,216
218,kalos-mountain,12
218,updated-hoenn,108
218,kitakami,144
219,national,219
219,original-johto,212
219,hoenn,104
219,updated-johto,217
219,kalos-mountain,13
219,updated-hoenn,109
219,kitakami,145
220,national,220
220,original-johto,191
220,extended-sinnoh,203
220,updated-johto,195
220,updated-unova,258
220,kalos-mountain,76
220,galar,75
220,crown-tundra,7
220,hisui,212
220,kitakami,50
221,national,221
221,original-johto,192
221,extended-sinnoh,204
221,updated-johto,196
221,updated-unova,259
221,kalos-mountain,77
221,galar,76
221,crown-tundra,8
221,hisui,213
221,kitakami,51
222,national,222
222,original-johto,171
222,hoenn,180
222,updated-johto,173
222,updated-unova,237
222,kalos-coastal,146
222,updated-hoenn,189
222,original-alola,112
222,original-melemele,112
222,original-akala,44
222,updated-alola,135
222,updated-melemele,135
222,updated-akala,44
222,galar,236
223,national,223
223,original-johto,172
223,original-sinnoh,132
223,extended-sinnoh,132
223,updated-johto,174
223,updated-unova,235
223,kalos-coastal,144
223,updated-alola,143
223,updated-melemele,143
223,updated-akala,47
223,galar,148
223,isle-of-armor,44
223,hisui,146
224,national,224
224,original-johto,173
224,original-sinnoh,133
224,extended-sinnoh,133
224,updated-johto,175
224,updated-unova,236
224,kalos-coastal,145
224,updated-alola,144
224,updated-melemele,144
224,updated-akala,48
224,galar,149
224,isle-of-armor,45
224,hisui,147
225,national,225
225,original-johto,190
225,updated-johto,194
225,updated-unova,254
225,kalos-mountain,90
225,original-alola,81
225,original-melemele,81
225,updated-alola,95
225,updated-melemele,95
225,galar,78
225,crown-tundra,120
225,paldea,354
225,lumiose-city,168
226,national,226
226,original-johto,197
226,original-sinnoh,141
226,extended-sinnoh,141
226,updated-johto,202
226,updated-unova,234
226,kalos-coastal,140
226,updated-alola,146
226,updated-melemele,146
226,updated-akala,50
226,galar,355
226,isle-of-armor,47
226,hisui,165
227,national,227
227,original-johto,198
227,hoenn,115
227,updated-johto,203
227,updated-unova,203
227,kalos-mountain,112
227,updated-hoenn,120
227,original-alola,208
227,original-ulaula,80
227,original-poni,72
227,updated-alola,270
227,updated-ulaula,91
227,updated-poni,85
227,isle-of-armor,153
227,blueberry,113
227,lumiose-city,216
227,champions,227
228,national,228
228,original-johto,209
228,extended-sinnoh,176
228,updated-johto,214
228,kalos-coastal,75
228,updated-alola,289
228,updated-ulaula,110
228,paldea,25
228,kitakami,123
228,lumiose-city,91
229,national,229
229,original-johto,210
229,extended-sinnoh,177
229,updated-johto,215
229,kalos-coastal,76
229,updated-alola,290
229,updated-ulaula,111
229,paldea,26
229,kitakami,124
229,lumiose-city,92
229,champions,229
230,national,230
230,original-johto,188
230,hoenn,186
230,updated-johto,192
230,kalos-coastal,41
230,updated-hoenn,195
230,isle-of-armor,200
230,blueberry,54
231,national,231
231,original-johto,195
231,hoenn,165
231,updated-johto,200
231,updated-hoenn,172
231,paldea,122
232,national,232
232,original-johto,196
232,hoenn,166
232,updated-johto,201
232,updated-hoenn,173
232,paldea,123
233,national,233
233,original-johto,216
233,extended-sinnoh,193
233,updated-johto,221
233,original-alola,218
233,original-ulaula,90
233,updated-alola,282
233,updated-ulaula,103
233,isle-of-armor,209
233,hisui,134
233,blueberry,130
233,hyperspace,12
234,national,234
234,original-johto,129
234,updated-johto,131
234,hisui,49
234,paldea,204
234,kitakami,53
235,national,235
235,original-johto,157
235,updated-johto,159
235,kalos-central,124
235,original-alola,58
235,original-melemele,58
235,updated-alola,70
235,updated-melemele,70
235,blueberry,40
236,national,236
