item,context,effect_type,effect,generation_start,generation_end,notes
fiery-pick,field,passive,Used to complete a sandwich during a picnic.,9,,
fighting-gem,held,type-boost,Boosts first Fighting-type move by 50%,5,5,Consumed after use
fighting-gem,held,type-boost,Boosts first Fighting-type move by 30%,6,,Consumed after use
fighting-memory,held,type-change,Changes Silvally to Fighting type and makes Multi-Attack Fighting type.,7,,Cannot be removed or swapped by item-manipulating moves.
fighting-tera-shard,field,type-change,50 shards change a Pokémon’s Tera Type to Fighting at the Treasure Eatery in Medali.,9,,
fightinium-z--held,held,type-boost,Upgrades Fighting-type moves into the Z-Move All-Out Pummeling or Z-status moves.,7,,Multitype changes Arceus to Fighting type while held.
figy-berry,field,healing,Restores HP when used from the Bag.,3,9,
figy-berry,held,healing,Restores HP when in a pinch; may cause confusion if Pokémon dislikes spicy flavor.,3,9,
fine-remedy,field,friendship-decrease,Lowers friendship,8,,
fine-remedy,field,healing,Restores 100 HP,8,,
fire-gem,held,type-boost,+50% power to first Fire-type move,5,5,Consumed after use; Fire Pledge does not consume the gem.
fire-gem,held,type-boost,+30% power to first Fire-type move,6,,Consumed after use.
fire-memory,battle,type-change,Multi-Attack becomes Fire type when used by the holder.,7,,
fire-memory,held,form-change,Changes Silvally to its Fire-type form via the RKS System.,7,,Cannot be removed or swapped by item-manipulating moves.
fire-pattern-cup,passive,cosmetic,Decorates the player's picnic with a fire-themed cup.,9,,
fire-stone,field,evolution-trigger,Evolves certain Pokémon when used,1,,Consumed upon use
fire-tera-shard,field,tera-type-change,Consumes 50 Fire Tera Shards to change a Pokémon’s Tera Type to Fire.,9,,
firium-z--held,held,type-boost,Upgrades Fire-type moves into the Z-Move Inferno Overdrive or corresponding Z-Moves.,7,,
firium-z--held,held,form-change,Changes Arceus to its Fire-type form via Multitype.,7,,
fishing-rod,field,utility,Allows the player to fish for Pokémon and items at fishing spots.,7,,
fist-plate,held,type-change,Changes Arceus to Fighting type,4,,Requires Multitype ability
fist-plate,held,type-boost,Boosts Fighting-type moves by 20%,4,,
flame-mail,held,passive,Allows a Pokémon to carry a written message using the easy chat system that can be traded to other Generation IV games.,4,4,Prevents PC storage and Day Care placement while held.
flame-orb,held,status-infliction,Burns the holder at the end of the turn,4,,Does not deal burn damage on the turn it activates
flame-plate,held,form-change,Changes Arceus to Fire type,4,,Multitype ability
flame-plate,held,type-boost,Boosts Fire-type move power by 20%,4,,
float-stone,held,weight-modifier,Halves the holder's weight,5,,Weight cannot be reduced below 0.1 kg
floettite,battle,evolution-trigger,Allows Eternal Flower Floette to Mega Evolve into Mega Floette,9,,Requires the Trainer to have a Key Stone
flower-mail,held,message-storage,Stores a freely written message up to 32 characters that can be traded with the Pokémon holding it.,2,2,Cannot be stolen by Thief.
flower-pattern-cup,passive,decorative,Decorates the player's picnic with no functional effect.,9,,
flower-sweet,held,evolution-trigger,Evolves Milcery into Alcremie when the player spins,8,,Item is consumed upon evolution
fluffy-tail,battle,escape,Guarantees escape from wild Pokémon battles,3,,
flying-gem,held,type-boost,Boosts the first Flying-type move by 50%,5,5,Consumed after use; enables Acrobatics double power if consumed beforehand.
flying-gem,held,type-boost,Boosts the first Flying-type move by 30%,6,,Consumed after use.
flying-memory,battle,type-change,Changes Multi-Attack to Flying type and Silvally to Flying form,7,,
flying-memory,field,type-change,Changes Silvally to Flying form while held,7,,
flying-tera-shard,field,type-change,50 shards change a Pokémon’s Tera Type to Flying at the Treasure Eatery in Medali.,9,,Does not apply to Ogerpon or Terapagos.
flyinium-z--held,held,type-boost,Upgrades Flying-type moves into the Z-Move Supersonic Skystrike or corresponding Z-Moves.,7,,
flyinium-z--held,passive,form-change,Changes Arceus to its Flying-type form when held.,7,,Multitype ability interaction
focus-band,held,survival,Chance to survive a KO hit with 1 HP,2,,Activation chance varies by generation
focus-sash,battle,survival,Survives a fatal hit with 1 HP when at full HP,4,,"From Generation V onward, only protects from the first hit of multi-strike moves"
forage-bag,passive,storage,Stores ingredients collected during Mallow's trial in Lush Jungle.,7,,
forest-balm,battle,status,Calms the frenzied Kleavor during its boss battle.,8,,
fossilized-bird,passive,evolution-trigger,Allows restoration into Dracozolt or Arctozolt when combined with the appropriate fossil,8,,Requires the Revival Machine on Route 6
fossilized-dino,passive,evolution-trigger,Allows regeneration into Arctozolt with Fossilized Bird or Arctovish with Fossilized Fish at a Revival Machine.,8,,
fossilized-drake,passive,evolution-trigger,Allows revival into Dracozolt or Dracovish when combined with the appropriate fossil,8,,Requires the Revival Machine on Route 6
fossilized-fish,passive,evolution-trigger,Allows restoration of Dracovish or Arctovish when combined with the appropriate fossil,8,,Requires the Revival Machine on Route 6
fresh-cream,field,crafting,Used as an ingredient when cooking curry,8,,
fresh-start-mochi,field,stat-reset,Resets all base points (EVs) to zero,9,,
fresh-water,field,healing,Restores 50 HP,1,6,
fresh-water,field,healing,Restores 30 HP,7,,
fried-fillet,field,crafting,Used as an ingredient when making sandwiches.,9,,
fried-food,field,crafting,Used as an ingredient when cooking curry,8,,
friend-ball,battle,capture,Catch rate modifier 1×; sets friendship to 200 (Gen II–VII) or 150 (Gen VIII+).,2,,Ultra Beasts have reduced modifier.
friend-ball,held,fling,Fling fails if the user is holding this item.,4,,
froslassite,battle,evolution-trigger,Allows Froslass to Mega Evolve into Mega Froslass,9,,Requires the Trainer to have a Key Stone; only one Mega Evolution can occur per battle
fruit-bunch,field,crafting,Used as an ingredient when cooking curry.,8,,
full-heal,field,status-healing,Cures all non-volatile status conditions and confusion.,1,,
full-incense,battle,priority-modifier,Holder moves last in its priority bracket,4,,Unaffected by Trick Room timing changes depending on generation
full-incense,field,breeding,Produces a Munchlax Egg instead of Snorlax,4,,
full-restore,battle,healing,Fully restores HP and cures all non-volatile status conditions and confusion,1,,
galactic-key,field,story,Disengages a mirror door or activates a warp panel during Episode RR; item is consumed.,7,7,Ultra Sun and Ultra Moon only
galactic-key,field,story,Opens locked doors in Galactic Warehouse Underpass and Team Galactic HQ.,4,8,
galarica-cuff,field,evolution-trigger,Evolves Galarian Slowpoke into Galarian Slowbro,8,,Item is consumed upon use
galarica-twig,field,exchange,Used to exchange for Galarica Cuff or Galarica Wreath in specific locations.,8,,
galarica-wreath,field,evolution-trigger,Evolves Galarian Slowpoke into Galarian Slowking,8,,Item is consumed on use
galladite,battle,evolution-trigger,Allows Gallade to Mega Evolve into Mega Gallade,6,,Requires a Key Stone
ganlon-berry,held,stat-boost,Raises Defense by one stage when HP is low,3,,Gluttony triggers at 50% HP; Ripen doubles the boost.
garchompite,held,evolution-trigger,Allows Mega Evolution into Mega Garchomp,6,,
garchompite-z,battle,evolution-trigger,Allows Garchomp to Mega Evolve into Mega Garchomp Z if the Trainer has a Key Stone.,9,,Only one Mega Evolution can occur at a time.
gardevoirite,held,evolution-trigger,Allows Mega Evolution into Mega Gardevoir,6,,Requires a Key Stone
gb-sounds,field,audio-change,"Changes background music to chiptune-style arrangements inspired by Pokémon Gold, Silver, and Crystal.",4,,Does not affect sound effects or radio music.
gengarite,held,evolution-trigger,Allows Gengar to Mega Evolve into Mega Gengar,6,,Requires Key Stone
genius-wing,field,stat-boost,+1 Special Attack EV and slight friendship increase,5,,
genius-mochi,field,stat-boost,Increases Special Attack EVs by 10,9,,
genome-slate,field,story,Allows the player to battle Mewtwo in the Genome Room at Ramanas Park.,8,,
gentle-mint,field,nature-change,Changes the effect of a Pokémon's Nature to Gentle.,8,,
ghost-gem,held,type-boost,Boosts first Ghost-type move by 50% and is consumed.,5,5,
ghost-gem,held,type-boost,Boosts first Ghost-type move by 30% and is consumed.,6,,
ghost-memory,battle,type-change,Multi-Attack becomes Ghost-type; Silvally becomes Ghost-type,7,,
ghost-memory,field,type-change,Silvally becomes Ghost-type,7,,
ghost-tera-shard,field,evolution-trigger,Use 50 shards to change a Pokémon’s Tera Type to Ghost at the Treasure Eatery in Medali.,9,,Cannot be used on Ogerpon or Terapagos.
ghostium-z--held,held,type-boost,Upgrades Ghost-type moves into the Z-Move Never-Ending Nightmare or Z-Powered status moves,7,,
ghostium-z--held,held,form-change,Changes Arceus to its Ghost-type form via Multitype,7,,
gigantamix,field,crafting,Used as an ingredient when cooking curry.,8,,
lagigaton-ball,battle,capture-rate,2.75× catch rate modifier,8,,Always applies during battle regardless of prior detection.
lagigaton-ball,field,capture-rate,2.75× if unnoticed; 2.5× otherwise,8,,
glalitite,held,evolution-trigger,Allows Glalie to Mega Evolve into Mega Glalie,6,,Requires the Trainer to have a Key Stone.
glastrier-treat,field,encounter-trigger,Allows the player to encounter and battle Glastrier at Glaseado Mountain and receive a location hint from Snacksworth.,9,,
glimmering-charm,passive,reward-boost,Adds an extra reward slot containing Tera Shards after completing eligible Tera Raid Battles; shard quantity depends on raid difficulty.,9,,3★: 2 shards; 4★: 5 shards; 5★: 10 shards; 6★: 12 shards.
glimmoranite,battle,evolution-trigger,Allows Glimmora to Mega Evolve into Mega Glimmora,9,,Requires the Trainer to have a Key Stone
glitter-mail,held,passive,Allows the player to write and store a message using Easy Chat phrases while held by a Pokémon.,3,3,Message cannot be retained when stored in the Bag or Item Storage System.
go-goggles,passive,field-access,Allows travel through desert sandstorms such as on Route 111 and Mirage Tower.,3,,
gold-berry,field,healing,Restores 30 HP when used from the Bag,2,2,
gold-berry,held,healing,Restores 30 HP when HP falls below 50%,2,2,
gold-bottle,passive,decorative,Decorates the player's picnic with no functional effect.,9,,
gold-bottle-cap,field,stat-boost,Maximizes all IVs of a Pokémon via Hyper Training,7,,
gold-canari-plush-lv-1,passive,money-boost,+15% prize money,9,,Also applies to prize medals
gold-canari-plush-lv-2,passive,money-boost,+30% prize money,9,,Also applies to prize medals
gold-canari-plush-lv-3,passive,money-boost,+50% prize money,9,,Also applies to prize medals
gold-cup,passive,decorative,Decorates the player's picnic with no practical gameplay effect.,9,,
gold-leaf,passive,sell-only,Can only be sold for money.,2,,
gold-pick,field,passive,Used to complete a sandwich during a picnic,9,,
gold-teeth,field,field-move,Allows the Safari Zone Warden to teach the Secret Technique Strong Push,7,7,
gold-teeth,field,hm-tm-reward,Exchanged with the Safari Zone Warden for HM04 Strength,1,3,
golden-nanab-berry,field,catching-aid,Greatly reduces wild Pokémon movement and slows target ring shrink speed until a Poké Ball is thrown.,7,,
golden-pinap-berry,field,capture-boost,Greatly increases the chance of receiving items after catching a wild Pokémon; effect ends if the Pokémon breaks free.,7,,
golden-razz-berry,battle,catch-rate-boost,Drastically increases the catch rate until the Pokémon breaks out of a Poké Ball.,7,,
golisopite,battle,evolution-trigger,Allows Golisopod to Mega Evolve into Mega Golisopod while held.,9,,Trainer must possess a Key Stone; only one Mega Evolution can occur per battle.
golurkite,held,evolution-trigger,Allows Golurk to Mega Evolve into Mega Golurk during battle if the Trainer has a Key Stone,9,,
good-rod,field,encounter,Allows fishing for mid-level wild Pokémon.,1,,
gooey-mulch,field,berry-growth,Increases regrowth count to 150% of normal,4,4,
gooey-mulch,field,none,No practical effect,5,,
gorgeous-box,field,decoration-unlock,Obtains the Gold Trophy decoration when opened; consumed on use.,2,2,"If the Gold Trophy is already owned, the item is still consumed with no effect."
gracidea,field,form-change,Changes Shaymin from Land Forme to Sky Forme,4,,Cannot be used at night or when Shaymin is frozen
grain-cake,field,lure,Attracts many common overworld Pokémon when thrown.,8,,
gram-1,field,story,Returning all three Grams to Wingull results in receiving TM89 (U-turn).,5,,
gram-2,field,story,Returning all three Grams to Wingull results in receiving TM89 (U-turn).,5,,
gram-3,field,story,Returning all three Grams to Wingull results in receiving TM89 (U-turn).,5,,
grass-gem,held,type-boost,Boosts the first Grass-type move by 50% and is consumed,5,5,Grass Pledge will not consume the item.
grass-gem,held,type-boost,Boosts the first Grass-type move by 30% and is consumed,6,,
grass-mail,battle,move-interaction,Fling fails; cannot be stolen by Thief or Covet; Trick and Switcheroo fail.,4,4,
grass-mail,held,message-storage,Allows the holder to carry a customizable message that can be traded to other Generation IV games.,4,4,Prevents PC storage and Day Care use while held.
grass-memory,held,type-change,Changes Silvally to Grass type and makes Multi-Attack Grass type.,7,,
grass-tera-shard,field,tera-type-change,50 shards change a Pokémon’s Tera Type to Grass at the Treasure Eatery in Medali,9,,Cannot be used on Ogerpon or Terapagos
grassium-z--held,held,type-boost,Upgrades Grass-type moves into Z-Moves such as Bloom Doom,7,,
grassium-z--held,held,form-change,Changes Arceus to its Grass-type form via Multitype,7,,
grassy-seed,held,stat-boost,Raises Defense by 1 stage when Grassy Terrain becomes active,7,,
great-ball,battle,catch-rate-modifier,x1.5 catch rate on wild Pokémon,1,,Ultra Beasts use a reduced modifier.
great-ball-hisuian,battle,catch-rate-modifier,x1.5,8,,
great-butter,field,passive,Allows up to five berries to be used when making donuts.,9,,Used by Ansha to make Donuts.
green-apricorn,field,crafting,Can be turned into a Friend Ball by Kurt.,2,,
green-apricorn,passive,stat-boost,Produces Aprijuice that boosts Jump Performance.,4,,Via Apriblender
green-bell-pepper,field,crafting,Used as an ingredient in making a sandwich,9,,
green-canari-plush-lv-1,passive,stat-boost,Max health increased to 150,9,,
green-canari-plush-lv-2,passive,stat-boost,Max health increased to 200,9,,
green-canari-plush-lv-3,passive,stat-boost,Max health increased to 250,9,,
green-dish,field,passive,Used by default during sandwich making to place the sandwich.,9,,
green-petal,passive,story,One of seven petals required for Mina to create the Rainbow Flower.,7,,
green-poke-ball-pick,field,utility,Completes a sandwich made during a picnic.,9,,
green-scarf,held,contest-boost,Raises Cleverness in Pokémon Contests (20 points in Generation III).,3,,
green-shard,field,exchange,"Used as currency for move tutors, items, and crafting",3,,
greet-mail,held,passive,Allows the holder to carry a customizable written message using the easy chat system.,5,5,"Prevents PC storage, Day Care use, Trick, Switcheroo, Bestow, Fling, Covet, Thief, and Pickpocket."
greninjite,battle,evolution-trigger,Allows Greninja to Mega Evolve into Mega Greninja if the Trainer has a Key Stone,9,,Only one Mega-Evolved Pokémon can be active at a time
grepa-berry,field,friendship,Increases friendship and lowers Special Defense EVs by 10,3,,
grip-claw,held,move-duration,Binding moves always last 5 turns,4,4,
grip-claw,held,move-duration,Binding moves always last 7 turns,5,,
griseous-core,field,form-change,Switches Giratina between Altered Forme and Origin Forme when used,8,8,Used from the satchel in Pokémon Legends: Arceus
griseous-core,held,type-boost,Boosts Giratina's Dragon- and Ghost-type moves by 20%,9,,
griseous-core,held,form-change,Changes Giratina to its Origin Forme,9,,
griseous-orb,held,type-boost,Boosts Dragon- and Ghost-type moves when held by Giratina,9,,Now affected by item manipulation effects
griseous-orb,held,type-boost,Boosts Dragon- and Ghost-type moves by 20% when held by Giratina,4,8,Unaffected by Embargo or Klutz in these generations
grit-dust,field,stat-boost,"Raises the effort level of one stat by 1, up to level 3",8,,
grit-gravel,field,stat-boost,Raises the effort level of one stat by 1 when the effort level is between 3 and 5.,8,,
grit-pebble,field,stat-boost,"Raises the effort level of one stat by 1 when used, if the stat’s effort level is between 6 and 8.",8,,
grit-rock,field,stat-boost,Raises one stat’s effort level to 10 if it is already at 9.,8,,
groudon-treat,field,story,Allows the player to encounter and battle Groudon at Alfornada Cavern and receive a hint from Snacksworth about its location.,9,,
ground-gem,held,type-boost,Boosts the first Ground-type move used by 30% and is consumed.,6,,
ground-gem,held,type-boost,Boosts the first Ground-type move used by 50% and is consumed.,5,5,Fling fails if the holder has a Ground Gem.
ground-memory,battle,type-change,Multi-Attack becomes Ground type; Silvally changes to Ground form,7,,Memory cannot be removed or swapped via item-manipulating moves.
ground-memory,field,type-change,Silvally changes to Ground form,7,,
ground-tera-shard,field,type-change,50 shards change a Pokémon’s Tera Type to Ground.,9,,
groundium-z--held,held,type-boost,Upgrades Ground-type moves into the Z-Move Tectonic Rage or Z-powered status moves.,7,,
groundium-z--held,held,form-change,Changes Arceus to its Ground-type form when held.,7,,Due to Multitype
growth-mulch,field,growth-modifier,Reduces Berry growth time to 75% but dries soil 50% faster,4,4,
growth-mulch,passive,no-effect,No practical effect other than selling,5,,
grubby-hanky,field,story,Can be returned on Thursday to its owner at Café Warehouse; returning on Sunday grants a Fluffy Tail.,5,,
gs-ball,field,event-trigger,Summons a level 30 wild Celebi at the Ilex Forest shrine after analysis by Kurt.,2,2,
guard-spec,battle,stat-protection,Prevents stat-lowering effects on the user's side for 5 turns,3,,Replicates the effect of Mist.
guidebook,field,passive,Records and allows review of the player's adventure information and notes.,4,,
gyaradosite,held,evolution-trigger,Allows Mega Evolution of Gyarados,6,,
haban-berry,held,type-reduction,Halves damage from one super effective Dragon-type attack (¼ with Ripen).,4,,
ham,field,crafting,Used as an ingredient when making sandwiches.,9,,
hamburger,field,crafting,Used as an ingredient when making sandwiches.,9,,
harbor-mail,held,passive,Allows the holder to carry a written message using Easy Chat phrases.,3,3,
hard-stone,held,type-boost,Boosts Rock-type move power by 10%,2,3,
hard-stone,held,type-boost,Boosts Rock-type move power by 20%,4,,
hasty-mint,field,stat-modifier,"Applies the effects of the Hasty Nature (Speed up, Defense down)",8,,
hawluchanite,battle,evolution-trigger,Allows Hawlucha to Mega Evolve into Mega Hawlucha,9,,Only one Mega Evolution is allowed per battle
heal-ball,battle,capture-modifier,Catch rate modifier 1× (Ultra Beasts: ~0.1×),4,,
heal-ball,passive,healing,"Fully restores HP, PP, and status of caught Pokémon",4,,
heal-powder,field,healing,Cures all non-volatile status conditions and confusion; lowers friendship,2,,
health-candy,field,stat-boost,"Increases HP by 1 AV, up to 50 AVs.",7,,
health-candy-l,field,stat-boost,"Increases HP by 1 AV when used on a Pokémon level 30 or higher, up to 100 AVs.",7,,
health-candy-xl,field,stat-boost,"Increases HP by 1 AV for Pokémon Lv. 60 or higher, up to 200 HP AVs.",7,,
health-wing,field,stat-boost,+1 HP EV and slight friendship increase,5,,
health-mochi,field,stat-boost,Increases HP EVs by 10.,9,,
heart-mail,held,passive,Allows a Pokémon to hold a written message that can be traded to other Generation IV games.,4,4,"Prevents PC storage, Day Care use, and interaction with moves like Trick, Switcheroo, Thief, and Covet."
heart-scale,field,move-reminder,Allows a Move Reminder to teach one move to one Pokémon,3,,"In BDSP, cost removed after 10 uses"
hearthflame-mask,battle,stat-boost,Increases the power of the holder's moves by 20%,9,,
hearthflame-mask,held,form-change,Changes Ogerpon to its Hearthflame Mask form,9,,
hearty-grains,field,crafting,"Used to craft Grain Cake, Jubilife Muffin, and Choice Dumpling",8,,
hearty-grains,field,bait,Attracts certain Pokémon when thrown,8,,
heat-rock,held,weather-duration,Extends harsh sunlight to 8 turns,4,,"Prior to Generation VI, does not affect Drought."
heatranite,battle,evolution-trigger,Allows Heatran to Mega Evolve into Mega Heatran,9,,Requires the Trainer to have a Key Stone
heavy-ball,battle,capture-modifier,Catch rate modifier based on Pokémon weight,2,,Less effective on lighter Pokémon; special rules for Ultra Beasts and certain generations.
heavy-ball,battle,catch-rate-modifier,x1.25,8,,"In Legends: Arceus battles, the bonus always applies."
heavy-ball,field,catch-rate-modifier,x1.25 if target is unaware; x1 otherwise,8,,
heavy-duty-boots,held,passive,Prevents damage and effects from entry hazards; grounded Poison-type holders still remove Toxic Spikes on entry.,8,,
helix-fossil,field,evolution-trigger,Regenerates into Omanyte at fossil labs,1,,
heracronite,held,evolution-trigger,Allows Heracross to Mega Evolve into Mega Heracross,6,,
herbed-sausage,field,crafting,Used as an ingredient to make sandwiches.,9,,
heroic-sword-pick,field,passive,Used to complete a sandwich during a picnic,9,,
hi-tech-earbuds,field,passive,"Allows the player to adjust or mute background music, sound effects, and Pokémon cries.",8,,
hm01,field,move-teaching,Teaches the move Cut.,1,,HM moves can be taught an unlimited number of times.
hm02,field,hm-tm-reward,Allows use of Fly outside battle when the required Badge is obtained.,1,,
hm03,field,move-teaching,Teaches Surf for overworld water travel.,1,,
hm04,field,move-teaching,Teaches Strength,1,,
hm05,field,move-teaching,Teaches a move usable in the field if the required Badge is obtained.,1,,No Badge is required in Generation V.
hm06,field,hm-tm,Allows use of the taught move in the field with the required Badge (except Generation V).,2,,
hm07,field,hm-move-teaching,"Allows teaching a specific move usable in the field, depending on the game.",2,,
hm08,field,move-teaching,Teaches a move usable in the field if the required Badge is obtained.,3,,
ho-oh-treat,field,encounter-trigger,Allows the player to encounter and battle Ho-Oh at South Province (Area Four).,9,,Showing it to Snacksworth provides a hint to Ho-Oh's location.
hoennian-salt,field,crafting,Used to make the Omega and Alpha Old-Fashioned Donuts.,9,,
holo-caster,field,communication,Receives hologram messages and news to advance the story and interact with other players.,6,,
hometown-muffin,passive,quest-item,Completes Request 48: The Taste of Home,8,,
hondew-berry,field,friendship,Increases friendship and lowers Special Attack EVs by 10,3,,"In Generation IV only, EV is reduced to 100 if above 110"
honey,field,encounter-trigger,Triggers a wild Pokémon battle similar to Sweet Scent,4,7,Can cause Horde Encounters in Generation VI
honey-cake,field,lure,"Attracts certain Pokémon, especially Bug-type, Fairy-type, and fairy-like Pokémon.",8,,
honor-of-kalos,passive,story-proof,Proof of defeating Team Flare and becoming Champion of the Kalos Pokémon League,6,,
hopo-berry,field,healing,Restores 10 PP to one move when used on a Pokémon,8,,
hopo-berry,field,passive,Dulls reactions of wild Pokémon when thrown,8,,
horseradish,field,ingredient,Used as an ingredient in making a sandwich.,9,,
houndoominite,held,evolution-trigger,Enables Mega Evolution into Mega Houndoom,6,,Requires Key Stone; unaffected by Embargo or Klutz
hp-up,field,stat-boost,Raises HP EVs up to 252 regardless of prior EVs,8,,
hp-up,field,stat-boost,Raises HP EVs by 10 per use,3,7,Increases friendship slightly
hyper-babiri-berry,passive,crafting-ingredient,Used as an ingredient for donuts,9,,
hyper-charti-berry,passive,crafting-ingredient,Used only as an ingredient for making donuts.,9,,
hyper-chesto-berry,passive,crafting-ingredient,Used as an ingredient for donuts; cannot be used directly.,9,,
hyper-chople-berry,passive,crafting-ingredient,Used as an ingredient for making donuts; cannot be used directly.,9,,
hyper-coba-berry,passive,crafting-ingredient,Used as an ingredient for making donuts; cannot be used directly.,9,,
hyper-colbur-berry,passive,crafting-ingredient,Used only as an ingredient for making donuts,9,,
hyper-grepa-berry,passive,crafting-ingredient,Used as an ingredient for donuts; cannot be used directly.,9,,
hyper-haban-berry,passive,crafting-ingredient,Used only as an ingredient for making donuts.,9,,
hyper-hondew-berry,passive,crafting-ingredient,Used as an ingredient for donuts; cannot be used directly.,9,,
hyper-kasib-berry,passive,crafting-ingredient,Used as an ingredient for making donuts.,9,,Cannot be used directly.
hyper-kebia-berry,passive,crafting-ingredient,Used as an ingredient for making donuts; cannot be used directly.,9,,
hyper-kelpsy-berry,passive,crafting-material,Used only as an ingredient for donuts,9,,
hyper-lum-berry,passive,crafting-ingredient,Used as an ingredient for donuts; cannot be used directly.,9,,
hyper-occa-berry,passive,crafting-ingredient,Used as an ingredient for making donuts.,9,,
hyper-oran-berry,passive,crafting-ingredient,Used only as an ingredient for making donuts,9,,
hyper-passho-berry,passive,crafting,Used as an ingredient for making donuts.,9,,
hyper-payapa-berry,passive,crafting,Used as an ingredient for donuts,9,,
hyper-pecha-berry,passive,crafting-ingredient,Used as an ingredient for donuts; cannot be used directly.,9,,
hyper-persim-berry,passive,crafting-ingredient,Used as an ingredient for making donuts; cannot be used directly.,9,,
hyper-pomeg-berry,passive,crafting,Used only as an ingredient for donuts; cannot be used directly.,9,,
hyper-potion,field,healing,Restores HP (200/120/150 depending on generation),1,,
hyper-qualot-berry,passive,crafting-ingredient,Used only as an ingredient for donuts,9,,
hyper-rawst-berry,passive,crafting-ingredient,Used as an ingredient for donuts; cannot be used directly.,9,,
hyper-rindo-berry,passive,crafting,Used as an ingredient for donuts,9,,
hyper-shuca-berry,passive,crafting-ingredient,Used as an ingredient for making donuts,9,,Cannot be used directly
hyper-sitrus-berry,passive,crafting-ingredient,Used only as an ingredient for donuts,9,,
hyper-tamato-berry,passive,crafting-ingredient,Used only as an ingredient for donuts and cannot be used directly.,9,,
hyper-tanga-berry,passive,crafting-ingredient,Cannot be used directly; used only as an ingredient for donuts.,9,,
hyper-wacan-berry,passive,crafting-ingredient,Used as an ingredient for making donuts,9,,Cannot be used directly.
hyper-yache-berry,passive,crafting-ingredient,Used as an ingredient for making donuts; cannot be used directly.,9,,
hyperspace-butter,field,passive,Allows up to eight berries to be used when making donuts.,9,,Used by Ansha
iapapa-berry,field,healing,Restores HP when used from the Bag.,3,,
iapapa-berry,held,healing,Restores HP when holder is in a pinch; may cause confusion if sour is disliked.,3,,Healing amount varies by generation.
ice-berry,field,status-healing,Cures burn when used from the Bag.,2,2,
ice-berry,held,status-healing,Cures burn when the holder becomes burned.,2,2,
ice-gem,held,type-boost,Boosts first Ice-type move by 50% and is consumed,5,5,
ice-gem,held,type-boost,Boosts first Ice-type move by 30% and is consumed,6,,
ice-heal,field,status-cure,Cures the frozen status condition.,1,,
ice-memory,battle,type-change,Changes Multi-Attack to Ice type and makes Silvally Ice type,7,,
ice-memory,field,type-change,Changes Silvally to its Ice-type form,7,,
ice-stone,field,evolution-trigger,Evolves certain Pokémon when used,7,,
ice-tera-shard,field,tera-type-change,50 shards change a Pokémon’s Tera Type to Ice at the Treasure Eatery in Medali,9,,
iceroot-carrot,field,story,Allows the player to summon Glastrier at the Crown Shrine.,8,,
icicle-plate,battle,move-type-change,Judgment becomes Ice-type,4,,Only when held by Arceus
icicle-plate,field,form-change,Changes Arceus to Ice type,4,,
icicle-plate,held,type-boost,Boosts Ice-type moves by 20%,4,,
icium-z--held,held,type-boost,Upgrades Ice-type moves into the Z-Move Subzero Slammer or Ice-type Z-Moves.,7,,Cannot be removed by item-negating or item-manipulating effects.
icy-rock,held,weather-duration,Extends hail or snow duration to 8 turns,4,,Affects snow instead of hail starting Generation IX
ilimas-normalium-z,field,story,Activates a one-time rematch with Totem Gumshoos in Ultra Sun or Totem Raticate in Ultra Moon when placed on the pedestal in Verdant Cavern.,7,7,
impish-mint,field,stat-modifier,"Changes nature effect to Impish: Defense up, Special Attack down",8,,
incinium-z--held,held,evolution-trigger,Upgrades Incineroar's Darkest Lariat into the Z-Move Malicious Moonsault.,7,,Unaffected by item-negating effects; cannot be removed by Trick or Fling.
indigo-disk,field,story,Redirects the Zero Lab elevator to the Area Zero Underdepths and is consumed on use.,9,,
indigo-style-card,passive,unlock,Increases available options at certain clothing stores and hair salons.,9,,
inquiry-mail,held,passive,Allows a Pokémon to carry a customizable message using Easy Chat phrases that can be traded to other games.,5,5,"Cannot be stolen, flung, or transferred to later generations."
insect-plate,held,form-change,Changes Arceus to Bug type; Judgment becomes Bug-type,4,,
insect-plate,held,type-boost,Boosts Bug-type move power by 20%,4,,
instant-noodles,field,crafting,Used as an ingredient when making curry.,8,,
intriguing-stone,field,exchange,Can be exchanged for a Sun Stone after being shown to Gurkinn in the Tower of Mastery.,6,6,Pokémon X and Y only.
intriguing-stone,field,identification,Identified as a Pidgeotite by Mr. Stone at the Devon Corporation.,6,6,Pokémon Omega Ruby and Alpha Sapphire only.
iron,field,stat-boost,Raises Defense EVs,1,,Consumed on use; increases friendship in later generations
iron-ball,held,stat-modifier,Halves Speed and grounds the holder,4,,
iron-barktongue,passive,crafting-material,Two are required to craft an Aux Guard.,8,,
iron-chunk,passive,crafting,Used to craft various Poké Balls; quantities vary by ball type.,8,,
iron-plate,battle,move-type-change,Judgment becomes Steel-type,4,,
iron-plate,held,form-change,Changes Arceus to Steel type,4,,Multitype ability
iron-plate,held,type-boost,Boosts Steel-type moves by 20%,4,,
item-drop,battle,special,Removes held item for battle,5,,
item-urge,battle,special,Activates held item effect,5,,
jaboca-berry,held,damage-reflection,Attacker loses 1/8 max HP when using a physical move; 1/4 if holder has Ripen.,4,,
jade-orb,field,story-trigger,Allows the player to encounter Rayquaza at the Embedded Tower.,4,,
jalapeno,passive,ingredient,Used as an ingredient when making sandwiches.,9,,
jam,field,crafting,Used as an ingredient when making sandwiches.,9,,
