move,short_effect,long_effect
thrash,"Hits every turn for 2-3 turns, then {confuses;STATUS;confusion} the user.","<i>Thrash</i> attacks for 2-3 turns, during which it cannot switch out, and then becomes {confused;STATUS;confusion}.<br/>Confused Pokémon have a 33% chance of hurting themselves each turn, for 1-4 attacking turns (50% chance in Generations 1-6).<br/>The damage received is as if the Pokémon attacks itself with a typeless 40 power {Physical;CATEGORY;physical} attack.
<br/>
If <i>Thrash</i> is disrupted then it will stop and not cause {confusion;STATUS;confusion}.<br/>
<i>Thrash</i> can be interrupted by:
<ul>
  <li>Missing</li>
  <li>{Sleeping;STATUS;sleep}</li>
  <li>{Paralysis;STATUS;paralysis}</li>
  <li>{Freeze;STATUS;freeze}</li>
  <li>{Flinching;STATUS;flinch}</li>
  <li>Protected by {Protect;MOVE;protect}</li>
  <li>{GHOST;TYPE;Ghost}-type</li>
  <li>{Wonder Guard;ABILITY;wonder-guard} immunity</li>
</ul>
If the move is disrupted on the final turn when the {confusion;STATUS;confusion} would have occured, the user will still be confused.
<br/>
Pokémon with the ability {Own Tempo;ABILITY;own-tempo} or those behind a {Substitute;MOVE;substitute} cannot be confused.
<ul>
  <li>In Gen 1, <i>Thrash</i> lasts for 3-4 turns.</li>
  <li>In Gen 1-4 Thrash has 90 power, 20 PP and will not be interrupted by {sleep;STATUS;sleep}, {freeze;STATUS;freeze} and {flinching;STATUS;flinch}</li>
</ul>"
double-edge,"Deals damage and the user receives <span style=""font-size: 1.3rem"">⅓</span>  of the damage done as recoil.","<i>Double-Edge</i> deals damage, but the user receives 33.3% of the damage it inflicted in recoil.
<ul>
  <li>In Gen 1 the user does not receive any recoil damage if <i>Double-Edge</i> breaks a {Substitute;MOVE;substitute} and has 100 power</li>
  <li>In Gen 1-2 the recoild damage is 25% instead of 33.3%</li>
  <li>In {LA;GAME;legends-arceus} the power is reduced to 100 and PP reduced to 5</li>
</ul>"
tail-whip,Lowers the target's {Special Defense;STAT;SPDEF} by one stage.,"<i>Tail Whip</i> lowers the target's {Defense;STAT;DEFENSE} by one stage.
<br/>
{Stats;STAT;STATS} can be lowered to a minimum of -6 stages each."
poison-sting,Deals damage and has a 30% chance to {poison;STATUS;poison} the target.,"<i>Poison Sting</i> deals damage and has a 30% chance of {poisoning;STATUS;poison} the target.
<br/>
Pokémon are immune to {poison;STATUS;poison} if:
<ul>
  <li>they are a {POISON;TYPE;Poison}-type Pokémon</li>
  <li>they are a {STEEL;TYPE;Steel}-type Pokémon</li>
  <li>they have the ability {Immunity;ABILITY;immunity}</li>
  <li>they are behind a {Substitute;MOVE;substitute}</li>
</ul>
In Gen 1 the chance to {poison;STATUS;poison} is 20% instead of 30%"
twineedle,Deals damage twice per use and has a 20% chance to {poison;STATUS;poison} the target.,"<i>Twineedle</i> deals damage and strikes the target twice (with 25 power each time). It has a 20% chance of {poisoning;STATUS;poison} the target.<br/>
Pokémon are immune to {poison;STATUS;poison} if:
<ul>
  <li>they are a {POISON;TYPE;Poison}-type Pokémon</li>
  <li>they are a {STEEL;TYPE;Steel}-type Pokémon</li>
  <li>they have the ability {Immunity;ABILITY;immunity}</li>
  <li>they are behind a {Substitute;MOVE;substitute}</li>
</ul>
The move {Counter;MOVE;counter} only counters the final hit, but {Bide;MOVE;bide} counters the complete damage.
<ul>
  <li>In Gen 1, each hit will always deal the same damage - if the first critical hits, so will the rest.</li>
  <li>In Gen 2 the final strike has a chance to cause the target to {flinch;STATUS;flinch} if the user is holding a {King's Rock;ITEM;kings-rock}</li>
  <li>In Gen 1-2, <i>Twineedle</i> can poison {POISON;TYPE;Poison} and {STEEL;TYPE;Steel} types.</li>
  <li>In Gen 1-3, <i>Twineedle</i> ends immediately if any hit breaks a {Substitute;MOVE;substitute}.</li>
  <li>In Gen 2-4, if a {Focus Sash;ITEM;focus-sash} or {Focus Band;ITEM;focus-band} activates before the final hit, subsequent hits do not cause the holder to faint.</li>
  <li>In Gen 3-4 each strike has an equal chance to make the target {flinch;STATUS;flinch} if the user is holding a {King's Rock;ITEM;kings-rock} or {Razor Fang;ITEM;razor-fang}</li>
  <li>From Gen 8 onwards this move can not be selected in battle.</li>
</ul>"
pin-missile,Hits 2-5 times per use.,"<i>Pin Missile</i> deals damage and hits 2-5 times per turn used. Averages to 3 hits per use.<br/>
The probability of each interval is shown in the table below, with the total power after each hit. 
<table> 
  <thead>
    <tr>
    <th>Hits</th> 
    <th>Chance</th>
    <th>Power</th>
    </tr>
  </thead>
  <tr> 
    <td>2</td> 
    <td>37,5%</td>
    <td>50</td> 
  </tr>
  <tr> 
    <td>3</td> 
    <td>37,5%</td> 
    <td>75</td>
  </tr> 
  <tr>
    <td>4</td> 
    <td>12,5%</td>
    <td>100</td>
  </tr> 
  <tr>
    <td>5</td>
    <td>12,5%</td>
    <td>125</td>
  </tr>
</table> 
Each strike of <i>Pin Missile</i> is treated like a separate attack:<br/>
<ul>
  <li>Each strike can get a critical hit independently.</li>
  <li>Abilities that activate on contact ({Static;ABILITY;static}, {Weak Armor;ABILITY;weak-armor}, {Iron Barbs;ABILITY;iron-barbs} etc.) activate for each strike.</li> 
  <li>If the {Sturdy;ABILITY;sturdy} ability, {Focus Sash;ITEM;focus-sash}, or {Focus Band;ITEM;focus-band} activates before the final hit, the subsequent hit will still deal damage and therefore cause the target to faint.</li>
  <li>If the first hit breaks a {Substitute;MOVE;substitute}, the second hit will deal damage to the target Pokémon.</li> 
  <li>The move {Counter;MOVE;counter} only counters the final hit, but {Bide;MOVE;bide} counters the complete damage.</li>
</ul>
The {Skill Link;ABILITY;skill-link} ability will cause <i>Pin Missile</i> to always hit the maximum number of times.
<ul>
  <li>In Gen 1, each hit will always deal the same damage - if the first strike is a critical hit, so will the rest.</li>
  <li>In Gen 1-3, <i>Pin Missile</i> ends immediately if any hit breaks a {Substitute;MOVE;substitute}.</li>
  <li>In Gen 2-4, if a {Focus Sash;ITEM;focus-sash} or {Focus Band;ITEM;focus-band} activates before the final hit, subsequent hits do not cause the holder to faint.</li>
  <li>In Gen 1-5 <i>Pin Missile</i> has 14 power and 85% {accuracy;STAT;ACCURACY}</li>
  <li>In {LA;GAME;legends-arceus} the attack hits once and leaves the target with splinters for 4 turns (Strong Style), 2 turns (Agile Style) or 3 turns (otherwise)</li>
</ul>"
leer,Lowers the target's {Special Defense;STAT;SPDEF} by one stage.,"<i>Leer</i> lowers the target's {Defense;STAT;DEFENSE} by one stage.
<br/>
{Stats;STAT;STATS} can be lowered to a minimum of -6 stages each."
bite,Deals damage and has a 30% chance to make the target {flinch;STATUS;flinch}.,"<i>Bite</i> deals damage and has a 30% chance of causing the target to {flinch;STATUS;flinch} (if the target has not yet moved).
<br/>
Pokémon with the ability {Inner Focus;ABILITY;inner-focus} or those behind a {Substitute;MOVE;substitute} cannot be made to flinch.
<br/>
<ul>
  <li>In Gen 1 <i>Bite</i> is a {NORMAL;TYPE;Normal}-type move</li>
  <li>In Gen 2-3 <i>Bite</i> is categorized as {Special;CATEGORY;special}</li>
</ul>"
growl,Lowers the target's {Attack;STAT;ATTACK} by one stage.,"<i>Growl</i> lowers the target's {Attack;STAT;ATTACK} by one stage.
<br/>
{Stats;STAT;STATS} can be lowered to a minimum of -6 stages each.
Pokémon are immune to having their Attack decreased if they have any of the following Abilities:
<ul>
  <li>{Hyper Cutter;ABILITY;hyper-cutter}</li>
  <li>{Clear Body;ABILITY;clear-body}</li>
  <li>{Full Metal Body;ABILITY;full-metal-body}</li>
  <li>{White Smoke;ABILITY;white-smoke}</li>
</ul>
Additionally, Pokémon with {Soundproof;ABILITY;soundproof} are immune due to <i>Growl</i> being a sound-based move.
<ul>
  <li>In Gen 1-2 <i>Growl</i> can not affect a Pokémon behind a {Substitute;MOVE;substitute}</li>
</ul>"
roar,Immediately ends wild battles. Forces trainers to switch Pokémon.,"<i>Roar</i> causes a wild Pokémon to flee if they are of a lower level, and the battle ends.
<br/>
In trainer battles, <i>Roar</i> forces the target to switch out of battle (regardless of level) and is replaced with another random Pokémon in the enemy trainer's party.
<br/>
If there are no available Pokémon in the enemy trainer's party, the move fails.
<br/>
Pokémon with the abilities {Soundproof;ABILITY;soundproof} or {Suction Cups;ABILITY;suction-cups} or those rooted by {Ingrain;MOVE;ingrain} are not affected by <i>Roar</i>.
<ul>
  <li>In Gen 1, <i>Roar</i> has normal priority and no effect in Trainer battles.<br/>The move has a chance between 10% and 25% of failing, increases with the level difference between the user and the target.</li>
  <li>In Gen 2, <i>Roar</i> has a priority of -1</li>
  <li>In Gen 3, <i>Roar</i> has a priority of -5</li>
  <li>In Gen 1-5, <i>Roar</i> has 100% {accuracy;STAT;ACCURACY} and fails if used before the target makes a move.</li>
  <li>In Gen 1-4, <i>Roar</i> works on any level Pokémon in wild battles.</li>
</ul>"
sing,Puts the target to {sleep;STATUS;sleep}.,"<i>Sing</i> puts the target to {sleep;STATUS;sleep}
<br/>
Pokémon with the ability {Insomnia;ABILITY;insomnia}, {Vital Spirit;ABILITY;vital-spirit}, {Shields Down;ABILITY;shields-down} (with the shield active), or {Comatose;ABILITY;comatose} are immune to {sleep;STATUS;sleep}.
<br/>Pokémon with {Soundproof;ABILITY;soundproof} (due to it being a sound-based move) are also immune to <i>Sing</i>.
<ul>
  <li>In the Gen 1 handheld games, <i>Sing</i> can affect a target behind a {Substitute;MOVE;substitute}</li>
</ul>"
supersonic,"Hits every turn for 2-3 turns, then {confuses;STATUS;confusion} the user.","<i>Supersonic</i> attacks for 2-3 turns, during which it cannot switch out, and then becomes {confused;STATUS;confusion}.<br/>Confused Pokémon have a 33% chance of hurting themselves each turn, for 1-4 attacking turns (50% chance in Generations 1-6).<br/>The damage received is as if the Pokémon attacks itself with a typeless 40 power {Physical;CATEGORY;physical} attack.<br/>
Pokémon with the ability {Own Tempo;ABILITY;own-tempo} can not be confused.<br/>
Pokémon with {Soundproof;ABILITY;soundproof} (due to it being a sound-based move) are also immune to <i>Supersonic</i>.
<ul>
  <li>In Gen 1-5 <i>Supersonic</i> can not affect a Pokémon behind a {Substitute;MOVE;substitute}</li>
</ul>"
sonic-boom,Always deals 20 damage.,"<i>Sonic Boom</i> (formatted as <i>SonicBoom</i> in Gen 1-5) always deals 20 {HP;STAT;HP} damage to the target, regardless of typing (although {GHOST;TYPE;Ghost}-type Pokémon are still immune) with no additional effects.
<ul>
  <li>In Gen 1, S<i>Sonic Boom</i> hits {GHOST;TYPE;Ghost}-type Pokémon regardless of their immunity to {NORMAL;TYPE;Normal}-type moves.</li>
  <li>In Gen 1-3, <i>Sonic Boom</i> is categorized as {Physical;CATEGORY;physical}.</li>
  <li>From Gen 8 onwards this move cannot be selected in battle.</li>
</ul>"
disable,Disables the target's last used move for 1-8 turns.,"<i>Disable</i> causes the last move the target used to be disabled for 1-8 turns, which prevents the move's use.
            <br/>
                           If the target has no other available moves besides the disabled one, it will use {Struggle;MOVE;struggle} instead.<br/>
            <i>Disable</i> can only disable <b>one</b> of the target's moves and will fail if already disabled or the last move used was {Struggle;MOVE;struggle}.<br/>
            <ul>
                <li>In Gen 1 a a random move with more than 0 PP remaining is selected. The move fails if no move has more than 0 PP left.</li>
                <li>In Gen 1-2 only turns that are spent trying to use a move are counted. Turns spent {flinching;STATUS;flinch}, {asleep;STATUS;sleep}, {frozen;STATUS;freeze}, recharging or bound will not count towards the
                    <i>Disable</i> duration length
                </li>
                <li>In Gen 1-3, <i>Disable</i> has 55% {accuracy;STAT;ACCURACY}.</li>
                <li>In Gen 4, <i>Disable</i> has 80% {accuracy;STAT;ACCURACY}.</li>
            </ul>
            <i>Disable's</i> duration varies by generation with the following table specifying each length:
            <table>
                <thead>
                <tr>
                    <th>Gen</th>
                    <th>Duration in turns</th>
                </tr>
                </thead>
                <tbody>
                <tr>
                    <td>1</td>
                    <td>0-7</td>
                </tr>
                <tr>
                    <td>2</td>
                    <td>2-8</td>
                </tr>
                <tr>
                    <td>3</td>
                    <td>2-5</td>
                </tr>
                <tr>
                    <td>4</td>
                    <td>4-7</td>
                </tr>
                <tr>
                    <td>5-9</td>
                    <td>4</td>
                </tr>
                </tbody>
            </table>"
acid,Deals damage and has a 10% chance to lower the target's {Special Defense;STAT;SPDEF} by one stage.,"<i>Acid</i> deals damage and has a 10% chance of lowering the target's {Special Defense;STAT;SPDEF} by one stage.<br/>
{Stats;STAT;STATS} can be lowered to a minimum of -6 stages each.
<ul>
  <li>In Gen 1 the chance is 33.2%</li>
  <li>In Gen 1-3, Acid is categorized as {Physical;CATEGORY;physical}.<br/>
  It lower's the target's {Defense;STAT;DEFENSE} instead.</li>
</ul>"
ember,Deals damage and has a 10% chance to {burn;STATUS;burn} the target.,"<i>Ember</i> deals damage and has a 10% chance of {burning;STATUS;burn} the target.<br/>
Pokémon are immune to the {burn;STATUS;burn} if:
<ul>
<li>they are a {FIRE;TYPE;Fire}-type Pokémon</li>
<li>have the ability {Water Veil;ABILITY;water-veil}</li>
<li>are behind a {Substitute;MOVE;substitute}</li>
</ul>"
flamethrower,Deals damage and has a 10% chance to {burn;STATUS;burn} the target.,"<i>Flamethrower </i> deals damage and has a 10% chance of {burning;STATUS;burn} the target.<br/>
Pokémon are immune to the {burn;STATUS;burn} if:
<ul>
<li>they are a {FIRE;TYPE;Fire}-type Pokémon</li>
<li>have the ability {Water Veil;ABILITY;water-veil}</li>
<li>are behind a {Substitute;MOVE;substitute}</li>
</ul>
In Gen 1-5, Flamethrower has 95 power."
mist,Protects the user's stats from being changed by enemy moves for 5 turns.,"<i>Mist</i> protects the user from {stat;STAT;STATS} decreases for a 5 turns.
<ul>
  <li>In Gen 1 this did not apply to damaging moves that decreased {stats;STAT;STATS} as a side-effect<br/>
  It is removable by {Haze;MOVE;haze}</li>
  <li>From Gen 3 onwards, the mist applies to all Pokémon on the user's side.</li>
</ul>"
water-gun,Deals damage with no additional effect.,<i>Water Gun</i> deals damage with no additional effect.
hydro-pump,Deals damage with no additional effect.,"<i>Hydro Pump</i> deals damage with no additional effect.
<ul>
  <li>In Gen 1-5 <i>Hydro Pump</i> has 120 power</li>
</ul>"
surf,Deals damage and can hit {Dive;MOVE;dive} users.,"<i>Surf</i> deals damage.<br/>
If the target is hidden underwater from using {Dive;MOVE;dive}, <i>Surf</i> will hit with double power.
<ul>
  <li>In Gen 1-5 <i>Surf</i> has 95 power.</li>
  <li>Surf can be used outside of battle to cross water with the appropriate Gym Badge.<br/>
  You can also encounter wild Pokémon or start fishing while surfing.</li>
</ul>"
ice-beam,Deals damage and has a 10% chance to {freeze;STATUS;freeze} the target.,"<i>Ice Beam</i> deals damage and has a 10% chance of {freezing;STATUS;freeze} the target.<br/>
Pokémon are immune to the {freeze;STATUS;freeze} if:
<ul>
<li>they are an {ICE;TYPE;Ice}-type Pokémon</li>
<li>have the ability {Magma Armor;ABILITY;magma-armor}</li>
<li>are behind a {Substitute;MOVE;substitute}</li>
</ul>
In Generations 1-5, <i>Ice Beam</i> has 95 power."
blizzard,Deals damage and has a 10% chance to {freeze;STATUS;freeze} the target.,"<i>Blizzard</i> deals damage and has a 10% chance of {freezing;STATUS;freeze} the target. <br/>
Pokémon are immune to the {freeze;STATUS;freeze} if:
<ul>
<li>they are an {ICE;TYPE;Ice}-type Pokémon</li>
<li>have the ability {Magma Armor;ABILITY;magma-armor}</li>
<li>are behind a {Substitute;MOVE;substitute}</li>
</ul>
<ul>
  <li>In Gen 1 <i>Blizzard</i> has 90% {accuracy;STAT;ACCURACY}</li>
  <li>In Diamond and Pearl only, <i>Blizzard</i> has a 25% chance of hitting through {Protect;MOVE;protect} or {Detect;MOVE;detect} during {hail;WEATHER;HAIL}</li>
  <li>In Generations 1-5, <i>Blizzard</i> has 95 power.</li>
  <li>In Gen 4-5 <i>Blizzard</i> ignores {accuracy;STAT;ACCURACY} checks and always hits during {hail;WEATHER;HAIL}</li>
  <li>In the Japanese versions of Pokémon Red / Green, the chance to {freeze;STATUS;freeze} is 30%</li>
</ul>"
