identifier,id,generation,type,power,pp,accuracy,priority,target,damage_class,effect_id,effect_chance,contest_type,contest_effect_id,super_contest_effect_id,source
frenzy-plant,338,3,grass,150,5,90,0,selected-pokemon,special,81,,cool,6,22,both
bulk-up,339,3,fighting,,20,,0,user,status,209,,beauty,32,11,both
bounce,340,3,flying,85,5,85,0,selected-pokemon,physical,264,30,cute,15,6,both
mud-shot,341,3,ground,55,15,95,0,selected-pokemon,special,71,100,tough,5,2,both
poison-tail,342,3,poison,50,25,100,0,selected-pokemon,physical,210,10,smart,33,4,both
covet,343,3,normal,60,25,100,0,selected-pokemon,physical,106,,cute,20,12,both
volt-tackle,344,3,electric,120,15,100,0,selected-pokemon,physical,263,10,cool,3,22,both
magical-leaf,345,3,grass,60,20,,0,selected-pokemon,special,18,,beauty,27,17,both
water-sport,346,3,water,,15,,0,entire-field,status,211,,cute,1,13,both
calm-mind,347,3,psychic,,20,,0,user,status,212,,smart,16,11,both
leaf-blade,348,3,grass,90,15,100,0,selected-pokemon,physical,44,,cool,2,17,both
dragon-dance,349,3,dragon,,20,,0,user,status,213,,cool,32,11,both
rock-blast,350,3,rock,25,10,90,0,selected-pokemon,physical,30,,tough,12,7,both
shock-wave,351,3,electric,60,20,,0,selected-pokemon,special,18,,cool,27,17,both
water-pulse,352,3,water,60,20,100,0,selected-pokemon,special,77,20,beauty,21,17,both
doom-desire,353,3,steel,140,5,100,0,selected-pokemon,special,149,,cool,24,17,both
psycho-boost,354,3,psychic,140,5,90,0,selected-pokemon,special,205,100,smart,3,22,both
roost,355,4,flying,,5,,0,user,status,215,,cool,,8,both
gravity,356,4,psychic,,5,,0,entire-field,status,216,,beauty,,13,both
miracle-eye,357,4,psychic,,40,,0,selected-pokemon,status,217,,cute,,20,both
wake-up-slap,358,4,fighting,70,10,100,0,selected-pokemon,physical,218,,smart,,16,both
hammer-arm,359,4,fighting,100,10,90,0,selected-pokemon,physical,219,100,cool,,2,both
gyro-ball,360,4,steel,,5,100,0,selected-pokemon,physical,220,,beauty,,15,both
healing-wish,361,4,psychic,,10,,0,user,status,221,,cute,,8,both
brine,362,4,water,65,10,100,0,selected-pokemon,special,222,,smart,,4,both
natural-gift,363,4,normal,,15,100,0,selected-pokemon,physical,223,,cool,,18,both
feint,364,4,normal,30,10,100,2,selected-pokemon,physical,224,,beauty,,16,both
pluck,365,4,flying,60,20,100,0,selected-pokemon,physical,225,,cute,,12,both
tailwind,366,4,flying,,15,,0,users-field,status,226,,smart,,1,both
acupressure,367,4,normal,,30,,0,user-or-ally,status,227,,cool,,11,both
metal-burst,368,4,steel,,10,100,0,specific-move,physical,228,,beauty,,15,both
u-turn,369,4,bug,70,20,100,0,selected-pokemon,physical,229,,cute,,16,both
close-combat,370,4,fighting,120,5,100,0,selected-pokemon,physical,230,100,smart,,22,both
payback,371,4,dark,50,10,100,0,selected-pokemon,physical,231,,cool,,6,both
assurance,372,4,dark,60,10,100,0,selected-pokemon,physical,232,,beauty,,15,both
embargo,373,4,dark,,15,100,0,selected-pokemon,status,233,,cute,,13,both
fling,374,4,dark,,10,100,0,selected-pokemon,physical,234,,tough,,23,both
psycho-shift,375,4,psychic,,10,100,0,selected-pokemon,status,235,,cool,,16,both
trump-card,376,4,normal,,5,,0,selected-pokemon,special,236,,cool,,21,both
heal-block,377,4,psychic,,15,100,0,all-opponents,status,237,,cute,,13,both
wring-out,378,4,normal,,5,100,0,selected-pokemon,special,238,,smart,,22,both
power-trick,379,4,psychic,,10,,0,user,status,239,,cool,,16,both
gastro-acid,380,4,poison,,10,100,0,selected-pokemon,status,240,,beauty,,13,both
lucky-chant,381,4,normal,,30,,0,users-field,status,241,,cute,,13,both
me-first,382,4,normal,,20,,0,selected-pokemon-me-first,status,242,,cute,,1,both
copycat,383,4,normal,,20,,0,user,status,243,,cool,,12,both
power-swap,384,4,psychic,,10,,0,selected-pokemon,status,244,,beauty,,16,both
guard-swap,385,4,psychic,,10,,0,selected-pokemon,status,245,,cute,,16,both
punishment,386,4,dark,,5,100,0,selected-pokemon,physical,246,,smart,,23,both
last-resort,387,4,normal,140,5,100,0,selected-pokemon,physical,247,,cute,,21,both
worry-seed,388,4,grass,,10,100,0,selected-pokemon,status,248,,beauty,,19,both
sucker-punch,389,4,dark,70,5,100,1,selected-pokemon,physical,249,,smart,,1,both
toxic-spikes,390,4,poison,,20,,0,opponents-field,status,250,,smart,,13,both
heart-swap,391,4,psychic,,10,,0,selected-pokemon,status,251,,cool,,16,both
aqua-ring,392,4,water,,20,,0,user,status,252,,beauty,,8,both
magnet-rise,393,4,electric,,10,,0,user,status,253,,cute,,13,both
flare-blitz,394,4,fire,120,15,100,0,selected-pokemon,physical,254,10,smart,,22,both
force-palm,395,4,fighting,60,10,100,0,selected-pokemon,physical,7,30,cool,,18,both
aura-sphere,396,4,fighting,80,20,,0,selected-pokemon,special,18,,beauty,,17,both
rock-polish,397,4,rock,,20,,0,user,status,53,,tough,,1,both
poison-jab,398,4,poison,80,20,100,0,selected-pokemon,physical,3,30,smart,,4,both
dark-pulse,399,4,dark,80,15,100,0,selected-pokemon,special,32,20,cool,,17,both
night-slash,400,4,dark,70,15,100,0,selected-pokemon,physical,44,,beauty,,5,both
aqua-tail,401,4,water,90,10,90,0,selected-pokemon,physical,1,,cute,,5,both
seed-bomb,402,4,grass,80,15,100,0,selected-pokemon,physical,1,,smart,,5,both
air-slash,403,4,flying,75,15,95,0,selected-pokemon,special,32,30,cool,,17,both
x-scissor,404,4,bug,80,15,100,0,selected-pokemon,physical,1,,beauty,,17,both
bug-buzz,405,4,bug,90,10,100,0,selected-pokemon,special,73,10,cute,,4,both
dragon-pulse,406,4,dragon,85,10,100,0,selected-pokemon,special,1,,smart,,4,both
dragon-rush,407,4,dragon,100,10,75,0,selected-pokemon,physical,32,20,cool,,18,both
power-gem,408,4,rock,80,20,100,0,selected-pokemon,special,1,,beauty,,5,both
drain-punch,409,4,fighting,75,10,100,0,selected-pokemon,physical,4,,beauty,,20,both
vacuum-wave,410,4,fighting,40,30,100,1,selected-pokemon,special,104,,smart,,1,both
focus-blast,411,4,fighting,120,5,70,0,selected-pokemon,special,73,10,cool,,17,both
energy-ball,412,4,grass,90,10,100,0,selected-pokemon,special,73,10,beauty,,17,both
brave-bird,413,4,flying,120,15,100,0,selected-pokemon,physical,199,,cute,,18,both
earth-power,414,4,ground,90,10,100,0,selected-pokemon,special,73,10,smart,,18,both
switcheroo,415,4,dark,,10,100,0,selected-pokemon,status,178,,cool,,12,both
giga-impact,416,4,normal,150,5,90,0,selected-pokemon,physical,81,,beauty,,22,both
nasty-plot,417,4,dark,,20,,0,user,status,54,,cute,,11,both
bullet-punch,418,4,steel,40,30,100,1,selected-pokemon,physical,104,,smart,,1,both
avalanche,419,4,ice,60,10,100,-4,selected-pokemon,physical,186,,cool,,15,both
ice-shard,420,4,ice,40,30,100,1,selected-pokemon,physical,104,,beauty,,1,both
shadow-claw,421,4,ghost,70,15,100,0,selected-pokemon,physical,44,,cute,,17,both
thunder-fang,422,4,electric,65,15,95,0,selected-pokemon,physical,276,10,smart,,5,both
ice-fang,423,4,ice,65,15,95,0,selected-pokemon,physical,275,10,cool,,5,both
fire-fang,424,4,fire,65,15,95,0,selected-pokemon,physical,274,10,beauty,,5,both
shadow-sneak,425,4,ghost,40,30,100,1,selected-pokemon,physical,104,,smart,,1,both
mud-bomb,426,4,ground,65,10,85,0,selected-pokemon,special,74,30,smart,,18,both
psycho-cut,427,4,psychic,70,20,100,0,selected-pokemon,physical,44,,cool,,17,both
zen-headbutt,428,4,psychic,80,15,90,0,selected-pokemon,physical,32,20,beauty,,18,both
mirror-shot,429,4,steel,65,10,85,0,selected-pokemon,special,74,30,cute,,17,both
flash-cannon,430,4,steel,80,10,100,0,selected-pokemon,special,73,10,smart,,17,both
rock-climb,431,4,normal,90,20,85,0,selected-pokemon,physical,77,20,cool,,18,both
defog,432,4,flying,,15,,0,selected-pokemon,status,259,,beauty,,13,both
trick-room,433,4,psychic,,5,,-7,entire-field,status,260,,cute,,14,both
draco-meteor,434,4,dragon,130,5,90,0,selected-pokemon,special,205,100,smart,,22,both
discharge,435,4,electric,80,15,100,0,all-other-pokemon,special,7,30,cool,,17,both
lava-plume,436,4,fire,80,15,100,0,all-other-pokemon,special,5,30,tough,,17,both
leaf-storm,437,4,grass,130,5,90,0,selected-pokemon,special,205,100,cute,,22,both
power-whip,438,4,grass,120,10,85,0,selected-pokemon,physical,1,,beauty,,5,both
rock-wrecker,439,4,rock,150,5,90,0,selected-pokemon,physical,81,,tough,,22,both
cross-poison,440,4,poison,70,20,100,0,selected-pokemon,physical,210,10,cool,,5,both
gunk-shot,441,4,poison,120,5,80,0,selected-pokemon,physical,3,30,cool,,5,both
iron-head,442,4,steel,80,15,100,0,selected-pokemon,physical,32,30,tough,,18,both
magnet-bomb,443,4,steel,60,20,,0,selected-pokemon,physical,18,,cool,,5,both
stone-edge,444,4,rock,100,5,80,0,selected-pokemon,physical,44,,tough,,4,both
captivate,445,4,normal,,20,100,0,all-opponents,status,266,,beauty,,19,both
stealth-rock,446,4,rock,,20,,0,opponents-field,status,267,,cool,,13,both
grass-knot,447,4,grass,,20,100,0,selected-pokemon,special,197,,smart,,4,both
chatter,448,4,flying,65,20,100,0,selected-pokemon,special,268,100,smart,,23,both
judgment,449,4,normal,100,10,100,0,selected-pokemon,special,269,,smart,,14,both
bug-bite,450,4,bug,60,20,100,0,selected-pokemon,physical,225,,tough,,12,both
charge-beam,451,4,electric,50,10,90,0,selected-pokemon,special,277,70,beauty,,17,both
wood-hammer,452,4,grass,120,15,100,0,selected-pokemon,physical,199,,tough,,18,both
aqua-jet,453,4,water,40,20,100,1,selected-pokemon,physical,104,,beauty,,1,both
attack-order,454,4,bug,90,15,100,0,selected-pokemon,physical,44,,smart,,4,both
defend-order,455,4,bug,,10,,0,user,status,207,,smart,,11,both
heal-order,456,4,bug,,10,,0,user,status,33,,smart,,8,both
head-smash,457,4,rock,150,5,80,0,selected-pokemon,physical,270,,tough,,22,both
double-hit,458,4,normal,35,10,90,0,selected-pokemon,physical,45,,smart,,7,both
roar-of-time,459,4,dragon,150,5,90,0,selected-pokemon,special,81,,cool,,22,both
spacial-rend,460,4,dragon,100,5,95,0,selected-pokemon,special,44,,tough,,4,both
lunar-dance,461,4,psychic,,10,,0,user,status,271,,beauty,,8,both
crush-grip,462,4,normal,,5,100,0,selected-pokemon,physical,238,,tough,,15,both
magma-storm,463,4,fire,100,5,75,0,selected-pokemon,special,43,100,tough,,7,both
dark-void,464,4,dark,,10,50,0,all-opponents,status,2,,smart,,19,both
seed-flare,465,4,grass,120,5,85,0,selected-pokemon,special,272,40,cool,,22,both
ominous-wind,466,4,ghost,60,5,100,0,selected-pokemon,special,141,10,smart,,11,both
shadow-force,467,4,ghost,120,5,100,0,selected-pokemon,physical,273,,smart,,22,both
hone-claws,468,5,dark,,15,,0,user,status,278,,,,,both
wide-guard,469,5,rock,,10,,3,users-field,status,279,,,,,both
guard-split,470,5,psychic,,10,,0,selected-pokemon,status,280,,,,,both
power-split,471,5,psychic,,10,,0,selected-pokemon,status,281,,,,,both
wonder-room,472,5,psychic,,10,,0,entire-field,status,282,,,,,both
psyshock,473,5,psychic,80,10,100,0,selected-pokemon,special,283,,,,,both
venoshock,474,5,poison,65,10,100,0,selected-pokemon,special,284,,,,,both
autotomize,475,5,steel,,15,,0,user,status,285,,,,,both
rage-powder,476,5,bug,,20,,2,user,status,173,,,,,both
telekinesis,477,5,psychic,,15,,0,selected-pokemon,status,286,,,,,both
magic-room,478,5,psychic,,10,,0,entire-field,status,287,,,,,both
smack-down,479,5,rock,50,15,100,0,selected-pokemon,physical,288,100,,,,both
storm-throw,480,5,fighting,60,10,100,0,selected-pokemon,physical,289,,,,,both
flame-burst,481,5,fire,70,15,100,0,selected-pokemon,special,290,,,,,both
sludge-wave,482,5,poison,95,10,100,0,all-other-pokemon,special,3,10,,,,both
quiver-dance,483,5,bug,,20,,0,user,status,291,,,,,both
heavy-slam,484,5,steel,,10,100,0,selected-pokemon,physical,292,,,,,both
synchronoise,485,5,psychic,120,10,100,0,all-other-pokemon,special,293,,,,,both
electro-ball,486,5,electric,,10,100,0,selected-pokemon,special,294,,,,,both
soak,487,5,water,,20,100,0,selected-pokemon,status,295,,,,,both
flame-charge,488,5,fire,50,20,100,0,selected-pokemon,physical,296,100,,,,both
coil,489,5,poison,,20,,0,user,status,323,,,,,both
low-sweep,490,5,fighting,65,20,100,0,selected-pokemon,physical,21,100,,,,both
acid-spray,491,5,poison,40,20,100,0,selected-pokemon,special,297,100,,,,both
foul-play,492,5,dark,95,15,100,0,selected-pokemon,physical,298,,,,,both
simple-beam,493,5,normal,,15,100,0,selected-pokemon,status,299,,,,,both
entrainment,494,5,normal,,15,100,0,selected-pokemon,status,300,,,,,both
after-you,495,5,normal,,15,,0,selected-pokemon,status,301,,,,,both
round,496,5,normal,60,15,100,0,selected-pokemon,special,302,,,,,both
echoed-voice,497,5,normal,40,15,100,0,selected-pokemon,special,303,,,,,both
chip-away,498,5,normal,70,20,100,0,selected-pokemon,physical,304,,,,,both
clear-smog,499,5,poison,50,15,,0,selected-pokemon,special,305,,,,,both
stored-power,500,5,psychic,20,10,100,0,selected-pokemon,special,306,,,,,both
quick-guard,501,5,fighting,,15,,3,users-field,status,307,,,,,both
ally-switch,502,5,psychic,,15,,2,user,status,308,,,,,both
scald,503,5,water,80,15,100,0,selected-pokemon,special,5,30,,,,both
shell-smash,504,5,normal,,15,,0,user,status,309,,,,,both
heal-pulse,505,5,psychic,,10,,0,selected-pokemon,status,310,,,,,both
hex,506,5,ghost,65,10,100,0,selected-pokemon,special,311,,,,,both
sky-drop,507,5,flying,60,10,100,0,selected-pokemon,physical,312,,,,,both
shift-gear,508,5,steel,,10,,0,user,status,313,,,,,both
circle-throw,509,5,fighting,60,10,90,-6,selected-pokemon,physical,314,,,,,both
incinerate,510,5,fire,60,15,100,0,all-opponents,special,315,,,,,both
quash,511,5,dark,,15,100,0,selected-pokemon,status,316,,,,,both
acrobatics,512,5,flying,55,15,100,0,selected-pokemon,physical,318,,,,,both
reflect-type,513,5,normal,,15,,0,selected-pokemon,status,319,,,,,both
retaliate,514,5,normal,70,5,100,0,selected-pokemon,physical,320,,,,,both
final-gambit,515,5,fighting,,5,100,0,selected-pokemon,special,321,,,,,both
bestow,516,5,normal,,15,,0,selected-pokemon,status,324,,,,,both
inferno,517,5,fire,100,5,50,0,selected-pokemon,special,5,100,,,,both
water-pledge,518,5,water,80,10,100,0,selected-pokemon,special,325,,,,,both
fire-pledge,519,5,fire,80,10,100,0,selected-pokemon,special,326,,,,,both
grass-pledge,520,5,grass,80,10,100,0,selected-pokemon,special,327,,,,,both
volt-switch,521,5,electric,70,20,100,0,selected-pokemon,special,229,,,,,both
struggle-bug,522,5,bug,50,20,100,0,all-opponents,special,72,100,,,,both
bulldoze,523,5,ground,60,20,100,0,all-other-pokemon,physical,71,100,,,,both
frost-breath,524,5,ice,60,10,90,0,selected-pokemon,special,289,100,,,,both
dragon-tail,525,5,dragon,60,10,90,-6,selected-pokemon,physical,314,,,,,both
work-up,526,5,normal,,30,,0,user,status,328,,,,,both
electroweb,527,5,electric,55,15,95,0,all-opponents,special,21,100,,,,both
wild-charge,528,5,electric,90,15,100,0,selected-pokemon,physical,49,,,,,both
drill-run,529,5,ground,80,10,95,0,selected-pokemon,physical,44,,,,,both
dual-chop,530,5,dragon,40,15,90,0,selected-pokemon,physical,45,,,,,both
heart-stamp,531,5,psychic,60,25,100,0,selected-pokemon,physical,32,30,,,,both
horn-leech,532,5,grass,75,10,100,0,selected-pokemon,physical,4,,,,,both
sacred-sword,533,5,fighting,90,15,100,0,selected-pokemon,physical,304,,,,,both
razor-shell,534,5,water,75,10,95,0,selected-pokemon,physical,70,50,,,,both
heat-crash,535,5,fire,,10,100,0,selected-pokemon,physical,292,,,,,both
leaf-tornado,536,5,grass,65,10,90,0,selected-pokemon,special,74,50,,,,both
steamroller,537,5,bug,65,20,100,0,selected-pokemon,physical,151,30,,,,both
cotton-guard,538,5,grass,,10,,0,user,status,329,,,,,both
night-daze,539,5,dark,85,10,95,0,selected-pokemon,special,74,40,,,,both
psystrike,540,5,psychic,100,10,100,0,selected-pokemon,special,283,,,,,both
tail-slap,541,5,normal,25,10,85,0,selected-pokemon,physical,30,,,,,both
hurricane,542,5,flying,110,10,70,0,selected-pokemon,special,334,30,,,,both
head-charge,543,5,normal,120,15,100,0,selected-pokemon,physical,49,,,,,both
gear-grind,544,5,steel,50,15,85,0,selected-pokemon,physical,45,,,,,both
searing-shot,545,5,fire,100,5,100,0,all-other-pokemon,special,5,30,,,,both
techno-blast,546,5,normal,120,5,100,0,selected-pokemon,special,269,,,,,both
relic-song,547,5,normal,75,10,100,0,all-opponents,special,330,10,,,,both
secret-sword,548,5,fighting,85,10,100,0,selected-pokemon,special,283,,,,,both
glaciate,549,5,ice,65,10,95,0,all-opponents,special,331,100,,,,both
bolt-strike,550,5,electric,130,5,85,0,selected-pokemon,physical,7,20,,,,both
blue-flare,551,5,fire,130,5,85,0,selected-pokemon,special,5,20,,,,both
fiery-dance,552,5,fire,80,10,100,0,selected-pokemon,special,277,50,,,,both
freeze-shock,553,5,ice,140,5,90,0,selected-pokemon,physical,332,30,,,,both
ice-burn,554,5,ice,140,5,90,0,selected-pokemon,special,333,30,,,,both
snarl,555,5,dark,55,15,95,0,all-opponents,special,72,100,,,,both
icicle-crash,556,5,ice,85,10,90,0,selected-pokemon,physical,32,30,,,,both
v-create,557,5,fire,180,5,95,0,selected-pokemon,physical,335,100,,,,both
fusion-flare,558,5,fire,100,5,100,0,selected-pokemon,special,336,,,,,both
fusion-bolt,559,5,electric,100,5,100,0,selected-pokemon,physical,337,,,,,both
flying-press,560,6,fighting,100,10,95,0,selected-pokemon,physical,338,,,,,both
mat-block,561,6,fighting,,10,,0,users-field,status,377,,,,,both
belch,562,6,poison,120,10,90,0,selected-pokemon,special,339,,,,,both
rototiller,563,6,ground,,10,,0,all-pokemon,status,340,100,,,,both
sticky-web,564,6,bug,,20,,0,opponents-field,status,341,,,,,both
fell-stinger,565,6,bug,50,25,100,0,selected-pokemon,physical,342,,,,,both
phantom-force,566,6,ghost,90,10,100,0,selected-pokemon,physical,273,,,,,both
trick-or-treat,567,6,ghost,,20,100,0,selected-pokemon,status,343,,,,,both
noble-roar,568,6,normal,,30,100,0,selected-pokemon,status,344,100,,,,both
ion-deluge,569,6,electric,,25,,1,entire-field,status,345,,,,,both
parabolic-charge,570,6,electric,65,20,100,0,all-other-pokemon,special,346,,,,,both
forests-curse,571,6,grass,,20,100,0,selected-pokemon,status,376,,,,,both
petal-blizzard,572,6,grass,90,15,100,0,all-other-pokemon,physical,379,,,,,both
freeze-dry,573,6,ice,70,20,100,0,selected-pokemon,special,380,10,,,,both
disarming-voice,574,6,fairy,40,15,,0,all-opponents,special,381,,,,,both
parting-shot,575,6,dark,,20,100,0,selected-pokemon,status,347,100,,,,both
topsy-turvy,576,6,dark,,20,,0,selected-pokemon,status,348,,,,,both
draining-kiss,577,6,fairy,50,10,100,0,selected-pokemon,special,349,,,,,both
crafty-shield,578,6,fairy,,10,,3,users-field,status,350,,,,,both
flower-shield,579,6,fairy,,10,,0,all-pokemon,status,351,100,,,,both
grassy-terrain,580,6,grass,,10,,0,entire-field,status,352,,,,,both
misty-terrain,581,6,fairy,,10,,0,entire-field,status,353,,,,,both
electrify,582,6,electric,,20,,0,selected-pokemon,status,354,,,,,both
play-rough,583,6,fairy,90,10,90,0,selected-pokemon,physical,69,10,,,,both
fairy-wind,584,6,fairy,40,30,100,0,selected-pokemon,special,1,,,,,both
moonblast,585,6,fairy,95,15,100,0,selected-pokemon,special,72,30,,,,both
boomburst,586,6,normal,140,10,100,0,all-other-pokemon,special,379,,,,,both
fairy-lock,587,6,fairy,,10,,0,entire-field,status,355,,,,,both
kings-shield,588,6,steel,,10,,4,user,status,356,,,,,both
play-nice,589,6,normal,,20,,0,selected-pokemon,status,357,100,,,,both
confide,590,6,normal,,20,,0,selected-pokemon,status,358,100,,,,both
diamond-storm,591,6,rock,100,5,95,0,all-opponents,physical,359,50,,,,both
steam-eruption,592,6,water,110,5,95,0,selected-pokemon,special,5,30,,,,both
hyperspace-hole,593,6,psychic,80,5,,0,selected-pokemon,special,360,,,,,both
water-shuriken,594,6,water,15,20,100,1,selected-pokemon,special,361,,,,,both
mystical-fire,595,6,fire,75,10,100,0,selected-pokemon,special,72,100,,,,both
spiky-shield,596,6,grass,,10,,4,user,status,362,,,,,both
aromatic-mist,597,6,fairy,,20,,0,ally,status,363,,,,,both
eerie-impulse,598,6,electric,,15,100,0,selected-pokemon,status,62,,,,,both
venom-drench,599,6,poison,,20,100,0,all-opponents,status,364,100,,,,both
powder,600,6,bug,,20,100,1,selected-pokemon,status,378,,,,,both
geomancy,601,6,fairy,,10,,0,user,status,366,,,,,both
magnetic-flux,602,6,electric,,20,,0,user-and-allies,status,367,,,,,both
happy-hour,603,6,normal,,30,,0,users-field,status,368,,,,,both
electric-terrain,604,6,electric,,10,,0,entire-field,status,369,,,,,both
dazzling-gleam,605,6,fairy,80,10,100,0,all-opponents,special,1,,,,,both
celebrate,606,6,normal,,40,,0,user,status,370,,,,,both
hold-hands,607,6,normal,,40,,0,ally,status,371,,,,,both
baby-doll-eyes,608,6,fairy,,30,100,1,selected-pokemon,status,365,,,,,both
nuzzle,609,6,electric,20,20,100,0,selected-pokemon,physical,372,100,,,,both
hold-back,610,6,normal,40,40,100,0,selected-pokemon,physical,102,,,,,both
infestation,611,6,bug,20,20,100,0,selected-pokemon,special,43,100,,,,both
power-up-punch,612,6,fighting,40,20,100,0,selected-pokemon,physical,375,100,,,,both
oblivion-wing,613,6,flying,80,10,100,0,selected-pokemon,special,349,,,,,both
thousand-arrows,614,6,ground,90,10,100,0,all-opponents,physical,373,100,,,,both
thousand-waves,615,6,ground,90,10,100,0,all-opponents,physical,374,,,,,both
lands-wrath,616,6,ground,90,10,100,0,all-opponents,physical,1,,,,,both
light-of-ruin,617,6,fairy,140,5,90,0,selected-pokemon,special,270,,,,,both
origin-pulse,618,6,water,110,10,85,0,all-opponents,special,1,,,,,both
precipice-blades,619,6,ground,120,10,85,0,all-opponents,physical,1,,,,,both
dragon-ascent,620,6,flying,120,5,100,0,selected-pokemon,physical,230,100,,,,both
hyperspace-fury,621,6,dark,100,5,,0,selected-pokemon,physical,360,100,,,,both
catastropika,658,7,electric,210,1,,0,selected-pokemon,physical,1,,,,,both
shore-up,659,7,ground,,5,,0,user,status,382,,,,,both
first-impression,660,7,bug,90,10,100,2,selected-pokemon,physical,383,,,,,both
baneful-bunker,661,7,poison,,10,,4,user,status,384,,,,,both
spirit-shackle,662,7,ghost,80,10,100,0,selected-pokemon,physical,385,,,,,both
darkest-lariat,663,7,dark,85,10,100,0,selected-pokemon,physical,304,,,,,both
sparkling-aria,664,7,water,90,10,100,0,all-other-pokemon,special,386,,,,,both
ice-hammer,665,7,ice,100,10,90,0,selected-pokemon,physical,219,100,,,,both
floral-healing,666,7,fairy,,10,,0,selected-pokemon,status,387,,,,,both
high-horsepower,667,7,ground,95,10,95,0,selected-pokemon,physical,1,,,,,both
strength-sap,668,7,grass,,10,100,0,selected-pokemon,status,388,100,,,,both
solar-blade,669,7,grass,125,10,100,0,selected-pokemon,physical,152,,,,,both
leafage,670,7,grass,40,40,100,0,selected-pokemon,physical,1,,,,,both
spotlight,671,7,normal,,15,,3,selected-pokemon,status,389,,,,,both
toxic-thread,672,7,poison,,20,100,0,selected-pokemon,status,390,100,,,,both
laser-focus,673,7,normal,,30,,0,user,status,391,,,,,both
gear-up,674,7,steel,,20,,0,user-and-allies,status,392,,,,,both
throat-chop,675,7,dark,80,15,100,0,selected-pokemon,physical,393,100,,,,both
pollen-puff,676,7,bug,90,15,100,0,selected-pokemon,special,394,,,,,both
anchor-shot,677,7,steel,80,20,100,0,selected-pokemon,physical,385,,,,,both
psychic-terrain,678,7,psychic,,10,,0,entire-field,status,395,,,,,both
lunge,679,7,bug,80,15,100,0,selected-pokemon,physical,396,100,,,,both
fire-lash,680,7,fire,80,15,100,0,selected-pokemon,physical,397,100,,,,both
power-trip,681,7,dark,20,10,100,0,selected-pokemon,physical,306,,,,,both
burn-up,682,7,fire,130,5,100,0,selected-pokemon,special,398,,,,,both
speed-swap,683,7,psychic,,10,,0,selected-pokemon,status,399,,,,,both
smart-strike,684,7,steel,70,10,,0,selected-pokemon,physical,18,,,,,both
purify,685,7,poison,,20,,0,selected-pokemon,status,400,,,,,both
revelation-dance,686,7,normal,90,15,100,0,selected-pokemon,special,401,,,,,both
core-enforcer,687,7,dragon,100,10,100,0,all-opponents,special,402,,,,,both
trop-kick,688,7,grass,70,15,100,0,selected-pokemon,physical,396,100,,,,both
instruct,689,7,psychic,,15,,0,selected-pokemon,status,403,,,,,both
beak-blast,690,7,flying,100,15,100,-3,selected-pokemon,physical,404,,,,,both
clanging-scales,691,7,dragon,110,5,100,0,all-opponents,special,405,100,,,,both
dragon-hammer,692,7,dragon,90,15,100,0,selected-pokemon,physical,1,,,,,both
brutal-swing,693,7,dark,60,20,100,0,all-other-pokemon,physical,406,,,,,both
aurora-veil,694,7,ice,,20,,0,users-field,status,407,,,,,both
sinister-arrow-raid,695,7,ghost,180,1,,0,selected-pokemon,physical,1,,,,,both
malicious-moonsault,696,7,dark,180,1,,0,selected-pokemon,physical,1,,,,,both
oceanic-operetta,697,7,water,195,1,,0,selected-pokemon,special,1,,,,,both
guardian-of-alola,698,7,fairy,,1,,0,selected-pokemon,special,413,,,,,both
soul-stealing-7-star-strike,699,7,ghost,195,1,,0,selected-pokemon,physical,1,,,,,both
stoked-sparksurfer,700,7,electric,175,1,,0,selected-pokemon,special,7,100,,,,both
pulverizing-pancake,701,7,normal,210,1,,0,selected-pokemon,physical,1,,,,,both
extreme-evoboost,702,7,normal,,1,,0,user,status,414,100,,,,both
genesis-supernova,703,7,psychic,185,1,,0,selected-pokemon,special,415,,,,,both
shell-trap,704,7,fire,150,5,100,-3,all-opponents,special,408,,,,,both
fleur-cannon,705,7,fairy,130,5,90,0,selected-pokemon,special,205,100,,,,both
psychic-fangs,706,7,psychic,85,10,100,0,selected-pokemon,physical,187,,,,,both
stomping-tantrum,707,7,ground,75,10,100,0,selected-pokemon,physical,409,,,,,both
shadow-bone,708,7,ghost,85,10,100,0,selected-pokemon,physical,70,20,,,,both
accelerock,709,7,rock,40,20,100,1,selected-pokemon,physical,104,,,,,both
liquidation,710,7,water,85,10,100,0,selected-pokemon,physical,70,20,,,,both
prismatic-laser,711,7,psychic,160,10,100,0,selected-pokemon,special,81,,,,,both
spectral-thief,712,7,ghost,90,10,100,0,selected-pokemon,physical,410,,,,,both
sunsteel-strike,713,7,steel,100,5,100,0,selected-pokemon,physical,411,,,,,both
moongeist-beam,714,7,ghost,100,5,100,0,selected-pokemon,special,411,,,,,both
tearful-look,715,7,normal,,20,,0,selected-pokemon,status,412,100,,,,both
zing-zap,716,7,electric,80,10,100,0,selected-pokemon,physical,32,30,,,,both
natures-madness,717,7,fairy,,10,90,0,selected-pokemon,special,41,,,,,both
multi-attack,718,7,normal,120,10,100,0,selected-pokemon,physical,269,,,,,both
10-000-000-volt-thunderbolt,719,7,electric,195,1,,0,selected-pokemon,special,1,,,,,both
mind-blown,720,7,fire,150,5,100,0,all-other-pokemon,special,420,,,,,both
plasma-fists,721,7,electric,100,15,100,0,selected-pokemon,physical,417,,,,,both
photon-geyser,722,7,psychic,100,5,100,0,selected-pokemon,special,1,,,,,both
