identifier,id,species,is_default,height_m,weight_kg,order,is_mega,is_gmax,form_name,source
blitzle,522,522,1,0.8,29.8,637,0,0,,both
zebstrika,523,523,1,1.6,79.5,638,0,0,,both
roggenrola,524,524,1,0.4,18,639,0,0,,both
boldore,525,525,1,0.9,102,640,0,0,,both
gigalith,526,526,1,1.7,260,641,0,0,,both
woobat,527,527,1,0.4,2.1,642,0,0,,both
swoobat,528,528,1,0.9,10.5,643,0,0,,both
drilbur,529,529,1,0.3,8.5,644,0,0,,both
excadrill,530,530,1,0.7,40.4,645,0,0,,both
audino,531,531,1,1.1,31,646,0,0,,both
timburr,532,532,1,0.6,12.5,648,0,0,,both
gurdurr,533,533,1,1.2,40,649,0,0,,both
conkeldurr,534,534,1,1.4,87,650,0,0,,both
tympole,535,535,1,0.5,4.5,651,0,0,,both
palpitoad,536,536,1,0.8,17,652,0,0,,both
seismitoad,537,537,1,1.5,62,653,0,0,,both
throh,538,538,1,1.3,55.5,654,0,0,,both
sawk,539,539,1,1.4,51,655,0,0,,both
sewaddle,540,540,1,0.3,2.5,656,0,0,,both
swadloon,541,541,1,0.5,7.3,657,0,0,,both
leavanny,542,542,1,1.2,20.5,658,0,0,,both
venipede,543,543,1,0.4,5.3,659,0,0,,both
whirlipede,544,544,1,1.2,58.5,660,0,0,,both
scolipede,545,545,1,2.5,200.5,661,0,0,,both
cottonee,546,546,1,0.3,0.6,662,0,0,,both
whimsicott,547,547,1,0.7,6.6,663,0,0,,both
petilil,548,548,1,0.5,6.6,664,0,0,,both
lilligant,549,549,1,1.1,16.3,665,0,0,,both
basculin-red-striped,550,550,1,1,18,666,0,0,Red-Striped Form,both
sandile,551,551,1,0.7,15.2,668,0,0,,both
krokorok,552,552,1,1,33.4,669,0,0,,both
krookodile,553,553,1,1.5,96.3,670,0,0,,both
darumaka,554,554,1,0.6,37.5,671,0,0,,both
darmanitan-standard,555,555,1,1.3,92.9,673,0,0,Standard Mode,both
maractus,556,556,1,1,28,677,0,0,,both
dwebble,557,557,1,0.3,14.5,678,0,0,,both
crustle,558,558,1,1.4,200,679,0,0,,both
scraggy,559,559,1,0.6,11.8,680,0,0,,both
scrafty,560,560,1,1.1,30,681,0,0,,both
sigilyph,561,561,1,1.4,14,682,0,0,,both
yamask,562,562,1,0.5,1.5,683,0,0,,both
cofagrigus,563,563,1,1.7,76.5,685,0,0,,both
tirtouga,564,564,1,0.7,16.5,686,0,0,,both
carracosta,565,565,1,1.2,81,687,0,0,,both
archen,566,566,1,0.5,9.5,688,0,0,,both
archeops,567,567,1,1.4,32,689,0,0,,both
trubbish,568,568,1,0.6,31,690,0,0,,both
garbodor,569,569,1,1.9,107.3,691,0,0,,both
zorua,570,570,1,0.7,12.5,692,0,0,,both
zoroark,571,571,1,1.6,81.1,693,0,0,,both
minccino,572,572,1,0.4,5.8,694,0,0,,both
cinccino,573,573,1,0.5,7.5,695,0,0,,both
gothita,574,574,1,0.4,5.8,696,0,0,,both
gothorita,575,575,1,0.7,18,697,0,0,,both
gothitelle,576,576,1,1.5,44,698,0,0,,both
solosis,577,577,1,0.3,1,699,0,0,,both
duosion,578,578,1,0.6,8,700,0,0,,both
reuniclus,579,579,1,1,20.1,701,0,0,,both
ducklett,580,580,1,0.5,5.5,702,0,0,,both
swanna,581,581,1,1.3,24.2,703,0,0,,both
vanillite,582,582,1,0.4,5.7,704,0,0,,both
vanillish,583,583,1,1.1,41,705,0,0,,both
vanilluxe,584,584,1,1.3,57.5,706,0,0,,both
deerling,585,585,1,0.6,19.5,707,0,0,Spring Form,both
sawsbuck,586,586,1,1.9,92.5,708,0,0,Spring Form,both
emolga,587,587,1,0.4,5,709,0,0,,both
karrablast,588,588,1,0.5,5.9,710,0,0,,both
escavalier,589,589,1,1,33,711,0,0,,both
foongus,590,590,1,0.2,1,712,0,0,,both
amoonguss,591,591,1,0.6,10.5,713,0,0,,both
frillish-male,592,592,1,1.2,33,714,0,0,Male,both
jellicent-male,593,593,1,2.2,135,715,0,0,Male,both
alomomola,594,594,1,1.2,31.6,716,0,0,,both
joltik,595,595,1,0.1,0.6,717,0,0,,both
galvantula,596,596,1,0.8,14.3,718,0,0,,both
ferroseed,597,597,1,0.6,18.8,719,0,0,,both
ferrothorn,598,598,1,1,110,720,0,0,,both
klink,599,599,1,0.3,21,721,0,0,,both
klang,600,600,1,0.6,51,722,0,0,,both
klinklang,601,601,1,0.6,81,723,0,0,,both
tynamo,602,602,1,0.2,0.3,724,0,0,,both
eelektrik,603,603,1,1.2,22,725,0,0,,both
eelektross,604,604,1,2.1,80.5,726,0,0,,both
elgyem,605,605,1,0.5,9,727,0,0,,both
beheeyem,606,606,1,1,34.5,728,0,0,,both
litwick,607,607,1,0.3,3.1,729,0,0,,both
lampent,608,608,1,0.6,13,730,0,0,,both
chandelure,609,609,1,1,34.3,731,0,0,,both
axew,610,610,1,0.6,18,732,0,0,,both
fraxure,611,611,1,1,36,733,0,0,,both
haxorus,612,612,1,1.8,105.5,734,0,0,,both
cubchoo,613,613,1,0.5,8.5,735,0,0,,both
beartic,614,614,1,2.6,260,736,0,0,,both
cryogonal,615,615,1,1.1,148,737,0,0,,both
shelmet,616,616,1,0.4,7.7,738,0,0,,both
accelgor,617,617,1,0.8,25.3,739,0,0,,both
stunfisk,618,618,1,0.7,11,740,0,0,,both
mienfoo,619,619,1,0.9,20,742,0,0,,both
mienshao,620,620,1,1.4,35.5,743,0,0,,both
druddigon,621,621,1,1.6,139,744,0,0,,both
golett,622,622,1,1,92,745,0,0,,both
golurk,623,623,1,2.8,330,746,0,0,,both
pawniard,624,624,1,0.5,10.2,747,0,0,,both
bisharp,625,625,1,1.6,70,748,0,0,,both
bouffalant,626,626,1,1.6,94.6,749,0,0,,both
rufflet,627,627,1,0.5,10.5,750,0,0,,both
braviary,628,628,1,1.5,41,751,0,0,,both
vullaby,629,629,1,0.5,9,752,0,0,,both
mandibuzz,630,630,1,1.2,39.5,753,0,0,,both
heatmor,631,631,1,1.4,58,754,0,0,,both
durant,632,632,1,0.3,33,755,0,0,,both
deino,633,633,1,0.8,17.3,756,0,0,,both
zweilous,634,634,1,1.4,50,757,0,0,,both
hydreigon,635,635,1,1.8,160,758,0,0,,both
larvesta,636,636,1,1.1,28.8,759,0,0,,both
volcarona,637,637,1,1.6,46,760,0,0,,both
cobalion,638,638,1,2.1,250,761,0,0,,both
terrakion,639,639,1,1.9,260,762,0,0,,both
virizion,640,640,1,2,200,763,0,0,,both
tornadus-incarnate,641,641,1,1.5,63,764,0,0,Incarnate Forme,both
thundurus-incarnate,642,642,1,1.5,61,766,0,0,Incarnate Forme,both
reshiram,643,643,1,3.2,330,768,0,0,,both
zekrom,644,644,1,2.9,345,769,0,0,,both
landorus-incarnate,645,645,1,1.5,68,770,0,0,Incarnate Forme,both
kyurem,646,646,1,3,325,772,0,0,Kyurem,both
keldeo-ordinary,647,647,1,1.4,48.5,775,0,0,Ordinary Form,both
meloetta-aria,648,648,1,0.6,6.5,777,0,0,Aria Forme,both
genesect,649,649,1,1.5,82.5,779,0,0,,both
chespin,650,650,1,0.4,9,780,0,0,,both
quilladin,651,651,1,0.7,29,781,0,0,,both
chesnaught,652,652,1,1.6,90,782,0,0,,both
fennekin,653,653,1,0.4,9.4,783,0,0,,both
braixen,654,654,1,1,14.5,784,0,0,,both
delphox,655,655,1,1.5,39,785,0,0,,both
froakie,656,656,1,0.3,7,786,0,0,,both
frogadier,657,657,1,0.6,10.9,787,0,0,,both
greninja,658,658,1,1.5,40,788,0,0,,both
bunnelby,659,659,1,0.4,5,791,0,0,,both
diggersby,660,660,1,1,42.4,792,0,0,,both
fletchling,661,661,1,0.3,1.7,793,0,0,,both
fletchinder,662,662,1,0.7,16,794,0,0,,both
talonflame,663,663,1,1.2,24.5,795,0,0,,both
scatterbug,664,664,1,0.3,2.5,796,0,0,,both
spewpa,665,665,1,0.3,8.4,797,0,0,,both
vivillon,666,666,1,1.2,17,798,0,0,Meadow Pattern,pokeapi
litleo,667,667,1,0.6,13.5,799,0,0,,both
pyroar-male,668,668,1,1.5,81.5,800,0,0,Male,both
flabebe,669,669,1,0.1,0.1,801,0,0,Red Flower,pokeapi
floette,670,670,1,0.2,0.9,802,0,0,Red Flower,pokeapi
florges,671,671,1,1.1,10,804,0,0,Red Flower,pokeapi
skiddo,672,672,1,0.9,31,805,0,0,,both
gogoat,673,673,1,1.7,91,806,0,0,,both
pancham,674,674,1,0.6,8,807,0,0,,both
pangoro,675,675,1,2.1,136,808,0,0,,both
furfrou,676,676,1,1.2,28,809,0,0,Natural Form,both
espurr,677,677,1,0.3,3.5,810,0,0,,both
meowstic-male,678,678,1,0.6,8.5,811,0,0,Male,both
honedge,679,679,1,0.8,2,813,0,0,,both
doublade,680,680,1,0.8,4.5,814,0,0,,both
aegislash-shield,681,681,1,1.7,53,815,0,0,Shield Forme,both
spritzee,682,682,1,0.2,0.5,817,0,0,,both
aromatisse,683,683,1,0.8,15.5,818,0,0,,both
swirlix,684,684,1,0.4,3.5,819,0,0,,both
slurpuff,685,685,1,0.8,5,820,0,0,,both
inkay,686,686,1,0.4,3.5,821,0,0,,both
malamar,687,687,1,1.5,47,822,0,0,,both
binacle,688,688,1,0.5,31,823,0,0,,both
barbaracle,689,689,1,1.3,96,824,0,0,,both
skrelp,690,690,1,0.5,7.3,825,0,0,,both
dragalge,691,691,1,1.8,81.5,826,0,0,,both
clauncher,692,692,1,0.5,8.3,827,0,0,,both
clawitzer,693,693,1,1.3,35.3,828,0,0,,both
helioptile,694,694,1,0.5,6,829,0,0,,both
heliolisk,695,695,1,1,21,830,0,0,,both
tyrunt,696,696,1,0.8,26,831,0,0,,both
tyrantrum,697,697,1,2.5,270,832,0,0,,both
amaura,698,698,1,1.3,25.2,833,0,0,,both
aurorus,699,699,1,2.7,225,834,0,0,,both
sylveon,700,700,1,1,23.5,224,0,0,,both
hawlucha,701,701,1,0.8,21.5,835,0,0,,both
dedenne,702,702,1,0.2,2.2,836,0,0,,both
carbink,703,703,1,0.3,5.7,837,0,0,,both
goomy,704,704,1,0.3,2.8,838,0,0,,both
sliggoo,705,705,1,0.8,17.5,839,0,0,,both
goodra,706,706,1,2,150.5,840,0,0,,both
klefki,707,707,1,0.2,3,841,0,0,,both
phantump,708,708,1,0.4,7,842,0,0,,both
trevenant,709,709,1,1.5,71,843,0,0,,both
pumpkaboo-average,710,710,1,0.4,5,844,0,0,Average Size,both
gourgeist-average,711,711,1,0.9,12.5,848,0,0,Average Size,both
bergmite,712,712,1,1,99.5,852,0,0,,both
avalugg,713,713,1,2,505,853,0,0,,both
noibat,714,714,1,0.5,8,854,0,0,,both
noivern,715,715,1,1.5,85,855,0,0,,both
xerneas,716,716,1,3,215,856,0,0,Neutral Mode,pokeapi
yveltal,717,717,1,5.8,203,857,0,0,,both
zygarde-50,718,718,1,5,305,858,0,0,50% Forme,both
diancie,719,719,1,0.7,8.8,863,0,0,,both
hoopa,720,720,1,0.5,9,865,0,0,Hoopa Confined,both
volcanion,721,721,1,1.7,195,867,0,0,,both
rowlet,722,722,1,0.3,1.5,868,0,0,,both
dartrix,723,723,1,0.7,16,869,0,0,,both
decidueye,724,724,1,1.6,36.6,870,0,0,,both
litten,725,725,1,0.4,4.3,871,0,0,,both
torracat,726,726,1,0.7,25,872,0,0,,both
incineroar,727,727,1,1.8,83,873,0,0,,both
popplio,728,728,1,0.4,7.5,874,0,0,,both
brionne,729,729,1,0.6,17.5,875,0,0,,both
primarina,730,730,1,1.8,44,876,0,0,,both
pikipek,731,731,1,0.3,1.2,877,0,0,,both
trumbeak,732,732,1,0.6,14.8,878,0,0,,both
toucannon,733,733,1,1.1,26,879,0,0,,both
yungoos,734,734,1,0.4,6,880,0,0,,both
gumshoos,735,735,1,0.7,14.2,881,0,0,,both
grubbin,736,736,1,0.4,4.4,883,0,0,,both
charjabug,737,737,1,0.5,10.5,884,0,0,,both
vikavolt,738,738,1,1.5,45,885,0,0,,both
crabrawler,739,739,1,0.6,7,887,0,0,,both
crabominable,740,740,1,1.7,180,888,0,0,,both
oricorio-baile,741,741,1,0.6,3.4,889,0,0,Baile Style,both
cutiefly,742,742,1,0.1,0.2,893,0,0,,both
ribombee,743,743,1,0.2,0.5,894,0,0,,both
rockruff,744,744,1,0.5,9.2,896,0,0,,both
lycanroc-midday,745,745,1,0.8,25,898,0,0,Midday Form,both
wishiwashi-solo,746,746,1,0.2,0.3,901,0,0,Solo Form,both
mareanie,747,747,1,0.4,8,903,0,0,,both
toxapex,748,748,1,0.7,14.5,904,0,0,,both
mudbray,749,749,1,1,110,905,0,0,,both
mudsdale,750,750,1,2.5,920,906,0,0,,both
dewpider,751,751,1,0.3,4,907,0,0,,both
araquanid,752,752,1,1.8,82,908,0,0,,both
fomantis,753,753,1,0.3,1.5,910,0,0,,both
lurantis,754,754,1,0.9,18.5,911,0,0,,both
morelull,755,755,1,0.2,1.5,913,0,0,,both
shiinotic,756,756,1,1,11.5,914,0,0,,both
salandit,757,757,1,0.6,4.8,915,0,0,,both
salazzle,758,758,1,1.2,22.2,916,0,0,,both
stufful,759,759,1,0.5,6.8,918,0,0,,both
bewear,760,760,1,2.1,135,919,0,0,,both
bounsweet,761,761,1,0.3,3.2,920,0,0,,both
steenee,762,762,1,0.7,8.2,921,0,0,,both
tsareena,763,763,1,1.2,21.4,922,0,0,,both
comfey,764,764,1,0.1,0.3,923,0,0,,both
oranguru,765,765,1,1.5,76,924,0,0,,both
passimian,766,766,1,2,82.8,925,0,0,,both
wimpod,767,767,1,0.5,12,926,0,0,,both
golisopod,768,768,1,2,108,927,0,0,,both
sandygast,769,769,1,0.5,70,928,0,0,,both
palossand,770,770,1,1.3,250,929,0,0,,both
pyukumuku,771,771,1,0.3,1.2,930,0,0,,both
type-null,772,772,1,1.9,120.5,931,0,0,,both
silvally,773,773,1,2.3,100.5,932,0,0,Type: Normal,both
minior-red-meteor,774,774,1,0.3,40,933,0,0,Meteor Form,both
komala,775,775,1,0.4,19.9,947,0,0,,both
turtonator,776,776,1,2,212,948,0,0,,both
togedemaru,777,777,1,0.3,3.3,949,0,0,,both
mimikyu-disguised,778,778,1,0.2,0.7,951,0,0,Disguised Form,both
bruxish,779,779,1,0.9,19,955,0,0,,both
drampa,780,780,1,3,185,956,0,0,,both
dhelmise,781,781,1,3.9,210,957,0,0,,both
jangmo-o,782,782,1,0.6,29.7,958,0,0,,both
hakamo-o,783,783,1,1.2,47,959,0,0,,both
kommo-o,784,784,1,1.6,78.2,960,0,0,,both
tapu-koko,785,785,1,1.8,20.5,962,0,0,,both
tapu-lele,786,786,1,1.2,18.6,963,0,0,,both
tapu-bulu,787,787,1,1.9,45.5,964,0,0,,both
tapu-fini,788,788,1,1.3,21.2,965,0,0,,both
cosmog,789,789,1,0.2,0.1,966,0,0,,both
cosmoem,790,790,1,0.1,999.9,967,0,0,,both
solgaleo,791,791,1,3.4,230,968,0,0,,both
lunala,792,792,1,4,120,969,0,0,,both
nihilego,793,793,1,1.2,55.5,970,0,0,,both
buzzwole,794,794,1,2.4,333.6,971,0,0,,both
pheromosa,795,795,1,1.8,25,972,0,0,,both
xurkitree,796,796,1,3.8,100,973,0,0,,both
celesteela,797,797,1,9.2,999.9,974,0,0,,both
kartana,798,798,1,0.3,0.1,975,0,0,,both
guzzlord,799,799,1,5.5,888,976,0,0,,both
necrozma,800,800,1,2.4,230,977,0,0,,both
magearna,801,801,1,1,80.5,981,0,0,,both
marshadow,802,802,1,0.7,22.2,983,0,0,,both
poipole,803,803,1,0.6,1.8,984,0,0,,both
naganadel,804,804,1,3.6,150,985,0,0,,both
stakataka,805,805,1,5.5,820,986,0,0,,both
blacephalon,806,806,1,1.8,13,987,0,0,,both
zeraora,807,807,1,1.5,44.5,988,0,0,,both
meltan,808,808,1,0.2,8,989,0,0,,both
melmetal,809,809,1,2.5,800,990,0,0,,both
grookey,810,810,1,0.3,5,991,0,0,,both
thwackey,811,811,1,0.7,14,992,0,0,,both
rillaboom,812,812,1,2.1,90,993,0,0,,both
scorbunny,813,813,1,0.3,4.5,994,0,0,,both
raboot,814,814,1,0.6,9,995,0,0,,both
cinderace,815,815,1,1.4,33,996,0,0,,both
sobble,816,816,1,0.3,4,997,0,0,,both
drizzile,817,817,1,0.7,11.5,998,0,0,,both
inteleon,818,818,1,1.9,45.2,999,0,0,,both
skwovet,819,819,1,0.3,2.5,1000,0,0,,both
greedent,820,820,1,0.6,6,1001,0,0,,both
rookidee,821,821,1,0.2,1.8,1002,0,0,,both
corvisquire,822,822,1,0.8,16,1003,0,0,,both
corviknight,823,823,1,2.2,75,1004,0,0,,both
blipbug,824,824,1,0.4,8,1005,0,0,,both
dottler,825,825,1,0.4,19.5,1006,0,0,,both
orbeetle,826,826,1,0.4,40.8,1007,0,0,,both
nickit,827,827,1,0.6,8.9,1008,0,0,,both
thievul,828,828,1,1.2,19.9,1009,0,0,,both
gossifleur,829,829,1,0.4,2.2,1010,0,0,,both
eldegoss,830,830,1,0.5,2.5,1011,0,0,,both
wooloo,831,831,1,0.6,6,1012,0,0,,both
dubwool,832,832,1,1.3,43,1013,0,0,,both
chewtle,833,833,1,0.3,8.5,1014,0,0,,both
drednaw,834,834,1,1,115.5,1015,0,0,,both
yamper,835,835,1,0.3,13.5,1016,0,0,,both
boltund,836,836,1,1,34,1017,0,0,,both
rolycoly,837,837,1,0.3,12,1018,0,0,,both
carkol,838,838,1,1.1,78,1019,0,0,,both
coalossal,839,839,1,2.8,310.5,1020,0,0,,both
applin,840,840,1,0.2,0.5,1021,0,0,,both
flapple,841,841,1,0.3,1,1022,0,0,,both
appletun,842,842,1,0.4,13,1023,0,0,,both
silicobra,843,843,1,2.2,7.6,1024,0,0,,both
sandaconda,844,844,1,3.8,65.5,1025,0,0,,both
cramorant,845,845,1,0.8,18,1026,0,0,,both
arrokuda,846,846,1,0.5,1,1029,0,0,,both
barraskewda,847,847,1,1.3,30,1030,0,0,,both
toxel,848,848,1,0.4,11,1031,0,0,,both
toxtricity-amped,849,849,1,1.6,40,1032,0,0,Amped Form,both
sizzlipede,850,850,1,0.7,1,1034,0,0,,both
centiskorch,851,851,1,3,120,1035,0,0,,both
clobbopus,852,852,1,0.6,4,1036,0,0,,both
grapploct,853,853,1,1.6,39,1037,0,0,,both
sinistea,854,854,1,0.1,0.2,1038,0,0,Phony Form,pokeapi
polteageist,855,855,1,0.2,0.4,1039,0,0,Phony Form,pokeapi
hatenna,856,856,1,0.4,3.4,1040,0,0,,both
hattrem,857,857,1,0.6,4.8,1041,0,0,,both
hatterene,858,858,1,2.1,5.1,1042,0,0,,both
impidimp,859,859,1,0.4,5.5,1043,0,0,,both
morgrem,860,860,1,0.8,12.5,1044,0,0,,both
grimmsnarl,861,861,1,1.5,61,1045,0,0,,both
obstagoon,862,862,1,1.6,46,1046,0,0,,both
perrserker,863,863,1,0.8,28,1047,0,0,,both
cursola,864,864,1,1,0.4,1048,0,0,,both
sirfetchd,865,865,1,0.8,117,1049,0,0,,both
mr-rime,866,866,1,1.5,58.2,1050,0,0,,both
runerigus,867,867,1,1.6,66.6,1051,0,0,,both
milcery,868,868,1,0.2,0.3,1052,0,0,,both
alcremie,869,869,1,0.3,0.5,1053,0,0,Vanilla Cream Strawberry Sweet,both
falinks,870,870,1,3,62,1054,0,0,,both
pincurchin,871,871,1,0.3,1,1055,0,0,,both
snom,872,872,1,0.3,3.8,1056,0,0,,both
frosmoth,873,873,1,1.3,42,1057,0,0,,both
stonjourner,874,874,1,2.5,520,1058,0,0,,both
eiscue-ice,875,875,1,1.4,89,1059,0,0,Ice Face,both
indeedee-male,876,876,1,0.9,28,1061,0,0,Male,both
morpeko-full-belly,877,877,1,0.3,3,1063,0,0,Full Belly Mode,both
cufant,878,878,1,1.2,100,1065,0,0,,both
copperajah,879,879,1,3,650,1066,0,0,,both
dracozolt,880,880,1,1.8,190,1067,0,0,,both
arctozolt,881,881,1,2.3,150,1068,0,0,,both
dracovish,882,882,1,2.3,215,1069,0,0,,both
arctovish,883,883,1,2,175,1070,0,0,,both
duraludon,884,884,1,1.8,40,1071,0,0,,both
dreepy,885,885,1,0.5,2,1072,0,0,,both
drakloak,886,886,1,1.4,11,1073,0,0,,both
dragapult,887,887,1,3,50,1074,0,0,,both
zacian,888,888,1,2.8,110,1075,0,0,Hero of Many Battles,both
zamazenta,889,889,1,2.9,210,1077,0,0,Hero of Many Battles,both
eternatus,890,890,1,20,950,1079,0,0,,both
kubfu,891,891,1,0.6,12,1081,0,0,,both
urshifu-single-strike,892,892,1,1.9,105,1082,0,0,Single Strike Style,both
zarude,893,893,1,1.8,70,1084,0,0,,both
regieleki,894,894,1,1.2,145,1086,0,0,,both
regidrago,895,895,1,2.1,200,1087,0,0,,both
glastrier,896,896,1,2.2,800,1088,0,0,,both
spectrier,897,897,1,2,44.5,1089,0,0,,both
calyrex,898,898,1,1.1,7.7,1090,0,0,,both
wyrdeer,899,899,1,1.8,95.1,,0,0,,both
kleavor,900,900,1,1.8,89,,0,0,,both
ursaluna,901,901,1,2.4,290,,0,0,,both
basculegion-male,902,902,1,3,110,,0,0,Male,both
sneasler,903,903,1,1.3,43,,0,0,,both
overqwil,904,904,1,2.5,60.5,,0,0,,both
enamorus-incarnate,905,905,1,1.6,48,,0,0,Incarnate Forme,both
sprigatito,906,906,1,0.4,4.1,906,0,0,,both
floragato,907,907,1,0.9,12.2,907,0,0,,both
meowscarada,908,908,1,1.5,31.2,908,0,0,,both
fuecoco,909,909,1,0.4,9.8,909,0,0,,both
crocalor,910,910,1,1,30.7,910,0,0,,both
skeledirge,911,911,1,1.6,326.5,911,0,0,,both
quaxly,912,912,1,0.5,6.1,912,0,0,,both
quaxwell,913,913,1,1.2,21.5,913,0,0,,both
quaquaval,914,914,1,1.8,61.9,914,0,0,,both
lechonk,915,915,1,0.5,10.2,915,0,0,,both
oinkologne-male,916,916,1,1,120,916,0,0,Male,both
tarountula,917,917,1,0.3,4,918,0,0,,both
spidops,918,918,1,1,16.5,919,0,0,,both
nymble,919,919,1,0.2,1,920,0,0,,both
lokix,920,920,1,1,17.5,921,0,0,,both
pawmi,921,921,1,0.3,2.5,954,0,0,,both
pawmo,922,922,1,0.4,6.5,955,0,0,,both
pawmot,923,923,1,0.9,41,956,0,0,,both
tandemaus,924,924,1,0.3,1.8,945,0,0,,both
maushold-family-of-four,925,925,1,0.3,2.8,946,0,0,Family of Four,both
fidough,926,926,1,0.3,10.9,970,0,0,,both
dachsbun,927,927,1,0.5,14.9,971,0,0,,both
smoliv,928,928,1,0.3,6.5,935,0,0,,both
dolliv,929,929,1,0.6,11.9,936,0,0,,both
arboliva,930,930,1,1.4,48.2,937,0,0,,both
squawkabilly-green-plumage,931,931,1,0.6,2.4,960,0,0,Green Plumage,both
nacli,932,932,1,0.4,16,963,0,0,,both
naclstack,933,933,1,0.6,105,964,0,0,,both
garganacl,934,934,1,2.3,240,965,0,0,,both
charcadet,935,935,1,0.6,10.5,1003,0,0,,both
armarouge,936,936,1,1.5,85,1004,0,0,,both
ceruledge,937,937,1,1.6,62,1005,0,0,,both
tadbulb,938,938,1,0.3,0.4,940,0,0,,both
bellibolt,939,939,1,1.2,113,941,0,0,,both
wattrel,940,940,1,0.4,3.6,957,0,0,,both
kilowattrel,941,941,1,1.4,38.6,958,0,0,,both
maschiff,942,942,1,0.5,16,972,0,0,,both
mabosstiff,943,943,1,1.1,61,973,0,0,,both
shroodle,944,944,1,0.2,0.7,968,0,0,,both
grafaiai,945,945,1,0.7,27.2,969,0,0,,both
bramblin,946,946,1,0.6,0.6,974,0,0,,both
brambleghast,947,947,1,1.2,6,975,0,0,,both
toedscool,948,948,1,0.9,33,1006,0,0,,both
toedscruel,949,949,1,1.9,58,1007,0,0,,both
klawf,950,950,1,1.3,79,962,0,0,,both
capsakid,951,951,1,0.3,3,938,0,0,,both
scovillain,952,952,1,0.9,15,939,0,0,,both
rellor,953,953,1,0.2,1,922,0,0,,both
rabsca,954,954,1,0.3,3.5,923,0,0,,both
flittle,955,955,1,0.2,1.5,926,0,0,,both
espathra,956,956,1,1.9,90,927,0,0,,both
tinkatink,957,957,1,0.4,8.9,1000,0,0,,both
tinkatuff,958,958,1,0.7,59.1,1001,0,0,,both
tinkaton,959,959,1,0.7,112.8,1002,0,0,,both
wiglett,960,960,1,1.2,1.8,929,0,0,,both
wugtrio,961,961,1,1.2,5.4,930,0,0,,both
bombirdier,962,962,1,1.5,42.9,959,0,0,,both
finizen,963,963,1,1.3,60.2,933,0,0,,both
palafin-zero,964,964,1,1.3,60.2,934,0,0,Zero Form,both
varoom,965,965,1,1,35,942,0,0,,both
revavroom,966,966,1,1.8,120,943,0,0,,both
cyclizar,967,967,1,1.6,63,953,0,0,,both
orthworm,968,968,1,2.5,310,944,0,0,,both
glimmet,969,969,1,0.7,8,966,0,0,,both
glimmora,970,970,1,1.5,45,967,0,0,,both
greavard,971,971,1,0.6,35,924,0,0,,both
houndstone,972,972,1,2,15,925,0,0,,both
flamigo,973,973,1,1.6,37,961,0,0,,both
cetoddle,974,974,1,1.2,45,947,0,0,,both
cetitan,975,975,1,4.5,700,948,0,0,,both
veluza,976,976,1,2.5,90,932,0,0,,both
dondozo,977,977,1,12,220,931,0,0,,both
tatsugiri-curly,978,978,1,0.3,8,952,0,0,Curly Form,both
annihilape,979,979,1,1.2,56,1010,0,0,,both
clodsire,980,980,1,1.8,223,1009,0,0,,both
farigiraf,981,981,1,3.2,160,928,0,0,,both
dudunsparce-two-segment,982,982,1,3.6,39.2,917,0,0,Two-Segment Form,both
kingambit,983,983,1,2,120,1008,0,0,,both
great-tusk,984,984,1,2.2,320,978,0,0,,both
scream-tail,985,985,1,1.2,8,982,0,0,,both
brute-bonnet,986,986,1,1.2,21,979,0,0,,both
flutter-mane,987,987,1,1.4,4,983,0,0,,both
slither-wing,988,988,1,3.2,92,984,0,0,,both
sandy-shocks,989,989,1,2.3,60,981,0,0,,both
iron-treads,990,990,1,0.9,240,986,0,0,,both
iron-bundle,991,991,1,0.6,11,992,0,0,,both
iron-hands,992,992,1,1.8,380.7,989,0,0,,both
iron-jugulis,993,993,1,1.3,111,990,0,0,,both
iron-moth,994,994,1,1.2,36,988,0,0,,both
iron-thorns,995,995,1,1.6,303,991,0,0,,both
frigibax,996,996,1,0.5,17,949,0,0,,both
arctibax,997,997,1,0.8,30,950,0,0,,both
baxcalibur,998,998,1,2.1,210,951,0,0,,both
gimmighoul,999,999,1,0.3,5,976,0,0,Chest Form,pokeapi
gholdengo,1000,1000,1,1.2,30,977,0,0,,both
wo-chien,1001,1001,1,1.5,74.2,996,0,0,,both
chien-pao,1002,1002,1,1.9,152.2,995,0,0,,both
ting-lu,1003,1003,1,2.7,699.7,994,0,0,,both
chi-yu,1004,1004,1,0.4,4.9,997,0,0,,both
roaring-moon,1005,1005,1,2,380,985,0,0,,both
iron-valiant,1006,1006,1,1.4,35,993,0,0,,both
koraidon,1007,1007,1,2.5,303,998,0,0,Apex Build,both
miraidon,1008,1008,1,3.5,240,999,0,0,Ultimate Mode,both
walking-wake,1009,1009,1,3.5,280,1093,0,0,,both
iron-leaves,1010,1010,1,1.5,125,1094,0,0,,both
dipplin,1011,1011,1,0.4,4.4,1095,0,0,,both
poltchageist,1012,1012,1,0.1,1.1,1096,0,0,Counterfeit Form,pokeapi
sinistcha,1013,1013,1,0.2,2.2,1097,0,0,Unremarkable Form,pokeapi
okidogi,1014,1014,1,1.8,92.2,1098,0,0,,both
munkidori,1015,1015,1,1,12.2,1099,0,0,,both
fezandipiti,1016,1016,1,1.4,30.1,1100,0,0,,both
ogerpon,1017,1017,1,1.2,39.8,1101,0,0,Teal Mask,both
