move,tag
make-it-rain,unique-effect
psyblade,damage
hydro-steam,damage
ruination,damage
collision-course,damage
electro-drift,damage
shed-tail,force-switch-out
shed-tail,unique-effect
chilly-reception,force-switch-out
chilly-reception,weather-change
tidy-up,good-stat-increase
snowscape,weather-change
pounce,damage
pounce,good-stat-decrease
trailblaze,damage
trailblaze,good-stat-increase
chilling-water,damage
chilling-water,good-stat-decrease
hyper-drill,damage
hyper-drill,shield-break
twin-beam,damage
rage-fist,damage
armor-cannon,damage
armor-cannon,stat-drawback
bitter-blade,damage
bitter-blade,drain
double-shock,damage
double-shock,unique-effect
gigaton-hammer,damage
gigaton-hammer,unique-effect
comeuppance,damage
comeuppance,unique-effect
aqua-cutter,damage
aqua-cutter,crit
blazing-torque,damage
blazing-torque,burn
wicked-torque,damage
wicked-torque,sleep
noxious-torque,damage
noxious-torque,poison
combat-torque,damage
combat-torque,paralysis
magical-torque,damage
magical-torque,confusion
blood-moon,damage
blood-moon,unique-effect
matcha-gotcha,damage
matcha-gotcha,drain
matcha-gotcha,burn
syrup-bomb,damage
syrup-bomb,good-stat-decrease
ivy-cudgel,damage
ivy-cudgel,crit
electro-shot,damage
electro-shot,good-stat-increase
electro-shot,charging
tera-starstorm,damage
fickle-beam,damage
burning-bulwark,burn
burning-bulwark,shield
thunderclap,damage
mighty-cleave,damage
mighty-cleave,shield-break
tachyon-cutter,damage
tachyon-cutter,never-misses
hard-press,damage
dragon-cheer,good-stat-increase
alluring-voice,damage
alluring-voice,confusion
temper-flare,damage
supercell-slam,damage
supercell-slam,recoil
psychic-noise,damage
psychic-noise,unique-effect
upper-hand,damage
upper-hand,flinch
malignant-chain,damage
malignant-chain,poison
g-max-vine-lash,damage
g-max-wildfire,damage
g-max-cannonade,damage
g-max-befuddle,damage
g-max-befuddle,poison
g-max-befuddle,paralysis
g-max-befuddle,sleep
g-max-volt-crash,damage
g-max-volt-crash,paralysis
g-max-gold-rush,damage
g-max-gold-rush,confusion
g-max-chi-strike,damage
g-max-chi-strike,good-stat-increase
g-max-terror,damage
g-max-terror,trap
g-max-foam-burst,damage
g-max-foam-burst,good-stat-decrease
g-max-resonance,damage
g-max-resonance,partial-field-effect
g-max-cuddle,damage
g-max-cuddle,infatuation
g-max-replenish,damage
g-max-replenish,unique-effect
g-max-malodor,damage
g-max-malodor,poison
g-max-meltdown,damage
g-max-meltdown,unique-effect
g-max-drum-solo,damage
g-max-drum-solo,ignore-abilities
g-max-fireball,damage
g-max-fireball,ignore-abilities
g-max-hydrosnipe,damage
g-max-hydrosnipe,ignore-abilities
g-max-wind-rage,damage
g-max-wind-rage,whole-field-effect
g-max-gravitas,damage
g-max-gravitas,whole-field-effect
g-max-stonesurge,damage
g-max-stonesurge,partial-field-effect
g-max-volcalith,damage
g-max-tartness,damage
g-max-tartness,good-stat-decrease
g-max-sweetness,damage
g-max-sandblast,damage
g-max-sandblast,trap
g-max-stun-shock,damage
g-max-stun-shock,poison
g-max-stun-shock,paralysis
g-max-centiferno,damage
g-max-centiferno,trap
g-max-smite,damage
g-max-smite,confusion
g-max-snooze,damage
g-max-snooze,unique-effect
g-max-finale,damage
g-max-finale,heal
g-max-steelsurge,damage
g-max-steelsurge,partial-field-effect
g-max-depletion,damage
g-max-depletion,unique-effect
g-max-one-blow,damage
g-max-one-blow,shield-break
g-max-rapid-flow,damage
g-max-rapid-flow,shield-break
shadow-rush,damage
shadow-rush,crit
shadow-blast,damage
shadow-blast,crit
shadow-blitz,damage
shadow-bolt,damage
shadow-bolt,paralysis
shadow-break,damage
shadow-chill,damage
shadow-chill,freeze
shadow-end,damage
shadow-end,recoil
shadow-fire,damage
shadow-fire,burn
shadow-rave,damage
shadow-storm,damage
shadow-wave,damage
shadow-down,good-stat-decrease
shadow-half,recharge
shadow-half,unique-effect
shadow-hold,force-switch-out
shadow-mist,good-stat-decrease
shadow-panic,confusion
shadow-shed,whole-field-effect
shadow-sky,weather-change
