identifier,id,region,name_fr,subtitle_fr,name_de,subtitle_de,name_en,subtitle_en,name_ja_hrkt,subtitle_ja_hrkt,name_ko,subtitle_ko,name_es,subtitle_es,name_it,subtitle_it,name_ja,subtitle_ja,name_es_419,subtitle_es_419,name_zh_hant,subtitle_zh_hant,name_zh_hans,subtitle_zh_hans
hoenn,258,,Hoenn,,Hoenn,,Hoenn,,,,,,,,,,,,,,,,,
sinnoh,259,,Sinnoh,,Sinnoh,,Sinnoh,,,,,,,,,,,,,,,,,
distant-land,260,,Pays lointain,,Entferntes Land,,Distant land,,,,,,,,,,,,,,,,,
traveling-man,261,,un voyageur,,Reisender,,Traveling Man,,,,,,,,,,,,,,,,,
riley,262,,Armand,,Riley,,Riley,,,,,,,,,,,,,,,,,
cynthia,263,,Cynthia,,Cynthia,,Cynthia,,,,,,,,,,,,,,,,,
mystery-zone,264,,Endroit mystér.,,Mysteriöse Zone,,Mystery Zone,,,,,,,,,,,,,,,,,
lovely-place,265,,Endroit superbe,,Schöner Ort,,Lovely place,,,,,,,,,,,,,,,,,
pokemon-ranger,266,,Pokémon Ranger,,Pokémon Ranger,,Pokémon Ranger,,,,,,,,,,,,,,,,,
faraway-place,267,,Endroit lointain,,Entfernter Ort,,Faraway place,,,,,,,,,,,,,,,,,
pokemon-movie,268,,Film Pokémon,,Pokémon Film,,Pokémon Movie,,,,,,,,,,,,,,,,,
pokemon-movie-06,269,,Film Pokémon 06,,Pokémon Film 06,,Pokémon Movie 06,,,,,,,,,,,,,,,,,
pokemon-movie-07,270,,Film Pokémon 07,,Pokémon Film 07,,Pokémon Movie 07,,,,,,,,,,,,,,,,,
pokemon-movie-08,271,,Film Pokémon 08,,Pokémon Film 08,,Pokémon Movie 08,,,,,,,,,,,,,,,,,
pokemon-movie-09,272,,Film Pokémon 09,,Pokémon Film 09,,Pokémon Movie 09,,,,,,,,,,,,,,,,,
pokemon-movie-10,273,,Film Pokémon 10,,Pokémon Film 10,,Pokémon Movie 10,,,,,,,,,,,,,,,,,
pokemon-movie-11,274,,Film Pokémon 11,,Pokémon Film 11,,Pokémon Movie 11,,,,,,,,,,,,,,,,,
pokemon-movie-12,275,,Film Pokémon 12,,Pokémon Film 12,,Pokémon Movie 12,,,,,,,,,,,,,,,,,
pokemon-movie-13,276,,Film Pokémon 13,,Pokémon Film 13,,Pokémon Movie 13,,,,,,,,,,,,,,,,,
pokemon-movie-14,277,,Film Pokémon 14,,Pokémon Film 14,,Pokémon Movie 14,,,,,,,,,,,,,,,,,
pokemon-movie-15,278,,Film Pokémon 15,,Pokémon Film 15,,Pokémon Movie 15,,,,,,,,,,,,,,,,,
pokemon-movie-16,279,,Film Pokémon 16,,Pokémon Film 16,,Pokémon Movie 16,,,,,,,,,,,,,,,,,
pokemon-cartoon,280,,Dessin ani. PKMN,,Pokémon Anime,,Pokémon Cartoon,,,,,,,,,,,,,,,,,
space-world,281,,Space World,,Space World,,Space World,,,,,,,,,,,,,,,,,
space-world-06,282,,Space World 06,,,,Space World 06,,,,,,,,,,,,,,,,,
space-world-07,283,,Space World 07,,,,Space World 07,,,,,,,,,,,,,,,,,
space-world-08,284,,Space World 08,,,,Space World 08,,,,,,,,,,,,,,,,,
space-world-09,285,,Space World 09,,,,Space World 09,,,,,,,,,,,,,,,,,
space-world-10,286,,Space World 10,,,,Space World 10,,,,,,,,,,,,,,,,,
space-world-11,287,,Space World 11,,,,Space World 11,,,,,,,,,,,,,,,,,
space-world-12,288,,Space World 12,,,,Space World 12,,,,,,,,,,,,,,,,,
space-world-13,289,,Space World 13,,,,Space World 13,,,,,,,,,,,,,,,,,
space-world-14,290,,Space World 14,,,,Space World 14,,,,,,,,,,,,,,,,,
space-world-15,291,,Space World 15,,,,Space World 15,,,,,,,,,,,,,,,,,
space-world-16,292,,Space World 16,,,,Space World 16,,,,,,,,,,,,,,,,,
pokemon-festa,293,,Pokémon Festa,,Pokémon Festa,,Pokémon Festa,,,,,,,,,,,,,,,,,
pokemon-festa-06,294,,Pokémon Festa 06,,,,Pokémon Festa 06,,,,,,,,,,,,,,,,,
pokemon-festa-07,295,,Pokémon Festa 07,,,,Pokémon Festa 07,,,,,,,,,,,,,,,,,
pokemon-festa-08,296,,Pokémon Festa 08,,,,Pokémon Festa 08,,,,,,,,,,,,,,,,,
pokemon-festa-09,297,,Pokémon Festa 09,,,,Pokémon Festa 09,,,,,,,,,,,,,,,,,
pokemon-festa-10,298,,Pokémon Festa 10,,,,Pokémon Festa 10,,,,,,,,,,,,,,,,,
pokemon-festa-11,299,,Pokémon Festa 11,,,,Pokémon Festa 11,,,,,,,,,,,,,,,,,
pokemon-festa-12,300,,Pokémon Festa 12,,,,Pokémon Festa 12,,,,,,,,,,,,,,,,,
pokemon-festa-13,301,,Pokémon Festa 13,,,,Pokémon Festa 13,,,,,,,,,,,,,,,,,
pokemon-festa-14,302,,Pokémon Festa 14,,,,Pokémon Festa 14,,,,,,,,,,,,,,,,,
pokemon-festa-15,303,,Pokémon Festa 15,,,,Pokémon Festa 15,,,,,,,,,,,,,,,,,
pokemon-festa-16,304,,Pokémon Festa 16,,,,Pokémon Festa 16,,,,,,,,,,,,,,,,,
pokepark,305,,POKéPARK,,,,POKéPARK,,,,,,,,,,,,,,,,,
pokepark-06,306,,POKéPARK 06,,,,POKéPARK 06,,,,,,,,,,,,,,,,,
pokepark-07,307,,POKéPARK 07,,,,POKéPARK 07,,,,,,,,,,,,,,,,,
pokepark-08,308,,POKéPARK 08,,,,POKéPARK 08,,,,,,,,,,,,,,,,,
pokepark-09,309,,POKéPARK 09,,,,POKéPARK 09,,,,,,,,,,,,,,,,,
pokepark-10,310,,POKéPARK 10,,,,POKéPARK 10,,,,,,,,,,,,,,,,,
pokepark-11,311,,POKéPARK 11,,,,POKéPARK 11,,,,,,,,,,,,,,,,,
pokepark-12,312,,POKéPARK 12,,,,POKéPARK 12,,,,,,,,,,,,,,,,,
pokepark-13,313,,POKéPARK 13,,,,POKéPARK 13,,,,,,,,,,,,,,,,,
pokepark-14,314,,POKéPARK 14,,,,POKéPARK 14,,,,,,,,,,,,,,,,,
pokepark-15,315,,POKéPARK 15,,,,POKéPARK 15,,,,,,,,,,,,,,,,,
pokepark-16,316,,POKéPARK 16,,,,POKéPARK 16,,,,,,,,,,,,,,,,,
pokemon-center,317,,Centre Pokémon,,Pokémon-Center,,Pokémon Center,,,,,,,,,,,,,,,,,
pc-tokyo,318,,CP Tokyo,,Präfektur Tokyo,,PC Tokyo,,,,,,,,,,,,,,,,,
pc-osaka,319,,CP Osaka,,Präfektur Osaka,,PC Osaka,,,,,,,,,,,,,,,,,
pc-fukuoka,320,,CP Fukuoka,,Präfektur Fukuoka,,PC Fukuoka,,,,,,,,,,,,,,,,,
pc-nagoya,321,,CP Nagoya,,Präfektur Nagoya,,PC Nagoya,,,,,,,,,,,,,,,,,
pc-sapporo,322,,CP Sapporo,,Präfektur Sapporo,,PC Sapporo,,,,,,,,,,,,,,,,,
pc-yokohama,323,,CP Yokohama,,Präfektur Yokohama,,PC Yokohama,,,,,,,,,,,,,,,,,
nintendo-world,324,,Nintendo World,,Nintendo World,,Nintendo World,,,,,,,,,,,,,,,,,
pokemon-event,325,,Evénem. Pokémon,,Pokémon Event,,Pokémon Event,,,,,,,,,,,,,,,,,
pokemon-event-06,326,,Evén. Pokémon 06,,,,Pokémon Event 06,,,,,,,,,,,,,,,,,
pokemon-event-07,327,,Evén. Pokémon 07,,,,Pokémon Event 07,,,,,,,,,,,,,,,,,
pokemon-event-08,328,,Evén. Pokémon 08,,,,Pokémon Event 08,,,,,,,,,,,,,,,,,
pokemon-event-09,329,,Evén. Pokémon 09,,,,Pokémon Event 09,,,,,,,,,,,,,,,,,
pokemon-event-10,330,,Evén. Pokémon 10,,,,Pokémon Event 10,,,,,,,,,,,,,,,,,
pokemon-event-11,331,,Evén. Pokémon 11,,,,Pokémon Event 11,,,,,,,,,,,,,,,,,
pokemon-event-12,332,,Evén. Pokémon 12,,,,Pokémon Event 12,,,,,,,,,,,,,,,,,
pokemon-event-13,333,,Evén. Pokémon 13,,,,Pokémon Event 13,,,,,,,,,,,,,,,,,
pokemon-event-14,334,,Evén. Pokémon 14,,,,Pokémon Event 14,,,,,,,,,,,,,,,,,
pokemon-event-15,335,,Evén. Pokémon 15,,,,Pokémon Event 15,,,,,,,,,,,,,,,,,
pokemon-event-16,336,,Evén. Pokémon 16,,,,Pokémon Event 16,,,,,,,,,,,,,,,,,
wi-fi-event,337,,Evénement Wi-Fi,,Wi-Fi Event,,Wi-Fi Event,,,,,,,,,,,,,,,,,
wi-fi-gift,338,,Cadeau Wi-Fi,,Wi-Fi Geschenk,,Wi-Fi Gift,,,,,,,,,,,,,,,,,
pokemon-fan-club,339,,Fan Club Pokémon,,Pokémon-Fanclub,,Pokémon Fan Club,,,,,,,,,,,,,,,,,
event-site,340,,Lieu d'Evénement,,Event Ort,,Event Site,,,,,,,,,,,,,,,,,
concert-event,341,,Evénem. Concert,,Konzert Event,,Concert Event,,,,,,,,,,,,,,,,,
mr-pokemon,342,,M. Pokémon,,Mr. Pokémon,,Mr. Pokémon,,,,,,,,,,,,,,,,,
primo,343,,Castor,,Primo,,Primo,,,,,,,,,,,,,,,,,
unova-mystery-zone,344,unova,Endroit Mystérieux,,Mysteriöse Zone,,Mystery Zone,,なぞの場所,,,,,,,,,,,,,,,
unova-faraway-place,345,unova,Endroit Lointain,,Entfernter Ort,,Faraway place,,遠い場所,,,,,,,,,,,,,,,
nuvema-town,346,unova,Renouet,,Avenitia,,Nuvema Town,,カノコタウン,,,,,,,,,,,,,,,
accumula-town,347,unova,Arabelle,,Gavina,,Accumula Town,,カラクサタウン,,,,,,,,,,,,,,,
striaton-city,348,unova,Ogoesse,,Orion City,,Striaton City,,サンヨウシティ,,,,,,,,,,,,,,,
nacrene-city,349,unova,Maillard,,Septerna City,,Nacrene City,,シッポウシティ,,,,,,,,,,,,,,,
castelia-city,350,unova,Volucité,,Stratos City,,Castelia City,,ヒウンシティ,,,,,,,,,,,,,,,
nimbasa-city,351,unova,Méanville,,Rayono City,,Nimbasa City,,ライモンシティ,,,,,,,,,,,,,,,
driftveil-city,352,unova,Port Yoneuve,,Marea City,,Driftveil City,,ホドモエシティ,,,,,,,,,,,,,,,
mistralton-city,353,unova,Parsemille,,Panaero City,,Mistralton City,,フキヨセシティ,,,,,,,,,,,,,,,
icirrus-city,354,unova,Flocombe,,Nevaio City,,Icirrus City,,セッカシティ,,,,,,,,,,,,,,,
opelucid-city,355,unova,Janusia,,Twindrake City,,Opelucid City,,ソウリュウシティ,,,,,,,,,,,,,,,
unova-route-1,356,unova,Route 1,,Route 1,,Route 1,,１番道路,,,,,,,,,,,,,,,
unova-route-2,357,unova,Route 2,,Route 2,,Route 2,,２番道路,,,,,,,,,,,,,,,
unova-route-3,358,unova,Route 3,,Route 3,,Route 3,,３番道路,,,,,,,,,,,,,,,
unova-route-4,359,unova,Route 4,,Route 4,,Route 4,,４番道路,,,,,,,,,,,,,,,
unova-route-5,360,unova,Route 5,,Route 5,,Route 5,,５番道路,,,,,,,,,,,,,,,
unova-route-6,361,unova,Route 6,,Route 6,,Route 6,,６番道路,,,,,,,,,,,,,,,
unova-route-7,362,unova,Route 7,,Route 7,,Route 7,,７番道路,,,,,,,,,,,,,,,
unova-route-8,363,unova,Route 8,,Route 8,,Route 8,,８番道路,,,,,,,,,,,,,,,
unova-route-9,364,unova,Route 9,,Route 9,,Route 9,,９番道路,,,,,,,,,,,,,,,
unova-route-10,365,unova,Route 10,,Route 10,,Route 10,,１０番道路,,,,,,,,,,,,,,,
unova-route-11,366,unova,Route 11,,Route 11,,Route 11,,１１番道路,,,,,,,,,,,,,,,
unova-route-12,367,unova,Route 12,,Route 12,,Route 12,,１２番道路,,,,,,,,,,,,,,,
unova-route-13,368,unova,Route 13,,Route 13,,Route 13,,１３番道路,,,,,,,,,,,,,,,
unova-route-14,369,unova,Route 14,,Route 14,,Route 14,,１４番道路,,,,,,,,,,,,,,,
unova-route-15,370,unova,Route 15,,Route 15,,Route 15,,１５番道路,,,,,,,,,,,,,,,
unova-route-16,371,unova,Route 16,,Route 16,,Route 16,,１６番道路,,,,,,,,,,,,,,,
unova-route-17,372,unova,Chenal 17,,Route 17,,Route 17,,１７番水道,,,,,,,,,,,,,,,
unova-route-18,373,unova,Route 18,,Route 18,,Route 18,,１８番道路,,,,,,,,,,,,,,,
dreamyard,374,unova,Vestiges du Rêve,,Traumbrache,,Dreamyard,,夢の跡地,,,,,,,,,,,,,,,
pinwheel-forest,375,unova,Forêt d'Empoigne,,Ewigenwald,,Pinwheel Forest,,ヤグルマの森,,,,,,,,,,,,,,,
desert-resort,376,unova,Désert Délassant,,Wüstenresort,,Desert Resort,,リゾートデザート,,,,,,,,,,,,,,,
relic-castle,377,unova,Château Enfoui,,Alter Palast,,Relic Castle,,古代の城,,,,,,,,,,,,,,,
cold-storage,378,unova,Hangar Frigorifique,,Tiefkühlcontainer,,Cold Storage,,冷凍コンテナ,,,,,,,,,,,,,,,
chargestone-cave,379,unova,Grotte Électrolithe,,Elektrolithhöhle,,Chargestone Cave,,電気石の洞穴,,,,,,,,,,,,,,,
twist-mountain,380,unova,Mont Foré,,Wendelberg,,Twist Mountain,,ネジ山,,,,,,,,,,,,,,,
dragonspiral-tower,381,unova,Tour Dragospire,,Drachenstiege,,Dragonspiral Tower,,リュウラセンの塔,,,,,,,,,,,,,,,
unova-victory-road,382,unova,Route Victoire,,Siegesstraße,,Victory Road,,チャンピオンロード,,,,,,,,,,,,,,,
lacunosa-town,383,unova,Entrelasque,,Tessera,,Lacunosa Town,,カゴメタウン,,,,,,,,,,,,,,,
undella-town,384,unova,Vaguelone,,Ondula,,Undella Town,,サザナミタウン,,,,,,,,,,,,,,,
anville-town,385,unova,Rotombourg,,Ferrula,,Anville Town,,カナワタウン,,,,,,,,,,,,,,,
unova-pokemon-league,386,unova,Ligue Pokémon,,Pokémon-Liga,,Pokémon League,,ポケモンリーグ,,,,,,,,,,,,,,,
ns-castle,387,unova,Palais de N,,Schloss von N,,N's Castle,,Ｎの城,,,,,,,,,,,,,,,
royal-unova,388,unova,L'Étoile d'Unys,,MS Einall Royal,,Royal Unova,,ロイヤルイッシュ号,,,,,,,,,,,,,,,
gear-station,389,unova,Engrenage du Métro,,Kampfmetro,,Gear Station,,ギアステーション,,,,,,,,,,,,,,,
battle-subway,390,unova,Métro de Combat,,Kampfmetro,,Battle Subway,,バトルサブウェイ,,,,,,,,,,,,,,,
musical-theater,391,unova,Music-Hall,,Musiktheater,,Musical Theater,,ミュージカルホール,,,,,,,,,,,,,,,
black-city,392,unova,Ville Noire,,Schwarze Stadt,,Black City,,ブラックシティ,,,,,,,,,,,,,,,
white-forest,393,unova,Forêt Blanche,,Weißer Wald,,White Forest,,ホワイトフォレスト,,,,,,,,,,,,,,,
unity-tower,394,unova,Tour Union,,Turm der Einheit,,Unity Tower,,ユナイテッドタワー,,,,,,,,,,,,,,,
wellspring-cave,395,unova,Veine Souterraine,,Grundwassersenke,,Wellspring Cave,,地下水脈の穴,,,,,,,,,,,,,,,
mistralton-cave,396,unova,Grotte Parsemille,,Panaero-Höhle,,Mistralton Cave,,フキヨセの洞穴,,,,,,,,,,,,,,,
rumination-field,397,unova,Clairière Réflexion,,Feld der Besinnung,,Rumination Field,,思索の原,,,,,,,,,,,,,,,
celestial-tower,398,unova,Tour des Cieux,,Turm des Himmels,,Celestial Tower,,タワーオブヘブン,,,,,,,,,,,,,,,
moor-of-icirrus,399,unova,Tourbière Flocombe,,Moor von Nevaio,,Moor of Icirrus,,セッカの湿原,,,,,,,,,,,,,,,
unova-shopping-mall,400,unova,Centre Commercial,,Kaufhaus 9,,Shopping Mall,,ショッピングモール,,,,,,,,,,,,,,,
challengers-cave,401,unova,Antre d'Entraînement,,Höhle der Schulung,,Challenger's Cave,,修行の岩屋,,,,,,,,,,,,,,,
poke-transfer-lab,402,unova,Laboratoire Fret,,Porterlabor,,Poké Transfer Lab,,シフトファクトリー,,,,,,,,,,,,,,,
giant-chasm,403,unova,Grotte Cyclopéenne,,Riesengrotte,,Giant Chasm,,ジャイアントホール,,,,,,,,,,,,,,,
liberty-garden,404,unova,Île Liberté,,Freiheitsgarten,,Liberty Garden,,リバティガーデン島,,,,,,,,,,,,,,,
p2-laboratory,405,unova,Labo P2,,P2-Labor,,P2 Laboratory,,Ｐ２ラボ,,,,,,,,,,,,,,,
skyarrow-bridge,406,unova,Pont Sagiciel,,Himmelspfeilbrücke,,Skyarrow Bridge,,スカイアローブリッジ,,,,,,,,,,,,,,,
driftveil-drawbridge,407,unova,Pont Yoneuve,,Marea-Zugbrücke,,Driftveil Drawbridge,,ホドモエの跳ね橋,,,,,,,,,,,,,,,
tubeline-bridge,408,unova,Pont Ferroviaire,,Zylinderbrücke,,Tubeline Bridge,,シリンダーブリッジ,,,,,,,,,,,,,,,
village-bridge,409,unova,Pont du Hameau,,Dorfbrücke,,Village Bridge,,ビレッジブリッジ,,,,,,,,,,,,,,,
marvelous-bridge,410,unova,Pont de l'Inconnu,,Wunderbrücke,,Marvelous Bridge,,ワンダーブリッジ,,,,,,,,,,,,,,,
entralink,411,unova,Heylink,,Kontaktebene,,Entralink,,ハイリンク,,,,,,,,,,,,,,,
abundant-shrine,412,unova,Autel Abondance,,Schrein der Ernte,,Abundant Shrine,,ほうじょうの社,,,,,,,,,,,,,,,
undella-bay,413,unova,Baie Vaguelone,,Bucht von Ondula,,Undella Bay,,サザナミ湾,,,,,,,,,,,,,,,
lostlorn-forest,414,unova,Bois des Illusions,,Hain der Täuschung,,Lostlorn Forest,,迷いの森,,,,,,,,,,,,,,,
trial-chamber,415,unova,Salle Épreuve,,Kammer der Prüfung,,Trial Chamber,,試練の室,,,,,,,,,,,,,,,
guidance-chamber,416,unova,Espace Guide,,Kammer der Weisung,,Guidance Chamber,,導の間,,,,,,,,,,,,,,,
entree-forest,417,unova,Forêt du Heylink,,Kontaktebenenhain,,Entree Forest,,ハイリンクの森,,,,,,,,,,,,,,,
accumula-gate,418,unova,Porte Arabelle,,Gavina-Tor,,Accumula Gate,,カラクサゲート,,,,,,,,,,,,,,,
undella-gate,419,unova,Porte Vaguelone,,Ondula-Tor,,Undella Gate,,サザナミゲート,,,,,,,,,,,,,,,
nacrene-gate,420,unova,Porte Maillard,,Septerna-Tor,,Nacrene Gate,,シッポウゲート,,,,,,,,,,,,,,,
castelia-gate,421,unova,Porte Volucité,,Stratos-Tor,,Castelia Gate,,ヒウンゲート,,,,,,,,,,,,,,,
nimbasa-gate,422,unova,Porte Méanville,,Rayono-Tor,,Nimbasa Gate,,ライモンゲート,,,,,,,,,,,,,,,
opelucid-gate,423,unova,Porte Janusia,,Twindrake-Tor,,Opelucid Gate,,ソウリュウゲート,,,,,,,,,,,,,,,
black-gate,424,unova,Porte Noire,,Schwarzes Tor,,Black Gate,,ブラックゲート,,,,,,,,,,,,,,,
white-gate,425,unova,Porte Blanche,,Weißes Tor,,White Gate,,ホワイトゲート,,,,,,,,,,,,,,,
bridge-gate,426,unova,Porte de Pont,,Brückentor,,Bridge Gate,,ブリッジゲート,,,,,,,,,,,,,,,
route-gate,427,unova,Porte de Route,,Route Gate,,Route Gate,,ロードゲート,,,,,,,,,,,,,,,
abyssal-ruins,428,unova,Ruines des Abysses,,Unterwasserruine,,Abyssal Ruins,,海底遺跡,,,,,,,,,,,,,,,
petalburg-city,429,hoenn,Clémenti-Ville,,Blütenburg City,,Petalburg City,,トウカシティ,,등화도시,,Ciudad Petalia,,Petalipoli,,トウカシティ,,Ciudad Petalia,,,,,
slateport-city,430,hoenn,Poivressel,,Graphitport City,,Slateport City,,カイナシティ,,잿빛도시,,Ciudad Portual,,Porto Selcepoli,,カイナシティ,,Ciudad Portual,,,,,
lilycove-city,431,hoenn,Nénucrique,,Seegrasulb City,,Lilycove City,,ミナモシティ,,해안시티,,Ciudad Calagua,,Porto Alghepoli,,ミナモシティ,,Ciudad Calagua,,,,,
mossdeep-city,432,hoenn,Algatia,,Moosbach City,,Mossdeep City,,トクサネシティ,,이끼시티,,Ciudad Algaria,,Verdeazzupoli,,トクサネシティ,,Ciudad Algaria,,,,,
sootopolis-city,433,hoenn,Atalanopolis,,Xeneroville,,Sootopolis City,,ルネシティ,,루네시티,,Arrecípolis,,Ceneride,,ルネシティ,,Arrecípolis,,,,,
ever-grande-city,434,hoenn,Éternara,,Prachtpolis City,,Ever Grande City,,サイユウシティ,,그랜드시티,,Ciudad Colosalia,,Iridopoli,,サイユウシティ,,Ciudad Colosalia,,,,,
meteor-falls,435,hoenn,Site Météore,,Meteorfälle,,Meteor Falls,,りゅうせいのたき,,유성의 폭포,,Cascada Meteoro,,Cascate Meteora,,流星の滝,,Cascada Meteoro,,,,,
rusturf-tunnel,436,hoenn,Tunnel Mérazon,,Metaflurtunnel,,Rusturf Tunnel,,カナシダトンネル,,금잔터널,,Túnel Fervergal,,Tunnel Menferro,,カナシダトンネル,,Túnel Fervergal,,,,,
granite-cave,437,hoenn,Grotte Granite,,Granithöhle,,Granite Cave,,いしのどうくつ,,바위 동굴,,Cueva Granito,,Grotta Pietrosa,,石の洞窟,,Cueva Granito,,,,,
petalburg-woods,438,hoenn,Bois Clémenti,,Blütenburgwald,,Petalburg Woods,,トウカのもり,,등화숲,,Bosque Petalia,,Bosco Petalo,,トウカの森,,Bosque Petalia,,,,,
jagged-pass,439,hoenn,Sentier Sinuroc,,Steilpass,,Jagged Pass,,デコボコさんどう,,울퉁불퉁 산길,,Desfiladero,,Passo Selvaggio,,デコボコ山道,,Desfiladero,,,,,
fiery-path,440,hoenn,Chemin Ardent,,Feuriger Pfad,,Fiery Path,,ほのおのぬけみち,,불꽃샛길,,Senda Ígnea,,Cammino Ardente,,炎の抜け道,,Senda Ígnea,,,,,
mt-pyre,441,hoenn,Mont Mémoria,,Pyroberg,,Mt. Pyre,,おくりびやま,,송화산,,Monte Pírico,,Monte Pira,,おくりび山,,Monte Pírico,,,,,
seafloor-cavern,442,hoenn,Caverne Fondmer,,Tiefseehöhle,,Seafloor Cavern,,かいていどうくつ,,해저동굴,,Caverna Abisal,,Antro Abissale,,海底洞窟,,Caverna Abisal,,,,,
cave-of-origin,443,hoenn,Grotte Origine,,Urzeithöhle,,Cave of Origin,,めざめのほこら,,각성의 사당,,Cueva Ancestral,,Grotta dei Tempi,,目覚めのほこら,,Cueva Ancestral,,,,,
hoenn-victory-road,444,hoenn,Route Victoire,,Siegesstraße,,Victory Road,,チャンピオンロード,,챔피언로드,,Calle Victoria,,Via Vittoria,,チャンピオンロード,,Calle Victoria,,,,,
shoal-cave,445,hoenn,Grotte Tréfonds,,Küstenhöhle,,Shoal Cave,,あさせのほらあな,,여울의 동굴,,Cueva Cardumen,,Grotta Ondosa,,浅瀬の洞穴,,Cueva Cardumen,,,,,
new-mauville,446,hoenn,New Lavandia,,Neu Malvenfroh,,New Mauville,,ニューキンセツ,,뉴보라,,Malvalanova,,Ciclanova,,ニューキンセツ,,Malvalanova,,,,,
abandoned-ship,447,hoenn,Épave,,Schiffswrack,,Abandoned Ship,,,,,,,,,,,,,,,,,
sky-pillar,448,hoenn,Pilier Céleste,,Himmelturm,,Sky Pillar,,そらのはしら,,하늘기둥,,Pilar Celeste,,Torre dei Cieli,,空の柱,,Pilar Celeste,,,,,
hoenn-route-101,449,hoenn,Route 101,,Route 101,,Route 101,,１０１ばんどうろ,,101번도로,,Ruta 101,,Percorso 101,,１０１番道路,,Ruta 101,,,,,
hoenn-route-102,450,hoenn,Route 102,,Route 102,,Route 102,,１０２ばんどうろ,,102번도로,,Ruta 102,,Percorso 102,,１０２番道路,,Ruta 102,,,,,
hoenn-route-103,451,hoenn,Route 103,,Route 103,,Route 103,,１０３ばんどうろ,,103번도로,,Ruta 103,,Percorso 103,,１０３番道路,,Ruta 103,,,,,
hoenn-route-104,452,hoenn,Route 104,,Route 104,,Route 104,,１０４ばんどうろ,,104번도로,,Ruta 104,,Percorso 104,,１０４番道路,,Ruta 104,,,,,
hoenn-route-105,453,hoenn,Chenal 105,,Route 105,,Route 105,,１０５ばんすいどう,,105번수로,,Ruta 105,,Percorso 105,,１０５番水道,,Ruta 105,,,,,
hoenn-route-106,454,hoenn,Chenal 106,,Route 106,,Route 106,,１０６ばんすいどう,,106번수로,,Ruta 106,,Percorso 106,,１０６番水道,,Ruta 106,,,,,
hoenn-route-107,455,hoenn,Chenal 107,,Route 107,,Route 107,,１０７ばんすいどう,,107번수로,,Ruta 107,,Percorso 107,,１０７番水道,,Ruta 107,,,,,
hoenn-route-108,456,hoenn,Chenal 108,,Route 108,,Route 108,,１０８ばんすいどう,,108번수로,,Ruta 108,,Percorso 108,,１０８番水道,,Ruta 108,,,,,
hoenn-route-109,457,hoenn,Chenal 109,,Route 109,,Route 109,,１０９ばんすいどう,,109번수로,,Ruta 109,,Percorso 109,,１０９番水道,,Ruta 109,,,,,
hoenn-route-110,458,hoenn,Route 110,,Route 110,,Route 110,,１１０ばんどうろ,,110번도로,,Ruta 110,,Percorso 110,,１１０番道路,,Ruta 110,,,,,
hoenn-route-111,459,hoenn,Route 111,,Route 111,,Route 111,,１１１ばんどうろ,,111번도로,,Ruta 111,,Percorso 111,,１１１番道路,,Ruta 111,,,,,
hoenn-route-112,460,hoenn,Route 112,,Route 112,,Route 112,,１１２ばんどうろ,,112번도로,,Ruta 112,,Percorso 112,,１１２番道路,,Ruta 112,,,,,
hoenn-route-113,461,hoenn,Route 113,,Route 113,,Route 113,,１１３ばんどうろ,,113번도로,,Ruta 113,,Percorso 113,,１１３番道路,,Ruta 113,,,,,
hoenn-route-114,462,hoenn,Route 114,,Route 114,,Route 114,,１１４ばんどうろ,,114번도로,,Ruta 114,,Percorso 114,,１１４番道路,,Ruta 114,,,,,
hoenn-route-115,463,hoenn,Route 115,,Route 115,,Route 115,,１１５ばんどうろ,,115번도로,,Ruta 115,,Percorso 115,,１１５番道路,,Ruta 115,,,,,
hoenn-route-116,464,hoenn,Route 116,,Route 116,,Route 116,,１１６ばんどうろ,,116번도로,,Ruta 116,,Percorso 116,,１１６番道路,,Ruta 116,,,,,
hoenn-route-117,465,hoenn,Route 117,,Route 117,,Route 117,,１１７ばんどうろ,,117번도로,,Ruta 117,,Percorso 117,,１１７番道路,,Ruta 117,,,,,
hoenn-route-118,466,hoenn,Route 118,,Route 118,,Route 118,,１１８ばんどうろ,,118번도로,,Ruta 118,,Percorso 118,,１１８番道路,,Ruta 118,,,,,
hoenn-route-119,467,hoenn,Route 119,,Route 119,,Route 119,,１１９ばんどうろ,,119번도로,,Ruta 119,,Percorso 119,,１１９番道路,,Ruta 119,,,,,
hoenn-route-120,468,hoenn,Route 120,,Route 120,,Route 120,,１２０ばんどうろ,,120번도로,,Ruta 120,,Percorso 120,,１２０番道路,,Ruta 120,,,,,
hoenn-route-121,469,hoenn,Route 121,,Route 121,,Route 121,,１２１ばんどうろ,,121번도로,,Ruta 121,,Percorso 121,,１２１番道路,,Ruta 121,,,,,
hoenn-route-122,470,hoenn,Chenal 122,,Route 122,,Route 122,,１２２ばんすいどう,,122번수로,,Ruta 122,,Percorso 122,,１２２番水道,,Ruta 122,,,,,
hoenn-route-123,471,hoenn,Route 123,,Route 123,,Route 123,,１２３ばんどうろ,,123번도로,,Ruta 123,,Percorso 123,,１２３番道路,,Ruta 123,,,,,
hoenn-route-124,472,hoenn,Chenal 124,,Route 124,,Route 124,,１２４ばんすいどう,,124번수로,,Ruta 124,,Percorso 124,,１２４番水道,,Ruta 124,,,,,
