move,flag
geomancy,non-sky-battle
magnetic-flux,snatch
magnetic-flux,distance
magnetic-flux,authentic
electric-terrain,non-sky-battle
dazzling-gleam,protect
dazzling-gleam,mirror
hold-hands,authentic
baby-doll-eyes,protect
baby-doll-eyes,reflectable
baby-doll-eyes,mirror
nuzzle,contact
nuzzle,protect
nuzzle,mirror
hold-back,contact
hold-back,protect
hold-back,mirror
infestation,contact
infestation,protect
infestation,mirror
power-up-punch,contact
power-up-punch,protect
power-up-punch,mirror
power-up-punch,punch
oblivion-wing,protect
oblivion-wing,mirror
oblivion-wing,distance
oblivion-wing,heal
thousand-arrows,protect
thousand-arrows,mirror
thousand-arrows,non-sky-battle
thousand-waves,protect
thousand-waves,mirror
thousand-waves,non-sky-battle
lands-wrath,protect
lands-wrath,mirror
lands-wrath,non-sky-battle
light-of-ruin,protect
light-of-ruin,mirror
origin-pulse,protect
origin-pulse,mirror
origin-pulse,pulse
precipice-blades,protect
precipice-blades,mirror
precipice-blades,non-sky-battle
dragon-ascent,contact
dragon-ascent,protect
dragon-ascent,mirror
dragon-ascent,distance
hyperspace-fury,mirror
hyperspace-fury,authentic
catastropika,contact
shore-up,snatch
shore-up,heal
first-impression,contact
first-impression,protect
first-impression,mirror
spirit-shackle,protect
spirit-shackle,mirror
darkest-lariat,contact
darkest-lariat,protect
darkest-lariat,mirror
sparkling-aria,protect
sparkling-aria,mirror
sparkling-aria,sound
sparkling-aria,authentic
ice-hammer,contact
ice-hammer,protect
ice-hammer,mirror
ice-hammer,punch
floral-healing,protect
floral-healing,reflectable
floral-healing,heal
high-horsepower,contact
high-horsepower,protect
high-horsepower,mirror
strength-sap,protect
strength-sap,reflectable
strength-sap,mirror
strength-sap,heal
solar-blade,contact
solar-blade,charge
solar-blade,protect
solar-blade,mirror
leafage,protect
leafage,mirror
spotlight,protect
spotlight,reflectable
toxic-thread,protect
toxic-thread,reflectable
toxic-thread,mirror
laser-focus,snatch
gear-up,snatch
gear-up,authentic
throat-chop,contact
throat-chop,protect
throat-chop,mirror
pollen-puff,protect
pollen-puff,mirror
pollen-puff,ballistics
anchor-shot,contact
anchor-shot,protect
anchor-shot,mirror
psychic-terrain,non-sky-battle
lunge,contact
lunge,protect
lunge,mirror
fire-lash,contact
fire-lash,protect
fire-lash,mirror
power-trip,contact
power-trip,protect
power-trip,mirror
burn-up,protect
burn-up,mirror
burn-up,defrost
speed-swap,protect
speed-swap,mirror
speed-swap,authentic
smart-strike,contact
smart-strike,protect
smart-strike,mirror
purify,protect
purify,reflectable
purify,heal
revelation-dance,protect
revelation-dance,mirror
revelation-dance,dance
core-enforcer,protect
core-enforcer,mirror
trop-kick,contact
trop-kick,protect
trop-kick,mirror
instruct,protect
instruct,authentic
beak-blast,protect
beak-blast,ballistics
clanging-scales,protect
clanging-scales,mirror
clanging-scales,sound
clanging-scales,authentic
dragon-hammer,contact
dragon-hammer,protect
dragon-hammer,mirror
brutal-swing,contact
brutal-swing,protect
brutal-swing,mirror
aurora-veil,snatch
malicious-moonsault,contact
soul-stealing-7-star-strike,contact
pulverizing-pancake,contact
shell-trap,protect
fleur-cannon,protect
fleur-cannon,mirror
psychic-fangs,contact
psychic-fangs,protect
psychic-fangs,mirror
psychic-fangs,bite
stomping-tantrum,contact
stomping-tantrum,protect
stomping-tantrum,mirror
shadow-bone,protect
shadow-bone,mirror
accelerock,contact
accelerock,protect
accelerock,mirror
liquidation,contact
liquidation,protect
liquidation,mirror
prismatic-laser,recharge
prismatic-laser,protect
prismatic-laser,mirror
spectral-thief,contact
spectral-thief,protect
spectral-thief,mirror
spectral-thief,authentic
sunsteel-strike,contact
sunsteel-strike,protect
sunsteel-strike,mirror
moongeist-beam,protect
moongeist-beam,mirror
tearful-look,reflectable
tearful-look,mirror
zing-zap,contact
zing-zap,protect
zing-zap,mirror
natures-madness,protect
natures-madness,mirror
multi-attack,contact
multi-attack,protect
multi-attack,mirror
mind-blown,protect
mind-blown,mirror
plasma-fists,contact
plasma-fists,protect
plasma-fists,mirror
plasma-fists,punch
photon-geyser,protect
photon-geyser,mirror
searing-sunraze-smash,contact
lets-snuggle-forever,contact
clangorous-soulblaze,sound
clangorous-soulblaze,authentic
zippy-zap,contact
zippy-zap,protect
zippy-zap,mirror
splishy-splash,protect
splishy-splash,mirror
floaty-fall,contact
floaty-fall,protect
floaty-fall,mirror
floaty-fall,gravity
pika-papow,protect
pika-papow,mirror
bouncy-bubble,protect
bouncy-bubble,mirror
bouncy-bubble,heal
buzzy-buzz,protect
buzzy-buzz,mirror
sizzly-slide,contact
sizzly-slide,protect
sizzly-slide,mirror
sizzly-slide,defrost
glitzy-glow,protect
glitzy-glow,mirror
baddy-bad,protect
baddy-bad,mirror
sappy-seed,protect
sappy-seed,reflectable
sappy-seed,mirror
freezy-frost,protect
freezy-frost,mirror
sparkly-swirl,protect
sparkly-swirl,mirror
veevee-volley,contact
veevee-volley,protect
veevee-volley,mirror
double-iron-bash,contact
double-iron-bash,protect
double-iron-bash,mirror
double-iron-bash,punch
dynamax-cannon,protect
snipe-shot,protect
snipe-shot,mirror
jaw-lock,contact
jaw-lock,protect
jaw-lock,mirror
jaw-lock,bite
stuff-cheeks,snatch
no-retreat,snatch
tar-shot,protect
tar-shot,reflectable
tar-shot,mirror
magic-powder,protect
magic-powder,reflectable
magic-powder,mirror
magic-powder,powder
dragon-darts,protect
dragon-darts,mirror
teatime,authentic
octolock,protect
octolock,mirror
bolt-beak,contact
bolt-beak,protect
bolt-beak,mirror
fishious-rend,contact
fishious-rend,protect
fishious-rend,mirror
fishious-rend,bite
court-change,mirror
clangorous-soul,snatch
clangorous-soul,sound
clangorous-soul,dance
body-press,contact
body-press,protect
body-press,mirror
drum-beating,protect
drum-beating,mirror
snap-trap,contact
snap-trap,protect
snap-trap,mirror
pyro-ball,protect
pyro-ball,mirror
pyro-ball,defrost
pyro-ball,ballistics
behemoth-blade,contact
behemoth-blade,protect
behemoth-blade,mirror
behemoth-bash,contact
behemoth-bash,protect
behemoth-bash,mirror
aura-wheel,protect
aura-wheel,mirror
breaking-swipe,contact
breaking-swipe,protect
breaking-swipe,mirror
branch-poke,contact
branch-poke,protect
branch-poke,mirror
overdrive,protect
overdrive,mirror
overdrive,sound
overdrive,authentic
apple-acid,protect
apple-acid,mirror
grav-apple,protect
grav-apple,mirror
spirit-break,contact
spirit-break,protect
spirit-break,mirror
strange-steam,protect
strange-steam,mirror
life-dew,snatch
life-dew,heal
life-dew,authentic
false-surrender,contact
false-surrender,protect
false-surrender,mirror
meteor-assault,recharge
meteor-assault,protect
meteor-assault,mirror
eternabeam,recharge
eternabeam,protect
eternabeam,mirror
steel-beam,protect
steel-beam,mirror
expanding-force,protect
expanding-force,mirror
steel-roller,contact
steel-roller,protect
steel-roller,mirror
scale-shot,protect
scale-shot,mirror
meteor-beam,charge
meteor-beam,protect
meteor-beam,mirror
shell-side-arm,protect
shell-side-arm,mirror
misty-explosion,protect
misty-explosion,mirror
grassy-glide,contact
grassy-glide,protect
grassy-glide,mirror
rising-voltage,protect
rising-voltage,mirror
terrain-pulse,protect
terrain-pulse,mirror
terrain-pulse,pulse
skitter-smack,contact
skitter-smack,protect
skitter-smack,mirror
burning-jealousy,protect
burning-jealousy,mirror
lash-out,contact
lash-out,protect
lash-out,mirror
poltergeist,protect
poltergeist,mirror
corrosive-gas,protect
corrosive-gas,reflectable
corrosive-gas,mirror
coaching,authentic
flip-turn,contact
flip-turn,protect
flip-turn,mirror
triple-axel,contact
triple-axel,protect
triple-axel,mirror
dual-wingbeat,contact
dual-wingbeat,protect
dual-wingbeat,mirror
scorching-sands,protect
scorching-sands,mirror
scorching-sands,defrost
jungle-healing,heal
jungle-healing,authentic
wicked-blow,contact
wicked-blow,protect
wicked-blow,mirror
wicked-blow,punch
surging-strikes,contact
surging-strikes,protect
surging-strikes,mirror
surging-strikes,punch
thunder-cage,protect
thunder-cage,mirror
dragon-energy,protect
dragon-energy,mirror
freezing-glare,protect
freezing-glare,mirror
fiery-wrath,protect
fiery-wrath,mirror
thunderous-kick,contact
thunderous-kick,protect
thunderous-kick,mirror
glacial-lance,protect
glacial-lance,mirror
astral-barrage,protect
astral-barrage,mirror
eerie-spell,protect
eerie-spell,mirror
eerie-spell,sound
eerie-spell,authentic
shadow-rush,contact
shadow-rush,protect
shadow-blast,protect
shadow-blitz,contact
shadow-blitz,protect
shadow-blitz,mirror
shadow-bolt,protect
shadow-break,contact
shadow-break,protect
shadow-break,mirror
shadow-chill,protect
shadow-chill,mirror
shadow-end,contact
shadow-end,protect
shadow-end,mirror
shadow-fire,protect
shadow-fire,mirror
shadow-rave,protect
shadow-rave,mirror
shadow-storm,protect
shadow-wave,protect
shadow-down,protect
shadow-down,mirror
shadow-half,recharge
shadow-half,protect
shadow-hold,protect
shadow-hold,mirror
shadow-mist,protect
shadow-mist,mirror
shadow-panic,protect
shadow-panic,mirror
shadow-panic,sound
shadow-shed,protect
shadow-sky,protect
