item,name_en,name_ja,name_ja_hrkt,name_ja_roma,name_fr,name_fr_fr,name_de,name_es,name_es_es,name_es_419,name_it,name_ko,name_ko_latn,name_zh_hant,name_zh_hans,name_zh_cmn,name_zh_yue,name_cs,name_pt_br,name_pt_pt,name_ca,name_da,name_fi,name_fr_ca,name_he,name_he_latn,name_hi,name_hi_latn,name_hu,name_id,name_ms,name_nl,name_no,name_pl,name_ru,name_ru_latn,name_sv,name_ta,name_ta_latn,name_te,name_te_latn,name_th,name_th_latn,name_tr,name_vi,name_zh_cmn_latn,name_zh_yue_latn
slowpoke-tail,Slowpoke Tail,おいしいシッポ,おいしいシッポ,Oishii Shippo,Queue Ramoloss,,Flegmon-Rute,Cola Slowpoke,Cola de Slowpoke,Cola Slowpoke,Coda Slowpoke,맛있는꼬리,Masinneun Kkori,美味尾巴,美味尾巴,美味尾巴,美味尾巴,,Cauda de Slowpoke,,,,,,,,,,,,,,,,,,,,,,,,,,Đuôi của Yadon,Měiwèi Wěiba,Méihmeih Méihbā
clear-bell,Clear Bell,とうめいなスズ,とうめいなスズ,Tōmei na Suzu,Glas Transparent,Glas Transparent,Klarglocke,Cascabel Claro,Cascabel Claro,Cascabel Claro,Campana Chiara,크리스탈방울,Crystal Bang-ul,透明鈴鐺,透明铃铛,透明鈴鐺 / 透明铃铛,透明鈴鐺,Průzračný zvonek,Sino Cintilante,,,,,,,,,,,,,,,Kryształowy Dzwon,,,,,,,,,,,Chuông thủy tinh,Tòumíng Língdāng,Taumìhng Lìhngdōng
card-key,Card Key,カードキー,カードキー,Card Key,Carte Magnétique,Carte Magnétique,Schlüsselkarte,Llave Magnética,Llave Magnética,Llave Magnética,Apriporta,카드키,Card Key,鑰匙卡,钥匙卡,鑰匙卡,鑰匙卡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yàoshíkǎ,Yeuhksìhká
basement-key,Basement Key,ちかのかぎ,ちかのかぎ,,Clé Sous-Sol,,Kelleröffner,Llave Sótano,,Llave Sótano,Chiave sotterr.,지하의열쇠,,地下鑰匙,地下钥匙,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
red-scale,Red Scale,あかいウロコ,あかいウロコ,Akai Uroko,Écaille Rouge,,Rote Haut,Escama Roja,,Escama Roja,Squama Rossa,빨간비늘,Ppalgan Bineul,紅色鱗片,红色鳞片,紅色鱗片 / 红色鳞片,紅色鱗片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hóng-sè Línpiàn,Hùhng-sīk Lèuhnpin
lost-item,Lost Item,おとしもの,おとしもの,Otoshi-mono,Objet perdu,,Fundsache,Objeto Perdido,,Objeto Perdido,Strumento perso,분실물,Bunsilmul,遺失物,遗失物,遺失物 / 遗失物,遺失物,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yíshī Wù,Wàihsāt Maht
pass,Pass,リニアパス,リニアパス,Rinia Pasu,Passe Train,,Fahrschein,Magnetopase,Magnetopase,Magnetopase,Superpass,리니어패스,Linear Paeseu,磁浮列車自由票,磁浮列车自由票,磁浮列車自由票,磁浮列車自由票,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cífú Lìechē Zìyóupiào,Chìhfàuh Lihtchē Jihyàuhpiu
machine-part,Machine Part,きかいのぶひん,きかいのぶひん,Kikai no Buhin,Partie Machine,,Spule,Maquinaria,,Maquinaria,Pezzo macch.,기계부품,Gigye Bupum,機械零件,机械零件,機械零件 / 机械零件,機械零件,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jīxiè Língjiàn,Gēihaaih Lìhnggín
silver-wing,Silver Wing,ぎんいろのはね,ぎんいろのはね,,Argent’Aile,,Silberflügel,Ala Plateada,,Ala Plateada,Aladargento,은빛깃털,,銀色之羽,银色之羽,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rainbow-wing,Rainbow Wing,にじいろのはね,にじいろのはね,,Arc-en-Ci’Aile,,Buntschwinge,Ala Arcoíris,,Ala Arcoíris,Ala d’Iride,무지갯빛깃털,,虹色之羽,虹色之羽,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mystery-egg,Mystery Egg,ふしぎなタマゴ,ふしぎなタマゴ,Fushigi na Tamago,Œuf Mystère,,Rätsel-Ei,Huevo Misterioso,Huevo Misterioso,Huevo Misterioso,Uovo Mistero,이상한알,Isanghan Al,神奇蛋,神奇蛋,神奇蛋,神奇蛋,Tajemné vejce,Ovo Misterioso,,,,,,,,,,,,,,,,,,,,,,,,,,,Shénqí Dàn,Sàhnkèih Dáan
gb-sounds,GB Sounds,ＧＢプレイヤー,ＧＢプレイヤー,GB Player,Lecteur GB,,GB-Player,Lector GB,Reproductor GB / Lector GB,Lector GB,Lettore GB,GB플레이어,GB Player,ＧＢ播放器,ＧＢ播放器,ＧＢ播放器,ＧＢ播放器,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GB Bòfàngqì / GB Bōfàngqì,GB Bofonghei
tidal-bell,Tidal Bell,うみなりのスズ,うみなりのスズ,Tide Suzu,Glas Tempête,,Gischtglocke,Cascabel Oleaje,,Cascabel Oleaje,Campana Onda,해명의방울,Haemyeong-ui Bang-ul,海聲鈴鐺,海声铃铛,海聲鈴鐺 / 海声铃铛,海聲鈴鐺,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hǎishēng Língdang,Hóisīng Lìhngdōng
data-card-01,Data Card 01,データカード０１,データカード０１,,Carte Mémo01,,Datenkarte01,Tarjeta Datos 01,,Tarjeta Datos 01,Scheda Dati 01,데이터카드01,,資料卡０１,数据卡０１,資料卡,資料卡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zīliào Kǎ,Jīlíu Kāat
data-card-02,Data Card 02,データカード０２,データカード０２,,Carte Mémo02,,Datenkarte02,Tarjeta Datos 02,,Tarjeta Datos 02,Scheda Dati 02,데이터카드02,,資料卡０２,数据卡０２,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data-card-03,Data Card 03,データカード０３,データカード０３,,Carte Mémo03,,Datenkarte03,Tarjeta Datos 03,,Tarjeta Datos 03,Scheda Dati 03,데이터카드03,,資料卡０３,数据卡０３,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data-card-04,Data Card 04,データカード０４,データカード０４,,Carte Mémo04,,Datenkarte04,Tarjeta Datos 04,,Tarjeta Datos 04,Scheda Dati 04,데이터카드04,,資料卡０４,数据卡０４,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data-card-05,Data Card 05,データカード０５,データカード０５,,Carte Mémo05,,Datenkarte05,Tarjeta Datos 05,,Tarjeta Datos 05,Scheda Dati 05,데이터카드05,,資料卡０５,数据卡０５,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data-card-06,Data Card 06,データカード０６,データカード０６,,Carte Mémo06,,Datenkarte06,Tarjeta Datos 06,,Tarjeta Datos 06,Scheda Dati 06,데이터카드06,,資料卡０６,数据卡０６,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data-card-07,Data Card 07,データカード０７,データカード０７,,Carte Mémo07,,Datenkarte07,Tarjeta Datos 07,,Tarjeta Datos 07,Scheda Dati 07,데이터카드07,,資料卡０７,数据卡０７,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data-card-08,Data Card 08,データカード０８,データカード０８,,Carte Mémo08,,Datenkarte08,Tarjeta Datos 08,,Tarjeta Datos 08,Scheda Dati 08,데이터카드08,,資料卡０８,数据卡０８,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data-card-09,Data Card 09,データカード０９,データカード０９,,Carte Mémo09,,Datenkarte09,Tarjeta Datos 09,,Tarjeta Datos 09,Scheda Dati 09,데이터카드09,,資料卡０９,数据卡０９,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data-card-10,Data Card 10,データカード１０,データカード１０,,Carte Mémo10,,Datenkarte10,Tarjeta Datos 10,,Tarjeta Datos 10,Scheda Dati 10,데이터카드10,,資料卡１０,数据卡１０,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data-card-11,Data Card 11,データカード１１,データカード１１,,Carte Mémo11,,Datenkarte11,Tarjeta Datos 11,,Tarjeta Datos 11,Scheda Dati 11,데이터카드11,,資料卡１１,数据卡１１,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data-card-12,Data Card 12,データカード１２,データカード１２,,Carte Mémo12,,Datenkarte12,Tarjeta Datos 12,,Tarjeta Datos 12,Scheda Dati 12,데이터카드12,,資料卡１２,数据卡１２,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data-card-13,Data Card 13,データカード１３,データカード１３,,Carte Mémo13,,Datenkarte13,Tarjeta Datos 13,,Tarjeta Datos 13,Scheda Dati 13,데이터카드13,,資料卡１３,数据卡１３,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data-card-14,Data Card 14,データカード１４,データカード１４,,Carte Mémo14,,Datenkarte14,Tarjeta Datos 14,,Tarjeta Datos 14,Scheda Dati 14,데이터카드14,,資料卡１４,数据卡１４,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data-card-15,Data Card 15,データカード１５,データカード１５,,Carte Mémo15,,Datenkarte15,Tarjeta Datos 15,,Tarjeta Datos 15,Scheda Dati 15,데이터카드15,,資料卡１５,数据卡１５,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data-card-16,Data Card 16,データカード１６,データカード１６,,Carte Mémo16,,Datenkarte16,Tarjeta Datos 16,,Tarjeta Datos 16,Scheda Dati 16,데이터카드16,,資料卡１６,数据卡１６,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data-card-17,Data Card 17,データカード１７,データカード１７,,Carte Mémo17,,Datenkarte17,Tarjeta Datos 17,,Tarjeta Datos 17,Scheda Dati 17,데이터카드17,,資料卡１７,数据卡１７,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data-card-18,Data Card 18,データカード１８,データカード１８,,Carte Mémo18,,Datenkarte18,Tarjeta Datos 18,,Tarjeta Datos 18,Scheda Dati 18,데이터카드18,,資料卡１８,数据卡１８,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data-card-19,Data Card 19,データカード１９,データカード１９,,Carte Mémo19,,Datenkarte19,Tarjeta Datos 19,,Tarjeta Datos 19,Scheda Dati 19,데이터카드19,,資料卡１９,数据卡１９,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data-card-20,Data Card 20,データカード２０,データカード２０,,Carte Mémo20,,Datenkarte20,Tarjeta Datos 20,,Tarjeta Datos 20,Scheda Dati 20,데이터카드20,,資料卡２０,数据卡２０,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data-card-21,Data Card 21,データカード２１,データカード２１,,Carte Mémo21,,Datenkarte21,Tarjeta Datos 21,,Tarjeta Datos 21,Scheda Dati 21,데이터카드21,,資料卡２１,数据卡２１,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data-card-22,Data Card 22,データカード２２,データカード２２,,Carte Mémo22,,Datenkarte22,Tarjeta Datos 22,,Tarjeta Datos 22,Scheda Dati 22,데이터카드22,,資料卡２２,数据卡２２,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data-card-23,Data Card 23,データカード２３,データカード２３,,Carte Mémo23,,Datenkarte23,Tarjeta Datos 23,,Tarjeta Datos 23,Scheda Dati 23,데이터카드23,,資料卡２３,数据卡２３,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data-card-24,Data Card 24,データカード２４,データカード２４,,Carte Mémo24,,Datenkarte24,Tarjeta Datos 24,,Tarjeta Datos 24,Scheda Dati 24,데이터카드24,,資料卡２４,数据卡２４,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data-card-25,Data Card 25,データカード２５,データカード２５,,Carte Mémo25,,Datenkarte25,Tarjeta Datos 25,,Tarjeta Datos 25,Scheda Dati 25,데이터카드25,,資料卡２５,数据卡２５,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data-card-26,Data Card 26,データカード２６,データカード２６,,Carte Mémo26,,Datenkarte26,Tarjeta Datos 26,,Tarjeta Datos 26,Scheda Dati 26,데이터카드26,,資料卡２６,数据卡２６,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data-card-27,Data Card 27,データカード２７,データカード２７,,Carte Mémo27,,Datenkarte27,Tarjeta Datos 27,,Tarjeta Datos 27,Scheda Dati 27,데이터카드27,,資料卡２７,数据卡２７,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lock-capsule,Lock Capsule,ロックカプセル,ロックカプセル,,Poké Écrin,,Tresorkapsel,Cápsula Candado,,Cápsula Candado,Capsula Scrigno,록캡슐,Lock Capsule,上鎖的容器,上锁的容器,上鎖的容器 / 上锁的容器,上鎖的容器,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shàngsuǒ de Róngqì,Séuhngsó dīk Yùhnghei
photo-album,Photo Album,フォトアルバム,フォトアルバム,,Album Photo,,Fotoalbum,Álbum,,Álbum,Album,포토앨범,,相簿,相册,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
orange-mail,Orange Mail,オレンジメール,オレンジメール,Orenji Mēru,Lettre Oranj,,Zigzagbrief,Car. Naranja,,Car. Naranja,Mess. Agrume,,,,,橙色郵件,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chéngsè Yóujiàn,
harbor-mail,Harbor Mail,ハーバーメール,ハーバーメール,Hābā Mēru,Lettre Port,,Hafenbrief,Carta Puerto,,Carta Puerto,Mess. Porto,,,,,港口郵件,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gǎngkǒu Yóujiàn,
glitter-mail,Glitter Mail,キラキラメール,キラキラメール,Kirakira Mēru,Lettre Brill,,Glitzerbrief,Carta Brillo,,Carta Brillo,Mess. Luci,,,,,閃亮郵件,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shǎnliàng Yóujiàn,
mech-mail,Mech Mail,メカニカルメール,メカニカルメール,Mechanical Mail,Lettre Méca,,Eilbrief,Carta Imán,,Carta Imán,Mess. Tecno,,,,,機械郵件,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jīxiè Yóujiàn,
wood-mail,Wood Mail,ウッディメール,ウッディメール,Woody Mail,Lettre Bois,,Waldbrief,Carta Madera,,Carta Madera,Mess. Bosco,,,,,木紋郵件,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mùwén Yóujiàn,
wave-mail,Wave Mail,クロスメール,クロスメール,Kurosu Mēru,Lettre Vague,,Wellenbrief,Carta Ola,,Carta Ola,Mess. Onda,,,,,波濤郵件,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bōtāo Yóujiàn,
bead-mail,Bead Mail,トレジャーメール,トレジャーメール,Torejā Mēru,Lettre Bulle,,Perlenbrief,Carta Imagen,,Carta Imagen,Mess. Perle,,,,,珠寶郵件,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zhūbǎo Yóujiàn,
shadow-mail,Shadow Mail,シャドーメール,シャドーメール,Shadō Mēru,Lettre Ombre,,Dunkelbrief,Carta Sombra,,Carta Sombra,Mess. Ombra,,,,,影子郵件,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yǐngzǐ Yóujiàn,
tropic-mail,Tropic Mail,トロピカルメール,トロピカルメール,Tropical Mail,Lettre Tropi,,Tropenbrief,Car. Tropic.,,Car. Tropic.,Mess. Tropic,,,,,熱帶郵件,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rèdài Yóujiàn,
dream-mail,Dream Mail,ドリームメール,ドリームメール,Dream Mail,Lettre Songe,,Traumbrief,Carta Sueño,,Carta Sueño,Mess. Sogno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fab-mail,Fab Mail,ミラクルメール,ミラクルメール,Miracle Mail,Lettre Cool,,Edelbrief,Carta Fab.,,Carta Fab.,Mess. Lusso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
retro-mail,Retro Mail,レトロメール,レトロメール,Retro Mail,Lettre Retro,,Retrobrief,Carta Retro.,,Carta Retro.,Mess. Rétro,,,,,復古郵件,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fùgǔ Yóujiàn,
mach-bike,Mach Bike,マッハじてんしゃ,マッハじてんしゃ,Mahha Jitensha,Vélo de Course,,Eilrad,Bici de Carreras,,Bici de Carreras,Bici da corsa,마하자전거,Mach Jajeongeo,音速自行車,音速自行车,音速自行車 / 音速自行车,音速自行車,,,,,,,,,,,,,,,,,,,,Mach-cykel,,,,,,,,,Yīnsù Zìxíngchē,Yāmchūk Jihhàhngchē
acro-bike,Acro Bike,ダートじてんしゃ,ダートじてんしゃ,Dāto Jitensha,Vélo Cross,,Kunstrad,Bici Acrobática,,Bici Acrobática,Bici da cross,더트자전거,Dirt Jajeongeo,越野自行車,越野自行车,越野自行車 / 越野自行车,越野自行車,,Bicicleta Acro,,,,,,,,,,,,,,,,Горный Велосипед,Gornyy Velisoped,Acro-cykel,,,,,,,,,Yuèyě Zìxíngchē,Yuhtyéh Jihhàhngchē
wailmer-pail,Wailmer Pail,ホエルコじょうろ,ホエルコじょうろ,Hoeruko Jōro,Wailmerrosoir,,Wailmerkanne,Wailmegadera,Cubo Wailmer,Wailmegadera,Vaso Wailmer,고래왕자물뿌리개,Goraewangja Mulppurigae,吼吼鯨噴壺,吼吼鲸喷壶,吼吼鯨噴壺 / 吼吼鲸喷壶,吼吼鯨噴壺,,,,,,Wailmer Pail,,,,,,,,,,,Wailmer Pail,,,,,,,,,,,,Hǒuhǒujīng Pēnhú,Háuháukìhng Pēnhú
devon-goods,Devon Goods,,デボンのにもつ,,Pack Devon,,Devon-Waren,Piezas Devon,,Piezas Devon,Merce Devon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soot-sack,Soot Sack,はいぶくろ,はいぶくろ,Haibukuro,Sac à Suie,,Aschetasche,Saco Hollín,Saco de Hollín,Saco Hollín,Sacco cenere,재주머니,Jae Jumeoni,集灰袋,集灰袋,集灰袋,集灰袋,Vak na popel,,,,,,,,,,,,,,,,,,,,,,,,,,,Túi đựng tro núi lửa,Jíhuī Dài,Jaahpfūi Doih
pokeblock-case,Pokéblock Case,ポロックケース,ポロックケース,Porokku Kēsu,Boîte Pokéblocs,,Pokériegelbox,Tubo Pokécubos,,Tubo Pokécubos,PortaPokémelle,포켓몬스넥케이스,Pokémon Snack Case,,,寶可方塊盒 / 宝可方块盒,寶可方塊盒,Dávkovač na Pokébloky,,,,,,,,,,,,,,Pokéblockdrager,,Pudełko na Pokékostki,,,,,,,,,,,,Poké-Fāngkuài Hé,Poké-Fōngfaai Hahp
letter,Letter,ダイゴへのてがみ,ダイゴへのてがみ,Daigo e no Tegami,Lettre à Pierre,,Brief an Troy,Carta a Máximo,Carta,Carta a Máximo,Lettera,성호에게줄편지,Seongho-e Gejul Pyeonji,給大吾的信,给大吾的信,給大吾的信,給大吾的信,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lá thư,Gěi Dàwú de Xìn,Kāp Daaihǹgh dīk Seun
eon-ticket,Eon Ticket,むげんのチケット,むげんのチケット,Mugen no Chiketto,Passe Éon,,Äon-Ticket,Ticket Eón,Ticket Eón,Ticket Eón,Biglietto Eone,무한티켓,Muhan Ticket,無限船票,无限船票,無限船票,無限船票,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wúxiàn Chuánpiào,Mòuhhaahn Syùhnpiu
scanner,Scanner,たんちき,たんちき,,Scanner,,Scanner,Escáner,,Escáner,Scanner,탐지기,Tamjigi,探測器,探测器,探測器 / 探测器,探測器,Skener,Scanner,,,,,,,,,,,,,,,,,,,,,,,,,,Máy dò tìm,Tàncèqì,Taamchākhei
go-goggles,Go-Goggles,ゴーゴーゴーグル,ゴーゴーゴーグル,Go-Go Goggle,Lunettes Sable,,Wüstenbrille,Gafas Aislantes,Gafas Aislantes,Gafas Aislantes,Occhialoni,고고고글,Go-Go Goggle,ＧＯＧＯ護目鏡,ＧＯＧＯ护目镜,ＧＯＧＯ護目鏡,ＧＯＧＯ護目鏡,,Desertóculos,,,,Go-lasit,,,,,,,,,,,Go-Gogle,,,,,,,,,,,,GOGO Hùmùjìng,GOGO Wuhmuhkgeng
meteorite,Meteorite,いんせき,いんせき,Inseki,Météorite,,Meteorit,Meteorito,,Meteorito,Meteorite,운석,Unseok,隕石,陨石,隕石 / 陨石,隕石,Meteorit,Meteorito,,,,Meteoriitti,,,,,,,,,,,,,,,,,,,,,,Thiên thạch,Yǔnshí,Wáhnsehk
rm-1-key,Rm. 1 Key,,１ごうしつのカギ,,Clé Salle 1,,K1-Schlüssel,Ll. Cabina 1,,Ll. Cabina 1,Chiave Cab.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rm-2-key,Rm. 2 Key,,２ごうしつのカギ,,Clé Salle 2,,K2-Schlüssel,Ll. Cabina 2,,Ll. Cabina 2,Chiave Cab.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rm-4-key,Rm. 4 Key,,４ごうしつのカギ,,Clé Salle 4,,K4-Schlüssel,Ll. Cabina 4,,Ll. Cabina 4,Chiave Cab.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rm-6-key,Rm. 6 Key,,６ごうしつのカギ,,Clé Salle 6,,K6-Schlüssel,Ll. Cabina 6,,Ll. Cabina 6,Chiave Cab.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devon-scope,Devon Scope,デボンスコープ,デボンスコープ,Debon Sukōpu,Devon Scope,,Devon-Scope,Detector Devon,,Detector Devon,Devonscopio,데봉스코프,Devon Scope,得文偵測鏡,得文侦测镜,得文偵測鏡 / 得文侦测镜,得文偵測鏡,,Escopo Devon,,,,,,,,,,,,,,,,,,,,,,,,,,,Déwén Zhēncèjìng,Dākmàhn Jīngchākgeng
oaks-parcel,Oak’s Parcel,,おとどけもの,,Colis Chen,,Eichs Paket,Correo-Oak,,Correo-Oak,Pacco di Oak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
poke-flute,Poké Flute,ポケモンのふえ,ポケモンのふえ,Pokémon no Fue,Poké Flûte,,Pokéflöte,Poké Flauta,,Poké Flauta,Poké Flauto,포켓몬피리,Pokémon Piri,寶可夢之笛,宝可梦之笛,寶可夢之笛,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pokémon zhī Dí,
bike-voucher,Bike Voucher,ひきかえけん,ひきかえけん,,Bon Commande,,Rad-Coupon,Bono Bici,,Bono Bici,Buono Bici,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gold-teeth,Gold Teeth,きんのいれば,きんのいれば,Kin no Ireba,Dentier en Or,,Goldenes Gebiss,Dentadura de Oro,,Dentadura de Oro,Denti d’oro,금틀니,Geum Teulli,金假牙,金假牙,金假牙,金假牙,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jīn Jiǎyá,Gām Gángàh
lift-key,Lift Key,エレベータのカギ,エレベータのカギ,Erebētā no Kagi,Clé Ascenseur,,Aufzugsschlüssel,Llave Ascensor,,Llave Ascensor,Chiave ascensore,엘리베이터열쇠,,電梯鑰匙,电梯钥匙,电梯钥匙,電梯鑰匙,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diàntī Yàoshi,Dihntāi Yeuhksìh
silph-scope,Silph Scope,シルフスコープ,シルフスコープ,Shirufu Sukōpu,Scope Sylphe,,Silph Scope,Visor Silph,,Visor Silph,Spettrosonda,실프스코프,Silpeu Seukopeu,西爾佛檢視鏡,西尔佛检视镜,西爾佛檢視鏡,西爾佛檢視鏡,,Escopo Silph,,,,,,,,,,,,,,,,,,,,,,,,,,Ống kính Sylph,Xīěrfu Jiǎnshìjìng,Sāiyíhfaht Gímsihgeng
fame-checker,Fame Checker,ボイスチェッカー,ボイスチェッカー,Boisu Chekkā,Memorydex,,Ruhmesdatei,Memorín,,Memorín,PokéVIP,,,,,,,,Verificador de Voz,,,,,,,,,,,,,,,,,,,,,,,,,,Máy kiểm tra giọng nói,,
tm-case,TM Case,わざマシンケース,わざマシンケース,Waza Mashin Kēsu,Boîte CT,,TM-Box,Estuche de MT,,Estuche de MT,Porta MT,기술머신케이스,Gisul Machine Case,招式學習器盒,招式学习器盒,招式學習器盒 / 招式学习器盒,招式學習器盒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zhāoshì Xuéxíqì Hé,Jīusīk Hohkjaahphei Hahp
berry-pouch,Berry Pouch,きのみぶくろ,きのみぶくろ,,Sac à Baies,,Beerentüte,Saco Bayas,,Saco Bayas,Portabacche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teachy-tv,Teachy TV,おしえテレビ,おしえテレビ,Oshie Terebi,TV ABC,,Lehrkanal,Poké Tele,,Poké Tele,Pokétivù,가르침TV,Gareuchim TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tri-pass,Tri-Pass,トライパス,トライパス,Tri-Pass,Tri-Passe,,Tri-Pass,Tri-Ticket,,Tri-Ticket,Tris Pass,,,,,三島通行證,三島通行證,,Passe Triplo,,,,,,,,,,,,,,,,,,,,,,,,,,Vé thông hành ba đảo,Sāndǎo Tōngxíngzhèng,Sāamdóu Tūnghàhngjing
rainbow-pass,Rainbow Pass,レインボーパス,レインボーパス,Reinbō Pasu,Passe Prisme,,Bunt-Pass,Iris-Ticket,,Iris-Ticket,Sette Pass,,,,,七島通行證,七島通行證,,Passe Arco-íris,,,,,,,,,,,,,,,,,,,,,,,,,,Vé cầu vồng,Qīdǎo Tōngxíngzhèng,Chātdóu Tūnghàhngjing
tea,Tea,おちゃ,おちゃ,Ocha,Thé,,Tee,Té,,Té,Tè,차,Cha,茶,茶,茶,茶,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chá,Chàh
mysticticket,MysticTicket,,しんぴのチケット,,Ticketmystik,,Geheimticket,Misti-Ticket,,Misti-Ticket,Bigl. Magico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
auroraticket,AuroraTicket,,オーロラチケット,,Ticketaurora,,Auroraticket,Ori-Ticket,,Ori-Ticket,Bigl. Aurora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
powder-jar,Powder Jar,こないれ,こないれ,,Pot Poudre,,Puderdöschen,Bote Polvos,,Bote Polvos,Portafarina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ruby,Ruby,ルビー,ルビー,Ruby,Rubis,,Rubin,Rubí,,Rubí,Rubino,,,,,,,,Rubi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sapphire,Sapphire,サファイア,サファイア,Sapphire,Saphir,,Saphir,Zafiro,,Zafiro,Zaffiro,,,,,,,,Safira,,,,,,,,,,,,,,,,,,,,,,,,,,,,
magma-emblem,Magma Emblem,マグマのしるし,マグマのしるし,Magma Symbol,Sceau Magma,,Magmaemblem,Signo Magma,,Signo Magma,Stemma Magma,,,,,火岩標誌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Huǒyán Biāozhì,
old-sea-map,Old Sea Map,ふるびたかいず,ふるびたかいず,Furubita Kaizu,Vieillecarte,,Alte Karte,Mapa Viejo,,Mapa Viejo,Mappa Stinta,,,,,古航海圖 / 古航海图,,,Mapa de Navegação Antigo,,,,,,,,,,,,,,,,,,,,,,,,,,Tấm hải đồ cũ,Gǔ Hánghǎitú,
