identifier,id,condition,is_default,name_en,name_fr,name_de
other-grow-shaderoot-carrot,331,other,0,Grow a Shaderoot Carrot while helping Calyrex.,,
other-talked-to-32-people,332,other,0,Talk to at least 32 people after interacting with the tombstone in Ballimere Lake.,,
other-eat-curry-with-cobalion-terrakion-virizion,333,other,0,"Eat curry on the island with Cobalion, Terrakion, and Virizion in your party after showing them to Sonia.",,
item-reins-of-unity,334,item,0,Have Reins of Unity in bag,,
other-witness-galarian-bird-fight,335,other,0,"Witness the Galarian forms of Articuno, Zapdos, and Moltres fight at Dyna Tree Hill.",,
max-den-rarity-common,336,max-den-rarity,0,"Start max raid in a den with a weak, red pillar of light.",,
max-den-rarity-rare,337,max-den-rarity,0,"Start max raid in a den with a strong, purple pillar of light.",,
max-den-rating-1-star,338,max-den-rating,0,Start a max raid with a difficulty of 1 star.,,
max-den-rating-2-star,339,max-den-rating,0,Start a max raid with a difficulty of 2 stars.,,
max-den-rating-3-star,340,max-den-rating,0,Start a max raid with a difficulty of 3 stars.,,
max-den-rating-4-star,341,max-den-rating,0,Start a max raid with a difficulty of 4 stars.,,
max-den-rating-5-star,342,max-den-rating,0,Start a max raid with a difficulty of 5 stars.,,
max-den-rarity-special,343,max-den-rarity,0,"Start max raid in a den with a weak, red pillar of light after checking Wild Area News.",,
berry-tree-type-red,344,berry-tree-type,1,Interact with a Red Berry Tree,,
berry-tree-type-blue,345,berry-tree-type,1,Interact with a Blue Berry Tree,,
berry-tree-type-purple,346,berry-tree-type,1,Interact with a Purple Berry Tree,,
berry-tree-type-green,347,berry-tree-type,1,Interact with a Green Berry Tree,,
berry-tree-type-yellow,348,berry-tree-type,1,Interact with a Yellow Berry Tree,,
berry-tree-type-pink,349,berry-tree-type,1,Interact with a Pink Berry Tree,,
trash-can-type-daily,350,trash-can-type,1,Interact with a Shaking Trash Can (Daily),,
trash-can-type-tuesday,351,trash-can-type,1,Interact with a Shaking Trash Can (Tuesday),,
trash-can-type-thursday,352,trash-can-type,1,Interact with a Shaking Trash Can (Thursday),,
trade-nidoran-f,353,trade,1,Give Nidoran-F in a Trade,,
trade-nidorina,354,trade,1,Give Nidorina in a Trade,,
trade-machop,355,trade,1,Give Machop in a Trade,,
trade-buizel,356,trade,1,Give Buizel in a Trade,,
trade-medicham,357,trade,1,Give Medicham in a Trade,,
trade-finneon,358,trade,1,Give Finneon in a Trade,,
trade-forretress,359,trade,1,Give Forretress in a Trade,,
trade-bonsly,360,trade,1,Give Bonsly in a Trade,,
trade-any-pokemon,361,trade,1,Give any Pokemon in a Trade,,
