pokemon,form,version_group,versions,location_area,method,levels,rate_overall,trade_for,note,rate_night,rate_morning,rate_day
goldeen,goldeen,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-212-sinnoh-northern-area,fishing-good-rod,10 - 25,45%,,,,,
goldeen,goldeen,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-214-sinnoh,fishing-good-rod,10 - 25,45%,,,,,
goldeen,goldeen,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,twinleaf-town,fishing-good-rod,10 - 25,45%,,,,,
golduck,golduck,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,celestic-town,surfing,20 - 40,10%,,,,,
golduck,golduck,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,eterna-city,surfing,20 - 40,10%,,,,,
golduck,golduck,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,great-marsh,walking-tall-grass,"22, 24, 26",10%,,2/32 selection chance,,,
golduck,golduck,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,lake-acuity-sinnoh,surfing,20 - 40,10%,,,,,
golduck,golduck,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,lake-valor-sinnoh,surfing,20 - 40,10%,,,,,
golduck,golduck,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,lake-verity-sinnoh,surfing,20 - 40,10%,,,,,
golduck,golduck,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,oreburgh-gate-b1f,surfing,20 - 40,5%,,,,,
golduck,golduck,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,ravaged-path,surfing,20 - 40,5%,,,,,
golduck,golduck,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,resort-area,surfing,40 - 55,100%,,,,,
golduck,golduck,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,sendoff-spring,walking-tall-grass,53 - 54,20%,,,,,
golduck,golduck,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,sendoff-spring,surfing,40 - 55,100%,,,,,
golduck,golduck,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-203-sinnoh,surfing,20 - 40,10%,,,,,
golduck,golduck,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-204-sinnoh-south,surfing,20 - 40,10%,,,,,
golduck,golduck,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-205-sinnoh-northern-part,surfing,20 - 40,10%,,,,,
golduck,golduck,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-208-sinnoh,surfing,20 - 40,10%,,,,,
golduck,golduck,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-209-sinnoh,surfing,20 - 40,10%,,,,,
golduck,golduck,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-210-sinnoh-northern-foggy-part,surfing,20 - 40,10%,,,,,
golduck,golduck,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-212-sinnoh-northern-area,surfing,20 - 40,10%,,,,,
golduck,golduck,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-214-sinnoh,surfing,20 - 40,10%,,,,,
golduck,golduck,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-225-sinnoh,surfing,40 - 55,70%,,,,,
golduck,golduck,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-226-sinnoh,walking-tall-grass,"51, 53",10%,,,,,
golduck,golduck,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-230-sinnoh,walking-tall-grass,52,10%,,,,,
golduck,golduck,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,twinleaf-town,surfing,20 - 40,10%,,,,,
graveler,graveler,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,big-bluff-cavern,walking-around,25 - 63,varies,,Added after obtaining TM97 (Defog),,,
graveler,graveler,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,iron-island-1f,walking-around,31 - 33,35%,,,,,
graveler,graveler,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,iron-island-b1f,walking-around,29 - 33,69%,,,,,
graveler,graveler,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,iron-island-b2f-right,walking-around,29 - 33,49%,,,,,
graveler,graveler,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,iron-island-b2f-left,walking-around,30 - 34,39%,,,,,
graveler,graveler,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,iron-island-b3f,walking-around,30 - 34,39%,,,,,
graveler,graveler,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,mount-coronet-b1f,walking-around,31,20%,,,,,
graveler,graveler,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,mount-coronet-northern-1f-room-2,walking-around,31,20%,,,,,
graveler,graveler,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,mount-coronet-2f,walking-around,36,20%,,,,,
graveler,graveler,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,mount-coronet-3f,walking-around,36,20%,,,,,
graveler,graveler,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,mount-coronet-4f,walking-around,38,20%,,,,,
graveler,graveler,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,mount-coronet-4f-room-2,walking-around,38,20%,,,,,
graveler,graveler,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,mount-coronet-4f-room-3,walking-around,38,20%,,,,,
graveler,graveler,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,mount-coronet-5f,walking-around,40,20%,,,,,
graveler,graveler,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,mount-coronet-6f,walking-around,40,20%,,,,,
graveler,graveler,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,mount-coronet-tunnel-room,walking-around,39 - 40,40%,,,,,
graveler,graveler,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,rocky-cave,walking-around,25 - 63,varies,,Added after obtaining TM97 (Defog),,,
graveler,graveler,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-211-sinnoh-eastern-part,walking-tall-grass,27,20%,,,,,
graveler,graveler,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-214-sinnoh,walking-tall-grass,23,,,,,10%,10%
graveler,graveler,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-214-sinnoh,walking-tall-grass,24,5%,,,,,
graveler,graveler,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-216-sinnoh,walking-tall-grass,33 - 34,10%,,,,,
graveler,graveler,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-227-sinnoh,walking-tall-grass,54,,,,,10%,10%
graveler,graveler,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-227-sinnoh,walking-tall-grass,56,5%,,,,,
graveler,graveler,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,snowpoint-temple-1f,walking-around,52,10%,,,,,
graveler,graveler,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,snowpoint-temple-b1f,walking-around,54,10%,,,,,
graveler,graveler,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,snowpoint-temple-b2f,walking-around,54,10%,,,,,
graveler,graveler,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,snowpoint-temple-b3f,walking-around,54,10%,,,,,
graveler,graveler,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,snowpoint-temple-b4f,walking-around,56,10%,,,,,
graveler,graveler,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,snowpoint-temple-b5f,walking-around,56,10%,,,,,
graveler,graveler,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,spacious-cave,walking-around,25 - 63,varies,,Added after obtaining TM97 (Defog),,,
graveler,graveler,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,stark-mountain-inside-1,walking-around,55,20%,,,,,
graveler,graveler,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,stark-mountain-outside,walking-tall-grass,54,,,,,10%,10%
graveler,graveler,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,stark-mountain-outside,walking-tall-grass,56,5%,,,,,
graveler,graveler,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,stark-mountain-inside-2,walking-around,57,20%,,,,,
graveler,graveler,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,typhlo-cavern,walking-around,25 - 63,varies,,Added after obtaining TM97 (Defog),,,
graveler,graveler,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,valor-lakefront,walking-tall-grass,21,,,,,10%,10%
graveler,graveler,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,valor-lakefront,walking-tall-grass,22,5%,,,,,
graveler,graveler,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,victory-road-sinnoh-1f,walking-around,45,20%,,,,,
graveler,graveler,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,victory-road-sinnoh-2f,walking-around,46,20%,,,,,
graveler,graveler,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,victory-road-sinnoh-1f-back-1,walking-around,51,20%,,Area is only accessible after entering the Hall of Fame and obtaining the National Pokédex,,,
graveler,graveler,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,victory-road-sinnoh-1f-back-2,walking-around,51,20%,,Area is only accessible after entering the Hall of Fame and obtaining the National Pokédex,,,
graveler,graveler,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,volcanic-cave,walking-around,25 - 63,varies,,Added after obtaining TM97 (Defog),,,
grimer,grimer,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,bogsunk-cavern,walking-around,16 - 63,varies,,Added after obtaining the National PokéDex,,,
grimer,grimer,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,dazzling-cave,walking-around,16 - 63,varies,,Added after obtaining the National PokéDex,,,
grimer,grimer,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-212-sinnoh-southern-area,poke-radar,"18, 20",22%,,,,,
grimer,grimer,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,stargleam-cavern,walking-around,16 - 63,varies,,Added after obtaining the National PokéDex,,,
grimer,grimer,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,swampy-cave,walking-around,16 - 63,varies,,Added after obtaining the National PokéDex,,,
groudon,groudon,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,ramanas-park-tectonic-room,special-encounter,70,one,,Inser the {Tectonic Slate;ITEM;tectonic-slate} to battle.,,,
growlithe,growlithe,brilliant-diamond-shining-pearl,brilliant-diamond,sandsear-cave,walking-around,16 - 63,varies,,Added after obtaining the National PokéDex,,,
growlithe,growlithe,brilliant-diamond-shining-pearl,brilliant-diamond,spacious-cave,walking-around,16 - 63,varies,,Added after obtaining the National PokéDex,,,
growlithe,growlithe,brilliant-diamond-shining-pearl,brilliant-diamond,typhlo-cavern,walking-around,16 - 63,varies,,Added after obtaining the National PokéDex,,,
growlithe,growlithe,brilliant-diamond-shining-pearl,brilliant-diamond,volcanic-cave,walking-around,16 - 63,varies,,Added after obtaining the National PokéDex,,,
gulpin,gulpin,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,great-marsh,walking-tall-grass,"22, 24, 26",10%,,"Post-National PokéDex, 1/32 selection chance",,,
gyarados,gyarados,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,canalave-city,fishing-super-rod,30 - 40,40%,,,,,
gyarados,gyarados,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,celestic-town,fishing-super-rod,30 - 40,40%,,,,,
gyarados,gyarados,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,eterna-city,fishing-super-rod,30 - 55,55%,,,,,
gyarados,gyarados,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,fuego-ironworks,fishing-super-rod,30 - 40,40%,,,,,
gyarados,gyarados,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,great-marsh,fishing-good-rod,15 - 30,5%,,,,,
gyarados,gyarados,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,great-marsh,fishing-super-rod,40 - 55,15%,,,,,
gyarados,gyarados,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,iron-island-outside,fishing-super-rod,30 - 40,40%,,,,,
gyarados,gyarados,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,lake-acuity-sinnoh,fishing-super-rod,30 - 55,55%,,,,,
gyarados,gyarados,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,lake-valor-sinnoh,fishing-super-rod,30 - 55,55%,,,,,
gyarados,gyarados,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,lake-verity-sinnoh,fishing-super-rod,30 - 55,55%,,,,,
gyarados,gyarados,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,mount-coronet-southern-1f-oreburgh-city-hearthome-city-side,fishing-super-rod,30 - 55,55%,,,,,
gyarados,gyarados,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,mount-coronet-b1f,fishing-super-rod,30 - 55,55%,,,,,
gyarados,gyarados,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,mount-coronet-4f,fishing-super-rod,30 - 55,55%,,,,,
gyarados,gyarados,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,oreburgh-gate-b1f,fishing-super-rod,30 - 55,55%,,,,,
gyarados,gyarados,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,pastoria-city,fishing-super-rod,30 - 55,55%,,,,,
gyarados,gyarados,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,pokemon-league-sinnoh,fishing-super-rod,30 - 40,40%,,,,,
gyarados,gyarados,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,ravaged-path,fishing-super-rod,30 - 40,40%,,,,,
gyarados,gyarados,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,ravaged-path,fishing-super-rod,40 - 55,15%,,,,,
gyarados,gyarados,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,resort-area,fishing-super-rod,30 - 55,55%,,,,,
gyarados,gyarados,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,sendoff-spring,fishing-super-rod,30 - 55,55%,,,,,
gyarados,gyarados,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-203-sinnoh,fishing-super-rod,30 - 55,55%,,,,,
gyarados,gyarados,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-204-sinnoh-south,fishing-super-rod,30 - 55,55%,,,,,
gyarados,gyarados,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-205-sinnoh-southern-part,fishing-super-rod,30 - 40,40%,,,,,
gyarados,gyarados,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-205-sinnoh-northern-part,fishing-super-rod,30 - 55,55%,,,,,
gyarados,gyarados,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-208-sinnoh,fishing-super-rod,30 - 55,55%,,,,,
gyarados,gyarados,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-209-sinnoh,fishing-super-rod,30 - 55,55%,,,,,
gyarados,gyarados,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-210-sinnoh-northern-foggy-part,fishing-super-rod,30 - 55,55%,,,,,
gyarados,gyarados,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-212-sinnoh-northern-area,fishing-super-rod,30 - 55,55%,,,,,
gyarados,gyarados,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-212-sinnoh-southern-area,fishing-super-rod,30 - 55,55%,,,,,
gyarados,gyarados,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-213-sinnoh,fishing-super-rod,30 - 40,40%,,,,,
gyarados,gyarados,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-214-sinnoh,fishing-super-rod,30 - 55,55%,,,,,
gyarados,gyarados,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-218-sinnoh,fishing-super-rod,30 - 55,55%,,,,,
gyarados,gyarados,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-219-sinnoh,fishing-super-rod,30 - 40,40%,,,,,
gyarados,gyarados,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-220-sinnoh,fishing-super-rod,30 - 40,40%,,,,,
gyarados,gyarados,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-221-sinnoh,fishing-super-rod,30 - 40,40%,,,,,
gyarados,gyarados,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-222-sinnoh,fishing-super-rod,30 - 40,40%,,,,,
gyarados,gyarados,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-223-sinnoh,fishing-super-rod,30 - 40,40%,,,,,
gyarados,gyarados,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-224-sinnoh,fishing-super-rod,30 - 40,40%,,,,,
gyarados,gyarados,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-225-sinnoh,fishing-super-rod,30 - 55,55%,,,,,
gyarados,gyarados,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-226-sinnoh,fishing-super-rod,30 - 40,40%,,,,,
gyarados,gyarados,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-227-sinnoh,fishing-super-rod,30 - 55,55%,,,,,
gyarados,gyarados,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-228-sinnoh,fishing-super-rod,30 - 55,55%,,,,,
gyarados,gyarados,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-229-sinnoh,fishing-super-rod,20 - 55,100%,,,,,
gyarados,gyarados,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-230-sinnoh,fishing-super-rod,30 - 40,40%,,,,,
gyarados,gyarados,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,sunyshore-city,fishing-super-rod,30 - 40,40%,,Added after obtaining the National PokéDex,,,
gyarados,gyarados,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,twinleaf-town,fishing-super-rod,30 - 55,55%,,,,,
gyarados,gyarados,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,valley-windworks,fishing-super-rod,30 - 40,40%,,,,,
gyarados,gyarados,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,victory-road-sinnoh-b1f,fishing-super-rod,20 - 55,100%,,,,,
gyarados,gyarados,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,victory-road-sinnoh-1f-back-2,fishing-super-rod,20 - 55,100%,,Area is only accessible after entering the Hall of Fame and obtaining the National Pokédex,,,
happiny,happiny,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,hearthome-city,egg,1,one,,,,,
happiny,happiny,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,trophy-garden,mr-backlot,"16, 18",5%,,Added after obtaining the National PokéDex,,,
haunter,haunter,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,snowpoint-city,npc-trade,33,one,medicham,,,,
haunter,haunter,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,turnback-cave-before-encountering-pillar,walking-around,44 - 46,30%,,,,,
haunter,haunter,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,turnback-cave-between-first-and-second-pillar,walking-around,54 - 56,30%,,,,,
haunter,haunter,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,turnback-cave-between-second-and-third-pillar,walking-around,64 - 66,30%,,,,,
hippopotas,hippopotas,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,big-bluff-cavern,walking-around,25 - 63,varies,,Added after obtaining TM97 (Defog),,,
hippopotas,hippopotas,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,maniac-tunnel,walking-around,22 - 23,5%,,Seen fewer than 10 Unown Forms,,,
hippopotas,hippopotas,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,maniac-tunnel,walking-around,22 - 24,10%,,Seen between 10 - 25 Unown  Forms,,,
hippopotas,hippopotas,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,maniac-tunnel,walking-around,22 - 25,20%,,Seen 26 or more Unown Forms,,,
hippopotas,hippopotas,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,rocky-cave,walking-around,25 - 63,varies,,Added after obtaining TM97 (Defog),,,
hippopotas,hippopotas,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,sandsear-cave,walking-around,25 - 63,varies,,Added after obtaining TM97 (Defog),,,
hippowdon,hippowdon,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-228-sinnoh,walking-tall-grass,52,,,,,10%,10%
hippowdon,hippowdon,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-228-sinnoh,walking-tall-grass,54,10%,,,,,
ho-oh,ho-oh,brilliant-diamond-shining-pearl,brilliant-diamond,ramanas-park-rainbow-room,special-encounter,70,one,,Inser the {Rainbow Slate;ITEM;rainbow-slate} to battle.,,,
hoothoot,hoothoot,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,fountainspring-cave,walking-around,25 - 63,varies,,Added after obtaining TM96 (Strength),,,
hoothoot,hoothoot,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,grassland-cave,walking-around,25 - 63,varies,,Added after obtaining TM96 (Strength),,,
hoothoot,hoothoot,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,great-marsh-area-1,walking-tall-grass,24,,,,10%,,
hoothoot,hoothoot,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,great-marsh-area-2,walking-tall-grass,24,,,,10%,,
hoothoot,hoothoot,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,great-marsh-area-3,walking-tall-grass,"22, 24",,,,20%,,
hoothoot,hoothoot,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,great-marsh-area-4,walking-tall-grass,"22, 24",,,,20%,,
hoothoot,hoothoot,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,great-marsh-area-5,walking-tall-grass,"20, 22",,,,20%,,
hoothoot,hoothoot,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,great-marsh-area-6,walking-tall-grass,"20, 22",,,,20%,,
hoothoot,hoothoot,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,riverbank-cave,walking-around,25 - 63,varies,,Added after obtaining TM96 (Strength),,,
hoothoot,hoothoot,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-210-sinnoh-northern-foggy-part,walking-tall-grass,24,,,,10%,,
hoothoot,hoothoot,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-211-sinnoh-western-part,walking-tall-grass,14,,,,10%,,
hoothoot,hoothoot,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,spacious-cave,walking-around,25 - 63,varies,,Added after obtaining TM96 (Strength),,,
hoothoot,hoothoot,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,still-water-cavern,walking-around,25 - 63,varies,,Added after obtaining TM96 (Strength),,,
hoothoot,hoothoot,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,sunlit-cavern,walking-around,25 - 63,varies,,Added after obtaining TM96 (Strength),,,
hoppip,hoppip,brilliant-diamond-shining-pearl,shining-pearl,fuego-ironworks,poke-radar,29,20%,,,,,
hoppip,hoppip,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,grassland-cave,walking-around,16 - 63,5%,,Added after obtaining the National PokéDex,,,
hoppip,hoppip,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-205-sinnoh-southern-part,poke-radar,9 - 10,22%,,,,,
hoppip,hoppip,brilliant-diamond-shining-pearl,brilliant-diamond,route-205-sinnoh-northern-part,poke-radar,11,20%,,,,,
hoppip,hoppip,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,sunlit-cavern,walking-around,16 - 63,varies,,Added after obtaining the National PokéDex,,,
horsea,horsea,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,fountainspring-cave,walking-around,16 - 63,varies,,Added after obtaining the National PokéDex,,,
horsea,horsea,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,riverbank-cave,walking-around,16 - 63,varies,,Added after obtaining the National PokéDex,,,
horsea,horsea,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,route-226-sinnoh,fishing-good-rod,10 - 25,45%,,,,,
horsea,horsea,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,still-water-cavern,walking-around,16 - 63,varies,,Added after obtaining the National PokéDex,,,
houndoom,houndoom,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,dazzling-cave,walking-around,16 - 63,varies,,Added after obtaining the National PokéDex,,,
houndoom,houndoom,brilliant-diamond-shining-pearl,brilliant-diamond,dazzling-cave,walking-around,16 - 63,20%,,,,,
houndoom,houndoom,brilliant-diamond-shining-pearl,shining-pearl,dazzling-cave,walking-around,16 - 63,25%,,,,,
houndoom,houndoom,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,sandsear-cave,walking-around,16 - 63,varies,,Added after obtaining the National PokéDex,,,
houndoom,houndoom,brilliant-diamond-shining-pearl,brilliant-diamond,sandsear-cave,walking-around,16 - 63,50%,,,,,
houndoom,houndoom,brilliant-diamond-shining-pearl,shining-pearl,sandsear-cave,walking-around,16 - 63,40%,,,,,
houndoom,houndoom,brilliant-diamond-shining-pearl,shining-pearl,route-214-sinnoh,poke-radar,23 - 24,22%,,,,,
houndoom,houndoom,brilliant-diamond-shining-pearl,shining-pearl,route-215-sinnoh,poke-radar,"20, 22",22%,,,,,
houndoom,houndoom,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,spacious-cave,walking-around,16 - 63,varies,,Added after obtaining the National PokéDex,,,
houndoom,houndoom,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,spacious-cave,walking-around,16 - 63,19%,,Added after obtaining the National PokéDex,,,
houndoom,houndoom,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,stargleam-cavern,walking-around,16 - 63,varies,,Added after obtaining the National PokéDex,,,
houndoom,houndoom,brilliant-diamond-shining-pearl,brilliant-diamond,stargleam-cavern,walking-around,16 - 63,20%,,Added after obtaining the National PokéDex,,,
houndoom,houndoom,brilliant-diamond-shining-pearl,shining-pearl,stargleam-cavern,walking-around,16 - 63,25%,,Added after obtaining the National PokéDex,,,
houndoom,houndoom,brilliant-diamond-shining-pearl,brilliant-diamond,typhlo-cavern,walking-around,16 - 63,50%,,Added after obtaining the National PokéDex,,,
houndoom,houndoom,brilliant-diamond-shining-pearl,shining-pearl,typhlo-cavern,walking-around,16 - 63,40%,,Added after obtaining the National PokéDex,,,
houndoom,houndoom,brilliant-diamond-shining-pearl,brilliant-diamond,volcanic-cave,walking-around,16 - 63,100%,,Added after obtaining the National PokéDex,,,
houndoom,houndoom,brilliant-diamond-shining-pearl,shining-pearl,volcanic-cave,walking-around,16 - 63,70%,,Added after obtaining the National PokéDex,,,
igglybuff,igglybuff,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,trophy-garden,mr-backlot,"16, 18",5%,,Added after obtaining the National PokéDex,,,
illumise,illumise,brilliant-diamond-shining-pearl,brilliant-diamond;shining-pearl,dazzling-cave,walking-around,16 - 63,varies,,Added after obtaining the National PokéDex,,,
