identifier,name,description
tera-raid-battle,Tera Raid Battle,"Tera Raid Battles, introduced in {SV;GAME;scarlet-violet}, are cooperative battles where players face Terastallized Pokémon in dens scattered throughout {Paldea;REGION;paldea}.<br/>Players can team up with three others or AI trainers to defeat these powered-up Pokémon, which have unique Tera Types that provide strategic advantages in battles.<br/>Rewards from successful Tera Raid Battles include EXP Candies, Tera Shards, and rare items like Ability Patches.<br/> Captured Pokémon retain their Tera Type, making these battles a critical method for obtaining Pokémon with advantageous type combinations."
walking-around,Walking Around,Walking around in this location may randomly trigger a wild Pokémon encounter.
walking-beach,Walking (Beach),Walking on beach tiles may randomly start a wild Pokémon encounter.
walking-dirt,Walking (Dirt),Walking on dirt tiles may randomly start a wild Pokémon encounter.
walking-purple-flowers,Walking (Purple Flowers),Walking through purple flower tiles may randomly start a wild Pokémon encounter.
walking-red-flowers,Walking (Red Flowers),Walking through red flower tiles may randomly start a wild Pokémon encounter.
walking-rough-patch,Walking (Rough Patch),Walking on rough patches may randomly start a wild Pokémon encounter.
walking-rough-terrain,Walking (Rough Terrain),Walking on rough terrain may randomly start a wild Pokémon encounter.
walking-sand,Walking (Sand),Walking on sand tiles may randomly start a wild Pokémon encounter.
walking-snow,Walking (Snow),Walking on snow tiles may randomly start a wild Pokémon encounter.
walking-swamp,Walking (Swamp),Walking on swamp tiles may randomly start a wild Pokémon encounter.
walking-tall-grass,Walking (Tall Grass),Walking on tall grass tiles may randomly start a wild Pokémon encounter.
walking-yellow-flowers,Walking (Yellow Flowers),Walking through yellow flower tiles may randomly start a wild Pokémon encounter.
wanderer,Wanderer,"Wanderers are specific Pokémon that roam particular areas in Pokémon games.<br/>Unlike static encounters, these Pokémon appear sporadically and are often more challenging to locate.<br/>Wanderers are typically higher-level Pokémon or have unique traits, such as specific moves or Hidden Abilities."
zygarde-cube-assemble,Zygarde Cube Assemble,"In {SM;GAME;sun-moon}, encounters tied to the Zygarde Cube involve collecting Zygarde Cells and Cores scattered throughout the {Alola;REGION;alola} region.<br/> These components are found in various locations, often requiring exploration during specific times of day.<br/>Once a sufficient number of Cells and Cores are collected, players can assemble {Zygarde;POKEMON;zygarde} in its 10%, 50%, or Complete Forme using the Reassembly Unit in {Route 16;LOCATION;alola-route-16}.<br/> While Zygarde itself is not directly encountered in the wild, these collectibles act as a unique encounter mechanic, culminating in obtaining a powerful Legendary Pokémon with customizable forms."
