item,generation,pocket,version_group,version
enigma-berry,8,berries,,
enigma-berry,9,berries,,
enigma-stone,4,key-items,heartgold-soulsilver,
enigma-stone,5,key-items,,
enigma-stone,6,key-items,,
enigma-stone,7,key-items,,
enigmatic-card,7,key-items,,
entei-treat,9,key-items,scarlet-violet,
eon-flute,6,key-items,omega-ruby-alpha-sapphire,
eon-flute,7,key-items,,
eon-mail,2,items,,
eon-ticket,3,key-items,,
eon-ticket,6,key-items,omega-ruby-alpha-sapphire,
eon-ticket,7,key-items,,
escape-rope,1,items,,
escape-rope,2,items,,
escape-rope,3,items,,
escape-rope,4,items,,
escape-rope,5,items,,
escape-rope,6,items,,
escape-rope,7,items,,
escape-rope,8,key-items,sword-shield,
escape-rope,8,items,brilliant-diamond-shining-pearl,
ether,1,items,,
ether,2,items,,
ether,3,items,,
ether,4,medicine,,
ether,5,medicine,,
ether,6,medicine,,
ether,7,medicine,,
ether,8,medicine,,
ether,9,medicine,,
everstone,2,items,,
everstone,3,items,,
everstone,4,items,,
everstone,5,items,,
everstone,6,items,,
everstone,7,items,,
everstone,8,items,,
everstone,9,items,,
eviolite,5,held-items,,
eviolite,6,items,,
eviolite,7,items,,
eviolite,8,items,,
eviolite,9,items,,
exeggcute-candy,7,candy-jar,lets-go-pikachu-lets-go-eevee,
exercise-ball,9,picnic-items,scarlet-violet,
exp-candy-l,8,items,sword-shield,
exp-candy-l,9,items,scarlet-violet,
exp-candy-m,8,items,sword-shield,
exp-candy-m,9,items,scarlet-violet,
exp-candy-s,8,items,sword-shield,
exp-candy-s,9,items,scarlet-violet,
exp-candy-xl,8,items,sword-shield,
exp-candy-xl,9,items,scarlet-violet,
exp-candy-xs,8,items,sword-shield,
exp-candy-xs,9,items,scarlet-violet,
exp-charm,8,key-items,sword-shield,
exp-charm,9,key-items,,
exp-share,1,items,,
exp-share,2,items,,
exp-share,3,items,,
exp-share,4,items,,
exp-share,5,held-items,,
exp-share,6,key-items,,
exp-share,7,key-items,,
expert-belt,4,items,,
expert-belt,5,items,,
expert-belt,6,items,,
expert-belt,7,items,,
expert-belt,8,items,sword-shield,
expert-belt,9,items,scarlet-violet,
explorer-kit,4,key-items,diamond-pearl,
explorer-kit,4,key-items,platinum,platinum
explorer-kit,5,key-items,,
explorer-kit,6,key-items,,
explorer-kit,7,key-items,,
explorer-kit,8,key-items,brilliant-diamond-shining-pearl,
fab-mail,3,items,,
fairium-z--held,7,z-crystals,,
fairy-feather,9,items,scarlet-violet,
fairy-gem,6,items,,
fairy-gem,7,items,,
fairy-memory,7,items,,
fairy-memory,8,items,,
fairy-tera-shard,9,items,scarlet-violet,
fame-checker,3,key-items,firered-leafgreen,
fame-checker,3,key-items,emerald,emerald
fancy-apple,8,ingredients,sword-shield,
farfetchd-candy,7,candy-jar,lets-go-pikachu-lets-go-eevee,
fashion-case,4,key-items,,
fashion-case,5,key-items,,
fashion-case,6,key-items,,
fashion-case,7,key-items,,
fast-ball,2,poke-balls,,
fast-ball,4,poke-balls,heartgold-soulsilver,
fast-ball,5,items,,
fast-ball,6,items,,
fast-ball,7,items,,
fast-ball,8,poke-balls,,
fast-ball,9,poke-balls,,
favored-mail,5,items,,
festival-ticket,7,items,,
fiery-pick,9,picnic-items,scarlet-violet,
fighting-gem,5,items,,
fighting-gem,6,items,,
fighting-gem,7,items,,
fighting-memory,7,items,,
fighting-memory,8,items,sword-shield,
fighting-tera-shard,9,items,scarlet-violet,
fightinium-z--held,7,z-crystals,,
figy-berry,3,berries,ruby-sapphire,
figy-berry,3,berries,emerald,emerald
figy-berry,4,berries,,
fire-gem,5,items,,
fire-gem,6,items,,
fire-gem,7,items,,
fire-memory,7,items,,
fire-memory,8,items,,
fire-pattern-cup,9,picnic-items,,
fire-stone,1,items,,
fire-stone,2,items,,
fire-stone,3,items,,
fire-stone,4,items,,
fire-stone,5,items,,
fire-stone,6,items,,
fire-stone,7,items,,
fire-stone,8,items,,
fire-stone,9,items,,
fire-tera-shard,9,items,scarlet-violet,
firium-z--held,7,z-crystals,,
fishing-rod,7,key-items,,
fishing-rod,8,key-items,sword-shield,
fist-plate,4,items,,
fist-plate,5,items,,
fist-plate,6,items,,
fist-plate,7,items,,
fist-plate,8,items,brilliant-diamond-shining-pearl,
fist-plate,9,items,,
flame-mail,4,mail,,
flame-orb,4,items,,
flame-orb,5,held-items,,
flame-orb,6,items,,
flame-orb,7,items,,
flame-orb,8,items,,
flame-orb,9,items,,
flame-plate,4,items,,
flame-plate,5,items,,
flame-plate,6,items,,
flame-plate,7,items,,
flame-plate,8,items,brilliant-diamond-shining-pearl,
flame-plate,9,items,,
float-stone,5,held-items,,
float-stone,6,items,,
float-stone,7,items,,
float-stone,8,items,,
float-stone,9,items,,
flower-mail,2,items,,
flower-pattern-cup,9,picnic-items,scarlet-violet,
flower-sweet,8,items,sword-shield,
fluffy-tail,3,items,,
fluffy-tail,4,battle-items,,
fluffy-tail,5,items,,
fluffy-tail,6,items,,
fluffy-tail,7,items,,
flying-gem,5,items,,
flying-gem,6,items,,
flying-gem,7,items,,
flying-memory,7,items,,
flying-memory,8,items,sword-shield,
flying-tera-shard,9,items,,
flyinium-z--held,7,z-crystals,,
focus-band,2,items,,
focus-band,3,items,,
focus-band,4,items,,
focus-band,5,items,,
focus-band,6,items,,
focus-band,7,items,,
focus-band,8,items,,
focus-band,9,items,,
focus-sash,4,items,,
focus-sash,5,items,,
focus-sash,6,items,,
focus-sash,7,items,,
focus-sash,8,items,,
focus-sash,9,items,,
forage-bag,7,key-items,,
fossilized-bird,8,treasures,sword-shield,
fossilized-dino,8,treasures,sword-shield,
fossilized-drake,8,treasures,sword-shield,
fossilized-fish,8,treasures,sword-shield,
fresh-cream,8,ingredients,sword-shield,
fresh-start-mochi,9,items,scarlet-violet,
fresh-water,1,items,,
fresh-water,2,items,,
fresh-water,3,items,,
fresh-water,4,medicine,,
fresh-water,5,medicine,,
fresh-water,6,medicine,,
fresh-water,7,medicine,,
fresh-water,8,medicine,,
fresh-water,9,medicine,,
fried-fillet,9,picnic-items,scarlet-violet,
fried-food,8,ingredients,sword-shield,
friend-ball,2,poke-balls,,
friend-ball,4,poke-balls,heartgold-soulsilver,
friend-ball,5,items,,
friend-ball,6,items,,
friend-ball,7,items,,
friend-ball,8,poke-balls,,
friend-ball,9,poke-balls,,
fruit-bunch,8,ingredients,sword-shield,
full-heal,1,items,,
full-heal,2,items,,
full-heal,3,items,,
full-heal,4,medicine,,
full-heal,5,medicine,,
full-heal,6,medicine,,
full-heal,7,medicine,,
full-heal,8,medicine,,
full-heal,9,medicine,,
full-incense,4,items,,
full-incense,5,items,,
full-incense,6,items,,
full-incense,7,items,,
full-incense,8,items,,
full-restore,1,items,,
full-restore,2,items,,
full-restore,3,items,,
full-restore,4,medicine,,
full-restore,5,medicine,,
full-restore,6,medicine,,
full-restore,7,medicine,,
full-restore,8,medicine,,
full-restore,9,medicine,,
galactic-key,4,key-items,,
galactic-key,7,key-items,ultra-sun-ultra-moon,
galactic-key,8,key-items,brilliant-diamond-shining-pearl,
galarica-cuff,8,items,sword-shield,
galarica-cuff,9,items,scarlet-violet,
galarica-twig,8,items,sword-shield,
galarica-wreath,8,items,sword-shield,
galarica-wreath,9,items,scarlet-violet,
galladite,6,items,omega-ruby-alpha-sapphire,
galladite,7,items,,
ganlon-berry,3,berries,ruby-sapphire,
ganlon-berry,3,berries,emerald,emerald
ganlon-berry,3,berry-pouch,firered-leafgreen,
ganlon-berry,4,berries,,
ganlon-berry,5,berries,,
ganlon-berry,6,berries,,
ganlon-berry,7,berries,,
ganlon-berry,8,berries,,
ganlon-berry,9,berries,,
garchompite,6,items,,
garchompite,7,items,,
gardevoirite,6,items,,
gardevoirite,7,items,,
gastly-candy,7,candy-jar,lets-go-pikachu-lets-go-eevee,
gb-sounds,4,key-items,heartgold-soulsilver,
gb-sounds,5,key-items,,
gb-sounds,6,key-items,,
gb-sounds,7,key-items,,
gengarite,6,items,,
gengarite,7,items,,
genius-wing,5,medicine,,
genius-wing,6,medicine,,
genius-wing,7,medicine,,
genius-wing,8,items,sword-shield,
genius-wing,9,items,scarlet-violet,
genius-mochi,9,items,scarlet-violet,
genome-slate,8,treasures,,
gentle-mint,8,items,,
gentle-mint,9,items,,
geodude-candy,7,candy-jar,lets-go-pikachu-lets-go-eevee,
ghost-gem,5,items,,
ghost-gem,6,items,,
ghost-gem,7,items,,
ghost-memory,7,items,,
ghost-memory,8,items,sword-shield,
ghost-tera-shard,9,items,scarlet-violet,
ghostium-z--held,7,z-crystals,,
gigantamix,8,ingredients,sword-shield,
glalitite,6,items,omega-ruby-alpha-sapphire,
glalitite,7,items,,
glastrier-treat,9,key-items,scarlet-violet,
glimmering-charm,9,key-items,scarlet-violet,
glitter-mail,3,items,,
go-goggles,3,key-items,,
go-goggles,6,key-items,omega-ruby-alpha-sapphire,
go-goggles,7,key-items,,
gold-berry,2,items,,
gold-bottle,9,picnic-items,scarlet-violet,
gold-bottle-cap,7,items,,
gold-bottle-cap,8,treasures,,
gold-bottle-cap,9,items,,
gold-cup,9,picnic-items,scarlet-violet,
gold-leaf,2,items,,
gold-leaf,7,items,,
gold-pick,9,picnic-items,scarlet-violet,
gold-teeth,1,key-items,red-blue,
gold-teeth,1,key-items,yellow,yellow
gold-teeth,3,key-items,firered-leafgreen,
gold-teeth,7,items,lets-go-pikachu-lets-go-eevee,
goldeen-candy,7,candy-jar,lets-go-pikachu-lets-go-eevee,
golden-nanab-berry,7,catching-pocket,lets-go-pikachu-lets-go-eevee,
golden-pinap-berry,7,catching-pocket,lets-go-pikachu-lets-go-eevee,
golden-razz-berry,7,catching-pocket,,
good-rod,1,key-items,,
good-rod,2,key-items,,
good-rod,3,key-items,,
good-rod,4,key-items,,
good-rod,5,key-items,,
good-rod,6,key-items,,
good-rod,7,key-items,,
good-rod,8,key-items,brilliant-diamond-shining-pearl,
gooey-mulch,4,items,,
gooey-mulch,5,items,,
gooey-mulch,6,items,,
gooey-mulch,7,items,,
gorgeous-box,2,items,,
gracidea,4,key-items,platinum,platinum
gracidea,5,key-items,,
gracidea,6,key-items,,
gracidea,7,key-items,,
gracidea,8,key-items,brilliant-diamond-shining-pearl,
gracidea,9,key-items,,
gram-1,5,key-items,,
gram-2,5,key-items,,
gram-3,5,key-items,,
grass-gem,5,items,,
grass-gem,6,items,,
grass-gem,7,items,,
grass-mail,4,mail,,
grass-memory,7,items,,
grass-memory,8,items,,
grass-tera-shard,9,items,scarlet-violet,
grassium-z--held,7,z-crystals,sun-moon,
grassy-seed,7,items,,
grassy-seed,8,items,,
grassy-seed,9,items,,
great-ball,1,items,red-blue,
great-ball,2,poke-balls,gold-silver,
great-ball,2,poke-balls,crystal,crystal
great-ball,3,poke-balls,ruby-sapphire,
great-ball,3,poke-balls,emerald,emerald
great-ball,4,poke-balls,diamond-pearl,
great-ball,4,poke-balls,platinum,platinum
great-ball,5,items,black-white,
great-ball,6,items,x-y,
great-ball,7,items,sun-moon,
great-ball,8,poke-balls,sword-shield,
great-ball,9,poke-balls,scarlet-violet,
green-apricorn,2,items,,
green-apricorn,4,items,heartgold-soulsilver,
green-apricorn,5,items,,
green-apricorn,6,items,,
green-apricorn,7,items,,
green-apricorn,8,items,,
green-apricorn,9,items,,
green-bell-pepper,9,picnic-items,scarlet-violet,
green-dish,9,picnic-items,scarlet-violet,
green-petal,7,key-items,ultra-sun-ultra-moon,
green-poke-ball-pick,9,picnic-items,scarlet-violet,
green-scarf,3,items,,
green-scarf,4,items,,
green-scarf,5,items,,
green-scarf,6,items,,
green-scarf,7,items,,
green-scarf,8,items,sword-shield,
green-shard,3,items,,
green-shard,4,items,,
green-shard,5,items,,
green-shard,6,items,,
green-shard,7,items,,
green-shard,8,items,sword-shield,
greet-mail,5,items,,
grepa-berry,3,berries,ruby-sapphire,
grepa-berry,3,berries,emerald,emerald
grepa-berry,3,berry-pouch,firered-leafgreen,
grepa-berry,4,berries,,
grepa-berry,5,berries,,
grepa-berry,6,berries,,
grepa-berry,7,berries,,
grepa-berry,8,berries,,
grepa-berry,9,berries,,
grimer-candy,7,candy-jar,lets-go-pikachu-lets-go-eevee,
grip-claw,4,items,,
grip-claw,5,held-items,,
grip-claw,6,items,,
grip-claw,7,items,,
grip-claw,8,items,,
grip-claw,9,items,,
griseous-core,9,items,scarlet-violet,
griseous-orb,4,items,platinum,platinum
griseous-orb,5,items,,
griseous-orb,6,items,,
griseous-orb,7,items,,
griseous-orb,8,items,sword-shield,
griseous-orb,9,items,scarlet-violet,
grit-dust,8,items,,
groudon-treat,9,key-items,scarlet-violet,
ground-gem,5,items,,
ground-gem,6,items,,
ground-gem,7,items,,
ground-memory,7,items,,
ground-memory,8,items,,
ground-tera-shard,9,items,scarlet-violet,
groundium-z--held,7,z-crystals,,
growlithe-candy,7,candy-jar,lets-go-pikachu-lets-go-eevee,
growth-mulch,4,items,,
growth-mulch,5,items,,
growth-mulch,6,items,,
growth-mulch,7,items,,
grubby-hanky,5,key-items,black-2-white-2,
grubby-hanky,6,key-items,,
grubby-hanky,7,key-items,,
gs-ball,2,key-items,,
guard-spec,1,items,,
guard-spec,4,battle-items,,
guard-spec,8,battle-items,,
guard-spec,9,battle-items,,
guidebook,4,key-items,,
guidebook,5,key-items,,
guidebook,6,key-items,,
guidebook,7,key-items,,
guidebook,8,key-items,brilliant-diamond-shining-pearl,
gyaradosite,6,items,,
gyaradosite,7,items,,
haban-berry,4,berries,,
haban-berry,5,berries,,
haban-berry,6,berries,,
haban-berry,7,berries,,
haban-berry,8,berries,,
haban-berry,9,berries,,
ham,9,picnic-items,scarlet-violet,
hamburger,9,picnic-items,scarlet-violet,
harbor-mail,3,items,,
hard-stone,2,items,,
hard-stone,3,items,,
hard-stone,4,items,,
hard-stone,5,items,,
hard-stone,6,items,,
hard-stone,7,items,,
hard-stone,8,items,,
hard-stone,9,items,,
hasty-mint,8,items,sword-shield,
hasty-mint,9,items,scarlet-violet,
heal-ball,4,poke-balls,,
heal-ball,5,poke-balls,,
heal-ball,6,items,,
heal-ball,7,items,,
heal-ball,8,poke-balls,,
heal-ball,9,poke-balls,,
heal-powder,2,items,,
heal-powder,3,items,,
heal-powder,4,medicine,,
heal-powder,5,medicine,,
heal-powder,6,medicine,,
heal-powder,7,medicine,,
heal-powder,8,medicine,,
heal-powder,9,medicine,,
health-candy,7,candy-jar,,
health-candy-l,7,candy-jar,,
health-candy-xl,7,candy-jar,,
health-wing,5,medicine,,
health-wing,6,medicine,,
health-wing,7,medicine,,
health-wing,8,items,,
health-wing,9,items,,
health-mochi,9,items,scarlet-violet,
heart-mail,4,mail,heartgold-soulsilver,
heart-scale,3,items,,
heart-scale,4,items,,
heart-scale,5,items,,
heart-scale,6,items,,
heart-scale,7,items,,
heart-scale,8,items,sword-shield,
hearthflame-mask,9,items,scarlet-violet,
heat-rock,4,items,,
heat-rock,5,items,,
heat-rock,6,items,,
heat-rock,7,items,,
heat-rock,8,items,,
heat-rock,9,items,,
heavy-ball,2,poke-balls,,
heavy-ball,4,poke-balls,heartgold-soulsilver,
heavy-ball,5,items,,
heavy-ball,6,items,,
heavy-ball,7,items,,
heavy-ball,8,poke-balls,,
heavy-ball,9,poke-balls,,
heavy-duty-boots,8,items,sword-shield,
heavy-duty-boots,9,items,scarlet-violet,
helix-fossil,1,key-items,red-blue,
helix-fossil,3,key-items,firered-leafgreen,
helix-fossil,4,items,,
helix-fossil,8,treasures,brilliant-diamond-shining-pearl,
heracronite,6,items,,
heracronite,7,items,,
herbed-sausage,9,picnic-items,scarlet-violet,
heroic-sword-pick,9,picnic-items,scarlet-violet,
hi-tech-earbuds,8,key-items,,
hitmonchan-candy,7,candy-jar,lets-go-pikachu-lets-go-eevee,
hitmonlee-candy,7,candy-jar,lets-go-pikachu-lets-go-eevee,
hm01,1,items,red-blue,
hm01,1,items,yellow,yellow
hm01,2,tms-and-hms,gold-silver,
hm01,2,tms-and-hms,crystal,crystal
hm01,3,tms-and-hms,ruby-sapphire,
hm01,3,tms-and-hms,emerald,emerald
hm01,3,tm-case,firered-leafgreen,
hm01,4,tms-and-hms,,
hm01,5,tms-and-hms,,
hm01,6,tms-and-hms,,
hm02,1,items,,
hm02,2,tms-and-hms,,
hm02,3,tms-and-hms,ruby-sapphire,
hm02,3,tms-and-hms,emerald,emerald
hm02,3,tm-case,firered-leafgreen,
hm02,4,tms-and-hms,,
hm02,5,tms-and-hms,,
hm02,6,tms-and-hms,,
hm03,1,items,,
hm03,2,tms-and-hms,,
hm03,3,tms-and-hms,ruby-sapphire,
hm03,3,tms-and-hms,emerald,emerald
hm03,3,tm-case,firered-leafgreen,
hm03,4,tms-and-hms,,
hm03,5,tms-and-hms,,
hm03,6,tms-and-hms,,
hm04,1,items,,
hm04,2,tms-and-hms,,
hm04,3,tms-and-hms,ruby-sapphire,
hm04,3,tms-and-hms,emerald,emerald
hm04,3,tm-case,firered-leafgreen,
hm04,4,tms-and-hms,,
hm04,5,tms-and-hms,,
hm04,6,tms-and-hms,,
hm05,1,items,,
hm05,2,tms-and-hms,,
hm05,3,tms-and-hms,ruby-sapphire,
hm05,3,tms-and-hms,emerald,emerald
hm05,3,tm-case,firered-leafgreen,
hm05,4,tms-and-hms,,
hm05,5,tms-and-hms,,
hm05,6,tms-and-hms,,
hm06,2,tms-and-hms,,
hm06,3,tms-and-hms,ruby-sapphire,
hm06,3,tms-and-hms,emerald,emerald
hm06,3,tm-case,firered-leafgreen,
hm06,4,tms-and-hms,,
hm06,5,tms-and-hms,,
hm06,6,tms-and-hms,,
hm07,2,tms-and-hms,,
hm07,3,tms-and-hms,ruby-sapphire,
hm07,3,tm-case,firered-leafgreen,
hm07,4,tms-and-hms,,
hm07,5,tms-and-hms,,
hm07,6,tms-and-hms,,
hm08,3,tms-and-hms,ruby-sapphire,
hm08,3,tms-and-hms,emerald,emerald
hm08,3,tm-case,firered-leafgreen,
hm08,4,tms-and-hms,,
ho-oh-treat,9,key-items,,
holo-caster,6,key-items,,
holo-caster,7,key-items,,
hondew-berry,3,berries,ruby-sapphire,
hondew-berry,3,berries,emerald,emerald
hondew-berry,3,berry-pouch,firered-leafgreen,
hondew-berry,4,berries,,
hondew-berry,5,berries,,
hondew-berry,6,berries,,
hondew-berry,7,berries,,
hondew-berry,8,berries,,
hondew-berry,9,berries,,
honey,4,items,,
honey,5,items,,
honey,6,items,,
honey,7,items,,
honey,8,treasures,,
honey,9,treasures,,
honey-cake,8,medicine,,
honor-of-kalos,6,key-items,,
honor-of-kalos,7,key-items,,
hopo-berry,8,berries,,
horsea-candy,7,candy-jar,lets-go-pikachu-lets-go-eevee,
horseradish,9,picnic-items,scarlet-violet,
houndoominite,6,items,,
houndoominite,7,items,,
hp-up,1,items,,
hp-up,2,items,,
hp-up,3,items,,
hp-up,4,medicine,,
hp-up,5,medicine,,
hp-up,6,medicine,,
hp-up,7,medicine,,
hp-up,8,items,,
hp-up,9,items,,
hyper-grepa-berry,9,berries,,
hyper-kelpsy-berry,9,berries,,
hyper-lum-berry,9,berries,,
hyper-oran-berry,9,berries,,
hyper-potion,1,items,,
hyper-potion,2,items,,
hyper-potion,3,items,,
hyper-potion,4,medicine,,
hyper-potion,5,medicine,,
hyper-potion,6,medicine,,
hyper-potion,7,medicine,,
hyper-potion,8,medicine,,
hyper-potion,9,medicine,,
hyper-yache-berry,9,berries,,
iapapa-berry,3,berries,ruby-sapphire,
iapapa-berry,3,berries,emerald,emerald
iapapa-berry,3,berry-pouch,firered-leafgreen,
iapapa-berry,4,berries,,
iapapa-berry,5,berries,,
iapapa-berry,6,berries,,
iapapa-berry,7,berries,,
iapapa-berry,8,berries,sword-shield,
iapapa-berry,8,berries,brilliant-diamond-shining-pearl,
iapapa-berry,9,berries,,
ice-berry,2,items,,
ice-gem,5,items,,
ice-gem,6,items,,
ice-gem,7,items,,
ice-heal,1,items,,
ice-heal,2,items,,
ice-heal,3,items,,
ice-heal,4,medicine,,
ice-heal,5,medicine,,
ice-heal,6,medicine,,
ice-heal,7,medicine,,
ice-heal,8,medicine,,
ice-heal,9,medicine,,
ice-memory,7,items,,
ice-memory,8,items,sword-shield,
ice-stone,7,items,,
ice-stone,8,items,,
ice-stone,9,items,,
ice-tera-shard,9,items,scarlet-violet,
iceroot-carrot,8,key-items,sword-shield,
icicle-plate,4,items,,
icicle-plate,5,items,,
icicle-plate,6,items,,
icicle-plate,7,items,,
icicle-plate,8,items,brilliant-diamond-shining-pearl,
icicle-plate,9,items,,
icium-z--held,7,z-crystals,,
icy-rock,4,items,,
icy-rock,5,items,,
icy-rock,6,items,,
icy-rock,7,items,,
icy-rock,8,items,,
icy-rock,9,items,,
ilimas-normalium-z,7,key-items,ultra-sun-ultra-moon,
impish-mint,8,items,,
impish-mint,9,items,,
incinium-z--held,7,z-crystals,,
indigo-disk,9,key-items,scarlet-violet,
indigo-style-card,9,key-items,scarlet-violet,
inquiry-mail,5,items,,
insect-plate,4,items,,
insect-plate,5,items,,
insect-plate,6,items,,
insect-plate,7,items,,
insect-plate,8,items,brilliant-diamond-shining-pearl,
insect-plate,9,items,,
instant-noodles,8,ingredients,sword-shield,
intriguing-stone,6,key-items,,
intriguing-stone,7,key-items,,
iron,1,items,,
iron,2,items,,
iron,3,items,,
iron,4,medicine,,
iron,5,medicine,,
iron,6,medicine,,
iron,7,medicine,,
iron,8,items,,
iron,9,items,,
iron-ball,4,items,,
iron-ball,5,items,,
iron-ball,6,items,,
iron-ball,7,items,,
iron-ball,8,items,,
iron-ball,9,items,,
iron-plate,4,items,,
iron-plate,5,items,,
iron-plate,6,items,,
iron-plate,7,items,,
iron-plate,8,items,brilliant-diamond-shining-pearl,
iron-plate,9,items,,
item-drop,5,items,black-white,
item-drop,5,items,black-2-white-2,
item-urge,5,items,black-white,
item-urge,5,items,black-2-white-2,
jaboca-berry,4,berries,,
jaboca-berry,5,berries,,
jaboca-berry,6,berries,,
jaboca-berry,7,berries,,
jaboca-berry,8,berries,,
jaboca-berry,9,berries,,
jade-orb,4,key-items,heartgold-soulsilver,
jade-orb,5,key-items,,
jade-orb,6,key-items,,
jade-orb,7,key-items,,
jalapeno,9,picnic-items,scarlet-violet,
jam,9,picnic-items,scarlet-violet,
jaw-fossil,6,items,,
jaw-fossil,7,items,,
jigglypuff-candy,7,candy-jar,lets-go-pikachu-lets-go-eevee,
johto-slate,8,treasures,brilliant-diamond-shining-pearl,
jolly-mint,8,items,,
jolly-mint,9,items,,
jynx-candy,7,candy-jar,lets-go-pikachu-lets-go-eevee,
kabuto-candy,7,candy-jar,lets-go-pikachu-lets-go-eevee,
kangaskhan-candy,7,candy-jar,lets-go-pikachu-lets-go-eevee,
kangaskhanite,6,items,,
kangaskhanite,7,items,,
kanto-slate,8,treasures,,
kasib-berry,4,berries,,
kasib-berry,5,berries,,
kasib-berry,6,berries,,
kasib-berry,7,berries,,
kasib-berry,8,berries,,
kasib-berry,9,berries,,
kebia-berry,4,berries,,
kebia-berry,5,berries,,
kebia-berry,6,berries,,
kebia-berry,7,berries,,
kebia-berry,8,berries,,
kebia-berry,9,berries,,
kee-berry,6,berries,,
kee-berry,7,berries,,
kee-berry,8,berries,,
kee-berry,9,berries,,
kelpsy-berry,3,berries,ruby-sapphire,
kelpsy-berry,3,berries,emerald,emerald
kelpsy-berry,3,berry-pouch,firered-leafgreen,
kelpsy-berry,4,berries,,
kelpsy-berry,5,berries,,
kelpsy-berry,6,berries,,
kelpsy-berry,7,berries,,
kelpsy-berry,8,berries,,
kelpsy-berry,9,berries,,
ketchup,9,picnic-items,scarlet-violet,
key-stone,6,key-items,,
key-stone,7,key-items,,
key-to-room-1,3,key-items,,
key-to-room-1,6,key-items,omega-ruby-alpha-sapphire,
key-to-room-1,7,key-items,,
key-to-room-2,3,key-items,,
key-to-room-2,6,key-items,omega-ruby-alpha-sapphire,
key-to-room-2,7,key-items,,
key-to-room-4,3,key-items,,
key-to-room-4,6,key-items,omega-ruby-alpha-sapphire,
key-to-room-4,7,key-items,,
key-to-room-6,3,key-items,,
key-to-room-6,6,key-items,omega-ruby-alpha-sapphire,
key-to-room-6,7,key-items,,
kings-rock,2,items,,
kings-rock,8,items,,
kings-rock,9,items,,
kiwi,9,picnic-items,scarlet-violet,
klawf-stick,9,picnic-items,scarlet-violet,
koffing-candy,7,candy-jar,lets-go-pikachu-lets-go-eevee,
kofus-wallet,9,key-items,scarlet-violet,
kommonium-z--held,7,z-crystals,ultra-sun-ultra-moon,
koraidons-poke-ball,9,key-items,scarlet-violet,
krabby-candy,7,candy-jar,lets-go-pikachu-lets-go-eevee,
kubfu-treat,9,key-items,scarlet-violet,
kyogre-treat,9,key-items,,
kyurem-treat,9,key-items,scarlet-violet,
lagging-tail,4,items,,
lagging-tail,5,items,,
lagging-tail,6,items,,
lagging-tail,7,items,,
lagging-tail,8,items,,
lagging-tail,9,items,,
lansat-berry,3,berries,ruby-sapphire,
lansat-berry,3,berries,emerald,emerald
lansat-berry,4,berries,,
lansat-berry,5,berries,,
lansat-berry,6,berries,,
lansat-berry,7,berries,,
lansat-berry,8,berries,,
lansat-berry,9,berries,,
lapras-candy,7,candy-jar,lets-go-pikachu-lets-go-eevee,
large-leek,8,ingredients,sword-shield,
latias-treat,9,key-items,scarlet-violet,
latiasite,6,items,,
latiasite,7,items,,
latios-treat,9,key-items,scarlet-violet,
latiosite,6,items,,
latiosite,7,items,,
lava-cookie,3,items,,
lava-cookie,4,medicine,,
lava-cookie,5,medicine,,
lava-cookie,6,medicine,,
lava-cookie,7,medicine,,
lava-cookie,8,medicine,,
lax-incense,3,items,,
lax-incense,4,items,,
lax-incense,5,items,,
lax-incense,6,items,,
lax-incense,7,items,,
lax-incense,8,items,sword-shield,
lax-mint,8,items,sword-shield,
lax-mint,9,items,scarlet-violet,
leaders-crest,9,items,scarlet-violet,
leaf-letter--pikachu,7,items,,
leaf-stone,1,items,,
leaf-stone,8,items,,
leaf-stone,9,items,,
leafy-chairs,9,picnic-items,scarlet-violet,
leafy-tablecloth,9,picnic-items,scarlet-violet,
stick,2,items,,
stick,3,items,,
stick,4,items,,
stick,5,items,,
stick,6,items,,
stick,7,items,,
stick,8,items,sword-shield,
left-poke-ball,7,key-items,ultra-sun-ultra-moon,
leftovers,2,items,,
leftovers,3,items,,
leftovers,4,items,,
leftovers,5,items,,
leftovers,6,items,,
leftovers,7,items,,
leftovers,8,items,,
leftovers,9,items,,
legend-plate,8,key-items,,
legendary-clue-1,8,key-items,,
legendary-clue-2,8,key-items,,
legendary-clue-3,8,key-items,,
legendary-clue-question,8,key-items,,
lemonade,1,items,,
lemonade,2,items,,
lemonade,3,items,,
lemonade,4,medicine,,
lemonade,5,medicine,,
lemonade,6,medicine,,
lemonade,7,medicine,,
lemonade,8,medicine,,
lemonade,9,medicine,,
lens-case,6,key-items,,
lens-case,7,key-items,,
leppa-berry,3,berries,ruby-sapphire,
leppa-berry,3,berries,emerald,emerald
leppa-berry,3,berry-pouch,firered-leafgreen,
leppa-berry,4,berries,,
letter,3,key-items,,
letter,6,key-items,omega-ruby-alpha-sapphire,
letter,7,key-items,,
lettuce,9,picnic-items,scarlet-violet,
level-ball,2,poke-balls,,
level-ball,4,poke-balls,heartgold-soulsilver,
level-ball,5,items,,
level-ball,6,items,,
level-ball,7,items,,
level-ball,8,poke-balls,,
level-ball,9,poke-balls,,
liberty-pass,5,key-items,,
liberty-pass,6,key-items,,
liberty-pass,7,key-items,,
lickitung-candy,7,candy-jar,lets-go-pikachu-lets-go-eevee,
liechi-berry,3,berries,ruby-sapphire,
liechi-berry,3,berries,emerald,emerald
liechi-berry,3,berry-pouch,firered-leafgreen,
liechi-berry,4,berries,,
liechi-berry,5,berries,,
