pokemon,ability_1,ability_2,ability_hidden
togedemaru,iron-barbs,lightning-rod,sturdy
mimikyu-disguised,disguise,,
bruxish,dazzling,strong-jaw,wonder-skin
drampa,berserk,sap-sipper,cloud-nine
dhelmise,steelworker,,
jangmo-o,bulletproof,soundproof,overcoat
hakamo-o,bulletproof,soundproof,overcoat
kommo-o,bulletproof,soundproof,overcoat
tapu-koko,electric-surge,,telepathy
tapu-lele,psychic-surge,,telepathy
tapu-bulu,grassy-surge,,telepathy
tapu-fini,misty-surge,,telepathy
cosmog,unaware,,
cosmoem,sturdy,,
solgaleo,full-metal-body,,
lunala,shadow-shield,,
nihilego,beast-boost,,
buzzwole,beast-boost,,
pheromosa,beast-boost,,
xurkitree,beast-boost,,
celesteela,beast-boost,,
kartana,beast-boost,,
guzzlord,beast-boost,,
necrozma,prism-armor,,
magearna,soul-heart,,
marshadow,technician,,
poipole,beast-boost,,
naganadel,beast-boost,,
stakataka,beast-boost,,
blacephalon,beast-boost,,
zeraora,volt-absorb,,
meltan,magnet-pull,,
melmetal,iron-fist,,
grookey,overgrow,,grassy-surge
thwackey,overgrow,,grassy-surge
rillaboom,overgrow,,grassy-surge
scorbunny,blaze,,libero
raboot,blaze,,libero
cinderace,blaze,,libero
sobble,torrent,,sniper
drizzile,torrent,,sniper
inteleon,torrent,,sniper
skwovet,cheek-pouch,,gluttony
greedent,cheek-pouch,,gluttony
rookidee,keen-eye,unnerve,big-pecks
corvisquire,keen-eye,unnerve,big-pecks
corviknight,pressure,unnerve,mirror-armor
blipbug,swarm,compound-eyes,telepathy
dottler,swarm,compound-eyes,telepathy
orbeetle,swarm,frisk,telepathy
nickit,run-away,unburden,stakeout
thievul,run-away,unburden,stakeout
gossifleur,cotton-down,regenerator,effect-spore
eldegoss,cotton-down,regenerator,effect-spore
wooloo,fluffy,run-away,bulletproof
dubwool,fluffy,steadfast,bulletproof
chewtle,strong-jaw,shell-armor,swift-swim
drednaw,strong-jaw,shell-armor,swift-swim
yamper,ball-fetch,,rattled
boltund,strong-jaw,,competitive
rolycoly,steam-engine,heatproof,flash-fire
carkol,steam-engine,flame-body,flash-fire
coalossal,steam-engine,flame-body,flash-fire
applin,ripen,gluttony,bulletproof
flapple,ripen,gluttony,hustle
appletun,ripen,gluttony,thick-fat
silicobra,sand-spit,shed-skin,sand-veil
sandaconda,sand-spit,shed-skin,sand-veil
cramorant,gulp-missile,,
arrokuda,swift-swim,,propeller-tail
barraskewda,swift-swim,,propeller-tail
toxel,rattled,static,klutz
toxtricity-amped,punk-rock,plus,technician
sizzlipede,flash-fire,white-smoke,flame-body
centiskorch,flash-fire,white-smoke,flame-body
clobbopus,limber,,technician
grapploct,limber,,technician
sinistea,weak-armor,,cursed-body
polteageist,weak-armor,,cursed-body
hatenna,healer,anticipation,magic-bounce
hattrem,healer,anticipation,magic-bounce
hatterene,healer,anticipation,magic-bounce
impidimp,prankster,frisk,pickpocket
morgrem,prankster,frisk,pickpocket
grimmsnarl,prankster,frisk,pickpocket
obstagoon,reckless,guts,defiant
perrserker,battle-armor,tough-claws,steely-spirit
cursola,weak-armor,,perish-body
sirfetchd,steadfast,,scrappy
mr-rime,tangled-feet,screen-cleaner,ice-body
runerigus,wandering-spirit,,
milcery,sweet-veil,,aroma-veil
alcremie,sweet-veil,,aroma-veil
falinks,battle-armor,,defiant
pincurchin,lightning-rod,,electric-surge
snom,shield-dust,,ice-scales
frosmoth,shield-dust,,ice-scales
stonjourner,power-spot,,
eiscue-ice,ice-face,,
indeedee-male,inner-focus,synchronize,psychic-surge
morpeko-full-belly,hunger-switch,,
cufant,sheer-force,,heavy-metal
copperajah,sheer-force,,heavy-metal
dracozolt,volt-absorb,hustle,sand-rush
arctozolt,volt-absorb,static,slush-rush
dracovish,water-absorb,strong-jaw,sand-rush
arctovish,water-absorb,ice-body,slush-rush
duraludon,light-metal,heavy-metal,stalwart
dreepy,clear-body,infiltrator,cursed-body
drakloak,clear-body,infiltrator,cursed-body
dragapult,clear-body,infiltrator,cursed-body
zacian,intrepid-sword,,
zamazenta,dauntless-shield,,
eternatus,pressure,,
kubfu,inner-focus,,
urshifu-single-strike,unseen-fist,,
zarude,leaf-guard,,
regieleki,transistor,,
regidrago,dragons-maw,,
glastrier,chilling-neigh,,
spectrier,grim-neigh,,
calyrex,unnerve,,
wyrdeer,intimidate,frisk,sap-sipper
kleavor,swarm,sheer-force,sharpness
ursaluna,guts,bulletproof,unnerve
basculegion-male,swift-swim,adaptability,mold-breaker
sneasler,pressure,unburden,poison-touch
overqwil,poison-point,swift-swim,intimidate
enamorus-incarnate,cute-charm,,contrary
sprigatito,overgrow,,protean
floragato,overgrow,,protean
meowscarada,overgrow,,protean
fuecoco,blaze,,unaware
crocalor,blaze,,unaware
skeledirge,blaze,,unaware
quaxly,torrent,,moxie
quaxwell,torrent,,moxie
quaquaval,torrent,,moxie
lechonk,aroma-veil,gluttony,thick-fat
oinkologne-male,lingering-aroma,gluttony,thick-fat
tarountula,insomnia,,stakeout
spidops,insomnia,,stakeout
nymble,swarm,,tinted-lens
lokix,swarm,,tinted-lens
pawmi,static,natural-cure,iron-fist
pawmo,volt-absorb,natural-cure,iron-fist
pawmot,volt-absorb,natural-cure,iron-fist
tandemaus,run-away,pickup,own-tempo
maushold-family-of-four,friend-guard,cheek-pouch,technician
fidough,own-tempo,,klutz
dachsbun,well-baked-body,,aroma-veil
smoliv,early-bird,,harvest
dolliv,early-bird,,harvest
arboliva,seed-sower,,harvest
squawkabilly-green-plumage,intimidate,hustle,guts
nacli,purifying-salt,sturdy,clear-body
naclstack,purifying-salt,sturdy,clear-body
garganacl,purifying-salt,sturdy,clear-body
charcadet,flash-fire,,flame-body
armarouge,flash-fire,,weak-armor
ceruledge,flash-fire,,weak-armor
tadbulb,own-tempo,static,damp
bellibolt,electromorphosis,static,damp
wattrel,wind-power,volt-absorb,competitive
kilowattrel,wind-power,volt-absorb,competitive
maschiff,intimidate,run-away,stakeout
mabosstiff,intimidate,guard-dog,stakeout
shroodle,unburden,pickpocket,prankster
grafaiai,unburden,poison-touch,prankster
bramblin,wind-rider,,infiltrator
brambleghast,wind-rider,,infiltrator
toedscool,mycelium-might,,
toedscruel,mycelium-might,,
klawf,anger-shell,shell-armor,regenerator
capsakid,chlorophyll,insomnia,klutz
scovillain,chlorophyll,insomnia,moody
rellor,compound-eyes,,shed-skin
rabsca,synchronize,,telepathy
flittle,anticipation,frisk,speed-boost
espathra,opportunist,frisk,speed-boost
tinkatink,mold-breaker,own-tempo,pickpocket
tinkatuff,mold-breaker,own-tempo,pickpocket
tinkaton,mold-breaker,own-tempo,pickpocket
wiglett,gooey,rattled,sand-veil
wugtrio,gooey,rattled,sand-veil
bombirdier,big-pecks,keen-eye,rocky-payload
finizen,water-veil,,
palafin-zero,zero-to-hero,,
varoom,overcoat,,slow-start
revavroom,overcoat,,filter
cyclizar,shed-skin,,regenerator
orthworm,earth-eater,,sand-veil
glimmet,toxic-debris,,corrosion
glimmora,toxic-debris,,corrosion
greavard,pickup,,fluffy
houndstone,sand-rush,,fluffy
flamigo,scrappy,tangled-feet,costar
cetoddle,thick-fat,snow-cloak,sheer-force
cetitan,thick-fat,slush-rush,sheer-force
veluza,mold-breaker,,sharpness
dondozo,unaware,oblivious,water-veil
tatsugiri-curly,commander,,storm-drain
annihilape,vital-spirit,inner-focus,defiant
clodsire,poison-point,water-absorb,unaware
farigiraf,cud-chew,armor-tail,sap-sipper
dudunsparce-two-segment,serene-grace,run-away,rattled
kingambit,defiant,supreme-overlord,pressure
great-tusk,protosynthesis,,
scream-tail,protosynthesis,,
brute-bonnet,protosynthesis,,
flutter-mane,protosynthesis,,
slither-wing,protosynthesis,,
sandy-shocks,protosynthesis,,
iron-treads,quark-drive,,
iron-bundle,quark-drive,,
iron-hands,quark-drive,,
iron-jugulis,quark-drive,,
iron-moth,quark-drive,,
iron-thorns,quark-drive,,
frigibax,thermal-exchange,,ice-body
arctibax,thermal-exchange,,ice-body
baxcalibur,thermal-exchange,,ice-body
gimmighoul,rattled,,
gholdengo,good-as-gold,,
wo-chien,tablets-of-ruin,,
chien-pao,sword-of-ruin,,
ting-lu,vessel-of-ruin,,
chi-yu,beads-of-ruin,,
roaring-moon,protosynthesis,,
iron-valiant,quark-drive,,
koraidon,orichalcum-pulse,,
miraidon,hadron-engine,,
walking-wake,protosynthesis,,
iron-leaves,quark-drive,,
dipplin,supersweet-syrup,gluttony,sticky-hold
poltchageist,hospitality,,heatproof
sinistcha,hospitality,,heatproof
okidogi,toxic-chain,,guard-dog
munkidori,toxic-chain,,frisk
fezandipiti,toxic-chain,,technician
ogerpon,defiant,,
archaludon,stamina,sturdy,stalwart
hydrapple,supersweet-syrup,regenerator,sticky-hold
gouging-fire,protosynthesis,,
raging-bolt,protosynthesis,,
iron-boulder,quark-drive,,
iron-crown,quark-drive,,
terapagos,tera-shift,,
pecharunt,poison-puppeteer,,
deoxys-attack,pressure,,
deoxys-defense,pressure,,
deoxys-speed,pressure,,
wormadam-sandy,anticipation,,overcoat
wormadam-trash,anticipation,,overcoat
shaymin-sky,serene-grace,,
giratina-origin,levitate,,
rotom-heat,levitate,,
rotom-wash,levitate,,
rotom-frost,levitate,,
rotom-fan,levitate,,
rotom-mow,levitate,,
castform-sunny,forecast,,
castform-rainy,forecast,,
castform-snowy,forecast,,
basculin-blue-striped,rock-head,adaptability,mold-breaker
darmanitan-zen,sheer-force,,zen-mode
meloetta-pirouette,serene-grace,,
tornadus-therian,regenerator,,
thundurus-therian,volt-absorb,,
landorus-therian,intimidate,,
kyurem-black,teravolt,,
kyurem-white,turboblaze,,
keldeo-resolute,justified,,
meowstic-female,keen-eye,infiltrator,competitive
aegislash-blade,stance-change,,
pumpkaboo-small,pickup,frisk,insomnia
pumpkaboo-large,pickup,frisk,insomnia
pumpkaboo-super,pickup,frisk,insomnia
gourgeist-small,pickup,frisk,insomnia
gourgeist-large,pickup,frisk,insomnia
gourgeist-super,pickup,frisk,insomnia
venusaur-mega,thick-fat,,
charizard-mega-x,tough-claws,,
charizard-mega-y,drought,,
blastoise-mega,mega-launcher,,
alakazam-mega,trace,,
gengar-mega,shadow-tag,,
kangaskhan-mega,parental-bond,,
pinsir-mega,aerilate,,
gyarados-mega,mold-breaker,,
aerodactyl-mega,tough-claws,,
mewtwo-mega-x,steadfast,,
mewtwo-mega-y,insomnia,,
ampharos-mega,mold-breaker,,
scizor-mega,technician,,
heracross-mega,skill-link,,
houndoom-mega,solar-power,,
tyranitar-mega,sand-stream,,
blaziken-mega,speed-boost,,
gardevoir-mega,pixilate,,
mawile-mega,huge-power,,
aggron-mega,filter,,
medicham-mega,pure-power,,
manectric-mega,intimidate,,
banette-mega,prankster,,
absol-mega,magic-bounce,,
garchomp-mega,sand-force,,
lucario-mega,adaptability,,
abomasnow-mega,snow-warning,,
floette-eternal,flower-veil,,symbiosis
latias-mega,levitate,,
latios-mega,levitate,,
swampert-mega,swift-swim,,
sceptile-mega,lightning-rod,,
sableye-mega,magic-bounce,,
altaria-mega,pixilate,,
gallade-mega,inner-focus,,
audino-mega,healer,,
sharpedo-mega,strong-jaw,,
slowbro-mega,shell-armor,,
steelix-mega,sand-force,,
pidgeot-mega,no-guard,,
glalie-mega,refrigerate,,
diancie-mega,magic-bounce,,
metagross-mega,tough-claws,,
kyogre-primal,primordial-sea,,
groudon-primal,desolate-land,,
rayquaza-mega,delta-stream,,
pikachu-rock-star,static,,lightning-rod
pikachu-belle,static,,lightning-rod
pikachu-pop-star,static,,lightning-rod
pikachu-phd,static,,lightning-rod
pikachu-libre,static,,lightning-rod
pikachu-cosplay,static,,lightning-rod
hoopa-unbound,magician,,
camerupt-mega,sheer-force,solid-rock,
lopunny-mega,scrappy,,
salamence-mega,aerilate,,
beedrill-mega,adaptability,,
rattata-alola,gluttony,hustle,thick-fat
raticate-alola,gluttony,hustle,thick-fat
raticate-totem-alola,gluttony,hustle,thick-fat
pikachu-original-cap,static,,lightning-rod
pikachu-hoenn-cap,static,,lightning-rod
pikachu-sinnoh-cap,static,,lightning-rod
pikachu-unova-cap,static,,lightning-rod
pikachu-kalos-cap,static,,lightning-rod
pikachu-alola-cap,static,,lightning-rod
raichu-alola,surge-surfer,,
sandshrew-alola,snow-cloak,,slush-rush
sandslash-alola,snow-cloak,,slush-rush
vulpix-alola,snow-cloak,,snow-warning
ninetales-alola,snow-cloak,,snow-warning
diglett-alola,sand-veil,tangling-hair,sand-force
dugtrio-alola,sand-veil,tangling-hair,sand-force
meowth-alola,pickup,technician,rattled
persian-alola,fur-coat,technician,rattled
geodude-alola,magnet-pull,sturdy,galvanize
graveler-alola,magnet-pull,sturdy,galvanize
golem-alola,magnet-pull,sturdy,galvanize
grimer-alola,poison-touch,gluttony,power-of-alchemy
muk-alola,poison-touch,gluttony,power-of-alchemy
exeggutor-alola,frisk,,harvest
marowak-alola,cursed-body,lightning-rod,rock-head
greninja-battle-bond,battle-bond,,
greninja-ash,battle-bond,,protean
zygarde-10-power-construct,power-construct,,
zygarde-50-power-construct,power-construct,,
zygarde-complete,power-construct,,
gumshoos-totem,stakeout,strong-jaw,adaptability
vikavolt-totem,levitate,,
oricorio-pom-pom,dancer,,
oricorio-pau,dancer,,
oricorio-sensu,dancer,,
lycanroc-midnight,keen-eye,vital-spirit,no-guard
wishiwashi-school,schooling,,
lurantis-totem,leaf-guard,,contrary
salazzle-totem,corrosion,,oblivious
minior-orange-meteor,shields-down,,
minior-yellow-meteor,shields-down,,
minior-green-meteor,shields-down,,
minior-blue-meteor,shields-down,,
minior-indigo-meteor,shields-down,,
minior-violet-meteor,shields-down,,
minior-red,shields-down,,
minior-orange,shields-down,,
minior-yellow,shields-down,,
minior-green,shields-down,,
minior-blue,shields-down,,
minior-indigo,shields-down,,
minior-violet,shields-down,,
mimikyu-busted,disguise,,
mimikyu-totem-disguised,disguise,,
mimikyu-totem-busted,disguise,,
kommo-o-totem,bulletproof,soundproof,overcoat
magearna-original,soul-heart,,
pikachu-partner-cap,static,,lightning-rod
marowak-totem,cursed-body,lightning-rod,rock-head
ribombee-totem,honey-gather,shield-dust,sweet-veil
rockruff-own-tempo,own-tempo,,
lycanroc-dusk,tough-claws,,
araquanid-totem,water-bubble,,water-absorb
togedemaru-totem,iron-barbs,lightning-rod,sturdy
necrozma-dusk,prism-armor,,
necrozma-dawn,prism-armor,,
necrozma-ultra,neuroforce,,
pikachu-starter,static,,lightning-rod
eevee-starter,run-away,adaptability,anticipation
pikachu-world-cap,static,,lightning-rod
meowth-galar,pickup,tough-claws,unnerve
ponyta-galar,run-away,pastel-veil,anticipation
rapidash-galar,run-away,pastel-veil,anticipation
slowpoke-galar,gluttony,own-tempo,regenerator
slowbro-galar,quick-draw,own-tempo,regenerator
farfetchd-galar,steadfast,,scrappy
weezing-galar,levitate,neutralizing-gas,misty-surge
mr-mime-galar,vital-spirit,screen-cleaner,ice-body
articuno-galar,competitive,,
zapdos-galar,defiant,,static
moltres-galar,berserk,,flame-body
slowking-galar,curious-medicine,own-tempo,regenerator
corsola-galar,weak-armor,,cursed-body
zigzagoon-galar,pickup,gluttony,quick-feet
linoone-galar,pickup,gluttony,quick-feet
darumaka-galar,hustle,,inner-focus
darmanitan-galar-standard,gorilla-tactics,,zen-mode
darmanitan-galar-zen,gorilla-tactics,,zen-mode
yamask-galar,wandering-spirit,,
stunfisk-galar,mimicry,,
zygarde-10,aura-break,power-construct,
cramorant-gulping,gulp-missile,,
cramorant-gorging,gulp-missile,,
toxtricity-low-key,punk-rock,minus,technician
eiscue-noice,ice-face,,
indeedee-female,own-tempo,synchronize,psychic-surge
morpeko-hangry,hunger-switch,,
zacian-crowned,intrepid-sword,,
zamazenta-crowned,dauntless-shield,,
eternatus-eternamax,pressure,,
urshifu-rapid-strike,unseen-fist,,
zarude-dada,leaf-guard,,
calyrex-ice,as-one-glastrier,,
calyrex-shadow,as-one-spectrier,,
venusaur-gmax,overgrow,,chlorophyll
charizard-gmax,blaze,,solar-power
blastoise-gmax,torrent,,rain-dish
butterfree-gmax,compound-eyes,,tinted-lens
pikachu-gmax,static,,lightning-rod
meowth-gmax,pickup,technician,unnerve
machamp-gmax,guts,no-guard,steadfast
gengar-gmax,cursed-body,,
kingler-gmax,hyper-cutter,shell-armor,sheer-force
lapras-gmax,water-absorb,shell-armor,hydration
eevee-gmax,run-away,adaptability,anticipation
snorlax-gmax,immunity,thick-fat,gluttony
garbodor-gmax,stench,weak-armor,aftermath
melmetal-gmax,iron-fist,,
rillaboom-gmax,overgrow,,grassy-surge
cinderace-gmax,blaze,,libero
inteleon-gmax,torrent,,sniper
corviknight-gmax,pressure,unnerve,mirror-armor
orbeetle-gmax,swarm,frisk,telepathy
drednaw-gmax,strong-jaw,shell-armor,swift-swim
coalossal-gmax,steam-engine,flame-body,flash-fire
flapple-gmax,ripen,gluttony,hustle
appletun-gmax,ripen,gluttony,thick-fat
sandaconda-gmax,sand-spit,shed-skin,sand-veil
toxtricity-amped-gmax,punk-rock,plus,technician
centiskorch-gmax,flash-fire,white-smoke,flame-body
hatterene-gmax,healer,anticipation,magic-bounce
grimmsnarl-gmax,prankster,frisk,pickpocket
alcremie-gmax,sweet-veil,,aroma-veil
copperajah-gmax,sheer-force,,heavy-metal
duraludon-gmax,light-metal,heavy-metal,stalwart
urshifu-single-strike-gmax,unseen-fist,,
urshifu-rapid-strike-gmax,unseen-fist,,
toxtricity-low-key-gmax,punk-rock,minus,technician
growlithe-hisui,intimidate,flash-fire,rock-head
arcanine-hisui,intimidate,flash-fire,rock-head
voltorb-hisui,soundproof,static,aftermath
electrode-hisui,soundproof,static,aftermath
typhlosion-hisui,blaze,,frisk
qwilfish-hisui,poison-point,swift-swim,intimidate
sneasel-hisui,inner-focus,keen-eye,pickpocket
samurott-hisui,torrent,,sharpness
lilligant-hisui,chlorophyll,hustle,leaf-guard
zorua-hisui,illusion,,
zoroark-hisui,illusion,,
braviary-hisui,keen-eye,sheer-force,tinted-lens
sliggoo-hisui,sap-sipper,shell-armor,gooey
goodra-hisui,sap-sipper,shell-armor,gooey
avalugg-hisui,strong-jaw,ice-body,sturdy
decidueye-hisui,overgrow,,scrappy
dialga-origin,pressure,,telepathy
palkia-origin,pressure,,telepathy
basculin-white-striped,rattled,adaptability,mold-breaker
basculegion-female,swift-swim,adaptability,mold-breaker
enamorus-therian,overcoat,,
tauros-paldea-combat-breed,intimidate,anger-point,cud-chew
tauros-paldea-blaze-breed,intimidate,anger-point,cud-chew
tauros-paldea-aqua-breed,intimidate,anger-point,cud-chew
wooper-paldea,poison-point,water-absorb,unaware
oinkologne-female,aroma-veil,gluttony,thick-fat
dudunsparce-three-segment,serene-grace,run-away,rattled
palafin-hero,zero-to-hero,,
maushold-family-of-three,friend-guard,cheek-pouch,technician
tatsugiri-droopy,commander,,storm-drain
tatsugiri-stretchy,commander,,storm-drain
squawkabilly-blue-plumage,intimidate,hustle,guts
squawkabilly-yellow-plumage,intimidate,hustle,sheer-force
squawkabilly-white-plumage,intimidate,hustle,sheer-force
gimmighoul-roaming,run-away,,
koraidon-limited-build,orichalcum-pulse,,
koraidon-sprinting-build,orichalcum-pulse,,
koraidon-swimming-build,orichalcum-pulse,,
koraidon-gliding-build,orichalcum-pulse,,
miraidon-low-power-mode,hadron-engine,,
miraidon-drive-mode,hadron-engine,,
miraidon-aquatic-mode,hadron-engine,,
miraidon-glide-mode,hadron-engine,,
ursaluna-bloodmoon,minds-eye,,
ogerpon-wellspring-mask,water-absorb,,
ogerpon-hearthflame-mask,mold-breaker,,
ogerpon-cornerstone-mask,sturdy,,
terapagos-terastal,tera-shell,,
terapagos-stellar,teraform-zero,,
clefable-mega,magic-bounce,,
victreebel-mega,innards-out,,
starmie-mega,huge-power,,
dragonite-mega,multiscale,,
meganium-mega,mega-sol,,
feraligatr-mega,dragonize,,
skarmory-mega,stalwart,,
froslass-mega,snow-warning,,
emboar-mega,mold-breaker,,
excadrill-mega,piercing-drill,,
scolipede-mega,shell-armor,,
scrafty-mega,intimidate,,
eelektross-mega,eelevate,,
chandelure-mega,infiltrator,,
chesnaught-mega,bulletproof,,
delphox-mega,levitate,,
greninja-mega,protean,,
pyroar-mega,fire-mane,,
floette-mega,fairy-aura,,
malamar-mega,contrary,,
barbaracle-mega,tough-claws,,
dragalge-mega,regenerator,,
hawlucha-mega,no-guard,,
zygarde-mega,,,
drampa-mega,berserk,,
falinks-mega,defiant,,
raichu-mega-x,electric-surge,,
raichu-mega-y,no-guard,,
chimecho-mega,levitate,,
absol-mega-z,sharpness,,
staraptor-mega,contrary,,
garchomp-mega-z,levitate,,
lucario-mega-z,aura-guard,,
heatran-mega,,,
darkrai-mega,,,
golurk-mega,unseen-fist,,
meowstic-male-mega,trace,,
crabominable-mega,iron-fist,,
golisopod-mega,,,
magearna-mega,,,
magearna-original-mega,,,
zeraora-mega,,,
scovillain-mega,spicy-spray,,
glimmora-mega,adaptability,,
tatsugiri-curly-mega,,,
tatsugiri-droopy-mega,,,
tatsugiri-stretchy-mega,,,
baxcalibur-mega,,,
meowstic-female-mega,trace,,
reshiram-activated,turboblaze,,
zekrom-activated,teravolt,,
kyurem-white-activated,turboblaze,,
kyurem-black-activated,teravolt,,
