pokemon,base_experience,source
gumshoos-totem,146,pokedb
vikavolt-totem,250,pokedb
oricorio-pom-pom,167,pokedb
oricorio-pau,167,pokedb
oricorio-sensu,167,pokedb
lycanroc-midnight,170,pokedb
wishiwashi-school,61,pokedb
lurantis-totem,168,pokedb
salazzle-totem,168,pokedb
minior-orange-meteor,154,pokedb
minior-yellow-meteor,154,pokedb
minior-green-meteor,154,pokedb
minior-blue-meteor,154,pokedb
minior-indigo-meteor,154,pokedb
minior-violet-meteor,154,pokedb
minior-red,175,pokedb
minior-orange,175,pokedb
minior-yellow,175,pokedb
minior-green,175,pokedb
minior-blue,175,pokedb
minior-indigo,175,pokedb
minior-violet,175,pokedb
mimikyu-busted,167,pokedb
mimikyu-totem-disguised,167,pokedb
mimikyu-totem-busted,167,pokeapi
kommo-o-totem,300,pokedb
magearna-original,300,pokedb
pikachu-partner-cap,112,pokedb
marowak-totem,149,pokedb
ribombee-totem,162,pokedb
rockruff-own-tempo,56,pokedb
lycanroc-dusk,170,pokedb
araquanid-totem,159,pokedb
togedemaru-totem,152,pokedb
necrozma-dusk,340,pokedb
necrozma-dawn,340,pokedb
necrozma-ultra,339,pokedb
pikachu-starter,112,pokedb
eevee-starter,65,pokedb
pikachu-world-cap,112,pokedb
meowth-galar,58,pokedb
ponyta-galar,82,pokedb
rapidash-galar,175,pokedb
slowpoke-galar,63,pokedb
slowbro-galar,172,pokedb
farfetchd-galar,132,pokedb
weezing-galar,172,pokedb
mr-mime-galar,161,pokedb
articuno-galar,290,pokedb
zapdos-galar,290,pokedb
moltres-galar,290,pokedb
slowking-galar,172,pokedb
corsola-galar,144,pokedb
zigzagoon-galar,56,pokedb
linoone-galar,147,pokedb
darumaka-galar,63,pokedb
darmanitan-galar-standard,168,pokedb
darmanitan-galar-zen,189,pokedb
yamask-galar,61,pokedb
stunfisk-galar,165,pokedb
zygarde-10,243,pokedb
cramorant-gulping,166,pokedb
cramorant-gorging,166,pokedb
toxtricity-low-key,176,pokedb
eiscue-noice,165,pokedb
indeedee-female,166,pokedb
morpeko-hangry,153,pokedb
zacian-crowned,360,pokedb
zamazenta-crowned,335,pokedb
eternatus-eternamax,563,pokedb
urshifu-rapid-strike,275,pokedb
zarude-dada,300,pokedb
calyrex-ice,340,pokedb
calyrex-shadow,340,pokedb
venusaur-gmax,263,pokedb
charizard-gmax,267,pokedb
blastoise-gmax,265,pokedb
butterfree-gmax,198,pokedb
pikachu-gmax,112,pokedb
meowth-gmax,58,pokedb
machamp-gmax,253,pokedb
gengar-gmax,270,pokedb
kingler-gmax,166,pokedb
lapras-gmax,187,pokedb
eevee-gmax,65,pokedb
snorlax-gmax,189,pokedb
garbodor-gmax,166,pokedb
melmetal-gmax,300,pokedb
rillaboom-gmax,265,pokedb
cinderace-gmax,265,pokedb
inteleon-gmax,265,pokedb
corviknight-gmax,248,pokedb
orbeetle-gmax,253,pokedb
drednaw-gmax,170,pokedb
coalossal-gmax,255,pokedb
flapple-gmax,170,pokedb
appletun-gmax,170,pokedb
sandaconda-gmax,179,pokedb
toxtricity-amped-gmax,176,pokedb
centiskorch-gmax,184,pokedb
hatterene-gmax,255,pokedb
grimmsnarl-gmax,255,pokedb
alcremie-gmax,173,pokedb
copperajah-gmax,175,pokedb
duraludon-gmax,187,pokedb
urshifu-single-strike-gmax,275,pokedb
urshifu-rapid-strike-gmax,275,pokedb
toxtricity-low-key-gmax,176,pokeapi
growlithe-hisui,70,pokedb
arcanine-hisui,194,pokedb
voltorb-hisui,66,pokedb
electrode-hisui,172,pokedb
typhlosion-hisui,267,pokedb
qwilfish-hisui,88,pokedb
sneasel-hisui,86,pokedb
samurott-hisui,238,pokedb
lilligant-hisui,168,pokedb
zorua-hisui,66,pokedb
zoroark-hisui,179,pokedb
braviary-hisui,179,pokedb
sliggoo-hisui,158,pokedb
goodra-hisui,300,pokedb
avalugg-hisui,180,pokedb
decidueye-hisui,265,pokedb
dialga-origin,340,pokedb
palkia-origin,340,pokedb
basculin-white-striped,161,pokedb
basculegion-female,265,pokedb
enamorus-therian,116,pokedb
tauros-paldea-combat-breed,172,pokedb
tauros-paldea-blaze-breed,172,pokedb
tauros-paldea-aqua-breed,172,pokedb
wooper-paldea,42,pokedb
oinkologne-female,171,pokedb
dudunsparce-three-segment,182,pokedb
palafin-hero,228,pokedb
maushold-family-of-three,165,pokedb
tatsugiri-droopy,166,pokedb
tatsugiri-stretchy,166,pokedb
squawkabilly-blue-plumage,146,pokedb
squawkabilly-yellow-plumage,146,pokedb
squawkabilly-white-plumage,146,pokedb
gimmighoul-roaming,60,pokedb
koraidon-limited-build,335,pokeapi
koraidon-sprinting-build,335,pokeapi
koraidon-swimming-build,335,pokeapi
koraidon-gliding-build,335,pokeapi
miraidon-low-power-mode,335,pokeapi
miraidon-drive-mode,335,pokeapi
miraidon-aquatic-mode,335,pokeapi
miraidon-glide-mode,335,pokeapi
ursaluna-bloodmoon,275,pokedb
ogerpon-wellspring-mask,275,pokedb
ogerpon-hearthflame-mask,275,pokedb
ogerpon-cornerstone-mask,275,pokedb
terapagos-terastal,90,pokedb
terapagos-stellar,90,pokedb
clefable-mega,242,pokedb
victreebel-mega,221,pokedb
starmie-mega,182,pokedb
dragonite-mega,300,pokedb
meganium-mega,236,pokedb
feraligatr-mega,239,pokedb
skarmory-mega,163,pokedb
froslass-mega,168,pokedb
emboar-mega,238,pokedb
excadrill-mega,178,pokedb
scolipede-mega,243,pokedb
scrafty-mega,171,pokedb
eelektross-mega,232,pokedb
chandelure-mega,260,pokedb
chesnaught-mega,239,pokedb
delphox-mega,240,pokedb
greninja-mega,239,pokedb
pyroar-mega,177,pokedb
floette-mega,130,pokedb
malamar-mega,169,pokedb
barbaracle-mega,175,pokedb
dragalge-mega,173,pokedb
hawlucha-mega,175,pokedb
zygarde-mega,354,pokedb
drampa-mega,170,pokedb
falinks-mega,165,pokedb
raichu-mega-x,218,pokedb
raichu-mega-y,218,pokedb
chimecho-mega,159,pokedb
absol-mega-z,198,pokedb
staraptor-mega,218,pokedb
garchomp-mega-z,315,pokedb
lucario-mega-z,219,pokedb
heatran-mega,300,pokedb
darkrai-mega,270,pokedb
golurk-mega,169,pokedb
meowstic-male-mega,163,pokedb
crabominable-mega,167,pokedb
golisopod-mega,186,pokedb
magearna-mega,300,pokedb
magearna-original-mega,300,pokedb
zeraora-mega,300,pokedb
scovillain-mega,170,pokedb
glimmora-mega,184,pokedb
tatsugiri-curly-mega,166,pokedb
tatsugiri-droopy-mega,166,pokedb
tatsugiri-stretchy-mega,166,pokedb
baxcalibur-mega,300,pokedb
reshiram-activated,340,pokedb
zekrom-activated,340,pokedb
kyurem-white-activated,350,pokedb
kyurem-black-activated,350,pokedb
