identifier,id,category,category_pokedb,cost,fling_power,fling_effect,introduced_generation,flags,is_consumable,is_holdable,is_field_usable,is_battle_usable,description,source
power-anklet,270,effort-training,held-items,3000,70,,4,holdable;holdable-active,0,1,0,0,A held item that reduces the holder’s Speed in battle but increases the Speed effort values gained after battle.,both
power-weight,271,effort-training,held-items,3000,70,,4,holdable;holdable-active,0,1,0,0,A held item that boosts HP EV gain after battle while reducing the holder’s Speed.,both
shed-shell,272,held-items,held-items,4000,10,,4,holdable;holdable-active,0,1,0,0,A discarded carapace that allows the holder to switch out of battle regardless of trapping effects.,both
big-root,273,held-items,held-items,4000,10,,4,holdable;holdable-active,0,1,0,0,A held item that increases the amount of HP restored by HP-draining moves and effects.,both
choice-specs,274,choice,held-items,4000,10,,4,holdable;holdable-active,0,1,0,0,A held item that boosts the holder’s Special Attack but restricts it to using only one move until withdrawn.,both
flame-plate,275,plates,held-items,1000,90,,4,holdable;holdable-active;underground,0,1,1,1,A stone tablet associated with Arceus that boosts the power of Fire-type moves and changes Arceus to the Fire type.,both
splash-plate,276,plates,held-items,1000,90,,4,holdable;holdable-active;underground,0,1,1,1,A stone tablet that boosts the power of Water-type moves and changes Arceus to the Water type.,both
zap-plate,277,plates,held-items,1000,90,,4,holdable;holdable-active;underground,0,1,1,1,A stone tablet associated with Arceus that boosts the power of Electric-type moves.,both
meadow-plate,278,plates,held-items,1000,90,,4,holdable;holdable-active;underground,0,1,1,1,A stone tablet associated with Arceus that boosts Grass-type moves and changes Arceus to the Grass type.,both
icicle-plate,279,plates,held-items,1000,90,,4,holdable;holdable-active;underground,0,1,1,1,A stone tablet that boosts the power of Ice-type moves and changes Arceus to the Ice type.,both
fist-plate,280,plates,held-items,1000,90,,4,holdable;holdable-active;underground,0,1,1,1,A stone tablet that boosts the power of Fighting-type moves and changes Arceus to the Fighting type.,both
toxic-plate,281,plates,held-items,1000,90,,4,holdable;holdable-active;underground,0,1,1,1,A stone tablet that boosts the power of Poison-type moves and changes Arceus to the Poison type.,both
earth-plate,282,plates,held-items,1000,90,,4,holdable;holdable-active;underground,0,1,1,1,A stone tablet that boosts the power of Ground-type moves and changes Arceus to the Ground type.,both
sky-plate,283,plates,held-items,1000,90,,4,holdable;holdable-active;underground,0,1,1,1,A stone tablet that boosts the power of Flying-type moves and changes Arceus to the Flying type.,both
mind-plate,284,plates,held-items,1000,90,,4,holdable;holdable-active;underground,0,1,1,1,A stone tablet that boosts the power of Psychic-type moves and changes Arceus to the Psychic type.,both
insect-plate,285,plates,held-items,1000,90,,4,holdable;holdable-active;underground,0,1,1,1,A stone tablet associated with Arceus that boosts the power of Bug-type moves.,both
stone-plate,286,plates,held-items,1000,90,,4,holdable;holdable-active;underground,0,1,1,1,A stone tablet that boosts the power of Rock-type moves and changes Arceus to the Rock type.,both
spooky-plate,287,plates,held-items,1000,90,,4,holdable;holdable-active;underground,0,1,1,0,A stone tablet that boosts the power of Ghost-type moves and changes Arceus to the Ghost type.,both
draco-plate,288,plates,held-items,1000,90,,4,holdable;holdable-active;underground,0,1,1,1,A stone tablet that boosts the power of Dragon-type moves and changes Arceus to the Dragon type.,both
dread-plate,289,plates,held-items,1000,90,,4,holdable;holdable-active;underground,0,1,1,1,A stone tablet that boosts the power of Dark-type moves and changes Arceus to the Dark type.,both
iron-plate,290,plates,held-items,1000,90,,4,holdable;holdable-active;underground,0,1,1,1,A stone tablet that boosts the power of Steel-type moves and changes Arceus to the Steel type.,both
odd-incense,291,type-enhancement,held-items,2000,10,,4,holdable;holdable-active,0,1,0,0,An exotic-smelling incense that boosts the power of Psychic-type moves and allows Mr. Mime and Mr. Rime to produce Mime Jr. Eggs.,both
rock-incense,292,type-enhancement,held-items,2000,10,,4,holdable;holdable-active,0,1,1,1,A held incense that boosts the power of Rock-type moves and affects breeding outcomes.,both
full-incense,293,bad-held-items,held-items,5000,10,,4,holdable;holdable-active,0,1,0,1,An exotic-smelling incense that makes the holder move last in battle and allows Snorlax to produce Munchlax Eggs.,both
wave-incense,294,type-enhancement,held-items,2000,10,,4,holdable;holdable-active,0,1,0,0,An incense that boosts the power of Water-type moves and allows Mantine to produce Mantyke Eggs.,both
rose-incense,295,type-enhancement,held-items,2000,10,,4,holdable;holdable-active,0,1,0,0,An exotic-smelling incense that boosts the power of Grass-type moves and affects breeding.,both
luck-incense,296,training,held-items,11000,10,,4,holdable;holdable-active,0,1,0,1,A held item that doubles the prize money received after battle if the holder participates.,both
pure-incense,297,training,held-items,6000,10,,4,holdable,0,1,1,0,A held item that lowers wild Pokémon encounter rates and allows Chimecho to produce Chingling Eggs when breeding.,both
protector,298,evolution,held-items,2000,80,,4,,1,1,1,0,A held item that enables Rhydon to evolve into Rhyperior under specific conditions.,both
electirizer,299,evolution,held-items,2000,80,,4,,1,1,1,0,A box packed with a tremendous amount of electric energy that allows Electabuzz to evolve.,both
magmarizer,300,evolution,held-items,2000,80,,4,,1,1,1,0,A box packed with a tremendous amount of magma energy that allows Magmar to evolve into Magmortar.,both
dubious-disc,301,evolution,held-items,2000,50,,4,,1,1,1,0,A transparent device overflowing with dubious data that triggers the evolution of Porygon2.,both
reaper-cloth,302,evolution,evolution-items,2000,10,,4,,1,1,1,0,A mysterious cloth imbued with strong spiritual energy that allows certain Pokémon to evolve.,both
razor-claw,303,held-items,held-items,5000,80,,4,holdable;holdable-active,1,1,1,1,A sharply hooked claw to be held by a Pokémon that boosts critical-hit ratio and can trigger certain evolutions.,both
razor-fang,304,held-items,held-items,5000,30,flinch,4,holdable;holdable-active,1,1,1,1,A sharply hooked fang that may cause targets to flinch and can evolve certain Pokémon.,both
tm01,305,all-machines,technical-machines,40000,,,1,,,0,0,0,"A Technical Machine that teaches a compatible Pokémon a move, which varies by game.",both
tm02,306,all-machines,technical-machines,1000,,,1,,1,0,0,0,"A Technical Machine that teaches a compatible Pokémon a move, which varies by game version.",both
tm03,307,all-machines,technical-machines,50000,,,1,,,0,1,0,"A Technical Machine that teaches a compatible Pokémon a move, which varies by game.",both
tm04,308,all-machines,technical-machines,50000,,,1,,,1,0,0,"A Technical Machine that teaches a compatible Pokémon a move, which varies by game.",both
tm05,309,all-machines,technical-machines,50000,,,1,,,0,0,0,A Technical Machine that teaches a compatible Pokémon a move; the taught move varies by game.,both
tm06,310,all-machines,technical-machines,1000,,,1,,,0,0,0,A Technical Machine that teaches a compatible Pokémon a move; the move taught depends on the game.,both
tm07,311,all-machines,technical-machines,1000,,,1,,,0,1,0,"A Technical Machine that teaches a compatible Pokémon a move, which varies by game version.",both
tm08,312,all-machines,technical-machines,50000,,,1,,,0,0,0,A Technical Machine that teaches a move; the move taught depends on the game.,both
tm09,313,all-machines,technical-machines,50000,,,1,,,0,0,0,"A Technical Machine that teaches a compatible Pokémon a move, which varies by game version.",both
tm10,314,all-machines,technical-machines,1000,,,1,,,0,0,0,"A Technical Machine that teaches a compatible Pokémon a move, which varies by game version.",both
tm11,315,all-machines,technical-machines,1000,,,1,,,0,0,0,"A Technical Machine that teaches a compatible Pokémon a move, which varies by game version.",both
tm12,316,all-machines,technical-machines,50000,,,1,,,0,0,0,"A Technical Machine that teaches a compatible Pokémon a move, which varies by game.",both
tm13,317,all-machines,technical-machines,10000,,,1,,,0,0,0,"A Technical Machine that teaches a compatible Pokémon a move, which varies depending on the game.",both
tm14,318,all-machines,technical-machines,1000,,,1,,,0,0,0,"A Technical Machine that teaches a compatible Pokémon a move, which varies by game.",both
tm15,319,all-machines,technical-machines,1000,,,1,,,0,0,0,"A Technical Machine that teaches a compatible Pokémon a move, which varies by game.",both
tm16,320,all-machines,technical-machines,1000,,,1,,,0,0,0,A Technical Machine that teaches a compatible Pokémon a move; the move taught varies by game.,both
tm17,321,all-machines,technical-machines,10000,,,1,,,0,1,0,A Technical Machine that teaches a compatible Pokémon a move; the move taught varies by game.,both
tm18,322,all-machines,technical-machines,10000,,,1,,1,0,0,0,A Technical Machine that teaches a compatible Pokémon a move; the move taught varies by game.,both
tm19,323,all-machines,technical-machines,10000,,,1,,,0,0,0,A Technical Machine that teaches a compatible Pokémon a move; the move taught varies by game.,both
tm20,324,all-machines,technical-machines,100000,,,1,,,0,0,0,A Technical Machine that teaches a compatible Pokémon a move; the move taught varies by game.,both
tm21,325,all-machines,technical-machines,1000,,,1,,,0,0,0,"A Technical Machine that teaches a compatible Pokémon a move, which varies by game.",both
tm22,326,all-machines,technical-machines,1000,,,1,,,0,1,0,"A Technical Machine that teaches a compatible Pokémon a move, which varies by game version.",both
tm23,327,all-machines,technical-machines,10000,,,1,,,0,0,0,"A Technical Machine that teaches a compatible Pokémon a move, which varies by game.",both
tm24,328,all-machines,technical-machines,1000,,,1,,,0,0,0,"A Technical Machine that teaches a compatible Pokémon a move, which varies by game version.",both
tm25,329,all-machines,technical-machines,10000,,,1,,,0,0,0,"A Technical Machine that teaches a compatible Pokémon a move, which varies by game.",both
tm26,330,all-machines,technical-machines,1000,,,1,,,0,0,0,"A Technical Machine that teaches a compatible Pokémon a move, which varies by game.",both
tm27,331,all-machines,technical-machines,1000,,,1,,,0,0,0,"A Technical Machine that teaches a compatible Pokémon a move, which varies by game version.",both
tm28,332,all-machines,technical-machines,100000,,,1,,,1,0,0,"A Technical Machine that teaches a compatible Pokémon a move, which varies by game version.",both
tm29,333,all-machines,technical-machines,1000,,,1,,,0,1,0,"A Technical Machine that teaches a compatible Pokémon a move, which varies by game.",both
tm30,334,all-machines,technical-machines,1000,,,1,,,0,0,0,A Technical Machine that teaches a move; the move taught depends on the game.,both
tm31,335,all-machines,technical-machines,1000,,,1,,,0,1,0,"A Technical Machine that teaches a compatible Pokémon a move, which varies by game.",both
tm32,336,all-machines,technical-machines,10000,,,1,,,0,1,0,A Technical Machine that teaches a compatible Pokémon a move that varies by game.,both
tm33,337,all-machines,technical-machines,10000,,,1,,1,0,0,0,A Technical Machine that teaches a move to a compatible Pokémon; the taught move varies by game.,both
tm34,338,all-machines,technical-machines,10000,,,1,,,0,0,0,A Technical Machine that teaches a compatible Pokémon a move; the move taught varies by game.,both
tm35,339,all-machines,technical-machines,10000,,,1,,,0,0,0,A Technical Machine that teaches a move to a compatible Pokémon; the move taught depends on the game.,both
tm36,340,all-machines,technical-machines,1000,,,1,,,0,0,0,A Technical Machine that teaches a compatible Pokémon a move; the move taught varies by game.,both
tm37,341,all-machines,technical-machines,1000,,,1,,1,0,0,0,"A Technical Machine that teaches a compatible Pokémon a move, which varies by game.",both
tm38,342,all-machines,technical-machines,1000,,,1,,,0,0,0,"A Technical Machine that teaches a compatible Pokémon a move, which varies by game.",both
tm39,343,all-machines,technical-machines,1000,,,1,,,0,0,0,"A Technical Machine that teaches a compatible Pokémon a move, which varies by game.",both
tm40,344,all-machines,technical-machines,1000,,,1,,,0,1,0,"A Technical Machine that teaches a compatible Pokémon a move, which varies by game version.",both
tm41,345,all-machines,technical-machines,10000,,,1,,,0,0,0,A Technical Machine that teaches a compatible Pokémon a move; the move taught varies by game.,both
tm42,346,all-machines,technical-machines,1000,,,1,,,0,0,0,A Technical Machine that teaches a compatible Pokémon a move; the move taught depends on the game.,both
tm43,347,all-machines,technical-machines,1000,,,1,,1,0,0,0,A Technical Machine that teaches a compatible Pokémon a move; the move taught varies by game.,both
tm44,348,all-machines,technical-machines,100000,,,1,,1,0,1,0,A Technical Machine that teaches a compatible Pokémon a move; the move taught depends on the game.,both
tm45,349,all-machines,technical-machines,1000,,,1,,,0,0,0,A Technical Machine that teaches a compatible Pokémon a move; the move taught varies by game.,both
tm46,350,all-machines,technical-machines,30000,,,1,,,0,0,0,A Technical Machine that teaches a compatible Pokémon a move; the move taught depends on the game.,both
tm47,351,all-machines,technical-machines,1000,,,1,,,0,0,0,"A Technical Machine that teaches a compatible Pokémon a move, which varies by game.",both
tm48,352,all-machines,technical-machines,1000,,,1,,,0,0,0,"A Technical Machine that teaches a compatible Pokémon a move, which varies by game.",both
tm49,353,all-machines,technical-machines,1000,,,1,,1,0,0,0,"A Technical Machine that teaches a compatible Pokémon a move, which varies by game.",both
tm50,354,all-machines,technical-machines,10000,,,1,,,0,0,0,"A Technical Machine that teaches a compatible Pokémon a move, which varies by game version.",both
tm51,355,all-machines,technical-machines,1000,,,4,,,0,0,0,A Technical Machine that teaches a compatible Pokémon a move; the move taught depends on the game.,both
tm52,356,all-machines,technical-machines,100000,,,4,,,0,0,0,"A Technical Machine that teaches a compatible Pokémon a move, which varies by game.",both
tm53,357,all-machines,technical-machines,1000,,,4,,,0,0,0,A Technical Machine that teaches a compatible Pokémon a move; the move taught varies by game.,both
tm54,358,all-machines,technical-machines,1000,,,4,,1,0,1,0,A Technical Machine that teaches a compatible Pokémon a move; the move taught varies by game.,both
tm55,359,all-machines,technical-machines,10000,,,4,,,0,0,0,"A Technical Machine that teaches a compatible Pokémon a move, which varies by game version.",both
tm56,360,all-machines,technical-machines,1000,,,4,,,0,0,0,"A Technical Machine that teaches a compatible Pokémon a move, which varies by game version.",both
tm57,361,all-machines,technical-machines,1000,,,4,,,0,0,0,A Technical Machine that teaches a compatible Pokémon a move; the move taught depends on the game.,both
tm58,362,all-machines,technical-machines,1000,,,4,,,0,0,0,"A Technical Machine that teaches a compatible Pokémon a move, which varies by game version.",both
tm59,363,all-machines,technical-machines,100000,,,4,,,0,1,0,"A Technical Machine that teaches a compatible Pokémon a move, which varies by game version.",both
tm60,364,all-machines,technical-machines,30000,,,4,,1,0,1,0,"A Technical Machine that teaches a compatible Pokémon a move, which varies by game.",both
tm61,365,all-machines,technical-machines,30000,,,4,,,0,0,0,A Technical Machine that teaches a compatible Pokémon a move; the move taught depends on the game.,both
tm62,366,all-machines,technical-machines,30000,,,4,,,0,0,0,"A Technical Machine that teaches a compatible Pokémon a move, which varies by game version.",both
tm63,367,all-machines,technical-machines,50000,,,4,,,0,0,0,"A Technical Machine that teaches a compatible Pokémon a move, which varies by game.",both
tm64,368,all-machines,technical-machines,1000,,,4,,,0,0,0,"A Technical Machine that teaches a compatible Pokémon a move, which varies by game.",both
tm65,369,all-machines,technical-machines,1000,,,4,,,0,0,0,"A Technical Machine that teaches a compatible Pokémon a move, which varies by game.",both
tm66,370,all-machines,technical-machines,30000,,,4,,,0,1,0,"A Technical Machine that teaches a compatible Pokémon a move, which varies by game.",both
tm67,371,all-machines,technical-machines,30000,,,4,,,0,0,0,A Technical Machine that teaches a compatible Pokémon a move; the move taught varies by game.,both
tm68,372,all-machines,technical-machines,30000,,,4,,1,0,0,0,A Technical Machine that teaches a compatible Pokémon a move depending on the game.,both
tm69,373,all-machines,technical-machines,1000,,,4,,,0,0,0,A Technical Machine that teaches a compatible Pokémon a move; the move taught varies by game.,both
tm70,374,all-machines,technical-machines,50000,,,4,,,0,1,0,A Technical Machine that teaches a compatible Pokémon a move; the move taught depends on the game.,both
tm71,375,all-machines,technical-machines,50000,,,4,,,0,1,0,A Technical Machine that teaches a compatible Pokémon a move; the move varies by game.,both
tm72,376,all-machines,technical-machines,50000,,,4,,,0,0,0,"A Technical Machine that teaches a compatible Pokémon a move, which varies by game.",both
tm73,377,all-machines,technical-machines,1000,,,4,,,0,0,0,"A Technical Machine that teaches a compatible Pokémon a move, which varies by game.",both
tm74,378,all-machines,technical-machines,1000,,,4,,,0,0,0,"A Technical Machine that teaches a compatible Pokémon a move, which varies by game.",both
tm75,379,all-machines,technical-machines,1000,,,4,,,0,1,0,"A Technical Machine that teaches a compatible Pokémon a move, which varies by game version.",both
tm76,380,all-machines,technical-machines,10000,,,4,,,0,0,0,A Technical Machine that teaches a compatible Pokémon a move; the move taught depends on the game.,both
tm77,381,all-machines,technical-machines,1000,,,4,,,0,0,0,"A Technical Machine that teaches a compatible Pokémon a move, which varies by game.",both
tm78,382,all-machines,technical-machines,1000,,,4,,1,0,0,0,A Technical Machine that teaches a compatible Pokémon a move; the move taught varies by game.,both
tm79,383,all-machines,technical-machines,1000,,,4,,,0,0,0,"A Technical Machine that teaches a compatible Pokémon a move, which varies by game.",both
tm80,384,all-machines,technical-machines,1000,,,4,,,0,0,0,A Technical Machine that teaches a move to a compatible Pokémon. The move taught depends on the game.,both
tm81,385,all-machines,technical-machines,1000,,,4,,,0,0,0,"A Technical Machine that teaches a compatible Pokémon a move, which varies by game.",both
tm82,386,all-machines,technical-machines,1000,,,4,,,0,0,0,A Technical Machine that teaches a compatible Pokémon a move; the move taught varies by game.,both
tm83,387,all-machines,technical-machines,100000,,,4,,,0,0,0,A Technical Machine that teaches a move to a compatible Pokémon; the move taught varies by game.,both
tm84,388,all-machines,technical-machines,1000,,,4,,,0,1,0,"A Technical Machine that teaches a compatible Pokémon a move, which varies by game.",both
tm85,389,all-machines,technical-machines,1000,,,4,,,0,0,0,A Technical Machine that teaches a compatible Pokémon a move; the move varies by game.,both
tm86,390,all-machines,technical-machines,1000,,,4,,,0,0,0,"A Technical Machine that teaches a compatible Pokémon a move, which varies by game version.",both
tm87,391,all-machines,technical-machines,1000,,,4,,,0,0,0,"A Technical Machine that teaches a compatible Pokémon a move, which varies by game.",both
tm88,392,all-machines,technical-machines,20000,,,4,,,0,0,1,"A Technical Machine that teaches a compatible Pokémon a move, which varies depending on the game.",both
tm89,393,all-machines,technical-machines,20000,,,4,,,0,0,0,"A Technical Machine that teaches a compatible Pokémon a move, which varies by game.",both
tm90,394,all-machines,technical-machines,20000,,,4,,,0,0,0,"A Technical Machine that teaches a compatible Pokémon a move, which varies by game.",both
tm91,395,all-machines,technical-machines,20000,,,4,,,0,0,0,A Technical Machine that teaches a move to a compatible Pokémon; the move taught depends on the game.,both
tm92,396,all-machines,technical-machines,100000,,,4,,,0,0,0,A Technical Machine that teaches a compatible Pokémon a move; the move taught depends on the game.,both
hm01,397,all-machines,technical-machines,0,,,1,,0,0,1,1,"A Hidden Machine that teaches the move Cut, which can also be used in the field with the proper Badge.",both
hm02,398,all-machines,hidden-machines,0,,,1,,0,0,1,1,A Hidden Machine that teaches the move Fly to compatible Pokémon and allows its use in the field when the proper Badge is obtained.,both
hm03,399,all-machines,hidden-machines,0,,,1,,0,0,1,1,"A Hidden Machine that teaches the move Surf, which can also be used in the field.",both
hm04,400,all-machines,hidden-machines,0,,,1,,0,0,1,0,"A Hidden Machine that teaches the move Strength, which can also be used in the field with the proper Badge.",both
hm05,401,all-machines,hidden-machines,0,,,1,,0,0,1,,"A Hidden Machine that teaches a move usable both in battle and in the field, depending on the game.",both
hm06,402,all-machines,hidden-machines,0,,,2,,0,0,1,0,"A Hidden Machine that teaches a move usable both in battle and in the field, depending on the game.",both
hm07,403,all-machines,hidden-machines,0,,,2,,0,0,1,1,A Hidden Machine that teaches a compatible Pokémon a move usable both in battle and in the field.,both
hm08,404,all-machines,hidden-machines,0,,,3,,0,0,1,1,"A Hidden Machine that teaches a move which can also be used in the field, depending on the game.",both
explorer-kit,405,gameplay,key-items,0,,,4,,0,0,1,0,A bag filled with convenient tools for exploring that provides access to the Underground or Grand Underground in Sinnoh.,both
loot-sack,406,unused,key-items,0,,,4,,0,0,1,0,"A sturdy, spacious bag used to carry loot obtained in the coal mine.",both
rule-book,407,unused,key-items,0,,,4,,0,0,1,0,Lists the rules for holding battles.,both
poke-radar,408,gameplay,key-items,0,,,4,,0,0,1,0,"A tool that can search out Pokémon hiding in tall grass, with a battery that recharges as you walk.",both
point-card,409,gameplay,key-items,0,,,4,,0,0,0,0,A card that lists the Battle Points the player has earned.,both
journal,410,gameplay,,0,,,4,,,,,,,pokeapi
seal-case,411,gameplay,,0,,,4,,,,,,,pokeapi
fashion-case,412,gameplay,key-items,0,,,4,,0,0,1,0,A case that stores Accessories and Backdrops for use in Pokémon performances and photos.,both
seal-bag,413,unused,key-items,0,,,4,,0,0,1,0,A tiny bag that can hold ten Seals for decorating Poké Balls.,both
pal-pad,414,gameplay,key-items,0,,,4,,0,0,1,0,A convenient notepad used to register friends and Friend Codes and keep a record of gameplay.,both
works-key,415,plot-advancement,key-items,0,,,4,,0,0,1,0,"A large key for operating the doors of the Valley Windworks, allowing access to confront Team Galactic.",both
old-charm,416,plot-advancement,key-items,0,,,4,,0,0,0,0,An ancient good-luck charm made of Pokémon bones to be taken to the elder of Celestic Town.,both
galactic-key,417,plot-advancement,key-items,0,,,4,,0,0,1,0,A card key used to disengage security systems in Team Galactic facilities.,both
red-chain,418,unused,key-items,0,,,4,,0,0,0,0,A mythical chain said to bind the Legendary Pokémon responsible for the creation of a region.,both
town-map,419,gameplay,key-items,0,,,1,,0,0,1,0,A very convenient map that can be viewed anytime. It shows the player's present location.,both
vs-seeker,420,gameplay,key-items,0,,,3,,0,0,1,0,A device that indicates Trainers who want a rematch and recharges as the player walks.,both
coin-case,421,gameplay,key-items,0,,,1,,0,0,1,0,A key item used to store and manage Game Corner coins.,both
old-rod,422,gameplay,key-items,0,,,1,,0,0,1,0,A worn-out fishing rod that allows the player to fish for Pokémon in bodies of water.,both
good-rod,423,gameplay,key-items,0,,,1,,0,0,1,0,A fishing rod that allows the player to fish for Pokémon in bodies of water.,both
super-rod,424,gameplay,key-items,0,,,1,,0,0,1,0,A high-quality fishing rod that allows the player to fish for higher-level Pokémon in bodies of water.,both
sprayduck,425,gameplay,key-items,0,,,4,,0,0,1,0,A Psyduck-shaped watering can used to water planted Berries to promote healthier growth.,both
poffin-case,426,gameplay,key-items,0,,,4,,0,0,0,0,A case that allows the player to store Poffins cooked from Berries.,both
bicycle,427,gameplay,key-items,0,,,1,,0,0,1,0,A key item that allows the player to travel faster than walking or running.,both
suite-key,428,event-items,key-items,0,,,4,,0,0,1,0,A key to one of the suites at a luxury hotel by a lake that often disappears for unknown reasons.,both
oaks-letter,429,event-items,key-items,0,,,4,,0,0,1,0,A letter from Professor Oak requesting the player to go to Route 224.,both
lunar-wing,430,event-items,,0,,,4,,,,,,,pokeapi
member-card,431,event-items,key-items,0,,,4,,0,0,1,0,"A card needed for entering the inn in Canalave City, marked with a date from long ago.",both
azure-flute,432,event-items,key-items,0,,,4,,0,0,1,0,A mysterious flute that emits otherworldly echoes and is used to access the Hall of Origin where Arceus resides.,both
ss-ticket,433,plot-advancement,key-items,0,,,1,,0,0,1,0,A ticket that allows the holder to board certain passenger ships.,both
contest-pass,434,gameplay,key-items,0,,,3,,0,0,1,0,A pass that allows the player to participate in Pokémon Contests.,both
magma-stone,435,plot-advancement,key-items,0,,,4,,0,0,1,0,"A stone formed when boulders melt in intensely hot magma, then harden, sealing magma inside.",both
parcel,436,plot-advancement,key-items,0,,,1,,0,0,0,0,A parcel that must be delivered to a specific person to advance the story.,both
coupon-1,437,plot-advancement,key-items,0,,,4,,0,0,0,0,A coupon to be exchanged for a Pokétch. Three coupons are needed.,both
coupon-2,438,plot-advancement,key-items,0,,,4,,0,0,0,0,A coupon to be exchanged for a Pokétch. Three coupons are needed.,both
coupon-3,439,plot-advancement,key-items,0,,,4,,0,0,0,0,A coupon to be exchanged for a Pokétch. Three coupons are needed.,both
storage-key,440,plot-advancement,key-items,0,,,3,,0,0,1,0,A key that opens a locked storage room aboard the Abandoned Ship or Sea Mauville.,both
secret-potion,441,plot-advancement,,0,,,2,,,,,,,pokeapi
griseous-orb,442,species-specific,held-items,0,60,,4,,0,1,1,1,A glowing orb associated with Giratina that boosts the power of its Dragon- and Ghost-type moves.,both
vs-recorder,443,gameplay,key-items,0,,,4,,0,0,1,0,A device that records and replays battles between players or at special battle facilities.,both
gracidea,444,event-items,key-items,0,,,4,,0,0,1,0,A flower that allows Land Forme Shaymin to change into Sky Forme.,both
secret-key,445,event-items,key-items,0,,,1,,0,0,1,0,A key item that unlocks the front door of the Cinnabar Island Gym.,both
apricorn-box,446,gameplay,key-items,0,,,4,,0,0,1,0,A handy box that allows the player to store and manage Apricorns.,both
berry-pots,447,gameplay,key-items,0,,,4,,0,0,1,0,"Portable planters that allow the player to plant, water, and grow Berry trees while traveling.",both
squirt-bottle,448,plot-advancement,key-items,0,,,2,,0,0,1,0,"A watering can fashioned after a Squirtle, used for watering plants and certain obstacles.",both
lure-ball,449,apricorn-balls,poke-balls,0,,,2,,1,1,1,1,"A special Poké Ball that is more effective at catching Pokémon encountered while fishing or found in or on water, depending on the game.",both
level-ball,450,apricorn-balls,poke-balls,0,,,2,,1,1,1,1,A Poké Ball that becomes more effective the higher the player's Pokémon's level is compared to the wild Pokémon.,both
moon-ball,451,apricorn-balls,poke-balls,0,0,,2,,1,1,1,1,A special Poké Ball that is more effective at catching Pokémon that can evolve using a Moon Stone.,both
heavy-ball,452,apricorn-balls,poke-balls,0,0,,2,,1,1,1,1,A Poké Ball that becomes more effective the heavier the Pokémon is.,both
fast-ball,453,apricorn-balls,poke-balls,0,0,,2,,1,1,1,1,A type of Poké Ball that is more effective at catching Pokémon that are fast or quick to flee.,both
friend-ball,454,apricorn-balls,poke-balls,0,,,2,,1,1,0,1,A type of Poké Ball that makes a Pokémon caught with it more friendly toward the player.,both
love-ball,455,apricorn-balls,poke-balls,0,0,,2,,1,1,1,1,A Poké Ball that is more effective when catching a Pokémon of the opposite gender to the player's Pokémon.,both
park-ball,456,standard-balls,poke-balls,0,,,2,,1,0,0,1,A special Poké Ball used exclusively to re-catch Pokémon migrated during Pal Park Catching Shows.,both
sport-ball,457,standard-balls,poke-balls,300,,,4,,1,0,1,1,A Poké Ball originally used in the Bug-Catching Contest.,both
red-apricorn,458,apricorn-box,apricorns,200,10,,2,,1,,1,0,A red fruit used to craft Level Balls or blend into Aprijuice.,both
blue-apricorn,459,apricorn-box,apricorns,200,10,,2,,1,,1,0,A blue fruit used to craft Lure Balls or blend into Aprijuice.,both
yellow-apricorn,460,apricorn-box,apricorns,200,10,,2,,1,,1,0,A yellow fruit used to craft Moon Balls or blend into Aprijuice.,both
green-apricorn,461,apricorn-box,apricorns,200,10,,2,,1,,1,0,A green fruit used to craft Friend Balls or blend into Aprijuice.,both
pink-apricorn,462,apricorn-box,apricorns,200,10,,2,,1,,1,0,A pink fruit used to craft Love Balls or blend into Aprijuice.,both
white-apricorn,463,apricorn-box,apricorns,200,10,,2,,1,,1,0,A white fruit used to craft Fast Balls or blend into Aprijuice.,both
black-apricorn,464,apricorn-box,apricorns,200,10,,2,,1,,1,0,A tough black fruit used to craft Heavy Balls or blend into Aprijuice.,both
dowsing-machine,465,gameplay,key-items,0,,,1,,0,0,1,0,A key item used to detect hidden items in the vicinity of the user.,both
rage-candy-bar,466,gameplay,medicine,350,30,,2,,1,1,1,1,A famous Mahogany Town candy that heals or cures a Pokémon depending on the generation.,both
red-orb,467,plot-advancement,key-items,0,,,3,,0,1,0,1,A legendary red orb associated with Groudon that can trigger its Primal Reversion.,both
blue-orb,468,plot-advancement,key-items,0,,,3,,0,1,0,1,A legendary blue orb associated with Kyogre that can trigger its Primal Reversion.,both
jade-orb,469,plot-advancement,key-items,0,,,4,,0,0,1,0,A legendary green orb associated with Rayquaza that allows the player to encounter it.,both
enigma-stone,470,event-items,key-items,0,,,4,,0,0,1,0,A mysterious crystal event item that triggers an encounter with a roaming Eon Pokémon.,both
unown-report,471,gameplay,key-items,0,,,4,,0,0,0,0,A report that records all of the different forms of Unown discovered by the player.,both
blue-card,472,gameplay,key-items,0,,,2,,0,0,0,0,A card used to save points earned from Buena's Password radio show.,both
slowpoke-tail,473,unused,valueable-items,0,,,2,,0,0,0,0,A very tasty tail of something that serves no purpose other than being sold for a high price.,both
clear-bell,474,plot-advancement,key-items,0,,,2,,0,0,1,0,A very old-fashioned bell associated with Ho-Oh and Suicune that makes a gentle ringing sound.,both
card-key,475,plot-advancement,key-items,0,,,1,,0,0,1,0,A key card used to open locked doors inside the Silph Co. office building in Saffron City.,both
basement-key,476,plot-advancement,,0,,,2,,,,,,,pokeapi
red-scale,477,plot-advancement,key-items,0,,,2,,0,0,0,0,A scale from the red Gyarados.,both
