form,pokeathlon_stat,minimum_stat,base_stat,maximum_stat
girafarig,skill,1,3,4
girafarig,stamina,1,2,3
girafarig,jump,2,2,3
pineco,speed,1,2,3
pineco,power,1,2,5
pineco,skill,1,3,4
pineco,stamina,1,3,5
pineco,jump,2,3,3
forretress,speed,1,1,2
forretress,power,1,4,4
forretress,skill,1,3,4
forretress,stamina,1,4,5
forretress,jump,2,2,3
dunsparce,speed,1,2,3
dunsparce,power,1,3,4
dunsparce,skill,1,1,2
dunsparce,stamina,1,3,4
dunsparce,jump,2,4,5
gligar,speed,1,3,4
gligar,power,1,2,3
gligar,skill,1,3,3
gligar,stamina,1,2,2
gligar,jump,4,5,5
steelix,speed,1,1,2
steelix,power,3,5,5
steelix,skill,1,2,2
steelix,stamina,3,5,5
steelix,jump,2,2,2
snubbull,speed,1,3,3
snubbull,power,1,3,5
snubbull,skill,1,4,4
snubbull,stamina,1,3,3
snubbull,jump,2,2,3
granbull,speed,1,2,2
granbull,power,1,4,5
granbull,skill,1,4,4
granbull,stamina,1,3,3
granbull,jump,2,2,2
qwilfish,speed,1,3,3
qwilfish,power,1,3,4
qwilfish,skill,1,2,3
qwilfish,stamina,1,4,5
qwilfish,jump,2,2,3
scizor,speed,1,2,2
scizor,power,3,4,5
scizor,skill,1,2,5
scizor,stamina,2,4,5
scizor,jump,2,2,3
shuckle,speed,1,1,2
shuckle,power,1,1,4
shuckle,skill,1,1,2
shuckle,stamina,5,5,5
shuckle,jump,2,2,2
heracross,speed,1,3,3
heracross,power,1,4,5
heracross,skill,1,3,3
heracross,stamina,1,2,3
heracross,jump,2,2,3
sneasel,speed,4,5,5
sneasel,power,1,2,3
sneasel,skill,2,4,5
sneasel,stamina,1,1,1
sneasel,jump,2,3,4
teddiursa,speed,1,3,3
teddiursa,power,1,3,3
teddiursa,skill,1,4,4
teddiursa,stamina,2,4,5
teddiursa,jump,2,2,3
ursaring,speed,1,2,3
ursaring,power,2,4,5
ursaring,skill,1,2,3
ursaring,stamina,3,5,5
ursaring,jump,2,2,2
slugma,speed,1,1,2
slugma,power,1,2,3
slugma,skill,1,2,3
slugma,stamina,2,4,4
slugma,jump,2,2,2
magcargo,speed,1,1,1
magcargo,power,1,4,4
magcargo,skill,1,2,2
magcargo,stamina,1,4,5
magcargo,jump,2,2,2
swinub,speed,1,3,3
swinub,power,1,2,4
swinub,skill,1,2,2
swinub,stamina,2,3,4
swinub,jump,2,2,3
piloswine,speed,1,2,2
piloswine,power,1,3,4
piloswine,skill,1,1,2
piloswine,stamina,2,4,5
piloswine,jump,2,2,2
corsola,speed,1,4,4
corsola,power,1,2,3
corsola,skill,1,2,3
corsola,stamina,1,3,3
corsola,jump,2,3,3
remoraid,speed,1,3,3
remoraid,power,1,2,3
remoraid,skill,2,4,5
remoraid,stamina,1,2,3
remoraid,jump,2,3,3
octillery,speed,1,2,2
octillery,power,1,4,4
octillery,skill,1,3,4
octillery,stamina,1,4,5
octillery,jump,2,2,2
delibird,speed,1,3,3
delibird,power,1,3,3
delibird,skill,1,3,4
delibird,stamina,1,4,5
delibird,jump,2,3,3
mantine,speed,1,3,4
mantine,power,1,3,4
mantine,skill,1,3,3
mantine,stamina,2,4,5
mantine,jump,2,2,3
skarmory,speed,1,4,5
skarmory,power,1,3,3
skarmory,skill,1,1,2
skarmory,stamina,1,2,4
skarmory,jump,3,5,5
houndour,speed,1,4,4
houndour,power,1,2,3
houndour,skill,1,4,4
houndour,stamina,1,3,3
houndour,jump,2,3,4
houndoom,speed,1,4,4
houndoom,power,1,3,3
houndoom,skill,1,2,2
houndoom,stamina,1,3,4
houndoom,jump,2,3,4
kingdra,speed,1,2,5
kingdra,power,1,4,4
kingdra,skill,1,3,3
kingdra,stamina,1,4,5
kingdra,jump,2,2,2
phanpy,speed,1,3,3
phanpy,power,2,4,5
phanpy,skill,1,3,3
phanpy,stamina,1,3,4
phanpy,jump,2,2,3
donphan,speed,1,2,4
donphan,power,4,5,5
donphan,skill,1,2,2
donphan,stamina,1,4,4
donphan,jump,2,2,2
porygon2,speed,1,3,4
porygon2,power,1,3,4
porygon2,skill,1,4,4
porygon2,stamina,1,3,4
porygon2,jump,2,3,4
stantler,speed,1,3,3
stantler,power,1,4,4
stantler,skill,1,3,3
stantler,stamina,1,3,4
stantler,jump,2,3,3
smeargle,speed,1,3,3
smeargle,power,1,2,3
smeargle,skill,4,5,5
smeargle,stamina,1,3,3
smeargle,jump,2,3,3
tyrogue,speed,1,4,4
tyrogue,power,1,2,4
tyrogue,skill,1,4,4
tyrogue,stamina,1,2,2
tyrogue,jump,2,3,3
hitmontop,speed,1,3,3
hitmontop,power,1,3,3
hitmontop,skill,1,5,5
hitmontop,stamina,1,3,3
hitmontop,jump,2,3,3
smoochum,speed,1,4,4
smoochum,power,1,1,2
smoochum,skill,1,3,4
smoochum,stamina,1,1,3
smoochum,jump,2,3,3
elekid,speed,1,4,4
elekid,power,1,2,3
elekid,skill,1,3,3
elekid,stamina,1,1,2
elekid,jump,2,3,3
magby,speed,1,3,3
magby,power,1,3,3
magby,skill,1,3,3
magby,stamina,1,2,3
magby,jump,2,2,3
miltank,speed,1,2,3
miltank,power,1,4,4
miltank,skill,1,3,4
miltank,stamina,1,4,5
miltank,jump,2,2,3
blissey,speed,1,2,3
blissey,power,1,2,3
blissey,skill,1,3,3
blissey,stamina,5,5,5
blissey,jump,2,2,3
raikou,speed,4,5,5
raikou,power,2,3,4
raikou,skill,1,4,4
raikou,stamina,1,3,3
raikou,jump,2,3,3
entei,speed,1,4,4
entei,power,4,5,5
entei,skill,1,3,3
entei,stamina,1,4,4
entei,jump,2,2,3
suicune,speed,2,4,5
suicune,power,2,3,4
suicune,skill,1,4,5
suicune,stamina,2,3,3
suicune,jump,2,4,4
larvitar,speed,1,3,3
larvitar,power,1,2,4
larvitar,skill,1,3,4
larvitar,stamina,1,3,3
larvitar,jump,2,3,3
pupitar,speed,1,3,4
pupitar,power,2,4,4
pupitar,skill,1,1,1
pupitar,stamina,1,3,4
pupitar,jump,2,2,4
tyranitar,speed,1,2,2
tyranitar,power,4,5,5
tyranitar,skill,1,4,4
tyranitar,stamina,3,4,5
tyranitar,jump,2,2,2
lugia,speed,1,4,4
lugia,power,2,4,5
lugia,skill,1,3,4
lugia,stamina,1,3,4
lugia,jump,5,5,5
ho-oh,speed,1,4,4
ho-oh,power,1,3,4
ho-oh,skill,2,4,5
ho-oh,stamina,1,3,4
ho-oh,jump,5,5,5
celebi,speed,3,5,5
celebi,power,1,1,3
celebi,skill,1,5,5
celebi,stamina,1,2,3
celebi,jump,5,5,5
treecko,speed,2,5,5
treecko,power,1,2,3
treecko,skill,1,4,5
treecko,stamina,1,2,2
treecko,jump,2,2,3
grovyle,speed,3,4,5
grovyle,power,1,2,4
grovyle,skill,1,4,5
grovyle,stamina,1,3,4
grovyle,jump,2,4,4
sceptile,speed,1,4,4
sceptile,power,1,4,5
sceptile,skill,1,4,5
sceptile,stamina,1,2,4
sceptile,jump,2,3,4
torchic,speed,2,4,5
torchic,power,1,2,4
torchic,skill,1,2,4
torchic,stamina,1,2,3
torchic,jump,2,2,4
combusken,speed,1,3,4
combusken,power,1,4,5
combusken,skill,1,3,4
combusken,stamina,1,3,3
combusken,jump,2,3,4
blaziken,speed,1,2,2
blaziken,power,3,5,5
blaziken,skill,1,3,5
blaziken,stamina,1,2,4
blaziken,jump,2,4,4
mudkip,speed,1,2,4
mudkip,power,1,3,4
mudkip,skill,1,2,3
mudkip,stamina,1,4,5
mudkip,jump,2,3,3
marshtomp,speed,1,2,3
marshtomp,power,1,4,4
marshtomp,skill,1,3,4
marshtomp,stamina,1,4,5
marshtomp,jump,2,3,3
swampert,speed,1,2,3
swampert,power,2,4,5
swampert,skill,1,2,5
swampert,stamina,1,5,5
swampert,jump,2,2,2
poochyena,speed,1,3,4
poochyena,power,1,3,4
poochyena,skill,1,2,4
poochyena,stamina,1,4,5
poochyena,jump,2,2,3
mightyena,speed,1,2,4
mightyena,power,1,4,5
mightyena,skill,1,2,3
mightyena,stamina,3,5,5
mightyena,jump,2,2,3
zigzagoon,speed,1,4,4
zigzagoon,power,1,1,4
zigzagoon,skill,1,3,5
zigzagoon,stamina,1,4,4
zigzagoon,jump,2,2,3
linoone,speed,3,4,5
linoone,power,1,2,4
linoone,skill,1,2,3
linoone,stamina,1,4,4
linoone,jump,2,2,3
wurmple,speed,1,1,3
wurmple,power,1,2,3
wurmple,skill,1,4,5
wurmple,stamina,1,1,4
wurmple,jump,2,2,3
silcoon,speed,1,1,3
silcoon,power,1,1,3
silcoon,skill,1,1,3
silcoon,stamina,1,3,5
silcoon,jump,2,2,2
beautifly,speed,1,3,3
beautifly,power,1,2,4
beautifly,skill,1,3,3
beautifly,stamina,1,4,5
beautifly,jump,4,5,5
cascoon,speed,1,1,3
cascoon,power,1,2,3
cascoon,skill,1,1,4
cascoon,stamina,1,2,4
cascoon,jump,2,2,2
dustox,speed,1,2,4
dustox,power,1,2,3
dustox,skill,3,4,5
dustox,stamina,1,2,3
dustox,jump,4,5,5
lotad,speed,1,2,3
lotad,power,1,2,4
lotad,skill,1,3,4
lotad,stamina,1,3,5
lotad,jump,2,2,2
lombre,speed,1,3,3
lombre,power,1,3,4
lombre,skill,1,4,5
lombre,stamina,1,2,4
lombre,jump,2,2,3
ludicolo,speed,1,2,4
ludicolo,power,1,3,4
ludicolo,skill,2,3,5
ludicolo,stamina,1,3,5
ludicolo,jump,2,2,3
seedot,speed,1,3,4
seedot,power,1,2,3
seedot,skill,1,2,4
seedot,stamina,1,2,4
seedot,jump,2,2,3
nuzleaf,speed,1,3,5
nuzleaf,power,1,3,4
nuzleaf,skill,2,4,4
nuzleaf,stamina,1,2,2
nuzleaf,jump,2,3,3
shiftry,speed,1,3,4
shiftry,power,1,3,4
shiftry,skill,1,3,4
shiftry,stamina,1,3,4
shiftry,jump,2,3,4
taillow,speed,1,3,4
taillow,power,1,2,4
taillow,skill,1,2,3
taillow,stamina,2,4,4
taillow,jump,3,4,5
swellow,speed,1,3,3
swellow,power,1,3,5
swellow,skill,1,1,2
swellow,stamina,1,4,4
swellow,jump,4,5,5
wingull,speed,1,3,4
wingull,power,1,1,3
wingull,skill,1,2,3
wingull,stamina,1,3,4
wingull,jump,4,5,5
pelipper,speed,1,2,3
pelipper,power,1,2,4
pelipper,skill,1,2,2
pelipper,stamina,3,4,5
pelipper,jump,5,5,5
ralts,speed,1,3,4
ralts,power,1,1,1
ralts,skill,1,3,5
ralts,stamina,1,1,4
ralts,jump,2,2,3
kirlia,speed,1,2,3
kirlia,power,1,2,4
kirlia,skill,3,4,5
kirlia,stamina,1,2,3
kirlia,jump,2,3,3
gardevoir,speed,1,3,4
gardevoir,power,1,1,3
gardevoir,skill,5,5,5
gardevoir,stamina,1,2,2
gardevoir,jump,2,3,4
surskit,speed,2,3,5
surskit,power,1,1,3
surskit,skill,1,2,3
surskit,stamina,1,2,3
surskit,jump,2,2,3
masquerain,speed,1,3,4
masquerain,power,1,1,3
masquerain,skill,1,3,3
masquerain,stamina,1,4,4
masquerain,jump,5,5,5
shroomish,speed,1,2,3
shroomish,power,1,2,3
shroomish,skill,1,2,2
shroomish,stamina,2,4,5
shroomish,jump,2,2,3
breloom,speed,1,3,3
breloom,power,1,4,5
breloom,skill,1,2,5
breloom,stamina,1,2,3
breloom,jump,2,2,3
slakoth,speed,1,1,2
slakoth,power,1,1,2
slakoth,skill,1,1,2
slakoth,stamina,3,4,5
slakoth,jump,2,2,2
vigoroth,speed,3,4,5
vigoroth,power,1,2,3
vigoroth,skill,1,2,4
vigoroth,stamina,1,3,4
vigoroth,jump,2,3,4
slaking,speed,1,1,1
slaking,power,5,5,5
slaking,skill,1,1,2
slaking,stamina,1,4,5
slaking,jump,2,2,2
nincada,speed,1,2,3
nincada,power,1,2,3
nincada,skill,1,3,4
nincada,stamina,2,3,5
nincada,jump,2,2,3
ninjask,speed,3,5,5
ninjask,power,1,2,3
ninjask,skill,1,2,3
ninjask,stamina,1,2,2
ninjask,jump,5,5,5
shedinja,speed,1,2,2
shedinja,power,1,1,3
shedinja,skill,1,1,3
shedinja,stamina,2,4,5
shedinja,jump,4,5,5
whismur,speed,1,4,5
whismur,power,1,2,3
whismur,skill,1,2,4
whismur,stamina,1,3,3
whismur,jump,2,2,3
loudred,speed,1,3,4
loudred,power,1,3,4
loudred,skill,1,4,4
loudred,stamina,1,3,4
loudred,jump,2,2,3
exploud,speed,1,3,3
exploud,power,1,4,4
exploud,skill,1,4,4
exploud,stamina,1,4,5
exploud,jump,2,2,2
makuhita,speed,1,3,3
makuhita,power,1,3,5
makuhita,skill,1,3,3
makuhita,stamina,1,3,4
makuhita,jump,2,3,5
hariyama,speed,1,2,2
hariyama,power,2,5,5
hariyama,skill,1,2,3
hariyama,stamina,1,3,4
hariyama,jump,2,2,5
azurill,speed,1,4,5
azurill,power,1,1,2
azurill,skill,1,2,3
azurill,stamina,1,2,3
azurill,jump,2,3,4
nosepass,speed,1,1,2
nosepass,power,1,3,4
nosepass,skill,1,2,3
nosepass,stamina,1,4,5
nosepass,jump,2,2,3
skitty,speed,2,4,5
skitty,power,1,3,3
skitty,skill,1,3,3
skitty,stamina,1,2,3
skitty,jump,2,3,4
delcatty,speed,3,4,5
delcatty,power,1,2,3
delcatty,skill,1,4,4
delcatty,stamina,1,3,4
delcatty,jump,2,3,4
sableye,speed,1,3,4
sableye,power,1,3,4
sableye,skill,1,3,4
sableye,stamina,1,3,4
sableye,jump,2,3,3
mawile,speed,1,4,4
mawile,power,2,3,5
mawile,skill,1,3,4
mawile,stamina,1,4,4
mawile,jump,2,2,3
aron,speed,1,3,3
aron,power,1,4,4
aron,skill,1,2,3
aron,stamina,1,3,3
aron,jump,2,2,2
lairon,speed,1,2,3
lairon,power,2,4,5
lairon,skill,1,3,4
lairon,stamina,1,3,4
lairon,jump,2,2,2
aggron,speed,1,1,2
aggron,power,3,5,5
aggron,skill,1,4,4
aggron,stamina,1,4,4
aggron,jump,2,2,2
meditite,speed,1,2,2
meditite,power,1,2,2
meditite,skill,1,5,5
meditite,stamina,1,2,3
meditite,jump,2,2,5
medicham,speed,1,3,5
medicham,power,1,3,5
medicham,skill,1,4,5
medicham,stamina,1,2,3
medicham,jump,2,3,4
electrike,speed,1,4,5
electrike,power,1,2,3
electrike,skill,1,2,4
electrike,stamina,1,2,3
electrike,jump,2,2,4
manectric,speed,1,4,5
manectric,power,1,3,3
manectric,skill,1,4,4
manectric,stamina,1,3,3
manectric,jump,2,3,4
plusle,speed,1,4,4
plusle,power,1,2,2
plusle,skill,1,2,2
plusle,stamina,1,2,3
plusle,jump,2,3,4
minun,speed,1,4,4
minun,power,1,2,2
minun,skill,1,2,2
minun,stamina,1,2,3
minun,jump,2,3,4
volbeat,speed,1,3,4
volbeat,power,1,3,3
volbeat,skill,1,2,2
volbeat,stamina,1,2,3
volbeat,jump,4,5,5
illumise,speed,1,3,4
illumise,power,1,2,2
illumise,skill,1,3,3
illumise,stamina,1,3,3
illumise,jump,4,5,5
roselia,speed,1,3,3
roselia,power,1,2,3
roselia,skill,1,4,5
roselia,stamina,1,2,3
roselia,jump,2,3,3
gulpin,speed,1,1,2
gulpin,power,1,1,2
gulpin,skill,1,2,2
gulpin,stamina,1,3,4
gulpin,jump,2,2,2
swalot,speed,1,1,2
swalot,power,1,3,4
swalot,skill,1,3,3
swalot,stamina,1,4,5
swalot,jump,2,2,2
carvanha,speed,1,3,4
carvanha,power,1,3,4
carvanha,skill,1,2,4
carvanha,stamina,1,2,3
carvanha,jump,2,2,3
sharpedo,speed,3,4,4
sharpedo,power,3,4,4
sharpedo,skill,3,4,4
sharpedo,stamina,1,2,2
sharpedo,jump,2,2,3
wailmer,speed,1,3,3
wailmer,power,1,3,4
wailmer,skill,1,2,3
wailmer,stamina,1,4,5
wailmer,jump,2,3,4
wailord,speed,1,2,3
wailord,power,2,4,5
wailord,skill,1,1,1
wailord,stamina,1,5,5
wailord,jump,2,2,4
numel,speed,1,2,3
numel,power,2,4,5
numel,skill,1,2,2
numel,stamina,1,4,4
numel,jump,2,2,2
camerupt,speed,1,3,3
camerupt,power,4,5,5
camerupt,skill,1,2,2
camerupt,stamina,1,3,4
camerupt,jump,2,2,2
torkoal,speed,1,1,2
torkoal,power,1,4,5
torkoal,skill,1,2,3
torkoal,stamina,2,4,5
torkoal,jump,2,2,2
spoink,speed,1,2,3
spoink,power,1,2,3
spoink,skill,1,2,3
spoink,stamina,2,4,4
spoink,jump,3,4,5
grumpig,speed,1,2,2
grumpig,power,1,3,5
grumpig,skill,1,3,5
grumpig,stamina,1,4,5
grumpig,jump,2,3,3
spinda,speed,1,2,3
spinda,power,1,2,3
spinda,skill,1,3,4
spinda,stamina,1,3,3
spinda,jump,2,2,3
trapinch,speed,1,1,2
trapinch,power,1,3,5
trapinch,skill,1,2,3
trapinch,stamina,1,3,5
trapinch,jump,2,2,2
vibrava,speed,1,3,4
vibrava,power,1,2,3
vibrava,skill,3,4,5
vibrava,stamina,1,2,3
vibrava,jump,2,3,4
flygon,speed,1,3,4
flygon,power,1,3,5
flygon,skill,1,3,4
flygon,stamina,1,2,2
flygon,jump,4,5,5
cacnea,speed,1,3,3
cacnea,power,1,3,4
cacnea,skill,1,3,4
cacnea,stamina,1,4,5
cacnea,jump,2,2,3
cacturne,speed,1,4,4
cacturne,power,1,3,4
cacturne,skill,1,4,5
cacturne,stamina,1,2,3
cacturne,jump,2,2,3
swablu,speed,1,2,3
swablu,power,1,2,3
swablu,skill,1,3,4
swablu,stamina,1,3,4
swablu,jump,5,5,5
altaria,speed,1,2,3
altaria,power,1,2,3
altaria,skill,1,4,4
altaria,stamina,1,3,4
altaria,jump,4,5,5
zangoose,speed,1,2,3
zangoose,power,2,4,5
zangoose,skill,1,3,4
zangoose,stamina,2,4,5
zangoose,jump,2,3,3
seviper,speed,1,3,4
seviper,power,1,3,4
seviper,skill,1,4,5
seviper,stamina,2,4,5
seviper,jump,2,2,2
lunatone,speed,1,2,3
lunatone,power,1,2,3
lunatone,skill,1,3,4
lunatone,stamina,1,4,4
lunatone,jump,2,3,3
solrock,speed,1,2,3
solrock,power,1,3,5
solrock,skill,1,2,4
solrock,stamina,1,4,4
solrock,jump,2,3,3
barboach,speed,1,4,4
barboach,power,1,2,3
barboach,skill,1,3,4
barboach,stamina,1,3,5
barboach,jump,2,2,3
whiscash,speed,1,2,2
whiscash,power,1,4,5
whiscash,skill,1,3,4
whiscash,stamina,1,4,5
whiscash,jump,2,2,2
corphish,speed,1,3,4
corphish,power,1,3,4
corphish,skill,1,3,4
corphish,stamina,1,3,4
corphish,jump,2,2,2
crawdaunt,speed,1,2,3
crawdaunt,power,3,4,5
crawdaunt,skill,1,3,4
crawdaunt,stamina,1,3,4
crawdaunt,jump,2,2,3
baltoy,speed,2,3,4
baltoy,power,1,2,3
baltoy,skill,2,4,5
baltoy,stamina,1,3,4
baltoy,jump,2,2,3
claydol,speed,1,2,3
claydol,power,1,2,3
claydol,skill,3,4,5
claydol,stamina,1,3,4
claydol,jump,2,4,4
lileep,speed,1,1,3
lileep,power,1,3,4
lileep,skill,1,2,3
lileep,stamina,3,4,5
lileep,jump,2,2,2
cradily,speed,1,1,1
cradily,power,1,4,4
cradily,skill,1,2,3
cradily,stamina,2,5,5
cradily,jump,2,2,2
anorith,speed,2,4,5
anorith,power,1,2,3
anorith,skill,2,4,5
anorith,stamina,1,2,3
anorith,jump,2,2,2
armaldo,speed,1,2,2
armaldo,power,1,4,5
armaldo,skill,1,3,4
armaldo,stamina,2,4,5
armaldo,jump,2,2,2
feebas,speed,1,2,5
feebas,power,1,1,2
feebas,skill,1,1,1
feebas,stamina,1,1,1
feebas,jump,2,2,2
milotic,speed,1,4,4
milotic,power,1,2,3
milotic,skill,1,5,5
milotic,stamina,1,4,5
milotic,jump,2,3,3
castform,speed,1,4,4
castform,power,1,2,4
castform,skill,1,2,4
castform,stamina,1,2,4
castform,jump,2,4,4
kecleon,speed,1,3,4
kecleon,power,1,2,3
kecleon,skill,1,4,5
kecleon,stamina,1,3,4
kecleon,jump,2,2,3
shuppet,speed,1,4,5
shuppet,power,1,1,2
shuppet,skill,1,2,3
shuppet,stamina,1,1,3
shuppet,jump,2,4,4
banette,speed,3,3,3
banette,power,3,4,4
banette,skill,3,4,4
banette,stamina,3,3,3
banette,jump,3,3,3
duskull,speed,1,4,4
duskull,power,1,2,3
duskull,skill,1,1,3
duskull,stamina,1,2,3
duskull,jump,2,4,4
dusclops,speed,1,2,3
dusclops,power,1,3,4
dusclops,skill,1,4,4
dusclops,stamina,1,4,5
dusclops,jump,2,2,2
tropius,speed,1,3,4
tropius,power,1,3,5
tropius,skill,1,2,2
tropius,stamina,1,3,4
tropius,jump,4,5,5
chimecho,speed,1,3,5
chimecho,power,1,2,2
chimecho,skill,1,1,2
chimecho,stamina,1,2,2
chimecho,jump,4,4,5
absol,speed,1,3,5
absol,power,1,3,4
absol,skill,1,3,3
absol,stamina,1,3,4
absol,jump,2,3,3
wynaut,speed,1,3,5
wynaut,power,1,1,3
wynaut,skill,1,1,4
wynaut,stamina,1,3,5
wynaut,jump,2,2,3
snorunt,speed,3,4,5
snorunt,power,1,2,3
snorunt,skill,1,3,4
snorunt,stamina,1,2,3
snorunt,jump,2,2,3
glalie,speed,1,2,3
glalie,power,2,4,5
glalie,skill,1,2,2
glalie,stamina,3,4,5
glalie,jump,2,2,2
spheal,speed,1,3,4
spheal,power,1,3,4
spheal,skill,1,1,2
spheal,stamina,1,3,4
spheal,jump,2,2,2
sealeo,speed,1,2,4
sealeo,power,1,4,4
sealeo,skill,1,2,2
sealeo,stamina,1,4,4
sealeo,jump,2,2,2
walrein,speed,1,1,2
walrein,power,1,5,5
walrein,skill,1,1,1
walrein,stamina,3,5,5
walrein,jump,2,2,2
clamperl,speed,1,3,3
clamperl,power,1,3,3
clamperl,skill,1,2,3
clamperl,stamina,1,4,5
clamperl,jump,2,2,3
huntail,speed,1,4,4
huntail,power,1,5,5
huntail,skill,1,1,2
huntail,stamina,1,3,3
huntail,jump,2,2,3
gorebyss,speed,1,4,4
gorebyss,power,1,2,3
gorebyss,skill,1,4,4
gorebyss,stamina,1,3,3
gorebyss,jump,2,2,3
relicanth,speed,3,3,3
relicanth,power,3,3,4
relicanth,skill,2,2,3
relicanth,stamina,4,4,5
relicanth,jump,2,2,3
luvdisc,speed,1,3,5
luvdisc,power,1,1,1
luvdisc,skill,1,1,1
luvdisc,stamina,1,3,5
luvdisc,jump,2,2,3
bagon,speed,1,3,4
bagon,power,1,3,4
bagon,skill,1,3,4
bagon,stamina,1,3,4
bagon,jump,2,3,3
shelgon,speed,1,2,2
shelgon,power,2,4,5
shelgon,skill,1,1,2
shelgon,stamina,4,4,5
shelgon,jump,2,2,2
salamence,speed,1,3,3
salamence,power,1,5,5
salamence,skill,1,2,3
salamence,stamina,1,2,3
salamence,jump,3,5,5
beldum,speed,1,3,4
beldum,power,1,3,4
beldum,skill,1,1,1
beldum,stamina,1,3,3
beldum,jump,2,3,4
metang,speed,1,2,3
metang,power,1,4,4
metang,skill,3,3,3
metang,stamina,2,3,4
metang,jump,2,3,4
metagross,speed,1,1,2
metagross,power,3,4,5
metagross,skill,3,4,4
metagross,stamina,2,4,5
metagross,jump,2,2,2
regirock,speed,1,2,2
regirock,power,1,5,5
regirock,skill,1,4,5
regirock,stamina,1,5,5
regirock,jump,2,2,2
regice,speed,1,2,2
regice,power,1,3,4
regice,skill,3,5,5
regice,stamina,3,5,5
regice,jump,2,3,3
registeel,speed,2,2,2
registeel,power,4,4,5
registeel,skill,4,5,5
registeel,stamina,5,5,5
registeel,jump,2,2,2
latias,speed,1,5,5
latias,power,1,3,4
latias,skill,1,4,5
latias,stamina,1,2,3
latias,jump,4,5,5
latios,speed,1,4,5
latios,power,1,3,4
latios,skill,1,5,5
latios,stamina,1,2,3
latios,jump,4,5,5
kyogre,speed,1,3,4
kyogre,power,1,3,4
kyogre,skill,1,4,5
kyogre,stamina,1,5,5
kyogre,jump,2,3,4
groudon,speed,1,1,2
groudon,power,4,5,5
groudon,skill,4,5,5
groudon,stamina,4,5,5
groudon,jump,2,2,2
rayquaza,speed,1,4,5
rayquaza,power,1,4,5
rayquaza,skill,1,3,3
rayquaza,stamina,1,4,5
rayquaza,jump,2,5,5
jirachi,speed,1,3,5
jirachi,power,1,3,3
jirachi,skill,1,4,5
jirachi,stamina,1,3,4
jirachi,jump,2,4,5
deoxys-normal,speed,1,4,4
deoxys-normal,power,1,4,4
deoxys-normal,skill,1,4,4
deoxys-normal,stamina,1,4,4
deoxys-normal,jump,2,3,4
turtwig,speed,1,3,4
turtwig,power,1,3,4
turtwig,skill,1,2,3
turtwig,stamina,1,3,4
turtwig,jump,2,2,3
grotle,speed,1,2,3
grotle,power,1,4,4
grotle,skill,2,3,3
grotle,stamina,2,4,5
grotle,jump,2,2,3
torterra,speed,1,1,2
torterra,power,1,5,5
torterra,skill,1,3,3
torterra,stamina,3,5,5
torterra,jump,2,2,2
chimchar,speed,3,5,5
chimchar,power,1,3,4
chimchar,skill,1,3,4
chimchar,stamina,1,1,2
chimchar,jump,2,3,3
monferno,speed,2,4,5
monferno,power,1,3,4
monferno,skill,1,4,5
monferno,stamina,1,2,2
monferno,jump,2,3,3
infernape,speed,1,4,4
infernape,power,2,4,5
infernape,skill,1,4,5
infernape,stamina,1,1,2
infernape,jump,2,3,3
piplup,speed,1,4,5
piplup,power,1,3,4
piplup,skill,1,2,3
piplup,stamina,1,2,3
piplup,jump,2,3,5
prinplup,speed,1,3,4
prinplup,power,1,3,4
prinplup,skill,1,3,4
prinplup,stamina,1,3,5
prinplup,jump,2,3,4
empoleon,speed,1,3,3
empoleon,power,2,3,5
empoleon,skill,1,3,3
empoleon,stamina,3,4,5
empoleon,jump,2,3,4
starly,speed,1,3,4
starly,power,1,2,3
starly,skill,1,2,2
starly,stamina,1,2,3
starly,jump,3,4,5
staravia,speed,1,3,4
staravia,power,1,3,3
staravia,skill,1,2,3
staravia,stamina,1,3,4
staravia,jump,4,5,5
staraptor,speed,1,3,3
staraptor,power,3,4,5
staraptor,skill,1,1,3
staraptor,stamina,1,3,4
staraptor,jump,4,5,5
bidoof,speed,1,2,4
bidoof,power,1,2,4
bidoof,skill,1,1,4
bidoof,stamina,1,3,4
bidoof,jump,2,2,2
bibarel,speed,1,1,4
bibarel,power,1,3,4
bibarel,skill,1,2,4
bibarel,stamina,5,5,5
bibarel,jump,2,2,2
kricketot,speed,1,4,4
kricketot,power,1,2,3
kricketot,skill,1,3,4
kricketot,stamina,1,2,3
kricketot,jump,2,3,3
kricketune,speed,1,3,4
kricketune,power,1,2,3
kricketune,skill,1,4,5
kricketune,stamina,1,3,3
kricketune,jump,2,3,3
shinx,speed,1,3,4
shinx,power,1,3,4
shinx,skill,1,2,4
shinx,stamina,1,3,3
shinx,jump,2,3,3
luxio,speed,1,3,4
luxio,power,1,4,4
luxio,skill,1,3,3
luxio,stamina,1,3,4
luxio,jump,2,3,3
luxray,speed,1,3,3
luxray,power,1,4,5
luxray,skill,1,4,4
luxray,stamina,1,4,4
luxray,jump,2,3,3
budew,speed,1,3,5
budew,power,1,1,3
budew,skill,1,2,3
budew,stamina,1,2,3
budew,jump,2,3,3
roserade,speed,1,3,4
roserade,power,1,3,4
roserade,skill,3,5,5
roserade,stamina,1,2,3
roserade,jump,2,3,3
cranidos,speed,1,3,4
cranidos,power,1,4,5
cranidos,skill,1,3,3
cranidos,stamina,1,2,3
cranidos,jump,2,2,3
rampardos,speed,1,3,3
rampardos,power,1,5,5
rampardos,skill,1,2,3
rampardos,stamina,1,3,4
rampardos,jump,2,2,3
