location,generation,game_index
brooklet-hill,7,86
brooklet-hill--totems-den,7,89
lush-jungle,7,90
ruins-of-life,7,92
akala-outskirts,7,94
digletts-tunnel,7,100
battle-royal-dome,7,104
alola-route-10,7,106
alola-route-11,7,108
secluded-shore,7,110
alola-route-13,7,112
tapu-village,7,114
alola-route-15,7,116
alola-route-16,7,118
alola-route-17,7,120
alola-route-12,7,122
haina-desert,7,124
alola-route-14,7,126
ulaula-meadow,7,128
po-town,7,130
malie-city-proper,7,132
malie-garden,7,134
mount-hokulani,7,136
blush-mountain,7,138
ruins-of-abundance,7,140
lake-of-the-sunne,7,142
lake-of-the-moone,7,144
mount-lanakila,7,146
shady-house,7,148
thrifty-megamart--abandoned-site,7,151
hokulani-observatory,7,152
alola-pokemon-league,7,154
poni-meadow,7,156
poni-wilds,7,158
ancient-poni-path,7,160
poni-breaker-coast,7,162
poni-grove,7,164
poni-plains,7,166
poni-coast,7,168
poni-gauntlet,7,170
seafolk-village,7,172
vast-poni-canyon,7,174
altar-of-the-sunne,7,176
altar-of-the-moone,7,178
ruins-of-hope,7,180
resolution-cave,7,182
exeggutor-island,7,184
battle-tree,7,186
aether-paradise,7,188
ultra-space,7,190
malie-city--outer-cape,7,193
terra-cave,3,205
marine-cave,3,203
two-island,3,144
three-island,3,145
three-isle-path,3,185
six-island,3,149
seven-island,3,148
birth-island,3,187
navel-rock,3,174
faraway-island,3,201
hoenn-battle-frontier,3,58
cabo-poco,9,80
los-platos,9,82
mesagoza,9,8
cortondo,9,84
alfornada,9,96
pokemon-league,1,42
pokemon-league,3,137
pokemon-league,9,10
artazon,9,86
levincia,9,78
zapapico,9,92
cascarrafa,9,76
porto-marinada,9,88
medali,9,90
montenevera,9,94
paldea-south-province-area-one,9,6
paldea-south-province-area-two,9,12
paldea-south-province-area-three,9,20
paldea-south-province-area-four,9,14
paldea-south-province-area-five,9,18
paldea-south-province-area-six,9,16
south-paldean-sea,9,56
poco-path,9,70
inlet-grotto,9,64
naranja-academy,9,130
alfornada-cavern,9,67
paldea-east-province-area-one,9,34
paldea-east-province-area-two,9,36
paldea-east-province-area-three,9,32
east-paldean-sea,9,60
tagtree-thicket,9,30
schedar-squads-base,9,105
navi-squads-base,9,107
paldea-west-province-area-one,9,22
paldea-west-province-area-two,9,26
paldea-west-province-area-three,9,28
asado-desert,9,24
west-paldean-sea,9,58
segin-squads-base,9,101
paldea-north-province-area-one,9,46
paldea-north-province-area-two,9,48
paldea-north-province-area-three,9,44
casseroya-lake,9,40
dalizapa-passage,9,69
glaseado-mountain,9,38
socarrat-trail,9,109
north-paldean-sea,9,62
ruchbah-squads-base,9,103
caph-squads-base,9,99
area-zero,9,110
zero-lab,9,118
galar-route-1,8,12
galar-route-2,8,18
galar-route-3,8,28
galar-route-4,8,32
galar-route-5,8,40
galar-route-6,8,68
galar-route-7,8,84
galar-route-8,8,86
galar-route-9,8,90
galar-route-10,8,106
axews-eye,8,132
ballimere-lake,8,230
ballonlea,8,78
galar-battle-tower,2,29
galar-battle-tower,4,80
galar-battle-tower,8,158
brawlers-cave,8,172
bridge-field,8,142
challenge-beach,8,170
challenge-road,8,174
circhester,8,96
courageous-cavern,8,176
crown-shrine,8,220
dappled-grove,8,124
dusty-bowl,8,146
dyna-tree-hill,8,234
east-lake-axewell,8,128
fields-of-honor,8,164
forest-of-focus,8,168
freezington,8,206
frigid-sea,8,226
frostpoint-field,8,208
galar-mine,8,30
galar-mine-no-2,8,54
giants-bed,8,210
giants-foot,8,222
giants-mirror,8,148
giants-seat,8,136
glimwood-tangle,8,76
hammerlocke,8,56
hammerlocke-hills,8,150
honeycalm-island,8,194
honeycalm-sea,8,192
hulbury,8,44
insular-sea,8,190
lake-of-outrage,8,154
lakeside-cave,8,232
loop-lagoon,8,178
master-dojo,8,196
max-lair,8,244
motostoke,8,20
motostoke-outskirts,8,52
motostoke-riverbank,8,140
north-lake-miloch,8,138
old-cemetery,8,212
path-to-the-peak,8,218
postwick,8,6
potbottom-desert,8,184
roaring-sea-caves,8,224
rolling-fields,8,122
slippery-slope,8,204
slumbering-weald,8,8
snowslide-slope,8,214
soothing-wetlands,8,166
south-lake-miloch,8,134
spikemuth,8,102
split-decision-ruins,8,242
steamdrift-way,8,89
stepping-stone-sea,8,188
stony-wilderness,8,144
stow-on-side,8,70
three-point-pass,8,228
tower-of-darkness,8,198
tower-of-waters,8,200
training-lowlands,8,180
tunnel-to-the-top,8,216
turffield,8,34
warm-up-tunnel,8,182
watchtower-ruins,8,126
wedgehurst,8,14
west-lake-axewell,8,130
workout-sea,8,186
wyndon,8,110
giants-cap,8,152
hauoli-city,7,18
verdant-cavern,7,46
thrifty-megamart,7,150
malie-city,7,132
dividing-peak-tunnel,7,232
heahea-beach,7,202
sandy-cave,7,200
ultra-megalopolis,7,206
ultra-space-wilds,7,222
poke-pelago,7,30016
poke-pelago,8,30016
poke-pelago,9,30016
team-rockets-castle,7,224
uva-academy,9,131
apple-hills,9,136
chilling-waterhead,9,170
crystal-pool,9,152
dreaded-den,9,146
fellhorn-gorge,9,160
infernal-pass,9,168
kitakami-hall,9,142
kitakami-road,9,132
kitakami-wilds,9,164
loyalty-plaza,9,138
mossfell-confluence,9,158
mossui-town,9,134
oni-mountain,9,144
onis-maw,9,148
paradise-barrens,9,162
revelers-road,9,140
timeless-woods,9,166
wistful-fields,9,156
canyon-biome,9,178
canyon-plaza,9,188
central-plaza,9,182
chargestone-cavern,9,192
coastal-biome,9,176
coastal-plaza,9,186
polar-biome,9,180
polar-plaza,9,190
savanna-biome,9,174
savanna-plaza,9,184
torchlit-labyrinth,9,194
mirage-island,3,71
mirage-island,6,330
kanto-underground-path,1,43
kanto-underground-path,2,59
