species,genus_en,genus_ja,genus_ja_hrkt,genus_fr,genus_de,genus_es,genus_es_419,genus_it,genus_ko,genus_zh_hant,genus_zh_hans
239,Electric Pokémon,でんきポケモン,でんきポケモン,Pokémon Électrique,Elektro-Pokémon,Pokémon Eléctrico,Pokémon Eléctrico,Pokémon Elettrico,전류포켓몬,電氣寶可夢,电气宝可梦
240,Live Coal Pokémon,ひだねポケモン,ひだねポケモン,Pokémon Charbon,Glutherd-Pokémon,Pokémon Ascuas,Pokémon Ascuas,Pokémon Carbonvivo,불씨포켓몬,火種寶可夢,火种宝可梦
241,Milk Cow Pokémon,ちちうしポケモン,ちちうしポケモン,Pokémon Vachalait,Milchkuh-Pokémon,Pokémon Lechera,Pokémon Lechera,Pokémon Bovino,젖소포켓몬,乳牛寶可夢,奶牛宝可梦
242,Happiness Pokémon,しあわせポケモン,しあわせポケモン,Pokémon Bonheur,Freuden-Pokémon,Pokémon Felicidad,Pokémon Felicidad,Pokémon Felicità,행복포켓몬,幸福寶可夢,幸福宝可梦
243,Thunder Pokémon,いかずちポケモン,いかずちポケモン,Pokémon Foudre,Donner-Pokémon,Pokémon Trueno,Pokémon Trueno,Pokémon Tuono,우뢰포켓몬,天雷寶可夢,天雷宝可梦
244,Volcano Pokémon,かざんポケモン,かざんポケモン,Pokémon Volcan,Vulkan-Pokémon,Pokémon Volcán,Pokémon Volcán,Pokémon Vulcano,화산포켓몬,火山寶可夢,火山宝可梦
245,Aurora Pokémon,オーロラポケモン,オーロラポケモン,Pokémon Aurore,Polarlicht-Pokémon,Pokémon Aurora,Pokémon Aurora,Pokémon Aurora,오로라포켓몬,極光寶可夢,极光宝可梦
246,Rock Skin Pokémon,いわはだポケモン,いわはだポケモン,Pokémon Peaupierre,Felshaut-Pokémon,Pokémon Piel Roca,Pokémon Piel Roca,Pokémon Peldisasso,바위표면포켓몬,岩石膚寶可夢,岩石肤宝可梦
247,Hard Shell Pokémon,だんがんポケモン,だんがんポケモン,Pokémon Carapadure,Hartschalen-Pokémon,Pokémon Caparazón,Pokémon Caparazón,Pokémon Guscioduro,탄환포켓몬,子彈寶可夢,子弹宝可梦
248,Armor Pokémon,よろいポケモン,よろいポケモン,Pokémon Armure,Panzer-Pokémon,Pokémon Coraza,Pokémon Coraza,Pokémon Armatura,갑옷포켓몬,鎧甲寶可夢,铠甲宝可梦
249,Diving Pokémon,せんすいポケモン,せんすいポケモン,Pokémon Plongeon,Taucher-Pokémon,Pokémon Buceo,Pokémon Buceo,Pokémon Immersione,잠수포켓몬,潛水寶可夢,潜水宝可梦
250,Rainbow Pokémon,にじいろポケモン,にじいろポケモン,Pokémon Arcenciel,Regenbogen-Pokémon,Pokémon Arcoíris,Pokémon Arcoíris,Pokémon Arcobaleno,무지개색포켓몬,虹色寶可夢,虹色宝可梦
251,Time Travel Pokémon,ときわたりポケモン,ときわたりポケモン,Pokémon Temporel,Zeitreise-Pokémon,Pokémon Viajetiempo,Pokémon Viajetiempo,Pokémon Tempovia,시간이동포켓몬,時空穿越寶可夢,时空穿越宝可梦
252,Wood Gecko Pokémon,もりトカゲポケモン,もりトカゲポケモン,Pokémon Bois Gecko,Waldgecko-Pokémon,Pokémon Geco Bosque,Pokémon Geco Bosque,Pokémon Legnogeco,숲도마뱀포켓몬,林蜥寶可夢,林蜥宝可梦
253,Wood Gecko Pokémon,もりトカゲポケモン,もりトカゲポケモン,Pokémon Bois Gecko,Waldgecko-Pokémon,Pokémon Geco Bosque,Pokémon Geco Bosque,Pokémon Legnogeco,숲도마뱀포켓몬,林蜥寶可夢,林蜥宝可梦
254,Forest Pokémon,みつりんポケモン,みつりんポケモン,Pokémon Forêt,Dschungel-Pokémon,Pokémon Monte,Pokémon Monte,Pokémon Foresta,밀림포켓몬,密林寶可夢,密林宝可梦
255,Chick Pokémon,ひよこポケモン,ひよこポケモン,Pokémon Poussin,Küken-Pokémon,Pokémon Polluelo,Pokémon Polluelo,Pokémon Pulcino,풋내기포켓몬,雛雞寶可夢,雏鸡宝可梦
256,Young Fowl Pokémon,わかどりポケモン,わかどりポケモン,Pokémon Poulet,Kleinhahn-Pokémon,Pokémon Ave Corral,Pokémon Ave Corral,Pokémon Rampollo,꼬마닭포켓몬,幼雞寶可夢,幼鸡宝可梦
257,Blaze Pokémon,もうかポケモン,もうかポケモン,Pokémon Ardent,Großbrand-Pokémon,Pokémon Llameante,Pokémon Llameante,Pokémon Vampe,맹화포켓몬,猛火寶可夢,猛火宝可梦
258,Mud Fish Pokémon,ぬまうおポケモン,ぬまうおポケモン,Pokémon Poissonboue,Lehmhüpfer-Pokémon,Pokémon Pez Lodo,Pokémon Pez Lodo,Pokémon Fango Pesce,늪물고기포켓몬,沼魚寶可夢,沼鱼宝可梦
259,Mud Fish Pokémon,ぬまうおポケモン,ぬまうおポケモン,Pokémon Poissonboue,Lehmhüpfer-Pokémon,Pokémon Pez Lodo,Pokémon Pez Lodo,Pokémon Fango Pesce,늪물고기포켓몬,沼魚寶可夢,沼鱼宝可梦
260,Mud Fish Pokémon,ぬまうおポケモン,ぬまうおポケモン,Pokémon Poissonboue,Lehmhüpfer-Pokémon,Pokémon Pez Lodo,Pokémon Pez Lodo,Pokémon Fango Pesce,늪물고기포켓몬,沼魚寶可夢,沼鱼宝可梦
261,Bite Pokémon,かみつきポケモン,かみつきポケモン,Pokémon Morsure,Biss,Pokémon Mordisco,Pokémon Mordisco,Pokémon Morso,물어뜯기포켓몬,緊咬寶可夢,紧咬宝可梦
262,Bite Pokémon,かみつきポケモン,かみつきポケモン,Pokémon Morsure,Biss,Pokémon Mordisco,Pokémon Mordisco,Pokémon Morso,물어뜯기포켓몬,緊咬寶可夢,紧咬宝可梦
263,Tiny Raccoon Pokémon,まめだぬきポケモン,まめだぬきポケモン,Pokémon Petit Raton,Kleindachs-Pokémon,Pokémon Mapachito,Pokémon Mapachito,Pokémon Procione,앙증너구리포켓몬,豆貍寶可夢,豆狸宝可梦
264,Rushing Pokémon,とっしんポケモン,とっしんポケモン,Pokémon Fonceur,Sprinter-Pokémon,Pokémon Lanzado,Pokémon Lanzado,Pokémon Sfrecciante,돌진포켓몬,猛衝寶可夢,猛冲宝可梦
265,Worm Pokémon,いもむしポケモン,いもむしポケモン,Pokémon Ver,Wurm,Pokémon Gusano,Pokémon Gusano,Pokémon Baco,애벌레포켓몬,蟲寶寶寶可夢,虫宝宝宝可梦
266,Cocoon Pokémon,さなぎポケモン,さなぎポケモン,Pokémon Cocon,Kokon,Pokémon Capullo,Pokémon Capullo,Pokémon Bozzolo,번데기포켓몬,蛹寶可夢,蛹宝可梦
267,Butterfly Pokémon,ちょうちょポケモン,ちょうちょポケモン,Pokémon Papillon,Falter,Pokémon Mariposa,Pokémon Mariposa,Pokémon Farfalla,나비포켓몬,蝴蝶寶可夢,蝴蝶宝可梦
268,Cocoon Pokémon,さなぎポケモン,さなぎポケモン,Pokémon Cocon,Kokon,Pokémon Capullo,Pokémon Capullo,Pokémon Bozzolo,번데기포켓몬,蛹寶可夢,蛹宝可梦
269,Poison Moth Pokémon,どくがポケモン,どくがポケモン,Pokémon Papipoison,Giftmotte,Pokémon Polilla Ven.,Pokémon Polilla Ven.,Pokémon Velentarma,독나방포켓몬,毒蛾寶可夢,毒蛾宝可梦
270,Water Weed Pokémon,うきくさポケモン,うきくさポケモン,Pokémon Aquaplante,Wasserlinsen-Pokémon,Pokémon Lenteja Agua,Pokémon Lenteja Agua,Pokémon Alga,개구리밥포켓몬,浮萍寶可夢,浮萍宝可梦
271,Jolly Pokémon,ようきポケモン,ようきポケモン,Pokémon Jovial,Frohmut-Pokémon,Pokémon Alegre,Pokémon Alegre,Pokémon Giocoso,명랑함포켓몬,爽朗寶可夢,爽朗宝可梦
272,Carefree Pokémon,のうてんきポケモン,のうてんきポケモン,Pokémon Insouciant,Sorglos-Pokémon,Pokémon Optimista,Pokémon Optimista,Pokémon Spensierato,행복하기포켓몬,樂天寶可夢,乐天宝可梦
273,Acorn Pokémon,どんぐりポケモン,どんぐりポケモン,Pokémon Gland,Eichelnuss-Pokémon,Pokémon Bellota,Pokémon Bellota,Pokémon Ghianda,도토리포켓몬,橡實寶可夢,橡实宝可梦
274,Wily Pokémon,いじわるポケモン,いじわるポケモン,Pokémon Malin,Hinterlist-Pokémon,Pokémon Astuto,Pokémon Astuto,Pokémon Scaltro,꾀부리기포켓몬,捉弄寶可夢,捉弄宝可梦
275,Wicked Pokémon,よこしまポケモン,よこしまポケモン,Pokémon Malveillant,Verschlagen-Pokémon,Pokémon Malvado,Pokémon Malvado,Pokémon Burbero,부정하기포켓몬,邪惡寶可夢,邪恶宝可梦
276,Tiny Swallow Pokémon,こツバメポケモン,こツバメポケモン,Pokémon Minirondel,Schwälblein,Pokémon Pequebuche,Pokémon Pequebuche,Pokémon Rondinella,아기제비포켓몬,幼燕寶可夢,幼燕宝可梦
277,Swallow Pokémon,ツバメポケモン,ツバメポケモン,Pokémon Hirondelle,Schwalbe,Pokémon Buche,Pokémon Buche,Pokémon Rondine,제비포켓몬,燕子寶可夢,燕子宝可梦
278,Seagull Pokémon,うみねこポケモン,うみねこポケモン,Pokémon Mouette,Seemöwen-Pokémon,Pokémon Gaviota,Pokémon Gaviota,Pokémon Gabbiano,괭이갈매기포켓몬,海鷗寶可夢,海鸥宝可梦
279,Water Bird Pokémon,みずどりポケモン,みずどりポケモン,Pokémon Oiseaudo,Wasservogel-Pokémon,Pokémon Ave Agua,Pokémon Ave Agua,Pokémon Alacquatico,물새포켓몬,水鳥寶可夢,水鸟宝可梦
280,Feeling Pokémon,きもちポケモン,きもちポケモン,Pokémon Sentiment,Gefühls-Pokémon,Pokémon Sensible,Pokémon Sensible,Pokémon Sensazione,느낌포켓몬,心情寶可夢,心情宝可梦
281,Emotion Pokémon,かんじょうポケモン,かんじょうポケモン,Pokémon Émotion,Emotions-Pokémon,Pokémon Sensorio,Pokémon Sensorio,Pokémon Emozione,감정포켓몬,感情寶可夢,感情宝可梦
282,Embrace Pokémon,ほうようポケモン,ほうようポケモン,Pokémon Étreinte,Umarmungs-Pokémon,Pokémon Envolvente,Pokémon Envolvente,Pokémon Abbraccio,포용포켓몬,包容寶可夢,包容宝可梦
283,Pond Skater Pokémon,あめんぼポケモン,あめんぼポケモン,Pokémon Maresurfeur,Wassergeher,Pokémon Zapatero,Pokémon Zapatero,Pokémon Sfiorapozze,소금쟁이포켓몬,水黽寶可夢,水黾宝可梦
284,Eyeball Pokémon,めだまポケモン,めだまポケモン,Pokémon Boule Œil,Auge,Pokémon Globocular,Pokémon Globocular,Pokémon Occhi,안구포켓몬,眼珠寶可夢,眼珠宝可梦
285,Mushroom Pokémon,きのこポケモン,きのこポケモン,Pokémon Champignon,Pilz,Pokémon Hongo,Pokémon Hongo,Pokémon Fungo,버섯포켓몬,蘑菇寶可夢,蘑菇宝可梦
286,Mushroom Pokémon,きのこポケモン,きのこポケモン,Pokémon Champignon,Pilz,Pokémon Hongo,Pokémon Hongo,Pokémon Fungo,버섯포켓몬,蘑菇寶可夢,蘑菇宝可梦
287,Slacker Pokémon,なまけものポケモン,なまけものポケモン,Pokémon Flâneur,Faulpelz,Pokémon Gandul,Pokémon Gandul,Pokémon Ozioso,게으름뱅이포켓몬,懶人寶可夢,懒人宝可梦
288,Wild Monkey Pokémon,あばれザルポケモン,あばれザルポケモン,Pokémon Turbusinge,Wildaffe,Pokémon Mono Feroz,Pokémon Mono Feroz,Pokémon Indocile,성난원숭이포켓몬,暴猿寶可夢,暴猿宝可梦
289,Lazy Pokémon,ものぐさポケモン,ものぐさポケモン,Pokémon Fainéant,Müßig,Pokémon Holgazán,Pokémon Holgazán,Pokémon Pigrizia,나태함포켓몬,怕麻煩寶可夢,怕麻烦宝可梦
290,Trainee Pokémon,したづみポケモン,したづみポケモン,Pokémon Apprenti,Vorbereiter-Pokémon,Pokémon Aprendiz,Pokémon Aprendiz,Pokémon Novizio,신참포켓몬,入門寶可夢,入门宝可梦
291,Ninja Pokémon,しのびポケモン,しのびポケモン,Pokémon Ninja,Ninja-Pokémon,Pokémon Ninja,Pokémon Ninja,Pokémon Ninja,시노비포켓몬,忍者寶可夢,忍者宝可梦
292,Shed Pokémon,ぬけがらポケモン,ぬけがらポケモン,Pokémon Exuvie,Häutungs-Pokémon,Pokémon Muda,Pokémon Muda,Pokémon Cambiapelle,허물포켓몬,空殼寶可夢,空壳宝可梦
293,Whisper Pokémon,ささやきポケモン,ささやきポケモン,Pokémon Chuchoteur,Flüster-Pokémon,Pokémon Susurro,Pokémon Susurro,Pokémon Sussurro,속삭임포켓몬,細語寶可夢,细语宝可梦
294,Big Voice Pokémon,おおごえポケモン,おおごえポケモン,Pokémon Grosse Voix,Lauthals-Pokémon,Pokémon Chillón,Pokémon Chillón,Pokémon Vocione,큰목소리포켓몬,大聲寶可夢,大声宝可梦
295,Loud Noise Pokémon,そうおんポケモン,そうおんポケモン,Pokémon Bruit Sourd,Krach-Pokémon,Pokémon Escandaloso,Pokémon Escandaloso,Pokémon Fragore,소음포켓몬,噪音寶可夢,噪音宝可梦
296,Guts Pokémon,こんじょうポケモン,こんじょうポケモン,Pokémon Tenace,Courage,Pokémon Valiente,Pokémon Valiente,Pokémon Coraggio,근성포켓몬,毅力寶可夢,毅力宝可梦
297,Arm Thrust Pokémon,つっぱりポケモン,つっぱりポケモン,Pokémon Cogneur,Armwurf,Pokémon Empuje,Pokémon Empuje,Pokémon Sberletese,손바닥치기포켓몬,猛推寶可夢,猛推宝可梦
298,Polka Dot Pokémon,みずたまポケモン,みずたまポケモン,Pokémon Point Polka,Gepunktet-Pokémon,Pokémon A Topos,Pokémon A Topos,Pokémon Pois,물방울포켓몬,水珠寶可夢,水珠宝可梦
299,Compass Pokémon,コンパスポケモン,コンパスポケモン,Pokémon Boussole,Kompass,Pokémon Brújula,Pokémon Brújula,Pokémon Bussola,콤파스포켓몬,羅盤寶可夢,罗盘宝可梦
300,Kitten Pokémon,こねこポケモン,こねこポケモン,Pokémon Chaton,Kätzchen,Pokémon Gatito,Pokémon Gatito,Pokémon Micio,작은고양이포켓몬,小貓寶可夢,小猫宝可梦
301,Prim Pokémon,おすましポケモン,おすましポケモン,Pokémon Guindé,Eingebildet,Pokémon Cursi,Pokémon Cursi,Pokémon Finezza,새침떼기포켓몬,清高寶可夢,清高宝可梦
302,Darkness Pokémon,くらやみポケモン,くらやみポケモン,Pokémon Obscurité,Finsternis-Pokémon,Pokémon Oscuridad,Pokémon Oscuridad,Pokémon Oscurità,어둠포켓몬,黑暗寶可夢,黑暗宝可梦
303,Deceiver Pokémon,あざむきポケモン,あざむきポケモン,Pokémon Trompeur,Schwindler-Pokémon,Pokémon Tramposo,Pokémon Tramposo,Pokémon Inganno,배반포켓몬,欺騙寶可夢,欺骗宝可梦
304,Iron Armor Pokémon,てつヨロイポケモン,てつヨロイポケモン,Pokémon Armurfer,Eisenpanzer-Pokémon,Pokémon Coraza Férrea,Pokémon Coraza Férrea,Pokémon Corazza,철갑옷포켓몬,鐵鎧寶可夢,铁铠宝可梦
305,Iron Armor Pokémon,てつヨロイポケモン,てつヨロイポケモン,Pokémon Armurfer,Eisenpanzer-Pokémon,Pokémon Coraza Férrea,Pokémon Coraza Férrea,Pokémon Corazza,철갑옷포켓몬,鐵鎧寶可夢,铁铠宝可梦
306,Iron Armor Pokémon,てつヨロイポケモン,てつヨロイポケモン,Pokémon Armurfer,Eisenpanzer-Pokémon,Pokémon Coraza Férrea,Pokémon Coraza Férrea,Pokémon Corazza,철갑옷포켓몬,鐵鎧寶可夢,铁铠宝可梦
307,Meditate Pokémon,めいそうポケモン,めいそうポケモン,Pokémon Méditation,Meditation,Pokémon Meditador,Pokémon Meditador,Pokémon Meditazione,명상포켓몬,冥想寶可夢,冥想宝可梦
308,Meditate Pokémon,めいそうポケモン,めいそうポケモン,Pokémon Méditation,Meditation,Pokémon Meditador,Pokémon Meditador,Pokémon Meditazione,명상포켓몬,冥想寶可夢,冥想宝可梦
309,Lightning Pokémon,いなずまポケモン,いなずまポケモン,Pokémon Orage,Gewitter-Pokémon,Pokémon Calambre,Pokémon Calambre,Pokémon Lampo,천둥번개포켓몬,閃電寶可夢,闪电宝可梦
310,Discharge Pokémon,ほうでんポケモン,ほうでんポケモン,Pokémon Décharge,Entladungs-Pokémon,Pokémon Descarga,Pokémon Descarga,Pokémon Scossa,방전포켓몬,放電寶可夢,放电宝可梦
311,Cheering Pokémon,おうえんポケモン,おうえんポケモン,Pokémon Acclameur,Jubel,Pokémon Ánimo,Pokémon Ánimo,Pokémon Incitamento,응원포켓몬,加油寶可夢,加油宝可梦
312,Cheering Pokémon,おうえんポケモン,おうえんポケモン,Pokémon Acclameur,Jubel,Pokémon Ánimo,Pokémon Ánimo,Pokémon Incitamento,응원포켓몬,加油寶可夢,加油宝可梦
313,Firefly Pokémon,ほたるポケモン,ほたるポケモン,Pokémon Luciole,Glühwürmchen,Pokémon Luciérnaga,Pokémon Luciérnaga,Pokémon Lucciola,반딧불포켓몬,螢火蟲寶可夢,萤火虫宝可梦
314,Firefly Pokémon,ほたるポケモン,ほたるポケモン,Pokémon Luciole,Glühwürmchen,Pokémon Luciérnaga,Pokémon Luciérnaga,Pokémon Lucciola,반딧불포켓몬,螢火蟲寶可夢,萤火虫宝可梦
315,Thorn Pokémon,いばらポケモン,いばらポケモン,Pokémon Épine,Dorn-Pokémon,Pokémon Espina,Pokémon Espina,Pokémon Spina,가시포켓몬,荊棘寶可夢,荆棘宝可梦
316,Stomach Pokémon,いぶくろポケモン,いぶくろポケモン,Pokémon Estomac,Magen,Pokémon Estómago,Pokémon Estómago,Pokémon Stomaco,밥통포켓몬,胃袋寶可夢,胃袋宝可梦
317,Poison Bag Pokémon,どくぶくろポケモン,どくぶくろポケモン,Pokémon Sac Poison,Giftbeutel,Pokémon Bolsa Veneno,Pokémon Bolsa Veneno,Pokémon Velenosacco,독봉지포켓몬,毒袋寶可夢,毒袋宝可梦
318,Savage Pokémon,どうもうポケモン,どうもうポケモン,Pokémon Féroce,Gnadenlos-Pokémon,Pokémon Feroz,Pokémon Feroz,Pokémon Feroce,사나움포켓몬,凶猛寶可夢,凶猛宝可梦
319,Brutal Pokémon,きょうぼうポケモン,きょうぼうポケモン,Pokémon Brutal,Brutal-Pokémon,Pokémon Voraz,Pokémon Voraz,Pokémon Brutale,난폭포켓몬,凶暴寶可夢,凶暴宝可梦
320,Ball Whale Pokémon,たまくじらポケモン,たまくじらポケモン,Pokémon Baleinboule,Kugelwal-Pokémon,Pokémon Ballenabola,Pokémon Ballenabola,Pokémon Balenottero,둥근고래포켓몬,球鯨寶可夢,球鲸宝可梦
321,Float Whale Pokémon,うきくじらポケモン,うきくじらポケモン,Pokémon Cachabouée,Flutwal-Pokémon,Pokémon Ballenaflot,Pokémon Ballenaflot,Pokémon Megabalena,뜸고래포켓몬,浮鯨寶可夢,浮鲸宝可梦
322,Numb Pokémon,どんかんポケモン,どんかんポケモン,Pokémon Engourdi,Taubheit,Pokémon Torpe,Pokémon Torpe,Pokémon Torpore,둔감포켓몬,遲鈍寶可夢,迟钝宝可梦
323,Eruption Pokémon,ふんかポケモン,ふんかポケモン,Pokémon Éruption,Ausbruch,Pokémon Erupción,Pokémon Erupción,Pokémon Eruzione,분화포켓몬,噴火寶可夢,喷火宝可梦
324,Coal Pokémon,せきたんポケモン,せきたんポケモン,Pokémon Charbon,Kohle-Pokémon,Pokémon Carbón,Pokémon Carbón,Pokémon Carbone,석탄포켓몬,煤炭寶可夢,煤炭宝可梦
325,Bounce Pokémon,とびはねポケモン,とびはねポケモン,Pokémon Rebond,Sprungfeder,Pokémon Saltarín,Pokémon Saltarín,Pokémon Molla,튀다포켓몬,彈跳寶可夢,弹跳宝可梦
326,Manipulate Pokémon,あやつりポケモン,あやつりポケモン,Pokémon Magouilleur,Manipulator,Pokémon Manipulador,Pokémon Manipulador,Pokémon Raggiro,조작포켓몬,操縱寶可夢,操纵宝可梦
327,Spot Panda Pokémon,ぶちパンダポケモン,ぶちパンダポケモン,Pokémon Panda Tache,Punkt-Panda,Pokémon Panda Topos,Pokémon Panda Topos,Pokémon Macchipanda,얼룩팬더포켓몬,斑點熊貓寶可夢,斑点熊猫宝可梦
328,Ant Pit Pokémon,ありじごくポケモン,ありじごくポケモン,Pokémon Piégeur,Ameisenlöwen-Pokémon,Pokémon Hormiga León,Pokémon Hormiga León,Pokémon Trappola,개미지옥포켓몬,蟻獅寶可夢,蚁狮宝可梦
329,Vibration Pokémon,しんどうポケモン,しんどうポケモン,Pokémon Vibration,Vibrations-Pokémon,Pokémon Vibrante,Pokémon Vibrante,Pokémon Vibrazione,진동포켓몬,震動寶可夢,振动宝可梦
330,Mystic Pokémon,せいれいポケモン,せいれいポケモン,Pokémon Mystique,Mystik-Pokémon,Pokémon Místico,Pokémon Místico,Pokémon Magico,정령포켓몬,神秘寶可夢,神秘宝可梦
331,Cactus Pokémon,サボテンポケモン,サボテンポケモン,Pokémon Cactus,Kaktus,Pokémon Cactus,Pokémon Cactus,Pokémon Cactus,선인장포켓몬,仙人掌寶可夢,仙人掌宝可梦
332,Scarecrow Pokémon,カカシぐさポケモン,カカシぐさポケモン,Pokémon Épouvantail,Vogelschock,Pokémon Espantajo,Pokémon Espantajo,Pokémon Spavento,허수아비포켓몬,稻草人寶可夢,稻草人宝可梦
333,Cotton Bird Pokémon,わたどりポケモン,わたどりポケモン,Pokémon Oiseaucoton,Wollvogel-Pokémon,Pokémon Ave Algodón,Pokémon Ave Algodón,Pokémon Alidicotone,솜새포켓몬,綿鳥寶可夢,绵鸟宝可梦
334,Humming Pokémon,ハミングポケモン,ハミングポケモン,Pokémon Virevolteur,Summsel-Pokémon,Pokémon Cantor,Pokémon Cantor,Pokémon Canterino,허밍포켓몬,哼唱寶可夢,哼唱宝可梦
335,Cat Ferret Pokémon,ネコイタチポケモン,ネコイタチポケモン,Pokémon Chat Furet,Frettkatz,Pokémon Gato Hurón,Pokémon Gato Hurón,Pokémon Furogatto,고양이족제비포켓몬,貓鼬寶可夢,猫鼬宝可梦
336,Fang Snake Pokémon,キバへびポケモン,キバへびポケモン,Pokémon Serpacroc,Reißzahn,Pokémon Colmillos,Pokémon Colmillos,Pokémon Zannaserpe,송곳뱀포켓몬,牙蛇寶可夢,牙蛇宝可梦
337,Meteorite Pokémon,いんせきポケモン,いんせきポケモン,Pokémon Météorite,Meteoriten-Pokémon,Pokémon Meteorito,Pokémon Meteorito,Pokémon Meteorite,별똥별포켓몬,隕石寶可夢,陨石宝可梦
338,Meteorite Pokémon,いんせきポケモン,いんせきポケモン,Pokémon Météorite,Meteoriten-Pokémon,Pokémon Meteorito,Pokémon Meteorito,Pokémon Meteorite,별똥별포켓몬,隕石寶可夢,陨石宝可梦
339,Whiskers Pokémon,ひげうおポケモン,ひげうおポケモン,Pokémon Barbillon,Barthaar-Pokémon,Pokémon Bigotudo,Pokémon Bigotudo,Pokémon Baffetti,수염물고기포켓몬,鬚魚寶可夢,须鱼宝可梦
340,Whiskers Pokémon,ひげうおポケモン,ひげうおポケモン,Pokémon Barbillon,Barthaar-Pokémon,Pokémon Bigotudo,Pokémon Bigotudo,Pokémon Baffetti,수염물고기포켓몬,鬚魚寶可夢,须鱼宝可梦
341,Ruffian Pokémon,ごろつきポケモン,ごろつきポケモン,Pokémon Brute,Grobian-Pokémon,Pokémon Rufián,Pokémon Rufián,Pokémon Birbone,건달포켓몬,無賴寶可夢,无赖宝可梦
342,Rogue Pokémon,ならずものポケモン,ならずものポケモン,Pokémon Crapule,Schlingel-Pokémon,Pokémon Granuja,Pokémon Granuja,Pokémon Canaglia,불량배포켓몬,流氓寶可夢,流氓宝可梦
343,Clay Doll Pokémon,どぐうポケモン,どぐうポケモン,Pokémon Poupargile,Lehmpuppen-Pokémon,Pokémon Muñeca Barro,Pokémon Muñeca Barro,Pokémon Argilla,토우포켓몬,泥偶寶可夢,泥偶宝可梦
344,Clay Doll Pokémon,どぐうポケモン,どぐうポケモン,Pokémon Poupargile,Lehmpuppen-Pokémon,Pokémon Muñeca Barro,Pokémon Muñeca Barro,Pokémon Argilla,토우포켓몬,泥偶寶可夢,泥偶宝可梦
345,Sea Lily Pokémon,ウミユリポケモン,ウミユリポケモン,Pokémon Lis d’Eau,Seeanemonen-Pokémon,Pokémon Lirio de Mar,Pokémon Lirio de Mar,Pokémon Fiordimare,바다나리포켓몬,海百合寶可夢,海百合宝可梦
346,Barnacle Pokémon,いわつぼポケモン,いわつぼポケモン,Pokémon Bernacle,Rankfüßer-Pokémon,Pokémon Percebe,Pokémon Percebe,Pokémon Lepade,바위단지포켓몬,藤壺寶可夢,藤壶宝可梦
347,Old Shrimp Pokémon,むかしエビポケモン,むかしエビポケモン,Pokémon Crustage,Urgarnelen-Pokémon,Pokémon Camarón,Pokémon Camarón,Pokémon Primaceo,고대새우포켓몬,古蝦寶可夢,古虾宝可梦
348,Plate Pokémon,かっちゅうポケモン,かっちゅうポケモン,Pokémon Blindage,Schild-Pokémon,Pokémon Armadura,Pokémon Armadura,Pokémon Piastre,갑주포켓몬,甲胄寶可夢,甲胄宝可梦
349,Fish Pokémon,さかなポケモン,さかなポケモン,Pokémon Poisson,Fisch-Pokémon,Pokémon Pez,Pokémon Pez,Pokémon Pesce,물고기포켓몬,魚寶可夢,鱼宝可梦
350,Tender Pokémon,いつくしみポケモン,いつくしみポケモン,Pokémon Tendre,Zartheits-Pokémon,Pokémon Tierno,Pokémon Tierno,Pokémon Tenerezza,사랑포켓몬,慈愛寶可夢,慈爱宝可梦
351,Weather Pokémon,てんきポケモン,てんきポケモン,Pokémon Climat,Wetter,Pokémon Clima,Pokémon Clima,Pokémon Meteo,날씨포켓몬,天氣寶可夢,天气宝可梦
352,Color Swap Pokémon,いろへんげポケモン,いろへんげポケモン,Pokémon Multicolor,Farbenspiel,Pokémon Camaleónico,Pokémon Camaleónico,Pokémon Mutacolore,색변화포켓몬,變色寶可夢,变色宝可梦
353,Puppet Pokémon,にんぎょうポケモン,にんぎょうポケモン,Pokémon Poupée,Puppe,Pokémon Títere,Pokémon Títere,Pokémon Pupazzo,인형포켓몬,人偶寶可夢,人偶宝可梦
354,Marionette Pokémon,ぬいぐるみポケモン,ぬいぐるみポケモン,Pokémon Marionnette,Marionette,Pokémon Marioneta,Pokémon Marioneta,Pokémon Marionetta,봉제인형포켓몬,布偶寶可夢,布偶宝可梦
355,Requiem Pokémon,おむかえポケモン,おむかえポケモン,Pokémon Requiem,Requiem-Pokémon,Pokémon Réquiem,Pokémon Réquiem,Pokémon Requiem,마중포켓몬,渡魂寶可夢,渡魂宝可梦
356,Beckon Pokémon,てまねきポケモン,てまねきポケモン,Pokémon Appel,Wink-Pokémon,Pokémon Atrayente,Pokémon Atrayente,Pokémon Ipnosguardo,손짓포켓몬,招手寶可夢,招手宝可梦
357,Fruit Pokémon,フルーツポケモン,フルーツポケモン,Pokémon Fruit,Obst,Pokémon Fruto,Pokémon Fruto,Pokémon Frutto,후르츠포켓몬,水果寶可夢,水果宝可梦
358,Wind Chime Pokémon,ふうりんポケモン,ふうりんポケモン,Pokémon Carillon,Windspiel,Pokémon Sonido Aire,Pokémon Sonido Aire,Pokémon Vencampana,풍경포켓몬,風鈴寶可夢,风铃宝可梦
359,Disaster Pokémon,わざわいポケモン,わざわいポケモン,Pokémon Désastre,Desaster-Pokémon,Pokémon Catástrofe,Pokémon Catástrofe,Pokémon Catastrofe,재난포켓몬,災禍寶可夢,灾祸宝可梦
