pokemon,form,version_group,versions,location_area,method,levels,during_any_time,while_weather_overall,boulder_required,alpha_levels,during_morning,during_day,during_evening,note,during_night,rate_overall,while_blizzard,while_clear,while_harsh_sunlight,while_cloudy
drifloon,drifloon,legends-arceus,legends-arceus,lunkers-lair,symbol-encounter,24 - 27,true,true,,39 - 42,,,,,,,,,,
drifloon,drifloon,legends-arceus,legends-arceus,ramanas-island,symbol-encounter,24 - 26,,true,,39 - 41,,,,,true,,,,,
drifloon,drifloon,legends-arceus,legends-arceus,ramanas-island,flying,24 - 27,,true,,39 - 42,,,,,true,,,,,
drifloon,drifloon,legends-arceus,legends-arceus,sands-reach,flying,24 - 27,,true,,39 - 42,,,,,true,,,,,
drifloon,drifloon,legends-arceus,legends-arceus,sands-reach,symbol-encounter,24 - 27,,true,true,39 - 42,,,,,true,,,,,
drifloon,drifloon,legends-arceus,legends-arceus,seagrass-haven,symbol-encounter,24 - 27,,true,,39 - 42,,,,,true,,,,,
drifloon,drifloon,legends-arceus,legends-arceus,tombolo-walk,symbol-encounter,24 - 27,,true,true,39 - 42,,,,,true,,,,,
drifloon,drifloon,legends-arceus,legends-arceus,tranquility-cove,symbol-encounter,24 - 27,,true,,39 - 42,,,,,true,,,,,
drifloon,drifloon,legends-arceus,legends-arceus,tranquility-cove,flying,24 - 27,,true,,39 - 42,,,,,true,,,,,
drifloon,drifloon,legends-arceus,legends-arceus,tranquility-cove,symbol-encounter,24 - 27,,true,,39 - 42,,,,,true,,,,,
drifloon,drifloon,legends-arceus,legends-arceus,windswept-run,symbol-encounter,9 - 12,,true,,24 - 27,,,,,true,,,,,
drifloon,drifloon,legends-arceus,legends-arceus,worn-bridge,flying,7 - 10,,true,true,,,,,,true,,,,,
dusclops,dusclops,legends-arceus,legends-arceus,ancient-quarry,contact-space-time-distortion,37 - 55,true,true,true,52 - 70,,,,,,,,,,
dusclops,dusclops,legends-arceus,legends-arceus,arenas-approach,symbol-encounter,47 - 50,,true,,62 - 65,,,,,true,,,,,
dusclops,dusclops,legends-arceus,legends-arceus,avalanche-slopes,symbol-encounter,"47 - 52, 59 - 62",true,true,,"62 - 67, 74 - 77",,,,,,,,,,
dusclops,dusclops,legends-arceus,legends-arceus,bolderoll-ravine,contact-space-time-distortion,37 - 55,true,true,,52 - 70,,,,,,,,,,
dusclops,dusclops,legends-arceus,legends-arceus,celestica-ruins,contact-space-time-distortion,37 - 55,true,true,,52 - 70,,,,,,,,,,
dusclops,dusclops,legends-arceus,legends-arceus,celestica-trail,contact-space-time-distortion,37 - 55,true,true,,52 - 70,,,,,,,,,,
dusclops,dusclops,legends-arceus,legends-arceus,deadwood-haunt,symbol-encounter,37 - 40,,true,,52 - 55,,,,,true,,,,,
dusclops,dusclops,legends-arceus,legends-arceus,deadwood-haunt,swarm,37 - 39,true,true,,52 - 54,,,,,,,,,,
dusclops,dusclops,legends-arceus,legends-arceus,icebound-falls,symbol-encounter,47 - 50,,true,true,62 - 65,,,,,true,,,,,
dusclops,dusclops,legends-arceus,legends-arceus,icebound-falls,swarm,54 - 56,true,true,true,69 - 71,,,,,,,,,,
dusclops,dusclops,legends-arceus,legends-arceus,sacred-plaza,contact-space-time-distortion,37 - 55,true,true,,52 - 70,,,,,,,,,,
dusclops,dusclops,legends-arceus,legends-arceus,stonetooth-rows,contact-space-time-distortion,37 - 55,true,true,,52 - 70,,,,,,,,,,
dusknoir,dusknoir,legends-arceus,legends-arceus,ancient-quarry,contact-space-time-distortion,45 - 63,true,true,true,65 - 83,,,,,,,,,,
dusknoir,dusknoir,legends-arceus,legends-arceus,bolderoll-ravine,contact-space-time-distortion,45 - 63,true,true,,65 - 83,,,,,,,,,,
dusknoir,dusknoir,legends-arceus,legends-arceus,celestica-ruins,contact-space-time-distortion,45 - 63,true,true,,65 - 83,,,,,,,,,,
dusknoir,dusknoir,legends-arceus,legends-arceus,celestica-trail,contact-space-time-distortion,45 - 63,true,true,,65 - 83,,,,,,,,,,
dusknoir,dusknoir,legends-arceus,legends-arceus,deadwood-haunt,symbol-encounter,,,true,,65,,,,,true,,,,,
dusknoir,dusknoir,legends-arceus,legends-arceus,sacred-plaza,contact-space-time-distortion,45 - 63,true,true,,65 - 83,,,,,,,,,,
dusknoir,dusknoir,legends-arceus,legends-arceus,stonetooth-rows,contact-space-time-distortion,45 - 63,true,true,,65 - 83,,,,,,,,,,
duskull,duskull,legends-arceus,legends-arceus,arenas-approach,symbol-encounter,33 - 36,,true,,48 - 51,,,,,true,,,,,
duskull,duskull,legends-arceus,legends-arceus,avalanche-slopes,symbol-encounter,"33 - 36, 50 - 52",true,true,,"48 - 51, 65 - 67",,,,,,,,,,
duskull,duskull,legends-arceus,legends-arceus,deadwood-haunt,symbol-encounter,29 - 32,,true,,44 - 47,,,,,true,,,,,
duskull,duskull,legends-arceus,legends-arceus,deadwood-haunt,swarm,33 - 35,true,true,,48 - 50,,,,,,,,,,
duskull,duskull,legends-arceus,legends-arceus,icebound-falls,symbol-encounter,33 - 36,,true,true,48 - 51,,,,,true,,,,,
duskull,duskull,legends-arceus,legends-arceus,icebound-falls,swarm,34 - 36,true,true,true,49 - 51,,,,,,,,,,
dustox,dustox,legends-arceus,legends-arceus,bathers-lagoon,flying,29 - 32,,true,,44 - 47,,,,,true,,,,,
dustox,dustox,legends-arceus,legends-arceus,floaro-gardens,flying,18 - 22,,true,,33 - 37,,,,,true,,,,,
dustox,dustox,legends-arceus,legends-arceus,grueling-grove,flying,15 - 18,,true,,30 - 33,,,,,true,,,,,
dustox,dustox,legends-arceus,legends-arceus,grueling-grove,swarm,22 - 24,true,true,true,37 - 39,,,,,,,,,,
dustox,dustox,legends-arceus,legends-arceus,the-heartwood,flying,13 - 16,,true,,28 - 31,,,,,true,,,,,
dustox,dustox,legends-arceus,legends-arceus,veilstone-cape,flying,29 - 32,,true,,44 - 47,,,,,true,,,,,
eevee,eevee,legends-arceus,legends-arceus,ancient-quarry,contact-space-time-distortion,35 - 53,true,true,true,50 - 68,,,,,,,,,,
eevee,eevee,legends-arceus,legends-arceus,arenas-approach,contact-space-time-distortion,45 - 58,true,true,,60 - 73,,,,,,,,,,
eevee,eevee,legends-arceus,legends-arceus,avalanche-slopes,symbol-encounter,59 - 62,true,true,true,74 - 77,,,,,,,,,,
eevee,eevee,legends-arceus,legends-arceus,avalanche-slopes,contact-space-time-distortion,45 - 58,true,true,,60 - 73,,,,,,,,,,
eevee,eevee,legends-arceus,legends-arceus,avaluggs-legacy,symbol-encounter,45 - 48,true,true,true,60 - 63,,,,,,,,,,
eevee,eevee,legends-arceus,legends-arceus,avaluggs-legacy,swarm,52 - 54,true,true,true,67 - 69,,,,,,,,,,
eevee,eevee,legends-arceus,legends-arceus,bolderoll-ravine,contact-space-time-distortion,35 - 53,true,true,,50 - 68,,,,,,,,,,
eevee,eevee,legends-arceus,legends-arceus,bonechill-wastes,contact-space-time-distortion,45 - 58,true,true,,60 - 73,,,,,,,,,,
eevee,eevee,legends-arceus,legends-arceus,celestica-ruins,contact-space-time-distortion,35 - 53,true,true,,50 - 68,,,,,,,,,,
eevee,eevee,legends-arceus,legends-arceus,celestica-trail,contact-space-time-distortion,35 - 53,true,true,,50 - 68,,,,,,,,,,
eevee,eevee,legends-arceus,legends-arceus,cottonsedge-prairie,contact-space-time-distortion,20 - 55,true,true,,35 - 70,,,,,,,,,,
eevee,eevee,legends-arceus,legends-arceus,crossing-slope,symbol-encounter,27 - 30,true,true,true,42 - 45,,,,,,,,,,
eevee,eevee,legends-arceus,legends-arceus,crossing-slope,contact-space-time-distortion,30 - 58,true,true,,45 - 73,,,,,,,,,,
eevee,eevee,legends-arceus,legends-arceus,deadwood-haunt,contact-space-time-distortion,30 - 58,true,true,,45 - 73,,,,,,,,,,
eevee,eevee,legends-arceus,legends-arceus,droning-meadow,contact-space-time-distortion,20 - 55,true,true,,35 - 70,,,,,,,,,,
eevee,eevee,legends-arceus,legends-arceus,gapejaw-bog,contact-space-time-distortion,20 - 55,true,true,,35 - 70,,,,,,,,,,
eevee,eevee,legends-arceus,legends-arceus,ginkgo-landing,contact-space-time-distortion,30 - 58,true,true,,45 - 73,,,,,,,,,,
eevee,eevee,legends-arceus,legends-arceus,glacier-terrace,contact-space-time-distortion,45 - 58,true,true,,60 - 73,,,,,,,,,,
eevee,eevee,legends-arceus,legends-arceus,hearts-crag,contact-space-time-distortion,45 - 58,true,true,,60 - 73,,,,,,,,,,
eevee,eevee,legends-arceus,legends-arceus,holm-of-trials,contact-space-time-distortion,20 - 55,true,true,,35 - 70,,,,,,,,,,
eevee,eevee,legends-arceus,legends-arceus,horseshoe-plains,symbol-encounter,2 - 6,true,true,,17 - 21,,,,,,,,,,
eevee,eevee,legends-arceus,legends-arceus,horseshoe-plains,swarm,15 - 17,true,true,,30 - 32,,,,,,,,,,
eevee,eevee,legends-arceus,legends-arceus,horseshoe-plains,contact-space-time-distortion,20 - 55,true,true,,35 - 70,,,,,,,,,,
eevee,eevee,legends-arceus,legends-arceus,natures-pantry,contact-space-time-distortion,20 - 55,true,true,,35 - 70,,,,,,,,,,
eevee,eevee,legends-arceus,legends-arceus,sacred-plaza,contact-space-time-distortion,35 - 53,true,true,,50 - 68,,,,,,,,,,
eevee,eevee,legends-arceus,legends-arceus,sandgem-flats,contact-space-time-distortion,20 - 55,true,true,,35 - 70,,,,,,,,,,
eevee,eevee,legends-arceus,legends-arceus,spring-path-hisui,contact-space-time-distortion,30 - 58,true,true,,45 - 73,,,,,,,,,,
eevee,eevee,legends-arceus,legends-arceus,stonetooth-rows,contact-space-time-distortion,35 - 53,true,true,,50 - 68,,,,,,,,,,
eevee,eevee,legends-arceus,legends-arceus,windbreak-stand,contact-space-time-distortion,30 - 58,true,true,,45 - 73,,,,,,,,,,
eevee,eevee,legends-arceus,legends-arceus,windswept-run,contact-space-time-distortion,20 - 55,true,true,,35 - 70,,,,,,,,,,
electabuzz,electabuzz,legends-arceus,legends-arceus,arenas-approach,symbol-encounter,47 - 50,true,true,,62 - 65,,,,,,,,,,
electabuzz,electabuzz,legends-arceus,legends-arceus,arenas-approach,contact-space-time-distortion,45 - 58,true,true,,60 - 73,,,,,,,,,,
electabuzz,electabuzz,legends-arceus,legends-arceus,avalanche-slopes,contact-space-time-distortion,45 - 58,true,true,,60 - 73,,,,,,,,,,
electabuzz,electabuzz,legends-arceus,legends-arceus,bonechill-wastes,contact-space-time-distortion,45 - 58,true,true,,60 - 73,,,,,,,,,,
electabuzz,electabuzz,legends-arceus,legends-arceus,cloudcap-pass,symbol-encounter,53 - 56,true,true,,68 - 71,,,,,,,,,,
electabuzz,electabuzz,legends-arceus,legends-arceus,cloudcap-pass,swarm,62 - 64,true,true,,77 - 79,,,,,,,,,,
electabuzz,electabuzz,legends-arceus,legends-arceus,glacier-terrace,contact-space-time-distortion,45 - 58,true,true,,60 - 73,,,,,,,,,,
electabuzz,electabuzz,legends-arceus,legends-arceus,hearts-crag,contact-space-time-distortion,45 - 58,true,true,,60 - 73,,,,,,,,,,
electabuzz,electabuzz,legends-arceus,legends-arceus,icebound-falls,symbol-encounter,47 - 50,true,true,,62 - 65,,,,,,,,,,
electabuzz,electabuzz,legends-arceus,legends-arceus,icebound-falls,symbol-encounter,,true,true,,65,,,,,,,,,,
electivire,electivire,legends-arceus,legends-arceus,arenas-approach,contact-space-time-distortion,50 - 63,true,true,,70 - 83,,,,,,,,,,
electivire,electivire,legends-arceus,legends-arceus,avalanche-slopes,contact-space-time-distortion,50 - 63,true,true,,70 - 83,,,,,,,,,,
electivire,electivire,legends-arceus,legends-arceus,bonechill-wastes,contact-space-time-distortion,50 - 63,true,true,,70 - 83,,,,,,,,,,
electivire,electivire,legends-arceus,legends-arceus,cloudcap-pass,symbol-encounter,,true,true,,69,,,,,,,,,,
electivire,electivire,legends-arceus,legends-arceus,glacier-terrace,contact-space-time-distortion,50 - 63,true,true,,70 - 83,,,,,,,,,,
electivire,electivire,legends-arceus,legends-arceus,hearts-crag,contact-space-time-distortion,50 - 63,true,true,,70 - 83,,,,,,,,,,
elekid,elekid,legends-arceus,legends-arceus,arenas-approach,symbol-encounter,26 - 29,true,true,,41 - 44,,,,,,,,,,
elekid,elekid,legends-arceus,legends-arceus,cloudcap-pass,symbol-encounter,53 - 56,true,true,,68 - 71,,,,,,,,,,
elekid,elekid,legends-arceus,legends-arceus,cloudcap-pass,swarm,59 - 61,true,true,,74 - 76,,,,,,,,,,
elekid,elekid,legends-arceus,legends-arceus,icebound-falls,symbol-encounter,26 - 29,true,true,,41 - 44,,,,,,,,,,
empoleon,empoleon,legends-arceus,legends-arceus,islespy-shore,symbol-encounter,,true,true,,69,,,,,,,,,,
enamorus-incarnate,enamorus-incarnate,legends-arceus,legends-arceus,scarlet-bog,special-encounter,70,true,true,,,,,,"Can be caught during Request 94: ""The Incarnate Forces of Hisui"". Unlocked after completing Mission 26: ""Seeking the Remaining Plates"".<br/>Only appears if Cogita is shown the completed PokéDex entries of {Tornadus;POKEMON;tornadus}, {Thundurus;POKEMON;thundurus} and {Landorus;POKEMON;landorus}<br/>Respawns after going back to Jubilife Village. Never Shiny",,,,,,
espeon,espeon,legends-arceus,legends-arceus,arenas-approach,contact-space-time-distortion,50 - 63,true,true,,70 - 83,,,,,,,,,,
espeon,espeon,legends-arceus,legends-arceus,avalanche-slopes,contact-space-time-distortion,50 - 63,true,true,,70 - 83,,,,,,,,,,
espeon,espeon,legends-arceus,legends-arceus,bonechill-wastes,contact-space-time-distortion,50 - 63,true,true,,70 - 83,,,,,,,,,,
espeon,espeon,legends-arceus,legends-arceus,glacier-terrace,contact-space-time-distortion,50 - 63,true,true,,70 - 83,,,,,,,,,,
espeon,espeon,legends-arceus,legends-arceus,hearts-crag,contact-space-time-distortion,50 - 63,true,true,,70 - 83,,,,,,,,,,
finneon,finneon,legends-arceus,legends-arceus,seagrass-haven,symbol-encounter,27 - 30,true,true,,42 - 45,,,,,,,,,,
finneon,finneon,legends-arceus,legends-arceus,seagrass-haven,swarm,28 - 30,true,true,,43 - 45,,,,,,,,,,
flareon,flareon,legends-arceus,legends-arceus,cottonsedge-prairie,contact-space-time-distortion,25 - 60,true,true,,40 - 75,,,,,,,,,,
flareon,flareon,legends-arceus,legends-arceus,crossing-slope,contact-space-time-distortion,30 - 58,true,true,,45 - 73,,,,,,,,,,
flareon,flareon,legends-arceus,legends-arceus,deadwood-haunt,contact-space-time-distortion,30 - 58,true,true,,45 - 73,,,,,,,,,,
flareon,flareon,legends-arceus,legends-arceus,droning-meadow,contact-space-time-distortion,25 - 60,true,true,,40 - 75,,,,,,,,,,
flareon,flareon,legends-arceus,legends-arceus,gapejaw-bog,contact-space-time-distortion,25 - 60,true,true,,40 - 75,,,,,,,,,,
flareon,flareon,legends-arceus,legends-arceus,ginkgo-landing,contact-space-time-distortion,30 - 58,true,true,,45 - 73,,,,,,,,,,
flareon,flareon,legends-arceus,legends-arceus,holm-of-trials,contact-space-time-distortion,25 - 60,true,true,,40 - 75,,,,,,,,,,
flareon,flareon,legends-arceus,legends-arceus,spring-path-hisui,contact-space-time-distortion,30 - 58,true,true,,45 - 73,,,,,,,,,,
flareon,flareon,legends-arceus,legends-arceus,windbreak-stand,contact-space-time-distortion,30 - 58,true,true,,45 - 73,,,,,,,,,,
floatzel,floatzel,legends-arceus,legends-arceus,aipom-hill,symbol-encounter,29 - 32,true,true,,44 - 47,,,,,,,,,,
floatzel,floatzel,legends-arceus,legends-arceus,bathers-lagoon,symbol-encounter,29 - 32,true,true,,44 - 47,,,,,,,,,,
floatzel,floatzel,legends-arceus,legends-arceus,bathers-lagoon,swarm,31 - 33,true,true,,46 - 48,,,,,,,,,,
floatzel,floatzel,legends-arceus,legends-arceus,cottonsedge-prairie,contact-space-time-distortion,26 - 61,true,true,,41 - 76,,,,,,,,,,
floatzel,floatzel,legends-arceus,legends-arceus,droning-meadow,contact-space-time-distortion,26 - 61,true,true,,41 - 76,,,,,,,,,,
floatzel,floatzel,legends-arceus,legends-arceus,gapejaw-bog,contact-space-time-distortion,26 - 61,true,true,,41 - 76,,,,,,,,,,
floatzel,floatzel,legends-arceus,legends-arceus,ginkgo-landing,symbol-encounter,29 - 32,true,true,,44 - 47,,,,,,,,,,
floatzel,floatzel,legends-arceus,legends-arceus,holm-of-trials,contact-space-time-distortion,26 - 61,true,true,,41 - 76,,,,,,,,,,
floatzel,floatzel,legends-arceus,legends-arceus,horseshoe-plains,swarm,38 - 40,true,true,true,53 - 55,,,,,,,,,,
floatzel,floatzel,legends-arceus,legends-arceus,worn-bridge,symbol-encounter,,true,true,true,31,,,,,,,,,,
froslass,froslass,legends-arceus,legends-arceus,avalanche-slopes,symbol-encounter,59 - 62,true,true,,74 - 77,,,,,,,,,,
froslass,froslass,legends-arceus,legends-arceus,avaluggs-legacy,symbol-encounter,45 - 48,,true,,60 - 63,,,,,true,,,,,
froslass,froslass,legends-arceus,legends-arceus,bonechill-wastes,symbol-encounter,53 - 56,,true,,68 - 71,,,,,true,,,,,
froslass,froslass,legends-arceus,legends-arceus,ice-column-chamber,symbol-encounter,,true,true,,72,,,,,,,,,,
froslass,froslass,legends-arceus,legends-arceus,pearl-settlement,symbol-encounter,49 - 52,,true,true,64 - 67,,,,,true,,,,,
froslass,froslass,legends-arceus,legends-arceus,snowpoint-temple,symbol-encounter,53 - 56,true,true,,68 - 71,,,,,,,,,,
gabite,gabite,legends-arceus,legends-arceus,avalanche-slopes,symbol-encounter,44 - 47,true,true,,59 - 62,,,,,,,,,,
gabite,gabite,legends-arceus,legends-arceus,avalanche-slopes,swarm,45 - 47,true,true,,60 - 62,,,,,,,,,,
gabite,gabite,legends-arceus,legends-arceus,clamberclaw-cliffs,symbol-encounter,,true,true,true,56,,,,,,,,,,
gabite,gabite,legends-arceus,legends-arceus,clamberclaw-cliffs,swarm,45 - 47,true,true,,60 - 62,,,,,,,,,,
gallade,gallade,legends-arceus,legends-arceus,snowpoint-temple,symbol-encounter,,true,true,,70,,,,,,,,,,
garchomp,garchomp,legends-arceus,legends-arceus,avalanche-slopes,symbol-encounter,,true,true,,85,,,,,,,,,,
gardevoir,gardevoir,legends-arceus,legends-arceus,hearts-crag,symbol-encounter,,true,true,,70,,,,,,,,,,
gardevoir,gardevoir,legends-arceus,legends-arceus,lake-acuity-hisui,swarm,64 - 66,true,true,,79 - 81,,,,,,,,,,
gastly,gastly,legends-arceus,legends-arceus,avaluggs-legacy,symbol-encounter,21 - 24,,true,true,36 - 39,,,,,true,,,,,
gastly,gastly,legends-arceus,legends-arceus,bolderoll-ravine,symbol-encounter,21 - 24,,true,,36 - 39,,,,,true,,,,,
gastly,gastly,legends-arceus,legends-arceus,bonechill-wastes,symbol-encounter,21 - 24,,true,,36 - 39,,,,,true,,,,,
gastly,gastly,legends-arceus,legends-arceus,bonechill-wastes,swarm,22 - 24,true,true,,37 - 39,,,,,,,,,,
gastly,gastly,legends-arceus,legends-arceus,celestica-ruins,symbol-encounter,21 - 24,,true,,36 - 39,,,,,true,,,,,
gastly,gastly,legends-arceus,legends-arceus,clamberclaw-cliffs,symbol-encounter,21 - 24,,true,,36 - 39,,,,,true,,,,,
gastly,gastly,legends-arceus,legends-arceus,cottonsedge-prairie,symbol-encounter,21 - 24,,true,,36 - 39,,,,,true,,,,,
gastly,gastly,legends-arceus,legends-arceus,droning-meadow,symbol-encounter,21 - 24,,true,,36 - 39,,,,,true,,,,,
gastly,gastly,legends-arceus,legends-arceus,gapejaw-bog,symbol-encounter,19 - 24,,true,,34 - 39,,,,,true,,,,,
gastly,gastly,legends-arceus,legends-arceus,gapejaw-bog,flying,21 - 24,,true,,36 - 39,,,,,true,,,,,
gastly,gastly,legends-arceus,legends-arceus,golden-lowlands,symbol-encounter,17 - 24,,true,,32 - 39,,,,,true,,,,,
gastly,gastly,legends-arceus,legends-arceus,holm-of-trials,symbol-encounter,21 - 24,,true,,36 - 39,,,,,true,,,,,
gastly,gastly,legends-arceus,legends-arceus,icepeak-cavern,symbol-encounter,21 - 24,true,true,true,36 - 39,,,,Only underneath the {Bonechill Wastes;LOCATION;bonechill-wastes},,,,,,
gastly,gastly,legends-arceus,legends-arceus,lake-valor-hisui,symbol-encounter,17 - 24,,true,true,32 - 39,,,,,true,,,,,
gastly,gastly,legends-arceus,legends-arceus,sacred-plaza,symbol-encounter,21 - 24,,true,,36 - 39,,,,,true,,,,,
gastly,gastly,legends-arceus,legends-arceus,scarlet-bog,symbol-encounter,21 - 24,,true,,36 - 39,,,,,true,,,,,
gastly,gastly,legends-arceus,legends-arceus,shrouded-ruins,symbol-encounter,21 - 24,,true,,36 - 39,,,,,true,,,,,
gastly,gastly,legends-arceus,legends-arceus,shrouded-ruins,swarm,22 - 24,true,true,,37 - 39,,,,,,,,,,
gastly,gastly,legends-arceus,legends-arceus,sludge-mound,symbol-encounter,21 - 24,,true,true,36 - 39,,,,,true,,,,,
gastly,gastly,legends-arceus,legends-arceus,ursas-ring,symbol-encounter,21 - 24,,true,,36 - 39,,,,,true,,,,,
gastrodon,gastrodon-east,legends-arceus,legends-arceus,seagrass-haven,symbol-encounter,30 - 33,true,true,,45 - 48,,,,,,,,,,
gastrodon,gastrodon-east,legends-arceus,legends-arceus,seagrass-haven,symbol-encounter,,true,true,,61,,,,,,,,,,
gastrodon,gastrodon-east,legends-arceus,legends-arceus,seagrass-haven,swarm,42 - 44,true,true,,57 - 59,,,,,,,,,,
gastrodon,gastrodon-west,legends-arceus,legends-arceus,ramanas-island,symbol-encounter,33 - 36,true,true,,48 - 51,,,,,,,,,,
gastrodon,gastrodon-west,legends-arceus,legends-arceus,ramanas-island,swarm,38 - 40,true,true,,53 - 55,,,,,,,,,,
gastrodon,gastrodon-west,legends-arceus,legends-arceus,sandgem-flats,symbol-encounter,30 - 33,true,true,,45 - 48,,,,,,,,,,
gengar,gengar,legends-arceus,legends-arceus,horseshoe-plains,contact-space-time-distortion,25 - 60,true,true,,45 - 80,,,,,,,,,,
gengar,gengar,legends-arceus,legends-arceus,natures-pantry,contact-space-time-distortion,25 - 60,true,true,,45 - 80,,,,,,,,,,
gengar,gengar,legends-arceus,legends-arceus,sandgem-flats,contact-space-time-distortion,25 - 60,true,true,,45 - 80,,,,,,,,,,
gengar,gengar,legends-arceus,legends-arceus,windswept-run,contact-space-time-distortion,25 - 60,true,true,,45 - 80,,,,,,,,,,
geodude,geodude,legends-arceus,legends-arceus,aipom-hill,shaking-ore-deposits,21 - 24,true,true,,36 - 39,,,,,,,,,,
geodude,geodude,legends-arceus,legends-arceus,ancient-quarry,symbol-encounter,21 - 24,true,true,true,36 - 39,,,,,,,,,,
geodude,geodude,legends-arceus,legends-arceus,bathers-lagoon,shaking-ore-deposits,21 - 24,true,true,,36 - 39,,,,,,,,,,
geodude,geodude,legends-arceus,legends-arceus,bolderoll-ravine,symbol-encounter,21 - 24,true,true,,36 - 39,,,,,,,,,,
geodude,geodude,legends-arceus,legends-arceus,bolderoll-ravine,contact-space-time-distortion,22 - 24,true,true,,37 - 39,,,,,,,,,,
geodude,geodude,legends-arceus,legends-arceus,bolderoll-slope,symbol-encounter,18 - 21,true,true,,33 - 36,,,,,,,,,,
geodude,geodude,legends-arceus,legends-arceus,bolderoll-slope,shaking-ore-deposits,21 - 24,true,true,,36 - 39,,,,,,,,,,
geodude,geodude,legends-arceus,legends-arceus,bolderoll-slope,swarm,22 - 24,true,true,,37 - 39,,,,,,,,,,
geodude,geodude,legends-arceus,legends-arceus,castaway-shore,shaking-ore-deposits,21 - 24,true,true,,36 - 39,,,,,,,,,,
geodude,geodude,legends-arceus,legends-arceus,celestica-ruins,symbol-encounter,21 - 24,true,true,,36 - 39,,,,,,,,,,
geodude,geodude,legends-arceus,legends-arceus,clamberclaw-cliffs,symbol-encounter,21 - 24,,true,,36 - 39,true,true,true,,,,,,,
geodude,geodude,legends-arceus,legends-arceus,cloudpool-ridge,shaking-trees,21 - 24,true,true,,36 - 39,,,,,,,,,,
geodude,geodude,legends-arceus,legends-arceus,cottonsedge-prairie,shaking-ore-deposits,21 - 24,true,true,true,36 - 39,,,,,,,,,,
geodude,geodude,legends-arceus,legends-arceus,crossing-slope,shaking-ore-deposits,21 - 24,true,true,,36 - 39,,,,,,,,,,
geodude,geodude,legends-arceus,legends-arceus,deadwood-haunt,shaking-ore-deposits,21 - 24,true,true,,36 - 39,,,,,,,,,,
geodude,geodude,legends-arceus,legends-arceus,deertrack-heights,symbol-encounter,7 - 12,true,true,,22 - 27,,,,,,,,,,
geodude,geodude,legends-arceus,legends-arceus,deertrack-heights,shaking-ore-deposits,7 - 14,true,true,,22 - 29,,,,,,,,,,
geodude,geodude,legends-arceus,legends-arceus,deertrack-path,shaking-ore-deposits,7 - 10,true,true,,22 - 25,,,,,,,,,,
geodude,geodude,legends-arceus,legends-arceus,diamond-heath,shaking-ore-deposits,21 - 24,true,true,,36 - 39,,,,,,,,,,
geodude,geodude,legends-arceus,legends-arceus,droning-meadow,shaking-ore-deposits,21 - 24,true,true,,36 - 39,,,,,,,,,,
geodude,geodude,legends-arceus,legends-arceus,gapejaw-bog,symbol-encounter,21 - 24,true,true,,36 - 39,,,,,,,,,,
geodude,geodude,legends-arceus,legends-arceus,gapejaw-bog,shaking-ore-deposits,21 - 24,true,true,,36 - 39,,,,,,,,,,
geodude,geodude,legends-arceus,legends-arceus,ginkgo-landing,shaking-ore-deposits,21 - 24,true,true,,36 - 39,,,,,,,,,,
geodude,geodude,legends-arceus,legends-arceus,golden-lowlands,shaking-ore-deposits,21 - 24,true,true,,36 - 39,,,,,,,,,,
geodude,geodude,legends-arceus,legends-arceus,holm-of-trials,shaking-ore-deposits,21 - 24,true,true,,36 - 39,,,,,,,,,,
geodude,geodude,legends-arceus,legends-arceus,natures-pantry,shaking-ore-deposits,9 - 12,true,true,,24 - 27,,,,,,,,,,
geodude,geodude,legends-arceus,legends-arceus,obsidian-falls,symbol-encounter,13 - 16,true,true,true,28 - 31,,,,,,,,,,
geodude,geodude,legends-arceus,legends-arceus,oreburrow-tunnel,shaking-ore-deposits,13 - 16,true,true,,28 - 31,,,,,,,,,,
geodude,geodude,legends-arceus,legends-arceus,sacred-plaza,symbol-encounter,21 - 24,true,true,,36 - 39,,,,,,,,,,
geodude,geodude,legends-arceus,legends-arceus,sands-reach,shaking-ore-deposits,21 - 24,true,true,,36 - 39,,,,,,,,,,
geodude,geodude,legends-arceus,legends-arceus,scarlet-bog,symbol-encounter,21 - 24,true,true,true,36 - 39,,,,,,,,,,
geodude,geodude,legends-arceus,legends-arceus,scarlet-bog,shaking-ore-deposits,21 - 24,true,true,,36 - 39,,,,,,,,,,
geodude,geodude,legends-arceus,legends-arceus,shrouded-ruins,shaking-ore-deposits,21 - 24,true,true,,36 - 39,,,,,,,,,,
geodude,geodude,legends-arceus,legends-arceus,sludge-mound,symbol-encounter,21 - 24,true,true,true,36 - 39,,,,,,,,,,
geodude,geodude,legends-arceus,legends-arceus,sludge-mound,shaking-ore-deposits,21 - 24,true,true,,36 - 39,,,,,,,,,,
geodude,geodude,legends-arceus,legends-arceus,the-heartwood,shaking-ore-deposits,13 - 16,true,true,,28 - 31,,,,,,,,,,
geodude,geodude,legends-arceus,legends-arceus,tidewater-dam,shaking-ore-deposits,13 - 16,true,true,,28 - 31,,,,,,,,,,
geodude,geodude,legends-arceus,legends-arceus,tranquility-cove,symbol-encounter,21 - 24,true,true,,36 - 39,,,,,,,,,,
geodude,geodude,legends-arceus,legends-arceus,ursas-ring,symbol-encounter,21 - 24,true,true,,36 - 39,,,,,,,,,,
geodude,geodude,legends-arceus,legends-arceus,ursas-ring,shaking-ore-deposits,21 - 24,true,true,,36 - 39,,,,,,,,,,
