move,category,ailment,min_hits,max_hits,min_turns,max_turns,drain,healing,crit_rate,ailment_chance,flinch_chance,stat_chance
low-sweep,damage-lower,none,,,,,0,0,0,0,0,100
acid-spray,damage-lower,none,,,,,0,0,0,0,0,100
foul-play,damage,none,,,,,0,0,0,0,0,0
simple-beam,unique,none,,,,,0,0,0,0,0,0
entrainment,unique,none,,,,,0,0,0,0,0,0
after-you,unique,none,,,,,0,0,0,0,0,0
round,damage,none,,,,,0,0,0,0,0,0
echoed-voice,damage,none,,,,,0,0,0,0,0,0
chip-away,damage,none,,,,,0,0,0,0,0,0
clear-smog,damage,none,,,,,0,0,0,0,0,0
stored-power,damage,none,,,,,0,0,0,0,0,0
quick-guard,field-effect,none,,,,,0,0,0,0,0,0
ally-switch,unique,none,,,,,0,0,0,0,0,0
scald,damage-ailment,burn,,,,,0,0,0,30,0,0
shell-smash,unique,none,,,,,0,0,0,0,0,0
heal-pulse,heal,none,,,,,0,50,0,0,0,0
hex,damage,none,,,,,0,0,0,0,0,0
sky-drop,damage,none,,,,,0,0,0,0,0,0
shift-gear,net-good-stats,none,,,,,0,0,0,0,0,0
circle-throw,damage,none,,,,,0,0,0,0,0,0
incinerate,damage,none,,,,,0,0,0,0,0,0
quash,unique,none,,,,,0,0,0,0,0,0
acrobatics,damage,none,,,,,0,0,0,0,0,0
reflect-type,unique,none,,,,,0,0,0,0,0,0
retaliate,damage,none,,,,,0,0,0,0,0,0
final-gambit,damage,none,,,,,0,0,0,0,0,0
bestow,unique,none,,,,,0,0,0,0,0,0
inferno,damage-ailment,burn,,,,,0,0,0,100,0,0
water-pledge,damage,none,,,,,0,0,0,0,0,0
fire-pledge,damage,none,,,,,0,0,0,0,0,0
grass-pledge,damage,none,,,,,0,0,0,0,0,0
volt-switch,damage,none,,,,,0,0,0,0,0,0
struggle-bug,damage-lower,none,,,,,0,0,0,0,0,100
bulldoze,damage-lower,none,,,,,0,0,0,0,0,100
frost-breath,damage,none,,,,,0,0,6,100,0,0
dragon-tail,damage,none,,,,,0,0,0,0,0,0
work-up,net-good-stats,none,,,,,0,0,0,0,0,0
electroweb,damage-lower,none,,,,,0,0,0,0,0,100
wild-charge,damage,none,,,,,-25,0,0,0,0,0
drill-run,damage,none,,,,,0,0,1,0,0,0
dual-chop,damage,none,2,2,,,0,0,0,0,0,0
heart-stamp,damage,none,,,,,0,0,0,0,30,0
horn-leech,damage-heal,none,,,,,50,0,0,0,0,0
sacred-sword,damage,none,,,,,0,0,0,0,0,0
razor-shell,damage-lower,none,,,,,0,0,0,0,0,50
heat-crash,damage,none,,,,,0,0,0,0,0,0
leaf-tornado,damage-lower,none,,,,,0,0,0,0,0,50
steamroller,damage,none,,,,,0,0,0,0,30,0
cotton-guard,net-good-stats,none,,,,,0,0,0,0,0,0
night-daze,damage-lower,none,,,,,0,0,0,0,0,40
psystrike,damage,none,,,,,0,0,0,0,0,0
tail-slap,damage,none,2,5,,,0,0,0,0,0,0
hurricane,damage-ailment,confusion,,,2,5,0,0,0,30,0,0
head-charge,damage,none,,,,,-25,0,0,0,0,0
gear-grind,damage,none,2,2,,,0,0,0,0,0,0
searing-shot,damage-ailment,burn,,,,,0,0,0,30,0,0
techno-blast,damage,none,,,,,0,0,0,0,0,0
relic-song,damage-ailment,sleep,,,2,4,0,0,0,10,0,0
secret-sword,damage,none,,,,,0,0,0,0,0,0
glaciate,damage-lower,none,,,,,0,0,0,0,0,100
bolt-strike,damage-ailment,paralysis,,,,,0,0,0,20,0,0
blue-flare,damage-ailment,burn,,,,,0,0,0,20,0,0
fiery-dance,damage-raise,none,,,,,0,0,0,0,0,50
freeze-shock,damage-ailment,paralysis,,,,,0,0,0,30,0,0
ice-burn,damage-ailment,burn,,,,,0,0,0,30,0,0
snarl,damage-lower,none,,,,,0,0,0,0,0,100
icicle-crash,damage,none,,,,,0,0,0,0,30,0
v-create,damage-raise,none,,,,,0,0,0,0,0,100
fusion-flare,damage,none,,,,,0,0,0,0,0,0
fusion-bolt,damage,none,,,,,0,0,0,0,0,0
flying-press,damage,none,,,,,0,0,0,0,0,0
mat-block,field-effect,none,,,,,0,0,0,0,0,0
belch,damage,none,,,,,0,0,0,0,0,0
rototiller,net-good-stats,none,,,,,0,0,0,0,0,100
sticky-web,field-effect,none,,,,,0,0,0,0,0,0
fell-stinger,damage,none,,,,,0,0,0,0,0,0
phantom-force,damage,none,,,,,0,0,0,0,0,0
trick-or-treat,unique,none,,,,,0,0,0,0,0,0
noble-roar,net-good-stats,none,,,,,0,0,0,0,0,100
ion-deluge,whole-field-effect,none,,,,,0,0,0,0,0,0
parabolic-charge,damage-heal,none,,,,,50,0,0,0,0,0
forests-curse,unique,none,,,,,0,0,0,0,0,0
petal-blizzard,damage,none,,,,,0,0,0,0,0,0
freeze-dry,damage-ailment,freeze,,,,,0,0,0,10,0,0
disarming-voice,damage,none,,,,,0,0,0,0,0,0
parting-shot,net-good-stats,none,,,,,0,0,0,0,0,100
topsy-turvy,unique,none,,,,,0,0,0,0,0,0
draining-kiss,damage-heal,none,,,,,75,0,0,0,0,0
crafty-shield,field-effect,none,,,,,0,0,0,0,0,0
flower-shield,unique,none,,,,,0,0,0,0,0,100
grassy-terrain,whole-field-effect,none,,,,,0,0,0,0,0,0
misty-terrain,whole-field-effect,none,,,,,0,0,0,0,0,0
electrify,unique,none,,,,,0,0,0,0,0,0
play-rough,damage-lower,none,,,,,0,0,0,0,0,10
fairy-wind,damage,none,,,,,0,0,0,0,0,0
moonblast,damage-lower,none,,,,,0,0,0,0,0,30
boomburst,damage,none,,,,,0,0,0,0,0,0
fairy-lock,whole-field-effect,none,,,,,0,0,0,0,0,0
kings-shield,unique,none,,,,,0,0,0,0,0,0
play-nice,net-good-stats,none,,,,,0,0,0,0,0,100
confide,net-good-stats,none,,,,,0,0,0,0,0,100
diamond-storm,damage-raise,none,,,,,0,0,0,0,0,50
steam-eruption,damage-ailment,burn,,,,,0,0,0,30,0,0
hyperspace-hole,damage,none,,,,,0,0,0,0,0,0
water-shuriken,damage,none,2,5,,,0,0,0,0,0,0
mystical-fire,damage-lower,none,,,,,0,0,0,0,0,100
spiky-shield,unique,none,,,,,0,0,0,0,0,0
aromatic-mist,net-good-stats,none,,,,,0,0,0,0,0,0
eerie-impulse,net-good-stats,none,,,,,0,0,0,0,0,0
venom-drench,net-good-stats,none,,,,,0,0,0,0,0,100
powder,unique,none,,,,,0,0,0,0,0,0
geomancy,net-good-stats,none,,,,,0,0,0,0,0,0
magnetic-flux,net-good-stats,none,,,,,0,0,0,0,0,0
happy-hour,unique,none,,,,,0,0,0,0,0,0
electric-terrain,whole-field-effect,none,,,,,0,0,0,0,0,0
dazzling-gleam,damage,none,,,,,0,0,0,0,0,0
celebrate,unique,none,,,,,0,0,0,0,0,0
hold-hands,unique,none,,,,,0,0,0,0,0,0
baby-doll-eyes,net-good-stats,none,,,,,0,0,0,0,0,0
nuzzle,damage-ailment,paralysis,,,,,0,0,0,100,0,0
hold-back,damage,none,,,,,0,0,0,0,0,0
infestation,damage-ailment,trap,,,4,5,0,0,0,100,0,0
power-up-punch,damage-raise,none,,,,,0,0,0,0,0,100
oblivion-wing,damage-heal,none,,,,,75,0,0,0,0,0
thousand-arrows,damage,unknown,,,,,0,0,0,100,0,0
thousand-waves,damage,none,,,,,0,0,0,0,0,0
lands-wrath,damage,none,,,,,0,0,0,0,0,0
light-of-ruin,damage,none,,,,,-50,0,0,0,0,0
origin-pulse,damage,none,,,,,0,0,0,0,0,0
precipice-blades,damage,none,,,,,0,0,0,0,0,0
dragon-ascent,damage-raise,none,,,,,0,0,0,0,0,100
hyperspace-fury,damage-raise,none,,,,,0,0,0,0,0,100
breakneck-blitz,damage,none,,,,,0,0,0,0,0,0
all-out-pummeling,damage,none,,,,,0,0,0,0,0,0
supersonic-skystrike,damage,none,,,,,0,0,0,0,0,0
acid-downpour,damage,none,,,,,0,0,0,0,0,0
tectonic-rage,damage,none,,,,,0,0,0,0,0,0
continental-crush,damage,none,,,,,0,0,0,0,0,0
savage-spin-out,damage,none,,,,,0,0,0,0,0,0
never-ending-nightmare,damage,none,,,,,0,0,0,0,0,0
corkscrew-crash,damage,none,,,,,0,0,0,0,0,0
inferno-overdrive,damage,none,,,,,0,0,0,0,0,0
hydro-vortex,damage,none,,,,,0,0,0,0,0,0
bloom-doom,damage,none,,,,,0,0,0,0,0,0
gigavolt-havoc,damage,none,,,,,0,0,0,0,0,0
shattered-psyche,damage,none,,,,,0,0,0,0,0,0
subzero-slammer,damage,none,,,,,0,0,0,0,0,0
devastating-drake,damage,none,,,,,0,0,0,0,0,0
black-hole-eclipse,damage,none,,,,,0,0,0,0,0,0
twinkle-tackle,damage,none,,,,,0,0,0,0,0,0
catastropika,damage,none,,,,,0,0,0,0,0,0
shore-up,heal,none,,,,,0,50,0,0,0,0
first-impression,damage,none,,,,,0,0,0,0,0,0
baneful-bunker,unique,none,,,,,0,0,0,0,0,0
spirit-shackle,damage,none,,,,,0,0,0,0,0,0
darkest-lariat,damage,none,,,,,0,0,0,0,0,0
sparkling-aria,damage,none,,,,,0,0,0,0,0,0
ice-hammer,damage-raise,none,,,,,0,0,0,0,0,100
floral-healing,heal,none,,,,,0,50,0,0,0,0
high-horsepower,damage,none,,,,,0,0,0,0,0,0
strength-sap,unique,none,,,,,0,0,0,0,0,100
solar-blade,damage,none,,,,,0,0,0,0,0,0
leafage,damage,none,,,,,0,0,0,0,0,0
spotlight,unique,none,,,,,0,0,0,0,0,0
toxic-thread,swagger,poison,,,,,0,0,0,100,0,100
laser-focus,unique,none,,,,,0,0,0,0,0,0
gear-up,net-good-stats,none,,,,,0,0,0,0,0,0
throat-chop,damage-ailment,silence,,,2,2,0,0,0,100,0,0
pollen-puff,damage,none,,,,,0,0,0,0,0,0
anchor-shot,damage,none,,,,,0,0,0,0,0,0
psychic-terrain,whole-field-effect,none,,,,,0,0,0,0,0,0
lunge,damage-lower,none,,,,,0,0,0,0,0,100
fire-lash,damage-lower,none,,,,,0,0,0,0,0,100
power-trip,damage,none,,,,,0,0,0,0,0,0
burn-up,damage,none,,,,,0,0,0,0,0,0
speed-swap,unique,none,,,,,0,0,0,0,0,0
smart-strike,damage,none,,,,,0,0,0,0,0,0
purify,unique,none,,,,,0,50,0,0,0,0
revelation-dance,damage,none,,,,,0,0,0,0,0,0
core-enforcer,damage,none,,,,,0,0,0,0,0,0
trop-kick,damage-lower,none,,,,,0,0,0,0,0,100
instruct,unique,none,,,,,0,0,0,0,0,0
beak-blast,damage,none,,,,,0,0,0,0,0,0
clanging-scales,damage-raise,none,,,,,0,0,0,0,0,100
dragon-hammer,damage,none,,,,,0,0,0,0,0,0
brutal-swing,damage,none,,,,,0,0,0,0,0,0
aurora-veil,field-effect,none,,,,,0,0,0,0,0,0
sinister-arrow-raid,damage,none,,,,,0,0,0,0,0,0
malicious-moonsault,damage,none,,,,,0,0,0,0,0,0
oceanic-operetta,damage,none,,,,,0,0,0,0,0,0
guardian-of-alola,damage,none,,,,,0,0,0,0,0,0
soul-stealing-7-star-strike,damage,none,,,,,0,0,0,0,0,0
stoked-sparksurfer,damage-ailment,paralysis,,,,,0,0,0,100,0,0
pulverizing-pancake,damage,none,,,,,0,0,0,0,0,0
extreme-evoboost,net-good-stats,none,,,,,0,0,0,0,0,100
genesis-supernova,damage,none,,,,,0,0,0,0,0,0
shell-trap,damage,none,,,,,0,0,0,0,0,0
fleur-cannon,damage-raise,none,,,,,0,0,0,0,0,100
psychic-fangs,damage,none,,,,,0,0,0,0,0,0
stomping-tantrum,damage,none,,,,,0,0,0,0,0,0
shadow-bone,damage-lower,none,,,,,0,0,0,0,0,20
accelerock,damage,none,,,,,0,0,0,0,0,0
liquidation,damage-lower,none,,,,,0,0,0,0,0,20
prismatic-laser,damage,none,,,,,0,0,0,0,0,0
spectral-thief,damage,none,,,,,0,0,0,0,0,0
sunsteel-strike,damage,none,,,,,0,0,0,0,0,0
moongeist-beam,damage,none,,,,,0,0,0,0,0,0
tearful-look,net-good-stats,none,,,,,0,0,0,0,0,100
zing-zap,damage,none,,,,,0,0,0,0,30,0
natures-madness,damage,none,,,,,0,0,0,0,0,0
multi-attack,damage,none,,,,,0,0,0,0,0,0
10-000-000-volt-thunderbolt,damage,none,,,,,0,0,2,0,0,0
mind-blown,damage,none,,,,,0,0,0,0,0,0
plasma-fists,damage,none,,,,,0,0,0,0,0,0
photon-geyser,damage,none,,,,,0,0,0,0,0,0
light-that-burns-the-sky,damage,none,,,,,0,0,0,0,0,0
searing-sunraze-smash,damage,none,,,,,0,0,0,0,0,0
menacing-moonraze-maelstrom,damage,none,,,,,0,0,0,0,0,0
lets-snuggle-forever,damage,none,,,,,0,0,0,0,0,0
splintered-stormshards,damage,none,,,,,0,0,0,0,0,0
clangorous-soulblaze,damage-raise,none,,,,,0,0,0,0,0,100
zippy-zap,damage-raise,none,,,,,0,0,0,0,0,100
splishy-splash,damage-ailment,paralysis,,,,,0,0,0,30,0,0
floaty-fall,damage,none,,,,,0,0,0,0,30,0
pika-papow,damage,none,,,,,0,0,0,0,0,0
bouncy-bubble,damage-heal,none,,,,,100,0,0,0,0,0
buzzy-buzz,damage-ailment,paralysis,,,,,0,0,0,100,0,0
sizzly-slide,damage-ailment,burn,,,,,0,0,0,100,0,0
glitzy-glow,damage,none,,,,,0,0,0,0,0,0
baddy-bad,damage,none,,,,,0,0,0,0,0,0
sappy-seed,damage-ailment,leech-seed,,,,,0,0,0,100,0,0
freezy-frost,damage,none,,,,,0,0,0,0,0,0
sparkly-swirl,damage,none,,,,,0,0,0,0,0,0
veevee-volley,damage,none,,,,,0,0,0,0,0,0
double-iron-bash,damage,none,2,2,,,0,0,0,0,30,0
max-guard,unique,none,,,,,0,0,0,0,0,0
dynamax-cannon,damage,none,,,,,0,0,0,0,0,0
snipe-shot,damage,none,,,,,0,0,1,0,0,0
jaw-lock,damage,none,,,,,0,0,0,0,0,0
stuff-cheeks,net-good-stats,none,,,,,0,0,0,0,0,100
no-retreat,net-good-stats,none,,,,,0,0,0,0,0,100
tar-shot,swagger,tar-shot,,,,,0,0,0,100,0,100
magic-powder,unique,none,,,,,0,0,0,0,0,0
dragon-darts,damage,none,2,2,,,0,0,0,0,0,0
teatime,unique,none,,,,,0,0,0,0,0,0
octolock,unique,none,,,,,0,0,0,0,0,0
bolt-beak,damage,none,,,,,0,0,0,0,0,0
fishious-rend,damage,none,,,,,0,0,0,0,0,0
court-change,unique,none,,,,,0,0,0,0,0,0
max-flare,damage,none,,,,,0,0,0,0,0,0
max-flutterby,damage,none,,,,,0,0,0,0,0,0
max-lightning,damage,none,,,,,0,0,0,0,0,0
max-strike,damage,none,,,,,0,0,0,0,0,0
max-knuckle,damage,none,,,,,0,0,0,0,0,0
max-phantasm,damage,none,,,,,0,0,0,0,0,0
max-hailstorm,damage,none,,,,,0,0,0,0,0,0
max-ooze,damage,none,,,,,0,0,0,0,0,0
max-geyser,damage,none,,,,,0,0,0,0,0,0
max-airstream,damage,none,,,,,0,0,0,0,0,0
max-starfall,damage,none,,,,,0,0,0,0,0,0
max-wyrmwind,damage,none,,,,,0,0,0,0,0,0
max-mindstorm,damage,none,,,,,0,0,0,0,0,0
max-rockfall,damage,none,,,,,0,0,0,0,0,0
max-quake,damage,none,,,,,0,0,0,0,0,0
max-darkness,damage,none,,,,,0,0,0,0,0,0
max-overgrowth,damage,none,,,,,0,0,0,0,0,0
max-steelspike,damage,none,,,,,0,0,0,0,0,0
clangorous-soul,net-good-stats,none,,,,,0,-33,0,0,0,100
body-press,damage,none,,,,,0,0,0,0,0,0
decorate,net-good-stats,none,,,,,0,0,0,0,0,100
drum-beating,damage-lower,none,,,,,0,0,0,0,0,100
snap-trap,damage-ailment,trap,,,5,6,0,0,0,100,0,0
pyro-ball,damage-ailment,burn,,,,,0,0,0,10,0,0
behemoth-blade,damage,none,,,,,0,0,0,0,0,0
behemoth-bash,damage,none,,,,,0,0,0,0,0,0
aura-wheel,damage-raise,none,,,,,0,0,0,0,0,100
breaking-swipe,damage-lower,none,,,,,0,0,0,0,0,100
branch-poke,damage,none,,,,,0,0,0,0,0,0
overdrive,damage,none,,,,,0,0,0,0,0,0
apple-acid,damage-lower,none,,,,,0,0,0,0,0,100
grav-apple,damage-lower,none,,,,,0,0,0,0,0,100
spirit-break,damage-lower,none,,,,,0,0,0,0,0,100
strange-steam,damage-ailment,confusion,,,2,5,0,0,0,20,0,0
life-dew,heal,none,,,,,0,25,0,0,0,0
obstruct,unique,none,,,,,0,0,0,0,0,0
false-surrender,damage,none,,,,,0,0,0,0,0,0
meteor-assault,damage,none,,,,,0,0,0,0,0,0
eternabeam,damage,none,,,,,0,0,0,0,0,0
steel-beam,damage,none,,,,,0,0,0,0,0,0
expanding-force,damage,none,,,,,0,0,0,0,0,0
steel-roller,damage,none,,,,,0,0,0,0,0,0
scale-shot,damage,none,2,5,,,0,0,0,0,0,0
meteor-beam,damage,none,,,,,0,0,0,100,0,0
shell-side-arm,damage-ailment,poison,,,,,0,0,0,20,0,0
misty-explosion,damage,none,,,,,0,0,0,0,0,0
grassy-glide,damage,none,,,,,0,0,0,0,0,0
rising-voltage,damage,none,,,,,0,0,0,0,0,0
terrain-pulse,damage,none,,,,,0,0,0,0,0,0
skitter-smack,damage-lower,none,,,,,0,0,0,0,0,100
burning-jealousy,damage-ailment,burn,,,,,0,0,0,100,0,0
lash-out,damage,none,,,,,0,0,0,0,0,0
poltergeist,damage,none,,,,,0,0,0,0,0,0
corrosive-gas,unique,none,,,,,0,0,0,0,0,0
coaching,net-good-stats,none,,,,,0,0,0,0,0,100
flip-turn,damage,none,,,,,0,0,0,0,0,0
triple-axel,damage,none,3,3,,,0,0,0,0,0,0
dual-wingbeat,damage,none,2,2,,,0,0,0,0,0,0
scorching-sands,damage-ailment,burn,,,,,0,0,0,30,0,0
jungle-healing,unique,none,,,,,0,25,0,0,0,0
wicked-blow,damage,none,,,,,0,0,6,0,0,0
surging-strikes,damage,none,3,3,,,0,0,6,0,0,0
thunder-cage,damage-ailment,trap,,,5,6,0,0,0,100,0,0
dragon-energy,damage,none,,,,,0,0,0,0,0,0
freezing-glare,damage-ailment,freeze,,,,,0,0,0,10,0,0
fiery-wrath,damage,none,,,,,0,0,0,0,20,0
thunderous-kick,damage-lower,none,,,,,0,0,0,0,0,100
glacial-lance,damage,none,,,,,0,0,0,0,0,0
astral-barrage,damage,none,,,,,0,0,0,0,0,0
eerie-spell,damage,none,,,,,0,0,0,0,0,0
syrup-bomb,unique,none,,,3,3,0,0,0,0,0,100
