identifier,name,type,region_area
relic-passage,Relic Passage,Landmarks,unova
resolution-cave,Resolution Cave,Landmarks,alola
resort-area,Resort Area,Settlements,sinnoh
resort-gorgeous,Resort Gorgeous,Routes,sevii-islands
revelers-road,Reveler's Road,Areas,kitakami
reversal-mountain,Reversal Mountain,Landmarks,unova
riverbank-cave,Riverbank Cave,Grand Underground Hideaways,sinnoh
roaring-sea-caves,Roaring Sea Caves,The Crown Tundra,galar
rock-peak-ruins-galar,Rock Peak Ruins (Galar),The Crown Tundra,galar
rock-peak-ruins-sinnoh,Rock Peak Ruins (Sinnoh),Landmarks,sinnoh
rock-tunnel,Rock Tunnel,Landmarks,kanto
rocky-cave,Rocky Cave,Grand Underground Hideaways,sinnoh
rolling-fields,Rolling Fields,Wild Areas,galar
route-01-kanto,Kanto Route 1,Routes,kanto
route-02-kanto,Kanto Route 2,Routes,kanto
route-03-kanto,Kanto Route 3,Routes,kanto
route-04-kanto,Kanto Route 4,Routes,kanto
route-05-kanto,Kanto Route 5,Routes,kanto
route-06-kanto,Kanto Route 6,Routes,kanto
route-07-kanto,Kanto Route 7,Routes,kanto
route-08-kanto,Kanto Route 8,Routes,kanto
route-09-kanto,Kanto Route 9,Routes,kanto
route-10-kanto,Kanto Route 10,Routes,kanto
route-11-kanto,Kanto Route 11,Routes,kanto
route-12-kanto,Kanto Route 12,Routes,kanto
route-13-kanto,Kanto Route 13,Routes,kanto
route-14-kanto,Kanto Route 14,Routes,kanto
route-15-kanto,Kanto Route 15,Routes,kanto
route-16-kanto,Kanto Route 16,Routes,kanto
route-17-kanto,Kanto Route 17,Routes,kanto
route-18-kanto,Kanto Route 18,Routes,kanto
route-19-kanto,Kanto Route 19,Routes,kanto
route-20-kanto,Kanto Route 20,Routes,kanto
route-201-sinnoh,Sinnoh Route 201,Routes,sinnoh
route-202-sinnoh,Sinnoh Route 202,Routes,sinnoh
route-203-sinnoh,Sinnoh Route 203,Routes,sinnoh
route-204-sinnoh,Sinnoh Route 204,Routes,sinnoh
route-205-sinnoh,Sinnoh Route 205,Routes,sinnoh
route-206-sinnoh,Sinnoh Route 206,Routes,sinnoh
route-207-sinnoh,Sinnoh Route 207,Routes,sinnoh
route-208-sinnoh,Sinnoh Route 208,Routes,sinnoh
route-209-sinnoh,Sinnoh Route 209,Routes,sinnoh
route-21-kanto,Kanto Route 21,Routes,kanto
route-210-sinnoh,Sinnoh Route 210,Routes,sinnoh
route-211-sinnoh,Sinnoh Route 211,Routes,sinnoh
route-212-sinnoh,Sinnoh Route 212,Routes,sinnoh
route-213-sinnoh,Sinnoh Route 213,Routes,sinnoh
route-214-sinnoh,Sinnoh Route 214,Routes,sinnoh
route-215-sinnoh,Sinnoh Route 215,Routes,sinnoh
route-216-sinnoh,Sinnoh Route 216,Routes,sinnoh
route-217-sinnoh,Sinnoh Route 217,Routes,sinnoh
route-218-sinnoh,Sinnoh Route 218,Routes,sinnoh
route-219-sinnoh,Sinnoh Route 219,Routes,sinnoh
route-22-kanto,Kanto Route 22,Routes,kanto
route-220-sinnoh,Sinnoh Route 220,Routes,sinnoh
route-221-sinnoh,Sinnoh Route 221,Routes,sinnoh
route-222-sinnoh,Sinnoh Route 222,Routes,sinnoh
route-223-sinnoh,Sinnoh Route 223,Routes,sinnoh
route-224-sinnoh,Sinnoh Route 224,Routes,sinnoh
route-225-sinnoh,Sinnoh Route 225,Routes,sinnoh
route-226-sinnoh,Sinnoh Route 226,Routes,sinnoh
route-227-sinnoh,Sinnoh Route 227,Routes,sinnoh
route-228-sinnoh,Sinnoh Route 228,Routes,sinnoh
route-229-sinnoh,Sinnoh Route 229,Routes,sinnoh
route-23-kanto,Kanto Route 23,Routes,kanto
route-230-sinnoh,Sinnoh Route 230,Routes,sinnoh
route-24-kanto,Kanto Route 24,Routes,kanto
route-25-kanto,Kanto Route 25,Routes,kanto
route-26-kanto,Kanto Route 26,Routes,kanto
route-27-kanto,Kanto Route 27,Routes,kanto
route-28-kanto,Kanto Route 28,Routes,kanto
route-29-johto,Johto Route 29,Routes,johto
route-30-johto,Johto Route 30,Routes,johto
route-31-johto,Johto Route 31,Routes,johto
route-32-johto,Johto Route 32,Routes,johto
route-33-johto,Johto Route 33,Routes,johto
route-34-johto,Johto Route 34,Routes,johto
route-35-johto,Johto Route 35,Routes,johto
route-36-johto,Johto Route 36,Routes,johto
route-37-johto,Johto Route 37,Routes,johto
route-38-johto,Johto Route 38,Routes,johto
route-39-johto,Johto Route 39,Routes,johto
route-40-johto,Johto Route 40,Routes,johto
route-41-johto,Johto Route 41,Routes,johto
route-42-johto,Johto Route 42,Routes,johto
route-43-johto,Johto Route 43,Routes,johto
route-44-johto,Johto Route 44,Routes,johto
route-45-johto,Johto Route 45,Routes,johto
route-46-johto,Johto Route 46,Routes,johto
route-47-johto,Johto Route 47,Routes,johto
route-48-johto,Johto Route 48,Routes,johto
royal-avenue,Royal Avenue,Settlements,alola
ruin-valley,Ruin Valley,Routes,sevii-islands
ruins-of-abundance,Ruins of Abundance,Landmarks,alola
ruins-of-alph,Ruins of Alph,Landmarks,johto
ruins-of-conflict,Ruins of Conflict,Landmarks,alola
ruins-of-hope,Ruins of Hope,Landmarks,alola
ruins-of-life,Ruins of Life,Landmarks,alola
rustboro-city,Rustboro City,Settlements,hoenn
rusturf-tunnel,Rusturf Tunnel,Landmarks,hoenn
sacred-plaza,Sacred Plaza,Coronet Highlands,hisui
safari-zone-gate,Safari Zone Gate,Settlements,johto
safari-zone-hoenn,Safari Zone (Hoenn),Landmarks,hoenn
safari-zone-johto,Safari Zone (Johto),Landmarks,johto
safari-zone-kanto,Safari Zone (Kanto),Landmarks,kanto
saffron-city,Saffron City,Settlements,kanto
sandgem-flats,Sandgem Flats,Obsidian Fieldlands,hisui
sandgem-town,Sandgem Town,Settlements,sinnoh
sands-reach,Sands Reach,Cobalt Coastlands,hisui
sandsear-cave,Sandsear Cave,Grand Underground Hideaways,sinnoh
sandy-cave,Sandy Cave,Landmarks,alola
santalune-city,Santalune City,Settlements,kalos
santalune-forest,Santalune Forest,Landmarks,kalos
savanna-biome,Savanna Biome,Biomes,blueberry-academy
scarlet-bog,Scarlet Bog,Crimson Mirelands,hisui
scorched-slab,Scorched Slab,Landmarks,hoenn
sea-cottage,Sea Cottage,Landmarks,kanto
sea-mauville,Sea Mauville,Landmarks,hoenn
sea-spirits-den,Sea Spirit's Den,Landmarks,kalos
seafloor-cavern,Seafloor Cavern,Landmarks,hoenn
seafoam-islands,Seafoam Islands,Landmarks,kanto
seafolk-village,Seafolk Village,Settlements,alola
seagrass-haven,Seagrass Haven,Cobalt Coastlands,hisui
sealed-chamber,Sealed Chamber,Landmarks,hoenn
seaside-cave,Seaside Cave,Landmarks,unova
seaside-hollow,Seaside Hollow,Cobalt Coastlands,hisui
seaward-cave,Seaward Cave,Landmarks,alola
secret-hollow,Secret Hollow,Alabaster Icelands,hisui
sendoff-spring,Sendoff Spring,Landmarks,sinnoh
sevault-canyon,Sevault Canyon,Routes,sevii-islands
shalour-city,Shalour City,Settlements,kalos
shoal-cave,Shoal Cave,Landmarks,hoenn
shrouded-ruins,Shrouded Ruins,Crimson Mirelands,hisui
silph-co,Silph Co.,Landmarks,kanto
sinjoh-ruins,Sinjoh Ruins,Areas,johto
six-island,Six Island,Routes,sevii-islands
six-island-town,Six Island (Town),Settlements,sevii-islands
sky-pillar,Sky Pillar,Landmarks,hoenn
slateport-city,Slateport City,Settlements,hoenn
slippery-slope,Slippery Slope,The Crown Tundra,galar
slowpoke-well,Slowpoke Well,Landmarks,johto
sludge-mound,Sludge Mound,Crimson Mirelands,hisui
slumbering-weald,Slumbering Weald,Landmarks,galar
snowbelle-city,Snowbelle City,Settlements,kalos
snowfall-hot-spring,Snowfall Hot Spring,Alabaster Icelands,hisui
snowpoint-city,Snowpoint City,Settlements,sinnoh
snowpoint-temple,Snowpoint Temple,Landmarks,sinnoh
snowslide-slope,Snowslide Slope,The Crown Tundra,galar
soaring-in-the-sky,Soaring in the Sky,Areas,hoenn
socarrat-trail,Socarrat Trail,North Province,paldea
solaceon-ruins-hisui,Solaceon Ruins,Crimson Mirelands,hisui
solaceon-ruins-sinnoh,Solaceon Ruins,Landmarks,sinnoh
solaceon-town,Solaceon Town,Settlements,sinnoh
sonorous-path,Sonorous Path,Coronet Highlands,hisui
soothing-wetlands,Soothing Wetlands,The Isle of Armor,galar
sootopolis-city,Sootopolis City,Settlements,hoenn
south-boulevard,South Boulevard,Landmarks,kalos
south-lake-miloch,South Lake Miloch,Wild Areas,galar
south-paldean-sea,South Paldean Sea,South Province,paldea
south-province-area-five,Area Five (South Province),South Province,paldea
south-province-area-four,Area Four (South Province),South Province,paldea
south-province-area-one,Area One (South Province),South Province,paldea
south-province-area-six,Area Six (South Province),South Province,paldea
south-province-area-three,Area Three (South Province),South Province,paldea
south-province-area-two,Area Two (South Province),South Province,paldea
southern-island,Southern Island,Landmarks,hoenn
spacious-cave,Spacious Cave,Grand Underground Hideaways,sinnoh
spear-pillar,Spear Pillar,Landmarks,sinnoh
spikemuth,Spikemuth,Settlements,galar
split-decision-ruins,Split Decision Ruins,The Crown Tundra,galar
spring-path-hisui,Spring Path,Cobalt Coastlands,hisui
sprout-tower,Sprout Tower,Landmarks,johto
stargleam-cavern,Stargleam Cavern,Grand Underground Hideaways,sinnoh
stark-mountain,Stark Mountain,Landmarks,sinnoh
stepping-stone-sea,Stepping Stone Sea,The Isle of Armor,galar
still-water-cavern,Still-Water Cavern,Grand Underground Hideaways,sinnoh
stonetooth-rows,Stonetooth Rows,Coronet Highlands,hisui
stony-wilderness,Stony Wilderness,Wild Areas,galar
stow-on-side,Stow-on-Side,Settlements,galar
strange-house,Strange House,Landmarks,unova
striaton-city,Striaton City,Settlements,unova
sunlit-cavern,Sunlit Cavern,Grand Underground Hideaways,sinnoh
sunyshore-city,Sunyshore City,Settlements,sinnoh
swampy-cave,Swampy Cave,Grand Underground Hideaways,sinnoh
tagtree-thicket,Tagtree Thicket,East Province,paldea
tanoby-chambers,Tanoby Chambers,Landmarks,sevii-islands
tanoby-ruins,Tanoby Ruins,Routes,sevii-islands
tapu-village,Tapu Village,Settlements,alola
team-aqua-hideout,Team Aqua Hideout,Landmarks,hoenn
team-flare-secret-hq,Team Flare Secret HQ,Landmarks,kalos
team-magma-hideout,Team Magma Hideout,Landmarks,hoenn
team-rocket-hq,Team Rocket HQ,Landmarks,johto
team-rockets-castle,Team Rocket's Castle,Landmarks,alola
temple-of-sinnoh,Temple of Sinnoh,Coronet Highlands,hisui
ten-carat-hill,Ten Carat Hill,Landmarks,alola
terarium,Terarium,Area,kitakami
terminus-cave,Terminus Cave,Landmarks,kalos
terra-cave,Terra Cave,Landmarks,hoenn
the-heartwood,The Heartwood,Obsidian Fieldlands,hisui
three-isle-port,Three Isle Port,Routes,sevii-islands
three-point-pass,Three-Point Pass,The Crown Tundra,galar
thrifty-megamart-abandoned-site,Thrifty Megamart (Abandoned Site),Trial Sites,alola
tidewater-dam,Tidewater Dam,Obsidian Fieldlands,hisui
timeless-woods,Timeless Woods,Areas,kitakami
tohjo-falls,Tohjo Falls,Landmarks,kanto
tombolo-walk,Tombolo Walk,Cobalt Coastlands,hisui
torchlit-labyrinth,Torchlit Labyrinth,Landmarks,blueberry-academy
tower-of-mastery,Tower of Mastery,Landmarks,kalos
tower-summit,Tower Summit,Landmarks,galar
trackless-forest,Trackless Forest,Mirage Spots,hoenn
trainer-tower,Trainer Tower,Routes,sevii-islands
trainers-school-alola,Trainer's School (Alola),Landmarks,alola
training-lowlands,Training Lowlands,The Isle of Armor,galar
tranquility-cove,Tranquility Cove,Cobalt Coastlands,hisui
treasure-beach,Treasure Beach,Routes,sevii-islands
trick-house,Trick House,Landmarks,hoenn
trophy-garden,Trophy Garden,Landmarks,sinnoh
tunnel-to-the-top,Tunnel to the Top,The Crown Tundra,galar
turffield,Turffield,Settlements,galar
turnback-cave,Turnback Cave,Landmarks,sinnoh
twinleaf-town,Twinleaf Town,Settlements,sinnoh
twist-mountain,Twist Mountain,Landmarks,unova
two-island,Two Island,Settlements,sevii-islands
typhlo-cavern,Typhlo Cavern,Grand Underground Hideaways,sinnoh
ulaula-beach,Ula'ula Beach,Landmarks,alola
ulaula-meadow,Ula'ula Meadow,Landmarks,alola
ultra-crater,Ultra Crater,Ultra Space,alola
ultra-deep-sea,Ultra Deep Sea,Ultra Space,alola
ultra-forest,Ultra Forest,Ultra Space,alola
ultra-megalopolis,Ultra Megalopolis,Ultra Space,alola
ultra-plant,Ultra Plant,Ultra Space,alola
ultra-ruin,Ultra Ruin,Ultra Space,alola
ultra-space-wilds,Ultra Space Wilds,Ultra Space,alola
undella-bay,Undella Bay,Landmarks,unova
undella-town,Undella Town,Settlements,unova
underground,Underground,Underground,sinnoh
underground-path-kanto-routes-5-6,Underground Path (Kanto - Routes 5-6),Landmarks,kanto
underground-path-kanto-routes-7-8,Underground Path (Kanto - Routes 7-8),Landmarks,kanto
underground-ruins,Underground Ruins,Landmarks,unova
union-cave,Union Cave,Landmarks,johto
unknown-dungeon-kalos,Unknown Dungeon (Kalos),Landmarks,kalos
unova-route-01,Unova Route 1,Routes,unova
unova-route-02,Unova Route 2,Routes,unova
unova-route-03,Unova Route 3,Routes,unova
unova-route-04,Unova Route 4,Routes,unova
unova-route-05,Unova Route 5,Routes,unova
unova-route-06,Unova Route 6,Routes,unova
unova-route-07,Unova Route 7,Routes,unova
unova-route-08,Unova Route 8,Routes,unova
unova-route-09,Unova Route 9,Routes,unova
unova-route-10,Unova Route 10,Routes,unova
unova-route-11,Unova Route 11,Routes,unova
unova-route-12,Unova Route 12,Routes,unova
unova-route-13,Unova Route 13,Routes,unova
unova-route-14,Unova Route 14,Routes,unova
unova-route-15,Unova Route 15,Routes,unova
unova-route-16,Unova Route 16,Routes,unova
unova-route-17,Unova Route 17,Routes,unova
unova-route-18,Unova Route 18,Routes,unova
unova-route-19,Unova Route 19,Routes,unova
unova-route-20,Unova Route 20,Routes,unova
unova-route-21,Unova Route 21,Routes,unova
unova-route-22,Unova Route 22,Routes,unova
unova-route-23,Unova Route 23,Routes,unova
ursas-ring,Ursa's Ring,Crimson Mirelands,hisui
uva-academy,Uva Academy,South Province,paldea
valley-windworks,Valley Windworks,Landmarks,sinnoh
valor-lakefront,Valor Lakefront,Landmarks,sinnoh
vaniville-town,Vaniville Town,Settlements,kalos
vast-poni-canyon,Vast Poni Canyon,Trial Sites,alola
veilstone-cape,Veilstone Cape,Cobalt Coastlands,hisui
veilstone-city,Veilstone City,Settlements,sinnoh
verdant-cavern,Verdant Cavern,Trial Sites,alola
verdanturf-town,Verdanturf Town,Settlements,hoenn
vermilion-city,Vermilion City,Settlements,kanto
vermilion-city-port,Vermilion City Port,Landmarks,kanto
victory-road-hoenn,Victory Road (Hoenn),Landmarks,hoenn
victory-road-kalos,Victory Road (Kalos),Landmarks,kalos
victory-road-kanto,Victory Road (Kanto),Landmarks,kanto
victory-road-sinnoh,Victory Road (Sinnoh),Landmarks,sinnoh
victory-road-unova-b2w2,Victory Road (Unova Black 2 & White 2),Landmarks,unova
victory-road-unova-bw,Victory Road (Unova Black & White),Landmarks,unova
village-bridge,Village Bridge,Bridges or Tunnels,unova
violet-city,Violet City,Settlements,johto
virbank-city,Virbank City,Settlements,unova
virbank-complex,Virbank Complex,Landmarks,unova
viridian-city,Viridian City,Settlements,kanto
viridian-forest,Viridian Forest,Landmarks,kanto
volcanic-cave,Volcanic Cave,Grand Underground Hideaways,sinnoh
warm-up-tunnel,Warm Up Tunnel,The Isle of Armor,galar
watchtower-ruins,Watchtower Ruins,Wild Areas,galar
water-labyrinth,Water Labyrinth,Routes,sevii-islands
water-path,Water Path,Routes,sevii-islands
wayward-cave,Wayward Cave,Landmarks,sinnoh
wayward-wood,Wayward Wood,Coronet Highlands,hisui
weather-institute,Weather Institute,Landmarks,hoenn
wedgehurst,Wedgehurst,Settlements,galar
wela-volcano-park,Wela Volcano Park,Trial Sites,alola
wellspring-cave,Wellspring Cave,Landmarks,unova
west-lake-axewell,West Lake Axewell,Wild Areas,galar
west-paldean-sea,West Paldean Sea,West Province,paldea
west-province-area-one,Area One (West Province),West Province,paldea
west-province-area-three,Area Three (West Province),West Province,paldea
west-province-area-two,Area Two (West Province),West Province,paldea
whirl-islands,Whirl Islands,Landmarks,johto
white-forest,White Forest,Settlements,unova
whiteout-cave,Whiteout Cave,Grand Underground Hideaways,sinnoh
whiteout-valley,Whiteout Valley,Alabaster Icelands,hisui
windbreak-stand,Windbreak Stand,Cobalt Coastlands,hisui
windswept-run,Windswept Run,Obsidian Fieldlands,hisui
wistful-fields,Wistful Fields,Areas,kitakami
workout-sea,Workout Sea,The Isle of Armor,galar
worn-bridge,Worn Bridge,Obsidian Fieldlands,hisui
wyndon,Wyndon,Settlements,galar
zapapico,Zapapico,Settlements,paldea
zero-lab,Zero Lab,Area Zero,paldea
