identifier,column,pokeapi,pokedb
mankey-candy,name_fr,Bonbon Férosinge,
mankey-candy,name_de,Menki-Bonbon,
mankey-candy,name_es,Caramelo Mankey,
mankey-candy,name_it,Caramella Mankey,
mankey-candy,name_ko,망키의사탕,
growlithe-candy,name_fr,Bonbon Caninos,
growlithe-candy,name_de,Fukano-Bonbon,
growlithe-candy,name_es,Caramelo Growlithe,
growlithe-candy,name_it,Caramella Growlithe,
growlithe-candy,name_ko,가디의사탕,
poliwag-candy,name_fr,Bonbon Ptitard,
poliwag-candy,name_de,Quapsel-Bonbon,
poliwag-candy,name_es,Caramelo Poliwag,
poliwag-candy,name_it,Caramella Poliwag,
poliwag-candy,name_ko,발챙이의사탕,
abra-candy,name_fr,Bonbon Abra,
abra-candy,name_de,Abra-Bonbon,
abra-candy,name_es,Caramelo Abra,
abra-candy,name_it,Caramella Abra,
abra-candy,name_ko,캐이시의사탕,
machop-candy,name_fr,Bonbon Machoc,
machop-candy,name_de,Machollo-Bonbon,
machop-candy,name_es,Caramelo Machop,
machop-candy,name_it,Caramella Machop,
machop-candy,name_ko,알통몬의사탕,
bellsprout-candy,name_fr,Bonbon Chétiflor,
bellsprout-candy,name_de,Knofensa-Bonbon,
bellsprout-candy,name_es,Caramelo Bellsprout,
bellsprout-candy,name_it,Caramella Bellsprout,
bellsprout-candy,name_ko,모다피의사탕,
tentacool-candy,name_fr,Bonbon Tentacool,
tentacool-candy,name_de,Tentacha-Bonbon,
tentacool-candy,name_es,Caramelo Tentacool,
tentacool-candy,name_it,Caramella Tentacool,
tentacool-candy,name_ko,왕눈해의사탕,
geodude-candy,name_fr,Bonbon Racaillou,
geodude-candy,name_de,Kleinstein-Bonbon,
geodude-candy,name_es,Caramelo Geodude,
geodude-candy,name_it,Caramella Geodude,
geodude-candy,name_ko,꼬마돌의사탕,
ponyta-candy,name_fr,Bonbon Ponyta,
ponyta-candy,name_de,Ponita-Bonbon,
ponyta-candy,name_es,Caramelo Ponyta,
ponyta-candy,name_it,Caramella Ponyta,
ponyta-candy,name_ko,포니타의사탕,
slowpoke-candy,name_fr,Bonbon Ramoloss,
slowpoke-candy,name_de,Flegmon-Bonbon,
slowpoke-candy,name_es,Caramelo Slowpoke,
slowpoke-candy,name_it,Caramella Slowpoke,
slowpoke-candy,name_ko,야돈의사탕,
magnemite-candy,name_fr,Bonbon Magnéti,
magnemite-candy,name_de,Magnetilo-Bonbon,
magnemite-candy,name_es,Caramelo Magnemite,
magnemite-candy,name_it,Caramella Magnemite,
magnemite-candy,name_ko,코일의사탕,
farfetchd-candy,name_en,Farfetch’d Candy,Farfetch'd Candy
farfetchd-candy,name_fr,Bonbon Canarticho,
farfetchd-candy,name_de,Porenta-Bonbon,
farfetchd-candy,name_es,Caramelo Farfetch’d,
farfetchd-candy,name_it,Caramella Farfetch’d,
farfetchd-candy,name_ko,파오리의사탕,
doduo-candy,name_fr,Bonbon Doduo,
doduo-candy,name_de,Dodu-Bonbon,
doduo-candy,name_es,Caramelo Doduo,
doduo-candy,name_it,Caramella Doduo,
doduo-candy,name_ko,두두의사탕,
seel-candy,name_fr,Bonbon Otaria,
seel-candy,name_de,Jurob-Bonbon,
seel-candy,name_es,Caramelo Seel,
seel-candy,name_it,Caramella Seel,
seel-candy,name_ko,쥬쥬의사탕,
grimer-candy,name_fr,Bonbon Tadmorv,
grimer-candy,name_de,Sleima-Bonbon,
grimer-candy,name_es,Caramelo Grimer,
grimer-candy,name_it,Caramella Grimer,
grimer-candy,name_ko,질퍽이의사탕,
shellder-candy,name_fr,Bonbon Kokiyas,
shellder-candy,name_de,Muschas-Bonbon,
shellder-candy,name_es,Caramelo Shellder,
shellder-candy,name_it,Caramella Shellder,
shellder-candy,name_ko,셀러의사탕,
gastly-candy,name_fr,Bonbon Fantominus,
gastly-candy,name_de,Nebulak-Bonbon,
gastly-candy,name_es,Caramelo Gastly,
gastly-candy,name_it,Caramella Gastly,
gastly-candy,name_ko,고오스의사탕,
onix-candy,name_fr,Bonbon Onix,
onix-candy,name_de,Onix-Bonbon,
onix-candy,name_es,Caramelo Onix,
onix-candy,name_it,Caramella Onix,
onix-candy,name_ko,롱스톤의사탕,
drowzee-candy,name_fr,Bonbon Soporifik,
drowzee-candy,name_de,Traumato-Bonbon,
drowzee-candy,name_es,Caramelo Drowzee,
drowzee-candy,name_it,Caramella Drowzee,
drowzee-candy,name_ko,슬리프의사탕,
krabby-candy,name_fr,Bonbon Krabby,
krabby-candy,name_de,Krabby-Bonbon,
krabby-candy,name_es,Caramelo Krabby,
krabby-candy,name_it,Caramella Krabby,
krabby-candy,name_ko,크랩의사탕,
voltorb-candy,name_fr,Bonbon Voltorbe,
voltorb-candy,name_de,Voltobal-Bonbon,
voltorb-candy,name_es,Caramelo Voltorb,
voltorb-candy,name_it,Caramella Voltorb,
voltorb-candy,name_ko,찌리리공의사탕,
exeggcute-candy,name_fr,Bonbon Noeunoeuf,
exeggcute-candy,name_de,Owei-Bonbon,
exeggcute-candy,name_es,Caramelo Exeggcute,
exeggcute-candy,name_it,Caramella Exeggcute,
exeggcute-candy,name_ko,아라리의사탕,
cubone-candy,name_fr,Bonbon Osselait,
cubone-candy,name_de,Tragosso-Bonbon,
cubone-candy,name_es,Caramelo Cubone,
cubone-candy,name_it,Caramella Cubone,
cubone-candy,name_ko,탕구리의사탕,
hitmonlee-candy,name_fr,Bonbon Kicklee,
hitmonlee-candy,name_de,Kicklee-Bonbon,
hitmonlee-candy,name_es,Caramelo Hitmonlee,
hitmonlee-candy,name_it,Caramella Hitmonlee,
hitmonlee-candy,name_ko,시라소몬의사탕,
hitmonchan-candy,name_fr,Bonbon Tygnon,
hitmonchan-candy,name_de,Nockchan-Bonbon,
hitmonchan-candy,name_es,Caramelo Hitmonchan,
hitmonchan-candy,name_it,Caramella Hitmonchan,
hitmonchan-candy,name_ko,홍수몬의사탕,
lickitung-candy,name_fr,Bonbon Excelangue,
lickitung-candy,name_de,Schlurp-Bonbon,
lickitung-candy,name_es,Caramelo Lickitung,
lickitung-candy,name_it,Caramella Lickitung,
lickitung-candy,name_ko,내루미의사탕,
koffing-candy,name_fr,Bonbon Smogo,
koffing-candy,name_de,Smogon-Bonbon,
koffing-candy,name_es,Caramelo Koffing,
koffing-candy,name_it,Caramella Koffing,
koffing-candy,name_ko,또가스의사탕,
rhyhorn-candy,name_fr,Bonbon Rhinocorne,
rhyhorn-candy,name_de,Rihorn-Bonbon,
rhyhorn-candy,name_es,Caramelo Rhyhorn,
rhyhorn-candy,name_it,Caramella Rhyhorn,
rhyhorn-candy,name_ko,뿔카노의사탕,
chansey-candy,name_fr,Bonbon Leveinard,
chansey-candy,name_de,Chaneira-Bonbon,
chansey-candy,name_es,Caramelo Chansey,
chansey-candy,name_it,Caramella Chansey,
chansey-candy,name_ko,럭키의사탕,
tangela-candy,name_fr,Bonbon Saquedeneu,
tangela-candy,name_de,Tangela-Bonbon,
tangela-candy,name_es,Caramelo Tangela,
tangela-candy,name_it,Caramella Tangela,
tangela-candy,name_ko,덩쿠리의사탕,
kangaskhan-candy,name_fr,Bonbon Kangourex,
kangaskhan-candy,name_de,Kangama-Bonbon,
kangaskhan-candy,name_es,Caramelo Kangaskhan,
kangaskhan-candy,name_it,Caramella Kangaskhan,
kangaskhan-candy,name_ko,캥카의사탕,
horsea-candy,name_fr,Bonbon Hypotrempe,
horsea-candy,name_de,Seeper-Bonbon,
horsea-candy,name_es,Caramelo Horsea,
horsea-candy,name_it,Caramella Horsea,
horsea-candy,name_ko,쏘드라의사탕,
goldeen-candy,name_fr,Bonbon Poissirène,
goldeen-candy,name_de,Goldini-Bonbon,
goldeen-candy,name_es,Caramelo Goldeen,
goldeen-candy,name_it,Caramella Goldeen,
goldeen-candy,name_ko,콘치의사탕,
staryu-candy,name_fr,Bonbon Stari,
staryu-candy,name_de,Sterndu-Bonbon,
staryu-candy,name_es,Caramelo Staryu,
staryu-candy,name_it,Caramella Staryu,
staryu-candy,name_ko,별가사리의사탕,
mr-mime-candy,name_fr,Bonbon M. Mime,
mr-mime-candy,name_de,Pantimos-Bonbon,
mr-mime-candy,name_es,Caramelo Mr. Mime,
mr-mime-candy,name_it,Caramella Mr. Mime,
mr-mime-candy,name_ko,마임맨의사탕,
scyther-candy,name_fr,Bonbon Insécateur,
scyther-candy,name_de,Sichlor-Bonbon,
scyther-candy,name_es,Caramelo Scyther,
scyther-candy,name_it,Caramella Scyther,
scyther-candy,name_ko,스라크의사탕,
jynx-candy,name_fr,Bonbon Lippoutou,
jynx-candy,name_de,Rossana-Bonbon,
jynx-candy,name_es,Caramelo Jynx,
jynx-candy,name_it,Caramella Jynx,
jynx-candy,name_ko,루주라의사탕,
electabuzz-candy,name_fr,Bonbon Élektek,
electabuzz-candy,name_de,Elektek-Bonbon,
electabuzz-candy,name_es,Caramelo Electabuzz,
electabuzz-candy,name_it,Caramella Electabuzz,
electabuzz-candy,name_ko,에레브의사탕,
pinsir-candy,name_fr,Bonbon Scarabrute,
pinsir-candy,name_de,Pinsir-Bonbon,
pinsir-candy,name_es,Caramelo Pinsir,
pinsir-candy,name_it,Caramella Pinsir,
pinsir-candy,name_ko,쁘사이저의사탕,
tauros-candy,name_fr,Bonbon Tauros,
tauros-candy,name_de,Tauros-Bonbon,
tauros-candy,name_es,Caramelo Tauros,
tauros-candy,name_it,Caramella Tauros,
tauros-candy,name_ko,켄타로스의사탕,
magikarp-candy,name_fr,Bonbon Magicarpe,
magikarp-candy,name_de,Karpador-Bonbon,
magikarp-candy,name_es,Caramelo Magikarp,
magikarp-candy,name_it,Caramella Magikarp,
magikarp-candy,name_ko,잉어킹의사탕,
lapras-candy,name_fr,Bonbon Lokhlass,
lapras-candy,name_de,Lapras-Bonbon,
lapras-candy,name_es,Caramelo Lapras,
lapras-candy,name_it,Caramella Lapras,
lapras-candy,name_ko,라프라스의사탕,
ditto-candy,name_fr,Bonbon Métamorph,
ditto-candy,name_de,Ditto-Bonbon,
ditto-candy,name_es,Caramelo Ditto,
ditto-candy,name_it,Caramella Ditto,
ditto-candy,name_ko,메타몽의사탕,
eevee-candy,name_fr,Bonbon Évoli,
eevee-candy,name_de,Evoli-Bonbon,
eevee-candy,name_es,Caramelo Eevee,
eevee-candy,name_it,Caramella Eevee,
eevee-candy,name_ko,이브이의사탕,
porygon-candy,name_fr,Bonbon Porygon,
porygon-candy,name_de,Porygon-Bonbon,
porygon-candy,name_es,Caramelo Porygon,
porygon-candy,name_it,Caramella Porygon,
porygon-candy,name_ko,폴리곤의사탕,
omanyte-candy,name_fr,Bonbon Amonita,
omanyte-candy,name_de,Amonitas-Bonbon,
omanyte-candy,name_es,Caramelo Omanyte,
omanyte-candy,name_it,Caramella Omanyte,
omanyte-candy,name_ko,암나이트의사탕,
kabuto-candy,name_fr,Bonbon Kabuto,
kabuto-candy,name_de,Kabuto-Bonbon,
kabuto-candy,name_es,Caramelo Kabuto,
kabuto-candy,name_it,Caramella Kabuto,
kabuto-candy,name_ko,투구의사탕,
aerodactyl-candy,name_fr,Bonbon Ptéra,
aerodactyl-candy,name_de,Aerodactyl-Bonbon,
aerodactyl-candy,name_es,Caramelo Aerodactyl,
aerodactyl-candy,name_it,Caramella Aerodactyl,
aerodactyl-candy,name_ko,프테라의사탕,
snorlax-candy,name_fr,Bonbon Ronflex,
snorlax-candy,name_de,Relaxo-Bonbon,
snorlax-candy,name_es,Caramelo Snorlax,
snorlax-candy,name_it,Caramella Snorlax,
snorlax-candy,name_ko,잠만보의사탕,
articuno-candy,name_fr,Bonbon Artikodin,
articuno-candy,name_de,Arktos-Bonbon,
articuno-candy,name_es,Caramelo Articuno,
articuno-candy,name_it,Caramella Articuno,
articuno-candy,name_ko,프리져의사탕,
zapdos-candy,name_fr,Bonbon Électhor,
zapdos-candy,name_de,Zapdos-Bonbon,
zapdos-candy,name_es,Caramelo Zapdos,
zapdos-candy,name_it,Caramella Zapdos,
zapdos-candy,name_ko,썬더의사탕,
moltres-candy,name_fr,Bonbon Sulfura,
moltres-candy,name_de,Lavados-Bonbon,
moltres-candy,name_es,Caramelo Moltres,
moltres-candy,name_it,Caramella Moltres,
moltres-candy,name_ko,파이어의사탕,
dratini-candy,name_fr,Bonbon Minidraco,
dratini-candy,name_de,Dratini-Bonbon,
dratini-candy,name_es,Caramelo Dratini,
dratini-candy,name_it,Caramella Dratini,
dratini-candy,name_ko,미뇽의사탕,
mewtwo-candy,name_fr,Bonbon Mewtwo,
mewtwo-candy,name_de,Mewtu-Bonbon,
mewtwo-candy,name_es,Caramelo Mewtwo,
mewtwo-candy,name_it,Caramella Mewtwo,
mewtwo-candy,name_ko,뮤츠의사탕,
mew-candy,name_fr,Bonbon Mew,
mew-candy,name_de,Mew-Bonbon,
mew-candy,name_es,Caramelo Mew,
mew-candy,name_it,Caramella Mew,
mew-candy,name_ko,뮤의사탕,
meltan-candy,name_fr,Bonbon Meltan,
meltan-candy,name_de,Meltan-Bonbon,
meltan-candy,name_es,Caramelo Meltan,
meltan-candy,name_it,Caramella Meltan,
meltan-candy,name_ko,멜탄의사탕,
magmar-candy,name_fr,Bonbon Magmar,
magmar-candy,name_de,Magmar-Bonbon,
magmar-candy,name_es,Caramelo Magmar,
magmar-candy,name_it,Caramella Magmar,
magmar-candy,name_ko,마그마의사탕,
pokemon-box-link,introduced_generation,8,7
dynamax-band,name_es,Maximuñequera,Maximuñequera / Muñequera Dinamax
fishing-rod--galar,_row_,present,missing
bobs-food-tin,name_en,Bob’s Food Tin,Bob's Food Tin
bachs-food-tin,name_en,Bach’s Food Tin,Bach's Food Tin
fossilized-bird,fling_power,100,
fossilized-fish,fling_power,100,
fossilized-drake,fling_power,100,
fossilized-dino,fling_power,100,
dynamax-candy,fling_power,30,
tr00,name_fr,DT00,
tr00,name_de,TP00,
tr00,name_es,DT00,
tr00,name_it,DT00,
tr00,name_ko,기술레코드00,
tr01,name_fr,DT01,
tr01,name_de,TP01,
tr01,name_es,DT01,
tr01,name_it,DT01,
tr01,name_ko,기술레코드01,
tr02,name_fr,DT02,
tr02,name_de,TP02,
tr02,name_es,DT02,
tr02,name_it,DT02,
tr02,name_ko,기술레코드02,
tr03,name_fr,DT03,
tr03,name_de,TP03,
tr03,name_es,DT03,
tr03,name_it,DT03,
tr03,name_ko,기술레코드03,
tr04,name_fr,DT04,
tr04,name_de,TP04,
tr04,name_es,DT04,
tr04,name_it,DT04,
tr04,name_ko,기술레코드04,
tr05,name_fr,DT05,
tr05,name_de,TP05,
tr05,name_es,DT05,
tr05,name_it,DT05,
tr05,name_ko,기술레코드05,
tr06,name_fr,DT06,
tr06,name_de,TP06,
tr06,name_es,DT06,
tr06,name_it,DT06,
tr06,name_ko,기술레코드06,
tr07,name_fr,DT07,
tr07,name_de,TP07,
tr07,name_es,DT07,
tr07,name_it,DT07,
tr07,name_ko,기술레코드07,
tr08,name_fr,DT08,
tr08,name_de,TP08,
tr08,name_es,DT08,
tr08,name_it,DT08,
tr08,name_ko,기술레코드08,
tr09,name_fr,DT09,
tr09,name_de,TP09,
tr09,name_es,DT09,
tr09,name_it,DT09,
tr09,name_ko,기술레코드09,
tr10,name_fr,DT10,
tr10,name_de,TP10,
tr10,name_es,DT10,
tr10,name_it,DT10,
tr10,name_ko,기술레코드10,
tr11,name_fr,DT11,
tr11,name_de,TP11,
tr11,name_es,DT11,
tr11,name_it,DT11,
tr11,name_ko,기술레코드11,
tr12,name_fr,DT12,
tr12,name_de,TP12,
tr12,name_es,DT12,
tr12,name_it,DT12,
tr12,name_ko,기술레코드12,
tr13,name_fr,DT13,
tr13,name_de,TP13,
tr13,name_es,DT13,
tr13,name_it,DT13,
tr13,name_ko,기술레코드13,
tr14,name_fr,DT14,
tr14,name_de,TP14,
tr14,name_es,DT14,
tr14,name_it,DT14,
tr14,name_ko,기술레코드14,
tr15,name_fr,DT15,
tr15,name_de,TP15,
tr15,name_es,DT15,
tr15,name_it,DT15,
tr15,name_ko,기술레코드15,
tr16,name_fr,DT16,
tr16,name_de,TP16,
tr16,name_es,DT16,
tr16,name_it,DT16,
tr16,name_ko,기술레코드16,
tr17,name_fr,DT17,
tr17,name_de,TP17,
tr17,name_es,DT17,
tr17,name_it,DT17,
tr17,name_ko,기술레코드17,
tr18,name_fr,DT18,
tr18,name_de,TP18,
tr18,name_es,DT18,
tr18,name_it,DT18,
tr18,name_ko,기술레코드18,
tr19,name_fr,DT19,
tr19,name_de,TP19,
tr19,name_es,DT19,
tr19,name_it,DT19,
tr19,name_ko,기술레코드19,
tr20,name_fr,DT20,
tr20,name_de,TP20,
tr20,name_es,DT20,
tr20,name_it,DT20,
tr20,name_ko,기술레코드20,
tr21,name_fr,DT21,
tr21,name_de,TP21,
tr21,name_es,DT21,
tr21,name_it,DT21,
tr21,name_ko,기술레코드21,
tr22,name_fr,DT22,
tr22,name_de,TP22,
tr22,name_es,DT22,
tr22,name_it,DT22,
tr22,name_ko,기술레코드22,
tr23,name_fr,DT23,
tr23,name_de,TP23,
tr23,name_es,DT23,
tr23,name_it,DT23,
tr23,name_ko,기술레코드23,
tr24,name_fr,DT24,
tr24,name_de,TP24,
tr24,name_es,DT24,
tr24,name_it,DT24,
tr24,name_ko,기술레코드24,
tr25,name_fr,DT25,
tr25,name_de,TP25,
tr25,name_es,DT25,
tr25,name_it,DT25,
tr25,name_ko,기술레코드25,
tr26,name_fr,DT26,
tr26,name_de,TP26,
tr26,name_es,DT26,
tr26,name_it,DT26,
tr26,name_ko,기술레코드26,
tr27,name_fr,DT27,
tr27,name_de,TP27,
tr27,name_es,DT27,
tr27,name_it,DT27,
tr27,name_ko,기술레코드27,
tr28,name_fr,DT28,
tr28,name_de,TP28,
tr28,name_es,DT28,
tr28,name_it,DT28,
tr28,name_ko,기술레코드28,
tr29,name_fr,DT29,
tr29,name_de,TP29,
tr29,name_es,DT29,
tr29,name_it,DT29,
tr29,name_ko,기술레코드29,
tr30,name_fr,DT30,
tr30,name_de,TP30,
tr30,name_es,DT30,
tr30,name_it,DT30,
tr30,name_ko,기술레코드30,
tr31,name_fr,DT31,
tr31,name_de,TP31,
tr31,name_es,DT31,
tr31,name_it,DT31,
tr31,name_ko,기술레코드31,
tr32,name_fr,DT32,
tr32,name_de,TP32,
tr32,name_es,DT32,
tr32,name_it,DT32,
tr32,name_ko,기술레코드32,
tr33,name_fr,DT33,
tr33,name_de,TP33,
tr33,name_es,DT33,
tr33,name_it,DT33,
tr33,name_ko,기술레코드33,
tr34,name_fr,DT34,
tr34,name_de,TP34,
tr34,name_es,DT34,
tr34,name_it,DT34,
tr34,name_ko,기술레코드34,
tr35,name_fr,DT35,
tr35,name_de,TP35,
tr35,name_es,DT35,
tr35,name_it,DT35,
tr35,name_ko,기술레코드35,
tr36,name_fr,DT36,
tr36,name_de,TP36,
tr36,name_es,DT36,
tr36,name_it,DT36,
tr36,name_ko,기술레코드36,
tr37,name_fr,DT37,
tr37,name_de,TP37,
tr37,name_es,DT37,
tr37,name_it,DT37,
tr37,name_ko,기술레코드37,
tr38,name_fr,DT38,
tr38,name_de,TP38,
tr38,name_es,DT38,
tr38,name_it,DT38,
tr38,name_ko,기술레코드38,
tr39,name_fr,DT39,
tr39,name_de,TP39,
tr39,name_es,DT39,
tr39,name_it,DT39,
tr39,name_ko,기술레코드39,
tr40,name_fr,DT40,
tr40,name_de,TP40,
tr40,name_es,DT40,
tr40,name_it,DT40,
tr40,name_ko,기술레코드40,
tr41,name_fr,DT41,
tr41,name_de,TP41,
tr41,name_es,DT41,
tr41,name_it,DT41,
tr41,name_ko,기술레코드41,
tr42,name_fr,DT42,
tr42,name_de,TP42,
tr42,name_es,DT42,
tr42,name_it,DT42,
tr42,name_ko,기술레코드42,
tr43,name_fr,DT43,
tr43,name_de,TP43,
tr43,name_es,DT43,
tr43,name_it,DT43,
tr43,name_ko,기술레코드43,
tr44,name_fr,DT44,
tr44,name_de,TP44,
tr44,name_es,DT44,
tr44,name_it,DT44,
tr44,name_ko,기술레코드44,
tr45,name_fr,DT45,
tr45,name_de,TP45,
tr45,name_es,DT45,
tr45,name_it,DT45,
tr45,name_ko,기술레코드45,
tr46,name_fr,DT46,
tr46,name_de,TP46,
tr46,name_es,DT46,
tr46,name_it,DT46,
tr46,name_ko,기술레코드46,
tr47,name_fr,DT47,
tr47,name_de,TP47,
tr47,name_es,DT47,
tr47,name_it,DT47,
tr47,name_ko,기술레코드47,
tr48,name_fr,DT48,
tr48,name_de,TP48,
tr48,name_es,DT48,
tr48,name_it,DT48,
tr48,name_ko,기술레코드48,
tr49,name_fr,DT49,
tr49,name_de,TP49,
tr49,name_es,DT49,
tr49,name_it,DT49,
tr49,name_ko,기술레코드49,
tr50,name_fr,DT50,
tr50,name_de,TP50,
tr50,name_es,DT50,
tr50,name_it,DT50,
tr50,name_ko,기술레코드50,
tr51,name_fr,DT51,
tr51,name_de,TP51,
tr51,name_es,DT51,
tr51,name_it,DT51,
tr51,name_ko,기술레코드51,
tr52,name_fr,DT52,
tr52,name_de,TP52,
tr52,name_es,DT52,
tr52,name_it,DT52,
tr52,name_ko,기술레코드52,
tr53,name_fr,DT53,
tr53,name_de,TP53,
tr53,name_es,DT53,
tr53,name_it,DT53,
tr53,name_ko,기술레코드53,
tr54,name_fr,DT54,
tr54,name_de,TP54,
tr54,name_es,DT54,
tr54,name_it,DT54,
tr54,name_ko,기술레코드54,
tr55,name_fr,DT55,
tr55,name_de,TP55,
tr55,name_es,DT55,
tr55,name_it,DT55,
tr55,name_ko,기술레코드55,
tr56,name_fr,DT56,
tr56,name_de,TP56,
tr56,name_es,DT56,
tr56,name_it,DT56,
tr56,name_ko,기술레코드56,
tr57,name_fr,DT57,
tr57,name_de,TP57,
tr57,name_es,DT57,
tr57,name_it,DT57,
tr57,name_ko,기술레코드57,
tr58,name_fr,DT58,
tr58,name_de,TP58,
tr58,name_es,DT58,
tr58,name_it,DT58,
tr58,name_ko,기술레코드58,
tr59,name_fr,DT59,
tr59,name_de,TP59,
tr59,name_es,DT59,
tr59,name_it,DT59,
tr59,name_ko,기술레코드59,
tr60,name_fr,DT60,
tr60,name_de,TP60,
tr60,name_es,DT60,
tr60,name_it,DT60,
tr60,name_ko,기술레코드60,
tr61,name_fr,DT61,
tr61,name_de,TP61,
tr61,name_es,DT61,
tr61,name_it,DT61,
tr61,name_ko,기술레코드61,
tr62,name_fr,DT62,
tr62,name_de,TP62,
tr62,name_es,DT62,
tr62,name_it,DT62,
tr62,name_ko,기술레코드62,
tr63,name_fr,DT63,
tr63,name_de,TP63,
tr63,name_es,DT63,
tr63,name_it,DT63,
tr63,name_ko,기술레코드63,
tr64,name_fr,DT64,
tr64,name_de,TP64,
tr64,name_es,DT64,
tr64,name_it,DT64,
tr64,name_ko,기술레코드64,
tr65,name_fr,DT65,
tr65,name_de,TP65,
tr65,name_es,DT65,
tr65,name_it,DT65,
tr65,name_ko,기술레코드65,
tr66,name_fr,DT66,
tr66,name_de,TP66,
tr66,name_es,DT66,
tr66,name_it,DT66,
tr66,name_ko,기술레코드66,
tr67,name_fr,DT67,
tr67,name_de,TP67,
tr67,name_es,DT67,
tr67,name_it,DT67,
tr67,name_ko,기술레코드67,
tr68,name_fr,DT68,
tr68,name_de,TP68,
tr68,name_es,DT68,
tr68,name_it,DT68,
tr68,name_ko,기술레코드68,
tr69,name_fr,DT69,
tr69,name_de,TP69,
tr69,name_es,DT69,
tr69,name_it,DT69,
tr69,name_ko,기술레코드69,
tr70,name_fr,DT70,
tr70,name_de,TP70,
tr70,name_es,DT70,
tr70,name_it,DT70,
tr70,name_ko,기술레코드70,
tr71,name_fr,DT71,
tr71,name_de,TP71,
tr71,name_es,DT71,
tr71,name_it,DT71,
tr71,name_ko,기술레코드71,
tr72,name_fr,DT72,
tr72,name_de,TP72,
tr72,name_es,DT72,
tr72,name_it,DT72,
tr72,name_ko,기술레코드72,
tr73,name_fr,DT73,
tr73,name_de,TP73,
tr73,name_es,DT73,
tr73,name_it,DT73,
tr73,name_ko,기술레코드73,
tr74,name_fr,DT74,
tr74,name_de,TP74,
tr74,name_es,DT74,
tr74,name_it,DT74,
tr74,name_ko,기술레코드74,
tr75,name_fr,DT75,
tr75,name_de,TP75,
tr75,name_es,DT75,
tr75,name_it,DT75,
tr75,name_ko,기술레코드75,
tr76,name_fr,DT76,
tr76,name_de,TP76,
tr76,name_es,DT76,
tr76,name_it,DT76,
tr76,name_ko,기술레코드76,
tr77,name_fr,DT77,
tr77,name_de,TP77,
tr77,name_es,DT77,
tr77,name_it,DT77,
tr77,name_ko,기술레코드77,
tr78,name_fr,DT78,
tr78,name_de,TP78,
tr78,name_es,DT78,
tr78,name_it,DT78,
tr78,name_ko,기술레코드78,
tr79,name_fr,DT79,
tr79,name_de,TP79,
tr79,name_es,DT79,
tr79,name_it,DT79,
tr79,name_ko,기술레코드79,
tr80,name_fr,DT80,
tr80,name_de,TP80,
tr80,name_es,DT80,
tr80,name_it,DT80,
tr80,name_ko,기술레코드80,
tr81,name_fr,DT81,
tr81,name_de,TP81,
tr81,name_es,DT81,
tr81,name_it,DT81,
tr81,name_ko,기술레코드81,
tr82,name_fr,DT82,
tr82,name_de,TP82,
tr82,name_es,DT82,
tr82,name_it,DT82,
tr82,name_ko,기술레코드82,
tr83,name_fr,DT83,
tr83,name_de,TP83,
tr83,name_es,DT83,
tr83,name_it,DT83,
tr83,name_ko,기술레코드83,
tr84,name_fr,DT84,
tr84,name_de,TP84,
tr84,name_es,DT84,
tr84,name_it,DT84,
tr84,name_ko,기술레코드84,
tr85,name_fr,DT85,
tr85,name_de,TP85,
tr85,name_es,DT85,
tr85,name_it,DT85,
tr85,name_ko,기술레코드85,
tr86,name_fr,DT86,
tr86,name_de,TP86,
tr86,name_es,DT86,
tr86,name_it,DT86,
tr86,name_ko,기술레코드86,
tr87,name_fr,DT87,
tr87,name_de,TP87,
tr87,name_es,DT87,
tr87,name_it,DT87,
tr87,name_ko,기술레코드87,
tr88,name_fr,DT88,
tr88,name_de,TP88,
tr88,name_es,DT88,
tr88,name_it,DT88,
tr88,name_ko,기술레코드88,
tr89,name_fr,DT89,
tr89,name_de,TP89,
tr89,name_es,DT89,
tr89,name_it,DT89,
tr89,name_ko,기술레코드89,
tr90,name_fr,DT90,
tr90,name_de,TP90,
tr90,name_es,DT90,
tr90,name_it,DT90,
tr90,name_ko,기술레코드90,
tr91,name_fr,DT91,
tr91,name_de,TP91,
tr91,name_es,DT91,
tr91,name_it,DT91,
tr91,name_ko,기술레코드91,
tr92,name_fr,DT92,
tr92,name_de,TP92,
tr92,name_es,DT92,
tr92,name_it,DT92,
tr92,name_ko,기술레코드92,
tr93,name_fr,DT93,
tr93,name_de,TP93,
tr93,name_es,DT93,
tr93,name_it,DT93,
tr93,name_ko,기술레코드93,
tr94,name_fr,DT94,
tr94,name_de,TP94,
tr94,name_es,DT94,
tr94,name_it,DT94,
tr94,name_ko,기술레코드94,
tr95,name_fr,DT95,
tr95,name_de,TP95,
tr95,name_es,DT95,
tr95,name_it,DT95,
tr95,name_ko,기술레코드95,
tr96,name_fr,DT96,
tr96,name_de,TP96,
tr96,name_es,DT96,
tr96,name_it,DT96,
tr96,name_ko,기술레코드96,
tr97,name_fr,DT97,
tr97,name_de,TP97,
tr97,name_es,DT97,
tr97,name_it,DT97,
tr97,name_ko,기술레코드97,
tr98,name_fr,DT98,
tr98,name_de,TP98,
tr98,name_es,DT98,
tr98,name_it,DT98,
tr98,name_ko,기술레코드98,
tr99,name_fr,DT99,
tr99,name_de,TP99,
tr99,name_es,DT99,
tr99,name_it,DT99,
tr99,name_ko,기술레코드99,
tm00,name_fr,CT00,
tm00,name_de,TM00,
tm00,name_es,MT00,
tm00,name_it,MT00,
