version_group/machine,column,pokeapi,pokedb
the-indigo-disk/tm126,_row_,present,missing
the-indigo-disk/tm127,_row_,present,missing
the-indigo-disk/tm128,_row_,present,missing
the-indigo-disk/tm129,_row_,present,missing
the-indigo-disk/tm130,_row_,present,missing
the-indigo-disk/tm131,_row_,present,missing
the-indigo-disk/tm133,_row_,present,missing
the-indigo-disk/tm135,_row_,present,missing
the-indigo-disk/tm136,_row_,present,missing
the-indigo-disk/tm137,_row_,present,missing
the-indigo-disk/tm138,_row_,present,missing
the-indigo-disk/tm139,_row_,present,missing
the-indigo-disk/tm140,_row_,present,missing
the-indigo-disk/tm141,_row_,present,missing
the-indigo-disk/tm142,_row_,present,missing
the-indigo-disk/tm143,_row_,present,missing
the-indigo-disk/tm144,_row_,present,missing
the-indigo-disk/tm145,_row_,present,missing
the-indigo-disk/tm146,_row_,present,missing
the-indigo-disk/tm148,_row_,present,missing
the-indigo-disk/tm149,_row_,present,missing
the-indigo-disk/tm150,_row_,present,missing
the-indigo-disk/tm153,_row_,present,missing
the-indigo-disk/tm154,_row_,present,missing
the-indigo-disk/tm155,_row_,present,missing
the-indigo-disk/tm156,_row_,present,missing
the-indigo-disk/tm157,_row_,present,missing
the-indigo-disk/tm158,_row_,present,missing
the-indigo-disk/tm159,_row_,present,missing
the-indigo-disk/tm160,_row_,present,missing
the-indigo-disk/tm161,_row_,present,missing
the-indigo-disk/tm162,_row_,present,missing
the-indigo-disk/tm163,_row_,present,missing
the-indigo-disk/tm164,_row_,present,missing
the-indigo-disk/tm165,_row_,present,missing
the-indigo-disk/tm166,_row_,present,missing
the-indigo-disk/tm168,_row_,present,missing
the-indigo-disk/tm171,_row_,present,missing
the-indigo-disk/tm174,_row_,present,missing
the-indigo-disk/tm181,_row_,present,missing
the-indigo-disk/tm185,_row_,present,missing
the-indigo-disk/tm186,_row_,present,missing
the-indigo-disk/tm187,_row_,present,missing
the-indigo-disk/tm188,_row_,present,missing
the-indigo-disk/tm190,_row_,present,missing
the-indigo-disk/tm193,_row_,present,missing
the-indigo-disk/tm194,_row_,present,missing
the-indigo-disk/tm196,_row_,present,missing
the-indigo-disk/tm197,_row_,present,missing
the-indigo-disk/tm200,_row_,present,missing
the-indigo-disk/tm201,_row_,present,missing
the-indigo-disk/tm202,_row_,present,missing
the-indigo-disk/tm203,_row_,present,missing
the-indigo-disk/tm204,_row_,present,missing
the-indigo-disk/tm205,_row_,present,missing
the-indigo-disk/tm206,_row_,present,missing
the-indigo-disk/tm207,_row_,present,missing
the-indigo-disk/tm208,_row_,present,missing
the-indigo-disk/tm209,_row_,present,missing
the-indigo-disk/tm210,_row_,present,missing
the-indigo-disk/tm211,_row_,present,missing
the-indigo-disk/tm212,_row_,present,missing
the-indigo-disk/tm213,_row_,present,missing
the-indigo-disk/tm214,_row_,present,missing
the-indigo-disk/tm215,_row_,present,missing
the-indigo-disk/tm216,_row_,present,missing
the-indigo-disk/tm217,_row_,present,missing
the-indigo-disk/tm218,_row_,present,missing
the-indigo-disk/tm219,_row_,present,missing
the-indigo-disk/tm220,_row_,present,missing
the-indigo-disk/tm221,_row_,present,missing
the-indigo-disk/tm222,_row_,present,missing
the-indigo-disk/tm223,_row_,present,missing
the-indigo-disk/tm224,_row_,present,missing
the-indigo-disk/tm225,_row_,present,missing
the-indigo-disk/tm226,_row_,present,missing
the-indigo-disk/tm227,_row_,present,missing
the-indigo-disk/tm228,_row_,present,missing
the-indigo-disk/tm229,_row_,present,missing
legends-za/tm1,_row_,present,missing
legends-za/tm2,_row_,present,missing
legends-za/tm4,_row_,present,missing
legends-za/tm5,_row_,present,missing
legends-za/tm10,_row_,present,missing
legends-za/tm13,_row_,present,missing
legends-za/tm18,_row_,present,missing
legends-za/tm20,_row_,present,missing
legends-za/tm24,_row_,present,missing
legends-za/tm25,_row_,present,missing
legends-za/tm26,_row_,present,missing
legends-za/tm30,_row_,present,missing
legends-za/tm34,_row_,present,missing
legends-za/tm36,_row_,present,missing
legends-za/tm38,_row_,present,missing
legends-za/tm40,_row_,present,missing
legends-za/tm50,_row_,present,missing
legends-za/tm54,_row_,present,missing
mega-dimension/tm108,_row_,present,missing
mega-dimension/tm109,_row_,present,missing
mega-dimension/tm110,_row_,present,missing
mega-dimension/tm111,_row_,present,missing
mega-dimension/tm112,_row_,present,missing
mega-dimension/tm113,_row_,present,missing
mega-dimension/tm114,_row_,present,missing
mega-dimension/tm115,_row_,present,missing
mega-dimension/tm116,_row_,present,missing
mega-dimension/tm117,_row_,present,missing
mega-dimension/tm118,_row_,present,missing
mega-dimension/tm119,_row_,present,missing
mega-dimension/tm120,_row_,present,missing
mega-dimension/tm121,_row_,present,missing
mega-dimension/tm122,_row_,present,missing
mega-dimension/tm123,_row_,present,missing
mega-dimension/tm124,_row_,present,missing
mega-dimension/tm125,_row_,present,missing
mega-dimension/tm126,_row_,present,missing
mega-dimension/tm127,_row_,present,missing
mega-dimension/tm128,_row_,present,missing
mega-dimension/tm129,_row_,present,missing
mega-dimension/tm130,_row_,present,missing
mega-dimension/tm131,_row_,present,missing
mega-dimension/tm132,_row_,present,missing
mega-dimension/tm133,_row_,present,missing
mega-dimension/tm134,_row_,present,missing
mega-dimension/tm135,_row_,present,missing
mega-dimension/tm136,_row_,present,missing
mega-dimension/tm137,_row_,present,missing
mega-dimension/tm138,_row_,present,missing
mega-dimension/tm139,_row_,present,missing
mega-dimension/tm140,_row_,present,missing
mega-dimension/tm141,_row_,present,missing
mega-dimension/tm142,_row_,present,missing
mega-dimension/tm143,_row_,present,missing
mega-dimension/tm144,_row_,present,missing
mega-dimension/tm145,_row_,present,missing
mega-dimension/tm146,_row_,present,missing
mega-dimension/tm147,_row_,present,missing
mega-dimension/tm148,_row_,present,missing
mega-dimension/tm149,_row_,present,missing
mega-dimension/tm150,_row_,present,missing
mega-dimension/tm151,_row_,present,missing
mega-dimension/tm152,_row_,present,missing
mega-dimension/tm153,_row_,present,missing
mega-dimension/tm154,_row_,present,missing
mega-dimension/tm155,_row_,present,missing
mega-dimension/tm156,_row_,present,missing
mega-dimension/tm157,_row_,present,missing
mega-dimension/tm158,_row_,present,missing
mega-dimension/tm159,_row_,present,missing
mega-dimension/tm160,_row_,present,missing
alpha-sapphire/hm3,_row_,missing,present
black/hm3,_row_,missing,present
black-2/hm3,_row_,missing,present
blue/hm3,_row_,missing,present
diamond/hm3,_row_,missing,present
firered/hm3,_row_,missing,present
gold/hm3,_row_,missing,present
heartgold/hm3,_row_,missing,present
leafgreen/hm3,_row_,missing,present
omega-ruby/hm3,_row_,missing,present
pearl/hm3,_row_,missing,present
red/hm3,_row_,missing,present
ruby/hm3,_row_,missing,present
sapphire/hm3,_row_,missing,present
silver/hm3,_row_,missing,present
soulsilver/hm3,_row_,missing,present
white/hm3,_row_,missing,present
white-2/hm3,_row_,missing,present
x/hm3,_row_,missing,present
y/hm3,_row_,missing,present
diamond/hm8,_row_,missing,present
heartgold/hm8,_row_,missing,present
pearl/hm8,_row_,missing,present
ruby/hm8,_row_,missing,present
sapphire/hm8,_row_,missing,present
soulsilver/hm8,_row_,missing,present
scarlet-violet/tm0,_row_,missing,present
brilliant-diamond-shining-pearl/tm3,_row_,missing,present
brilliant-diamond-shining-pearl/tm6,_row_,missing,present
brilliant-diamond-shining-pearl/tm7,_row_,missing,present
brilliant-diamond-shining-pearl/tm8,_row_,missing,present
brilliant-diamond-shining-pearl/tm11,_row_,missing,present
brilliant-diamond-shining-pearl/tm12,_row_,missing,present
black/tm13,_row_,missing,present
blue/tm13,_row_,missing,present
brilliant-diamond/tm13,_row_,missing,present
diamond/tm13,_row_,missing,present
gold/tm13,_row_,missing,present
lets-go-eevee/tm13,_row_,missing,present
lets-go-pikachu/tm13,_row_,missing,present
moon/tm13,_row_,missing,present
pearl/tm13,_row_,missing,present
red/tm13,_row_,missing,present
ruby/tm13,_row_,missing,present
sapphire/tm13,_row_,missing,present
scarlet/tm13,_row_,missing,present
shield/tm13,_row_,missing,present
shining-pearl/tm13,_row_,missing,present
silver/tm13,_row_,missing,present
sun/tm13,_row_,missing,present
sword/tm13,_row_,missing,present
ultra-moon/tm13,_row_,missing,present
ultra-sun/tm13,_row_,missing,present
violet/tm13,_row_,missing,present
white/tm13,_row_,missing,present
x/tm13,_row_,missing,present
y/tm13,_row_,missing,present
brilliant-diamond-shining-pearl/tm14,_row_,missing,present
brilliant-diamond-shining-pearl/tm15,_row_,missing,present
brilliant-diamond-shining-pearl/tm16,_row_,missing,present
brilliant-diamond-shining-pearl/tm17,_row_,missing,present
brilliant-diamond-shining-pearl/tm19,_row_,missing,present
blue/tm20,_row_,missing,present
firered/tm20,_row_,missing,present
gold/tm20,_row_,missing,present
leafgreen/tm20,_row_,missing,present
red/tm20,_row_,missing,present
ruby/tm20,_row_,missing,present
sapphire/tm20,_row_,missing,present
scarlet/tm20,_row_,missing,present
shield/tm20,_row_,missing,present
silver/tm20,_row_,missing,present
sword/tm20,_row_,missing,present
violet/tm20,_row_,missing,present
brilliant-diamond-shining-pearl/tm22,_row_,missing,present
brilliant-diamond-shining-pearl/tm23,_row_,missing,present
brilliant-diamond-shining-pearl/tm32,_row_,missing,present
brilliant-diamond-shining-pearl/tm33,_row_,missing,present
brilliant-diamond-shining-pearl/tm35,_row_,missing,present
brilliant-diamond-shining-pearl/tm37,_row_,missing,present
brilliant-diamond-shining-pearl/tm39,_row_,missing,present
brilliant-diamond-shining-pearl/tm42,_row_,missing,present
brilliant-diamond-shining-pearl/tm44,_row_,missing,present
brilliant-diamond-shining-pearl/tm45,_row_,missing,present
brilliant-diamond-shining-pearl/tm46,_row_,missing,present
brilliant-diamond-shining-pearl/tm47,_row_,missing,present
black/tm48,_row_,missing,present
blue/tm48,_row_,missing,present
diamond/tm48,_row_,missing,present
gold/tm48,_row_,missing,present
moon/tm48,_row_,missing,present
pearl/tm48,_row_,missing,present
red/tm48,_row_,missing,present
ruby/tm48,_row_,missing,present
sapphire/tm48,_row_,missing,present
scarlet/tm48,_row_,missing,present
shield/tm48,_row_,missing,present
silver/tm48,_row_,missing,present
sun/tm48,_row_,missing,present
sword/tm48,_row_,missing,present
ultra-moon/tm48,_row_,missing,present
ultra-sun/tm48,_row_,missing,present
violet/tm48,_row_,missing,present
white/tm48,_row_,missing,present
x/tm48,_row_,missing,present
y/tm48,_row_,missing,present
brilliant-diamond-shining-pearl/tm50,_row_,missing,present
brilliant-diamond-shining-pearl/tm51,_row_,missing,present
brilliant-diamond-shining-pearl/tm52,_row_,missing,present
brilliant-diamond-shining-pearl/tm53,_row_,missing,present
brilliant-diamond-shining-pearl/tm55,_row_,missing,present
brilliant-diamond-shining-pearl/tm56,_row_,missing,present
brilliant-diamond-shining-pearl/tm57,_row_,missing,present
brilliant-diamond-shining-pearl/tm59,_row_,missing,present
brilliant-diamond-shining-pearl/tm60,_row_,missing,present
brilliant-diamond-shining-pearl/tm61,_row_,missing,present
brilliant-diamond-shining-pearl/tm64,_row_,missing,present
brilliant-diamond-shining-pearl/tm65,_row_,missing,present
brilliant-diamond-shining-pearl/tm66,_row_,missing,present
brilliant-diamond-shining-pearl/tm67,_row_,missing,present
brilliant-diamond-shining-pearl/tm69,_row_,missing,present
brilliant-diamond-shining-pearl/tm70,_row_,missing,present
brilliant-diamond-shining-pearl/tm71,_row_,missing,present
brilliant-diamond-shining-pearl/tm72,_row_,missing,present
brilliant-diamond-shining-pearl/tm73,_row_,missing,present
brilliant-diamond-shining-pearl/tm74,_row_,missing,present
brilliant-diamond-shining-pearl/tm75,_row_,missing,present
brilliant-diamond-shining-pearl/tm76,_row_,missing,present
brilliant-diamond-shining-pearl/tm77,_row_,missing,present
brilliant-diamond-shining-pearl/tm79,_row_,missing,present
brilliant-diamond-shining-pearl/tm80,_row_,missing,present
brilliant-diamond-shining-pearl/tm81,_row_,missing,present
brilliant-diamond-shining-pearl/tm82,_row_,missing,present
brilliant-diamond-shining-pearl/tm84,_row_,missing,present
brilliant-diamond-shining-pearl/tm85,_row_,missing,present
brilliant-diamond-shining-pearl/tm86,_row_,missing,present
brilliant-diamond-shining-pearl/tm87,_row_,missing,present
brilliant-diamond-shining-pearl/tm89,_row_,missing,present
brilliant-diamond-shining-pearl/tm90,_row_,missing,present
brilliant-diamond-shining-pearl/tm91,_row_,missing,present
alpha-sapphire/tm92,_row_,missing,present
black/tm92,_row_,missing,present
black-2/tm92,_row_,missing,present
brilliant-diamond/tm92,_row_,missing,present
diamond/tm92,_row_,missing,present
heartgold/tm92,_row_,missing,present
moon/tm92,_row_,missing,present
omega-ruby/tm92,_row_,missing,present
pearl/tm92,_row_,missing,present
scarlet/tm92,_row_,missing,present
shield/tm92,_row_,missing,present
shining-pearl/tm92,_row_,missing,present
soulsilver/tm92,_row_,missing,present
sun/tm92,_row_,missing,present
sword/tm92,_row_,missing,present
ultra-moon/tm92,_row_,missing,present
ultra-sun/tm92,_row_,missing,present
violet/tm92,_row_,missing,present
white/tm92,_row_,missing,present
white-2/tm92,_row_,missing,present
x/tm92,_row_,missing,present
y/tm92,_row_,missing,present
brilliant-diamond-shining-pearl/tm93,_row_,missing,present
brilliant-diamond-shining-pearl/tm94,_row_,missing,present
brilliant-diamond-shining-pearl/tm95,_row_,missing,present
brilliant-diamond-shining-pearl/tm96,_row_,missing,present
brilliant-diamond-shining-pearl/tm97,_row_,missing,present
brilliant-diamond-shining-pearl/tm98,_row_,missing,present
brilliant-diamond-shining-pearl/tm99,_row_,missing,present
brilliant-diamond-shining-pearl/tm100,_row_,missing,present
scarlet/tm101,_row_,missing,present
violet/tm101,_row_,missing,present
scarlet/tm102,_row_,missing,present
violet/tm102,_row_,missing,present
legends-za/tm108,_row_,missing,present
scarlet/tm108,_row_,missing,present
violet/tm108,_row_,missing,present
legends-za/tm109,_row_,missing,present
legends-za/tm110,_row_,missing,present
legends-za/tm111,_row_,missing,present
scarlet/tm111,_row_,missing,present
violet/tm111,_row_,missing,present
legends-za/tm112,_row_,missing,present
legends-za/tm113,_row_,missing,present
legends-za/tm114,_row_,missing,present
legends-za/tm115,_row_,missing,present
legends-za/tm116,_row_,missing,present
legends-za/tm117,_row_,missing,present
legends-za/tm118,_row_,missing,present
legends-za/tm119,_row_,missing,present
legends-za/tm120,_row_,missing,present
legends-za/tm121,_row_,missing,present
legends-za/tm122,_row_,missing,present
legends-za/tm123,_row_,missing,present
legends-za/tm124,_row_,missing,present
legends-za/tm125,_row_,missing,present
scarlet/tm125,_row_,missing,present
violet/tm125,_row_,missing,present
legends-za/tm126,_row_,missing,present
legends-za/tm127,_row_,missing,present
legends-za/tm128,_row_,missing,present
legends-za/tm129,_row_,missing,present
scarlet/tm129,_row_,missing,present
violet/tm129,_row_,missing,present
legends-za/tm130,_row_,missing,present
legends-za/tm131,_row_,missing,present
legends-za/tm132,_row_,missing,present
legends-za/tm133,_row_,missing,present
legends-za/tm134,_row_,missing,present
legends-za/tm135,_row_,missing,present
legends-za/tm136,_row_,missing,present
legends-za/tm137,_row_,missing,present
legends-za/tm138,_row_,missing,present
legends-za/tm139,_row_,missing,present
legends-za/tm140,_row_,missing,present
legends-za/tm141,_row_,missing,present
legends-za/tm142,_row_,missing,present
legends-za/tm143,_row_,missing,present
legends-za/tm144,_row_,missing,present
scarlet/tm144,_row_,missing,present
violet/tm144,_row_,missing,present
legends-za/tm145,_row_,missing,present
legends-za/tm146,_row_,missing,present
legends-za/tm147,_row_,missing,present
legends-za/tm148,_row_,missing,present
legends-za/tm149,_row_,missing,present
scarlet/tm149,_row_,missing,present
violet/tm149,_row_,missing,present
legends-za/tm150,_row_,missing,present
legends-za/tm151,_row_,missing,present
legends-za/tm152,_row_,missing,present
legends-za/tm153,_row_,missing,present
legends-za/tm154,_row_,missing,present
legends-za/tm155,_row_,missing,present
legends-za/tm156,_row_,missing,present
legends-za/tm157,_row_,missing,present
scarlet/tm157,_row_,missing,present
violet/tm157,_row_,missing,present
legends-za/tm158,_row_,missing,present
legends-za/tm159,_row_,missing,present
scarlet/tm159,_row_,missing,present
violet/tm159,_row_,missing,present
legends-za/tm160,_row_,missing,present
scarlet/tm162,_row_,missing,present
violet/tm162,_row_,missing,present
scarlet/tm169,_row_,missing,present
violet/tm169,_row_,missing,present
scarlet/tm177,_row_,missing,present
violet/tm177,_row_,missing,present
scarlet/tm180,_row_,missing,present
violet/tm180,_row_,missing,present
scarlet/tm193,_row_,missing,present
violet/tm193,_row_,missing,present
scarlet/tm198,_row_,missing,present
violet/tm198,_row_,missing,present
scarlet/tm208,_row_,missing,present
violet/tm208,_row_,missing,present
scarlet/tm210,_row_,missing,present
violet/tm210,_row_,missing,present
scarlet/tm211,_row_,missing,present
violet/tm211,_row_,missing,present
scarlet/tm229,_row_,missing,present
violet/tm229,_row_,missing,present
