form/version_group/method/move,column,pokeapi,pokedb
poliwag/red-green-japan/level-up/bubble,_row_,present,missing
poliwag/red-green-japan/level-up/hypnosis,_row_,present,missing
poliwag/red-green-japan/level-up/water-gun,_row_,present,missing
poliwag/red-green-japan/level-up/double-slap,_row_,present,missing
poliwag/red-green-japan/level-up/body-slam,_row_,present,missing
poliwag/red-green-japan/level-up/amnesia,_row_,present,missing
poliwag/red-green-japan/level-up/hydro-pump,_row_,present,missing
poliwag/red-green-japan/machine/body-slam,_row_,present,missing
poliwag/red-green-japan/machine/take-down,_row_,present,missing
poliwag/red-green-japan/machine/double-edge,_row_,present,missing
poliwag/red-green-japan/machine/water-gun,_row_,present,missing
poliwag/red-green-japan/machine/surf,_row_,present,missing
poliwag/red-green-japan/machine/ice-beam,_row_,present,missing
poliwag/red-green-japan/machine/blizzard,_row_,present,missing
poliwag/red-green-japan/machine/bubble-beam,_row_,present,missing
poliwag/red-green-japan/machine/toxic,_row_,present,missing
poliwag/red-green-japan/machine/psychic,_row_,present,missing
poliwag/red-green-japan/machine/rage,_row_,present,missing
poliwag/red-green-japan/machine/mimic,_row_,present,missing
poliwag/red-green-japan/machine/double-team,_row_,present,missing
poliwag/red-green-japan/machine/bide,_row_,present,missing
poliwag/red-green-japan/machine/skull-bash,_row_,present,missing
poliwag/red-green-japan/machine/psywave,_row_,present,missing
poliwag/red-green-japan/machine/rest,_row_,present,missing
poliwag/red-green-japan/machine/substitute,_row_,present,missing
poliwag/blue-japan/level-up/bubble,_row_,present,missing
poliwag/blue-japan/level-up/hypnosis,_row_,present,missing
poliwag/blue-japan/level-up/water-gun,_row_,present,missing
poliwag/blue-japan/level-up/double-slap,_row_,present,missing
poliwag/blue-japan/level-up/body-slam,_row_,present,missing
poliwag/blue-japan/level-up/amnesia,_row_,present,missing
poliwag/blue-japan/level-up/hydro-pump,_row_,present,missing
poliwag/blue-japan/machine/body-slam,_row_,present,missing
poliwag/blue-japan/machine/take-down,_row_,present,missing
poliwag/blue-japan/machine/double-edge,_row_,present,missing
poliwag/blue-japan/machine/water-gun,_row_,present,missing
poliwag/blue-japan/machine/surf,_row_,present,missing
poliwag/blue-japan/machine/ice-beam,_row_,present,missing
poliwag/blue-japan/machine/blizzard,_row_,present,missing
poliwag/blue-japan/machine/bubble-beam,_row_,present,missing
poliwag/blue-japan/machine/toxic,_row_,present,missing
poliwag/blue-japan/machine/psychic,_row_,present,missing
poliwag/blue-japan/machine/rage,_row_,present,missing
poliwag/blue-japan/machine/mimic,_row_,present,missing
poliwag/blue-japan/machine/double-team,_row_,present,missing
poliwag/blue-japan/machine/bide,_row_,present,missing
poliwag/blue-japan/machine/skull-bash,_row_,present,missing
poliwag/blue-japan/machine/psywave,_row_,present,missing
poliwag/blue-japan/machine/rest,_row_,present,missing
poliwag/blue-japan/machine/substitute,_row_,present,missing
poliwhirl/yellow/level-up/water-gun,level,19,1
poliwhirl/yellow/level-up/hypnosis,level,16,1
poliwhirl/gold-silver/level-up/water-gun,level,13,1
poliwhirl/gold-silver/level-up/hypnosis,level,7,1
poliwhirl/crystal/level-up/water-gun,level,13,1
poliwhirl/crystal/level-up/hypnosis,level,7,1
poliwhirl/ruby-sapphire/level-up/water-gun,level,13,1
poliwhirl/emerald/level-up/water-gun,level,13,1
poliwhirl/emerald/level-up/hypnosis,level,7,1
poliwhirl/colosseum/level-up/water-gun,level,13,1
poliwhirl/colosseum/level-up/hypnosis,level,7,1
poliwhirl/omega-ruby-alpha-sapphire/level-up/water-gun,level,5,1
poliwhirl/red-green-japan/level-up/water-gun,_row_,present,missing
poliwhirl/red-green-japan/level-up/hypnosis,_row_,present,missing
poliwhirl/red-green-japan/level-up/bubble,_row_,present,missing
poliwhirl/red-green-japan/level-up/double-slap,_row_,present,missing
poliwhirl/red-green-japan/level-up/body-slam,_row_,present,missing
poliwhirl/red-green-japan/level-up/amnesia,_row_,present,missing
poliwhirl/red-green-japan/level-up/hydro-pump,_row_,present,missing
poliwhirl/red-green-japan/machine/mega-punch,_row_,present,missing
poliwhirl/red-green-japan/machine/mega-kick,_row_,present,missing
poliwhirl/red-green-japan/machine/body-slam,_row_,present,missing
poliwhirl/red-green-japan/machine/take-down,_row_,present,missing
poliwhirl/red-green-japan/machine/double-edge,_row_,present,missing
poliwhirl/red-green-japan/machine/water-gun,_row_,present,missing
poliwhirl/red-green-japan/machine/surf,_row_,present,missing
poliwhirl/red-green-japan/machine/ice-beam,_row_,present,missing
poliwhirl/red-green-japan/machine/blizzard,_row_,present,missing
poliwhirl/red-green-japan/machine/bubble-beam,_row_,present,missing
poliwhirl/red-green-japan/machine/submission,_row_,present,missing
poliwhirl/red-green-japan/machine/counter,_row_,present,missing
poliwhirl/red-green-japan/machine/seismic-toss,_row_,present,missing
poliwhirl/red-green-japan/machine/strength,_row_,present,missing
poliwhirl/red-green-japan/machine/earthquake,_row_,present,missing
poliwhirl/red-green-japan/machine/fissure,_row_,present,missing
poliwhirl/red-green-japan/machine/toxic,_row_,present,missing
poliwhirl/red-green-japan/machine/psychic,_row_,present,missing
poliwhirl/red-green-japan/machine/rage,_row_,present,missing
poliwhirl/red-green-japan/machine/mimic,_row_,present,missing
poliwhirl/red-green-japan/machine/double-team,_row_,present,missing
poliwhirl/red-green-japan/machine/bide,_row_,present,missing
poliwhirl/red-green-japan/machine/metronome,_row_,present,missing
poliwhirl/red-green-japan/machine/skull-bash,_row_,present,missing
poliwhirl/red-green-japan/machine/psywave,_row_,present,missing
poliwhirl/red-green-japan/machine/rest,_row_,present,missing
poliwhirl/red-green-japan/machine/substitute,_row_,present,missing
poliwhirl/blue-japan/level-up/water-gun,_row_,present,missing
poliwhirl/blue-japan/level-up/hypnosis,_row_,present,missing
poliwhirl/blue-japan/level-up/bubble,_row_,present,missing
poliwhirl/blue-japan/level-up/double-slap,_row_,present,missing
poliwhirl/blue-japan/level-up/body-slam,_row_,present,missing
poliwhirl/blue-japan/level-up/amnesia,_row_,present,missing
poliwhirl/blue-japan/level-up/hydro-pump,_row_,present,missing
poliwhirl/blue-japan/machine/mega-punch,_row_,present,missing
poliwhirl/blue-japan/machine/mega-kick,_row_,present,missing
poliwhirl/blue-japan/machine/body-slam,_row_,present,missing
poliwhirl/blue-japan/machine/take-down,_row_,present,missing
poliwhirl/blue-japan/machine/double-edge,_row_,present,missing
poliwhirl/blue-japan/machine/water-gun,_row_,present,missing
poliwhirl/blue-japan/machine/surf,_row_,present,missing
poliwhirl/blue-japan/machine/ice-beam,_row_,present,missing
poliwhirl/blue-japan/machine/blizzard,_row_,present,missing
poliwhirl/blue-japan/machine/bubble-beam,_row_,present,missing
poliwhirl/blue-japan/machine/submission,_row_,present,missing
poliwhirl/blue-japan/machine/counter,_row_,present,missing
poliwhirl/blue-japan/machine/seismic-toss,_row_,present,missing
poliwhirl/blue-japan/machine/strength,_row_,present,missing
poliwhirl/blue-japan/machine/earthquake,_row_,present,missing
poliwhirl/blue-japan/machine/fissure,_row_,present,missing
poliwhirl/blue-japan/machine/toxic,_row_,present,missing
poliwhirl/blue-japan/machine/psychic,_row_,present,missing
poliwhirl/blue-japan/machine/rage,_row_,present,missing
poliwhirl/blue-japan/machine/mimic,_row_,present,missing
poliwhirl/blue-japan/machine/double-team,_row_,present,missing
poliwhirl/blue-japan/machine/bide,_row_,present,missing
poliwhirl/blue-japan/machine/metronome,_row_,present,missing
poliwhirl/blue-japan/machine/skull-bash,_row_,present,missing
poliwhirl/blue-japan/machine/psywave,_row_,present,missing
poliwhirl/blue-japan/machine/rest,_row_,present,missing
poliwhirl/blue-japan/machine/substitute,_row_,present,missing
poliwrath/red-blue/level-up/water-gun,level,19,1
poliwrath/red-blue/level-up/hypnosis,level,16,1
poliwrath/gold-silver/level-up/submission,level,35,1
poliwrath/ruby-sapphire/level-up/submission,level,35,1
poliwrath/emerald/level-up/submission,level,35,1
poliwrath/sun-moon/level-up/circle-throw,level,53,1
poliwrath/ultra-sun-ultra-moon/level-up/submission,level,1,0
poliwrath/sword-shield/level-up/submission,level,1,0
poliwrath/brilliant-diamond-shining-pearl/level-up/submission,level,1,0
poliwrath/red-green-japan/level-up/double-slap,_row_,present,missing
poliwrath/red-green-japan/level-up/body-slam,_row_,present,missing
poliwrath/red-green-japan/level-up/water-gun,_row_,present,missing
poliwrath/red-green-japan/level-up/hypnosis,_row_,present,missing
poliwrath/red-green-japan/machine/mega-punch,_row_,present,missing
poliwrath/red-green-japan/machine/mega-kick,_row_,present,missing
poliwrath/red-green-japan/machine/body-slam,_row_,present,missing
poliwrath/red-green-japan/machine/take-down,_row_,present,missing
poliwrath/red-green-japan/machine/double-edge,_row_,present,missing
poliwrath/red-green-japan/machine/water-gun,_row_,present,missing
poliwrath/red-green-japan/machine/surf,_row_,present,missing
poliwrath/red-green-japan/machine/ice-beam,_row_,present,missing
poliwrath/red-green-japan/machine/blizzard,_row_,present,missing
poliwrath/red-green-japan/machine/bubble-beam,_row_,present,missing
poliwrath/red-green-japan/machine/hyper-beam,_row_,present,missing
poliwrath/red-green-japan/machine/submission,_row_,present,missing
poliwrath/red-green-japan/machine/counter,_row_,present,missing
poliwrath/red-green-japan/machine/seismic-toss,_row_,present,missing
poliwrath/red-green-japan/machine/strength,_row_,present,missing
poliwrath/red-green-japan/machine/earthquake,_row_,present,missing
poliwrath/red-green-japan/machine/fissure,_row_,present,missing
poliwrath/red-green-japan/machine/toxic,_row_,present,missing
poliwrath/red-green-japan/machine/psychic,_row_,present,missing
poliwrath/red-green-japan/machine/rage,_row_,present,missing
poliwrath/red-green-japan/machine/mimic,_row_,present,missing
poliwrath/red-green-japan/machine/double-team,_row_,present,missing
poliwrath/red-green-japan/machine/bide,_row_,present,missing
poliwrath/red-green-japan/machine/metronome,_row_,present,missing
poliwrath/red-green-japan/machine/skull-bash,_row_,present,missing
poliwrath/red-green-japan/machine/psywave,_row_,present,missing
poliwrath/red-green-japan/machine/rest,_row_,present,missing
poliwrath/red-green-japan/machine/substitute,_row_,present,missing
poliwrath/blue-japan/level-up/double-slap,_row_,present,missing
poliwrath/blue-japan/level-up/body-slam,_row_,present,missing
poliwrath/blue-japan/level-up/water-gun,_row_,present,missing
poliwrath/blue-japan/level-up/hypnosis,_row_,present,missing
poliwrath/blue-japan/machine/mega-punch,_row_,present,missing
poliwrath/blue-japan/machine/mega-kick,_row_,present,missing
poliwrath/blue-japan/machine/body-slam,_row_,present,missing
poliwrath/blue-japan/machine/take-down,_row_,present,missing
poliwrath/blue-japan/machine/double-edge,_row_,present,missing
poliwrath/blue-japan/machine/water-gun,_row_,present,missing
poliwrath/blue-japan/machine/surf,_row_,present,missing
poliwrath/blue-japan/machine/ice-beam,_row_,present,missing
poliwrath/blue-japan/machine/blizzard,_row_,present,missing
poliwrath/blue-japan/machine/bubble-beam,_row_,present,missing
poliwrath/blue-japan/machine/hyper-beam,_row_,present,missing
poliwrath/blue-japan/machine/submission,_row_,present,missing
poliwrath/blue-japan/machine/counter,_row_,present,missing
poliwrath/blue-japan/machine/seismic-toss,_row_,present,missing
poliwrath/blue-japan/machine/strength,_row_,present,missing
poliwrath/blue-japan/machine/earthquake,_row_,present,missing
poliwrath/blue-japan/machine/fissure,_row_,present,missing
poliwrath/blue-japan/machine/toxic,_row_,present,missing
poliwrath/blue-japan/machine/psychic,_row_,present,missing
poliwrath/blue-japan/machine/rage,_row_,present,missing
poliwrath/blue-japan/machine/mimic,_row_,present,missing
poliwrath/blue-japan/machine/double-team,_row_,present,missing
poliwrath/blue-japan/machine/bide,_row_,present,missing
poliwrath/blue-japan/machine/metronome,_row_,present,missing
poliwrath/blue-japan/machine/skull-bash,_row_,present,missing
poliwrath/blue-japan/machine/psywave,_row_,present,missing
poliwrath/blue-japan/machine/rest,_row_,present,missing
poliwrath/blue-japan/machine/substitute,_row_,present,missing
abra/legends-arceus/level-up/teleport,_row_,present,missing
abra/red-green-japan/level-up/teleport,_row_,present,missing
abra/red-green-japan/machine/mega-punch,_row_,present,missing
abra/red-green-japan/machine/mega-kick,_row_,present,missing
abra/red-green-japan/machine/body-slam,_row_,present,missing
abra/red-green-japan/machine/take-down,_row_,present,missing
abra/red-green-japan/machine/double-edge,_row_,present,missing
abra/red-green-japan/machine/submission,_row_,present,missing
abra/red-green-japan/machine/counter,_row_,present,missing
abra/red-green-japan/machine/seismic-toss,_row_,present,missing
abra/red-green-japan/machine/thunder-wave,_row_,present,missing
abra/red-green-japan/machine/toxic,_row_,present,missing
abra/red-green-japan/machine/psychic,_row_,present,missing
abra/red-green-japan/machine/rage,_row_,present,missing
abra/red-green-japan/machine/teleport,_row_,present,missing
abra/red-green-japan/machine/mimic,_row_,present,missing
abra/red-green-japan/machine/double-team,_row_,present,missing
abra/red-green-japan/machine/reflect,_row_,present,missing
abra/red-green-japan/machine/bide,_row_,present,missing
abra/red-green-japan/machine/metronome,_row_,present,missing
abra/red-green-japan/machine/skull-bash,_row_,present,missing
abra/red-green-japan/machine/flash,_row_,present,missing
abra/red-green-japan/machine/psywave,_row_,present,missing
abra/red-green-japan/machine/rest,_row_,present,missing
abra/red-green-japan/machine/tri-attack,_row_,present,missing
abra/red-green-japan/machine/substitute,_row_,present,missing
abra/blue-japan/level-up/teleport,_row_,present,missing
abra/blue-japan/machine/mega-punch,_row_,present,missing
abra/blue-japan/machine/mega-kick,_row_,present,missing
abra/blue-japan/machine/body-slam,_row_,present,missing
abra/blue-japan/machine/take-down,_row_,present,missing
abra/blue-japan/machine/double-edge,_row_,present,missing
abra/blue-japan/machine/submission,_row_,present,missing
abra/blue-japan/machine/counter,_row_,present,missing
abra/blue-japan/machine/seismic-toss,_row_,present,missing
abra/blue-japan/machine/thunder-wave,_row_,present,missing
abra/blue-japan/machine/toxic,_row_,present,missing
abra/blue-japan/machine/psychic,_row_,present,missing
abra/blue-japan/machine/rage,_row_,present,missing
abra/blue-japan/machine/teleport,_row_,present,missing
abra/blue-japan/machine/mimic,_row_,present,missing
abra/blue-japan/machine/double-team,_row_,present,missing
abra/blue-japan/machine/reflect,_row_,present,missing
abra/blue-japan/machine/bide,_row_,present,missing
abra/blue-japan/machine/metronome,_row_,present,missing
abra/blue-japan/machine/skull-bash,_row_,present,missing
abra/blue-japan/machine/flash,_row_,present,missing
abra/blue-japan/machine/psywave,_row_,present,missing
abra/blue-japan/machine/rest,_row_,present,missing
abra/blue-japan/machine/tri-attack,_row_,present,missing
abra/blue-japan/machine/substitute,_row_,present,missing
kadabra/red-blue/level-up/disable,level,20,1
kadabra/red-blue/level-up/confusion,level,16,1
kadabra/gold-silver/level-up/confusion,level,16,1
kadabra/emerald/level-up/confusion,level,16,1
kadabra/platinum/level-up/confusion,level,16,1
kadabra/black-white/level-up/confusion,level,16,1
kadabra/omega-ruby-alpha-sapphire/level-up/confusion,level,16,1
kadabra/sword-shield/level-up/confusion,level,1,0
kadabra/brilliant-diamond-shining-pearl/level-up/confusion,level,1,0
kadabra/legends-arceus/level-up/confusion,_row_,present,missing
kadabra/legends-arceus/level-up/teleport,_row_,present,missing
kadabra/legends-arceus/level-up/hypnosis,_row_,present,missing
kadabra/legends-arceus/level-up/calm-mind,_row_,present,missing
kadabra/legends-arceus/level-up/psycho-cut,_row_,present,missing
kadabra/legends-arceus/level-up/zen-headbutt,_row_,present,missing
kadabra/legends-arceus/level-up/recover,_row_,present,missing
kadabra/legends-arceus/level-up/psychic,_row_,present,missing
kadabra/red-green-japan/level-up/disable,_row_,present,missing
kadabra/red-green-japan/level-up/confusion,_row_,present,missing
kadabra/red-green-japan/level-up/teleport,_row_,present,missing
kadabra/red-green-japan/level-up/psybeam,_row_,present,missing
kadabra/red-green-japan/level-up/recover,_row_,present,missing
kadabra/red-green-japan/level-up/psychic,_row_,present,missing
kadabra/red-green-japan/level-up/reflect,_row_,present,missing
kadabra/red-green-japan/machine/mega-punch,_row_,present,missing
kadabra/red-green-japan/machine/mega-kick,_row_,present,missing
kadabra/red-green-japan/machine/body-slam,_row_,present,missing
kadabra/red-green-japan/machine/take-down,_row_,present,missing
kadabra/red-green-japan/machine/double-edge,_row_,present,missing
kadabra/red-green-japan/machine/submission,_row_,present,missing
kadabra/red-green-japan/machine/counter,_row_,present,missing
kadabra/red-green-japan/machine/seismic-toss,_row_,present,missing
kadabra/red-green-japan/machine/thunder-wave,_row_,present,missing
kadabra/red-green-japan/machine/dig,_row_,present,missing
kadabra/red-green-japan/machine/toxic,_row_,present,missing
kadabra/red-green-japan/machine/psychic,_row_,present,missing
kadabra/red-green-japan/machine/rage,_row_,present,missing
kadabra/red-green-japan/machine/teleport,_row_,present,missing
kadabra/red-green-japan/machine/mimic,_row_,present,missing
kadabra/red-green-japan/machine/double-team,_row_,present,missing
kadabra/red-green-japan/machine/reflect,_row_,present,missing
kadabra/red-green-japan/machine/bide,_row_,present,missing
kadabra/red-green-japan/machine/metronome,_row_,present,missing
kadabra/red-green-japan/machine/skull-bash,_row_,present,missing
kadabra/red-green-japan/machine/flash,_row_,present,missing
kadabra/red-green-japan/machine/psywave,_row_,present,missing
kadabra/red-green-japan/machine/rest,_row_,present,missing
kadabra/red-green-japan/machine/tri-attack,_row_,present,missing
kadabra/red-green-japan/machine/substitute,_row_,present,missing
kadabra/blue-japan/level-up/disable,_row_,present,missing
kadabra/blue-japan/level-up/confusion,_row_,present,missing
kadabra/blue-japan/level-up/teleport,_row_,present,missing
kadabra/blue-japan/level-up/psybeam,_row_,present,missing
kadabra/blue-japan/level-up/recover,_row_,present,missing
kadabra/blue-japan/level-up/psychic,_row_,present,missing
kadabra/blue-japan/level-up/reflect,_row_,present,missing
kadabra/blue-japan/machine/mega-punch,_row_,present,missing
kadabra/blue-japan/machine/mega-kick,_row_,present,missing
kadabra/blue-japan/machine/body-slam,_row_,present,missing
kadabra/blue-japan/machine/take-down,_row_,present,missing
kadabra/blue-japan/machine/double-edge,_row_,present,missing
kadabra/blue-japan/machine/submission,_row_,present,missing
kadabra/blue-japan/machine/counter,_row_,present,missing
kadabra/blue-japan/machine/seismic-toss,_row_,present,missing
kadabra/blue-japan/machine/thunder-wave,_row_,present,missing
kadabra/blue-japan/machine/dig,_row_,present,missing
kadabra/blue-japan/machine/toxic,_row_,present,missing
kadabra/blue-japan/machine/psychic,_row_,present,missing
kadabra/blue-japan/machine/rage,_row_,present,missing
kadabra/blue-japan/machine/teleport,_row_,present,missing
kadabra/blue-japan/machine/mimic,_row_,present,missing
kadabra/blue-japan/machine/double-team,_row_,present,missing
kadabra/blue-japan/machine/reflect,_row_,present,missing
kadabra/blue-japan/machine/bide,_row_,present,missing
kadabra/blue-japan/machine/metronome,_row_,present,missing
kadabra/blue-japan/machine/skull-bash,_row_,present,missing
kadabra/blue-japan/machine/flash,_row_,present,missing
kadabra/blue-japan/machine/psywave,_row_,present,missing
kadabra/blue-japan/machine/rest,_row_,present,missing
kadabra/blue-japan/machine/tri-attack,_row_,present,missing
kadabra/blue-japan/machine/substitute,_row_,present,missing
alakazam/red-blue/level-up/disable,level,20,1
alakazam/red-blue/level-up/confusion,level,16,1
alakazam/gold-silver/level-up/confusion,level,16,1
alakazam/firered-leafgreen/level-up/confusion,level,16,1
alakazam/platinum/level-up/confusion,level,16,1
alakazam/colosseum/level-up/confusion,level,16,1
alakazam/xd/level-up/confusion,level,16,1
alakazam/black-2-white-2/level-up/confusion,level,16,1
alakazam/omega-ruby-alpha-sapphire/level-up/confusion,level,16,1
alakazam/legends-arceus/level-up/teleport,_row_,present,missing
alakazam/legends-arceus/level-up/hypnosis,_row_,present,missing
alakazam/legends-arceus/level-up/confusion,_row_,present,missing
alakazam/legends-arceus/level-up/calm-mind,_row_,present,missing
alakazam/legends-arceus/level-up/psycho-cut,_row_,present,missing
alakazam/legends-arceus/level-up/zen-headbutt,_row_,present,missing
alakazam/legends-arceus/level-up/recover,_row_,present,missing
alakazam/legends-arceus/level-up/psychic,_row_,present,missing
alakazam/red-green-japan/level-up/disable,_row_,present,missing
alakazam/red-green-japan/level-up/confusion,_row_,present,missing
alakazam/red-green-japan/level-up/teleport,_row_,present,missing
alakazam/red-green-japan/level-up/psybeam,_row_,present,missing
alakazam/red-green-japan/level-up/recover,_row_,present,missing
alakazam/red-green-japan/level-up/psychic,_row_,present,missing
alakazam/red-green-japan/level-up/reflect,_row_,present,missing
alakazam/red-green-japan/machine/mega-punch,_row_,present,missing
alakazam/red-green-japan/machine/mega-kick,_row_,present,missing
alakazam/red-green-japan/machine/body-slam,_row_,present,missing
alakazam/red-green-japan/machine/take-down,_row_,present,missing
alakazam/red-green-japan/machine/double-edge,_row_,present,missing
alakazam/red-green-japan/machine/hyper-beam,_row_,present,missing
alakazam/red-green-japan/machine/submission,_row_,present,missing
alakazam/red-green-japan/machine/counter,_row_,present,missing
alakazam/red-green-japan/machine/seismic-toss,_row_,present,missing
alakazam/red-green-japan/machine/thunder-wave,_row_,present,missing
alakazam/red-green-japan/machine/dig,_row_,present,missing
alakazam/red-green-japan/machine/toxic,_row_,present,missing
alakazam/red-green-japan/machine/psychic,_row_,present,missing
alakazam/red-green-japan/machine/rage,_row_,present,missing
alakazam/red-green-japan/machine/teleport,_row_,present,missing
alakazam/red-green-japan/machine/mimic,_row_,present,missing
alakazam/red-green-japan/machine/double-team,_row_,present,missing
alakazam/red-green-japan/machine/reflect,_row_,present,missing
alakazam/red-green-japan/machine/bide,_row_,present,missing
alakazam/red-green-japan/machine/metronome,_row_,present,missing
alakazam/red-green-japan/machine/skull-bash,_row_,present,missing
alakazam/red-green-japan/machine/flash,_row_,present,missing
alakazam/red-green-japan/machine/psywave,_row_,present,missing
alakazam/red-green-japan/machine/rest,_row_,present,missing
alakazam/red-green-japan/machine/tri-attack,_row_,present,missing
alakazam/red-green-japan/machine/substitute,_row_,present,missing
alakazam/blue-japan/level-up/disable,_row_,present,missing
alakazam/blue-japan/level-up/confusion,_row_,present,missing
alakazam/blue-japan/level-up/teleport,_row_,present,missing
alakazam/blue-japan/level-up/psybeam,_row_,present,missing
alakazam/blue-japan/level-up/recover,_row_,present,missing
alakazam/blue-japan/level-up/psychic,_row_,present,missing
alakazam/blue-japan/level-up/reflect,_row_,present,missing
alakazam/blue-japan/machine/mega-punch,_row_,present,missing
alakazam/blue-japan/machine/mega-kick,_row_,present,missing
alakazam/blue-japan/machine/body-slam,_row_,present,missing
alakazam/blue-japan/machine/take-down,_row_,present,missing
alakazam/blue-japan/machine/double-edge,_row_,present,missing
alakazam/blue-japan/machine/hyper-beam,_row_,present,missing
alakazam/blue-japan/machine/submission,_row_,present,missing
alakazam/blue-japan/machine/counter,_row_,present,missing
alakazam/blue-japan/machine/seismic-toss,_row_,present,missing
alakazam/blue-japan/machine/thunder-wave,_row_,present,missing
alakazam/blue-japan/machine/dig,_row_,present,missing
alakazam/blue-japan/machine/toxic,_row_,present,missing
alakazam/blue-japan/machine/psychic,_row_,present,missing
alakazam/blue-japan/machine/rage,_row_,present,missing
alakazam/blue-japan/machine/teleport,_row_,present,missing
alakazam/blue-japan/machine/mimic,_row_,present,missing
alakazam/blue-japan/machine/double-team,_row_,present,missing
alakazam/blue-japan/machine/reflect,_row_,present,missing
alakazam/blue-japan/machine/bide,_row_,present,missing
alakazam/blue-japan/machine/metronome,_row_,present,missing
alakazam/blue-japan/machine/skull-bash,_row_,present,missing
alakazam/blue-japan/machine/flash,_row_,present,missing
alakazam/blue-japan/machine/psywave,_row_,present,missing
alakazam/blue-japan/machine/rest,_row_,present,missing
alakazam/blue-japan/machine/tri-attack,_row_,present,missing
alakazam/blue-japan/machine/substitute,_row_,present,missing
machop/legends-arceus/level-up/tackle,_row_,present,missing
machop/legends-arceus/level-up/rock-smash,_row_,present,missing
machop/legends-arceus/level-up/bullet-punch,_row_,present,missing
machop/legends-arceus/level-up/double-hit,_row_,present,missing
machop/legends-arceus/level-up/mach-punch,_row_,present,missing
machop/legends-arceus/level-up/bulk-up,_row_,present,missing
machop/legends-arceus/level-up/double-edge,_row_,present,missing
machop/legends-arceus/level-up/close-combat,_row_,present,missing
machop/red-green-japan/level-up/karate-chop,_row_,present,missing
machop/red-green-japan/level-up/low-kick,_row_,present,missing
machop/red-green-japan/level-up/leer,_row_,present,missing
machop/red-green-japan/level-up/focus-energy,_row_,present,missing
machop/red-green-japan/level-up/seismic-toss,_row_,present,missing
machop/red-green-japan/level-up/submission,_row_,present,missing
machop/red-green-japan/machine/mega-punch,_row_,present,missing
machop/red-green-japan/machine/mega-kick,_row_,present,missing
machop/red-green-japan/machine/body-slam,_row_,present,missing
machop/red-green-japan/machine/take-down,_row_,present,missing
machop/red-green-japan/machine/double-edge,_row_,present,missing
machop/red-green-japan/machine/submission,_row_,present,missing
machop/red-green-japan/machine/counter,_row_,present,missing
machop/red-green-japan/machine/seismic-toss,_row_,present,missing
machop/red-green-japan/machine/strength,_row_,present,missing
machop/red-green-japan/machine/earthquake,_row_,present,missing
machop/red-green-japan/machine/fissure,_row_,present,missing
machop/red-green-japan/machine/dig,_row_,present,missing
machop/red-green-japan/machine/toxic,_row_,present,missing
machop/red-green-japan/machine/rage,_row_,present,missing
machop/red-green-japan/machine/mimic,_row_,present,missing
machop/red-green-japan/machine/double-team,_row_,present,missing
machop/red-green-japan/machine/bide,_row_,present,missing
machop/red-green-japan/machine/metronome,_row_,present,missing
machop/red-green-japan/machine/fire-blast,_row_,present,missing
machop/red-green-japan/machine/skull-bash,_row_,present,missing
machop/red-green-japan/machine/rest,_row_,present,missing
machop/red-green-japan/machine/rock-slide,_row_,present,missing
machop/red-green-japan/machine/substitute,_row_,present,missing
machop/blue-japan/level-up/karate-chop,_row_,present,missing
machop/blue-japan/level-up/low-kick,_row_,present,missing
machop/blue-japan/level-up/leer,_row_,present,missing
machop/blue-japan/level-up/focus-energy,_row_,present,missing
machop/blue-japan/level-up/seismic-toss,_row_,present,missing
machop/blue-japan/level-up/submission,_row_,present,missing
machop/blue-japan/machine/mega-punch,_row_,present,missing
machop/blue-japan/machine/mega-kick,_row_,present,missing
machop/blue-japan/machine/body-slam,_row_,present,missing
machop/blue-japan/machine/take-down,_row_,present,missing
machop/blue-japan/machine/double-edge,_row_,present,missing
machop/blue-japan/machine/submission,_row_,present,missing
machop/blue-japan/machine/counter,_row_,present,missing
machop/blue-japan/machine/seismic-toss,_row_,present,missing
machop/blue-japan/machine/strength,_row_,present,missing
machop/blue-japan/machine/earthquake,_row_,present,missing
machop/blue-japan/machine/fissure,_row_,present,missing
machop/blue-japan/machine/dig,_row_,present,missing
machop/blue-japan/machine/toxic,_row_,present,missing
machop/blue-japan/machine/rage,_row_,present,missing
machop/blue-japan/machine/mimic,_row_,present,missing
machop/blue-japan/machine/double-team,_row_,present,missing
machop/blue-japan/machine/bide,_row_,present,missing
machop/blue-japan/machine/metronome,_row_,present,missing
machop/blue-japan/machine/fire-blast,_row_,present,missing
machop/blue-japan/machine/skull-bash,_row_,present,missing
machop/blue-japan/machine/rest,_row_,present,missing
machop/blue-japan/machine/rock-slide,_row_,present,missing
machop/blue-japan/machine/substitute,_row_,present,missing
machoke/red-blue/level-up/low-kick,level,20,1
machoke/yellow/level-up/leer,level,25,1
machoke/yellow/level-up/low-kick,level,20,1
machoke/crystal/level-up/focus-energy,level,8,1
machoke/emerald/level-up/focus-energy,level,7,1
machoke/platinum/level-up/focus-energy,level,7,1
machoke/black-white/level-up/karate-chop,level,10,1
machoke/black-white/level-up/focus-energy,level,7,1
machoke/colosseum/level-up/focus-energy,level,7,1
machoke/black-2-white-2/level-up/karate-chop,level,10,1
machoke/black-2-white-2/level-up/focus-energy,level,7,1
machoke/omega-ruby-alpha-sapphire/level-up/karate-chop,level,7,1
machoke/omega-ruby-alpha-sapphire/level-up/focus-energy,level,3,1
