dex_number,column,pokeapi,pokedb
426,name_ja-roma,Fuwaride,Fuwaraido
427,name_ja-roma,Mimirol,Mimiroru
428,name_ja-roma,Mimilop,Mimiroppu
429,name_ja-roma,Mumargi,Mūmāji
430,name_ja-roma,Dongkarasu,Donkarasu
431,base_friendship_gen8,70,50
431,name_ja-roma,Nyarmar,Nyarumā
432,base_friendship_gen8,70,50
433,base_friendship_gen8,70,50
433,name_ja-roma,Lisyan,Rīshan
434,base_friendship_gen8,70,50
434,name_ja-roma,Skunpuu,Sukanpū
435,base_friendship_gen8,70,50
435,name_ja-roma,Skutank,Sukatanku
436,base_friendship_gen8,70,50
436,name_ja-roma,Dohmirror,Dōmirā
437,base_friendship_gen8,70,50
437,name_ja-roma,Dohtakun,Dōtakun
438,base_friendship_gen8,70,50
439,base_friendship_gen8,70,50
440,pct_male,0,???
441,name_ja-roma,Perap,Perappu
442,base_friendship_gen8,70,50
442,growth_rate,Medium Fast,Medium Slow
443,base_friendship_gen8,70,50
444,base_friendship_gen8,70,50
444,name_ja-roma,Gabite,Gabaito
445,base_friendship_gen8,70,50
445,base_experience,270,300
445,name_ja-roma,Gaburias,Gaburiasu
446,base_friendship_gen8,70,50
447,base_friendship_gen8,70,50
447,name_ja-roma,Riolu,Rioru
448,base_friendship_gen8,70,50
448,name_ja-roma,Lucario,Rukario
449,base_friendship_gen8,70,50
449,name_ja-roma,Hippopotas,Hipopotasu
450,base_friendship_gen8,70,50
450,name_ja-roma,Kabaldon,Kabarudon
451,base_friendship_gen8,70,50
451,name_ja-roma,Scorupi,Sukorupi
452,base_friendship_gen8,70,50
453,name_ja-roma,Gureggru,Guregguru
454,base_friendship_gen8,70,50
454,name_ja-roma,Dokurog,Dokuroggu
455,base_friendship_gen8,70,50
455,name_ja-roma,Muskippa,Masukippa
456,base_friendship_gen8,70,50
456,name_ja-roma,Keikouo,Keiko'uo
457,base_friendship_gen8,70,50
457,name_ja-roma,Neolant,Neoranto
458,base_friendship_gen8,70,50
459,base_friendship_gen8,70,50
460,base_friendship_gen8,70,50
460,name_ja-roma,Yukinooh,Yukinoō
461,name_ja-roma,Manyula,Manyūra
462,base_friendship_gen8,70,50
462,base_experience,241,268
462,name_ja-roma,Jibacoil,Jibakoiru
463,base_friendship_gen8,70,50
463,name_ja-roma,Berobelt,Beroberuto
464,base_friendship_gen8,70,50
464,base_experience,241,268
464,name_ja-roma,Dosidon,Dosaidon
465,base_friendship_gen8,70,50
465,name_ja-roma,Mojumbo,Mojanbo
466,base_friendship_gen8,70,50
466,hatch_cycles,25,20
466,base_experience,243,270
466,name_ja-roma,Elekible,Erekiburu
467,base_friendship_gen8,70,50
467,base_experience,243,270
467,name_ja-roma,Booburn,Būbān
468,base_friendship_gen8,70,50
468,base_experience,245,273
468,name_ja-roma,Togekiss,Togekissu
469,base_friendship_gen8,70,50
469,name_fr,Yanmega,Yanméga
470,name_ja-roma,Leafia,Rīfia
471,name_ja-roma,Glacia,Gureishia
472,base_friendship_gen8,70,50
472,name_ja-roma,Glion,Guraion
473,base_friendship_gen8,70,50
473,base_experience,239,265
473,name_ja-roma,Mammoo,Manmū
474,base_friendship_gen8,70,50
474,base_experience,241,268
474,name_ja-roma,Porygon-Z,Porigon Zetto
475,base_experience,233,259
476,base_friendship_gen8,70,50
476,name_ja-roma,Dainose,Dainōzu
477,base_experience,236,263
477,name_ja-roma,Yonoir,Yonowāru
478,base_friendship_gen8,70,50
479,base_friendship_gen8,70,50
479,name_ja-roma,Rotom,Rotomu
480,base_experience,261,290
480,name_ja-roma,Yuxie,Yukushī
481,base_experience,261,290
481,name_ja-roma,Emrit,Emuritto
482,base_experience,261,290
482,name_ja-roma,Agnome,Agunomu
483,base_experience,306,340
483,name_ja-roma,Dialga,Diaruga
484,base_experience,306,340
484,name_ja-roma,Palkia,Parukia
485,base_experience,270,300
485,name_ja-roma,Heatran,Hīdoran
486,base_experience,302,335
486,name_ja-roma,Regigigas,Rejigigasu
487,base_experience,306,340
488,pct_male,0,???
488,base_experience,270,300
488,name_ja-roma,Cresselia,Kureseria
489,base_friendship_gen8,70,50
489,name_ja-roma,Phione,Fione
490,base_friendship_gen8,70,50
490,name_ja-roma,Manaphy,Manafi
491,name_ja-roma,Darkrai,Dākurai
492,name_ja-roma,Shaymin,Sheimi
493,name_ja-roma,Arceus,Aruseusu
494,base_experience,270,300
494,name_ja-roma,Victini,Bikutini
495,base_friendship_gen8,70,50
495,name_ja-roma,Tsutarja,Tsutāja
496,base_friendship_gen8,70,50
496,name_ja-roma,Janovy,Janobī
497,base_friendship_gen8,70,50
497,name_ja-roma,Jalorda,Jarōda
498,base_friendship_gen8,70,50
499,base_friendship_gen8,70,50
499,weight_kg,55.5,55
499,name_ja-roma,Chaoboo,Chaobū
499,name_ko,차오꿀,챠오꿀
500,base_friendship_gen8,70,50
500,name_ja-roma,Enbuoh,Enbuō
501,base_friendship_gen8,70,50
502,base_friendship_gen8,70,50
503,base_friendship_gen8,70,50
504,base_friendship_gen8,70,50
504,growth_rate,Medium Fast,Medium Slow
505,base_friendship_gen8,70,50
505,name_ja-roma,Miruhog,Miruhoggu
506,base_friendship_gen8,70,50
506,name_ja-roma,Yorterrie,Yōterī
507,base_friendship_gen8,70,50
507,name_ja-roma,Herderrie,Hāderia
508,base_friendship_gen8,70,50
508,base_experience,225,250
508,name_ja-roma,Mooland,Mūrando
509,base_friendship_gen8,70,50
510,base_friendship_gen8,70,50
510,name_ja-roma,Lepardas,Reparudasu
511,base_friendship_gen8,70,50
512,base_friendship_gen8,70,50
512,name_ja-roma,Yanakkie,Yanakkī
513,base_friendship_gen8,70,50
514,base_friendship_gen8,70,50
514,name_ja-roma,Baokkie,Baokkī
515,base_friendship_gen8,70,50
516,base_friendship_gen8,70,50
516,name_ja-roma,Hiyakkie,Hiyakkī
517,base_friendship_gen8,70,50
518,base_friendship_gen8,70,50
518,name_ja-roma,Musharna,Mushāna
519,base_friendship_gen8,70,50
520,base_friendship_gen8,70,50
520,name_ja-roma,Hatoboh,Hatōbō
521,base_friendship_gen8,70,50
521,base_experience,220,244
521,name_ja-roma,Kenhallow,Kenhorō
522,base_friendship_gen8,70,50
523,base_friendship_gen8,70,50
523,name_ja-roma,Zebraika,Zeburaika
524,base_friendship_gen8,70,50
525,base_friendship_gen8,70,50
525,name_ja-roma,Gantle,Gantoru
526,base_friendship_gen8,70,50
526,base_experience,232,258
526,name_ja-roma,Gigaiath,Gigaiasu
527,base_friendship_gen8,70,50
528,base_friendship_gen8,70,50
529,base_friendship_gen8,70,50
529,name_ja-roma,Mogurew,Moguryū
530,base_friendship_gen8,70,50
530,height_m,0.7,0.8
530,name_ja-roma,Doryuzu,Doryūzu
531,base_friendship_gen8,70,50
531,pct_male,50,20
532,name_ja-roma,Dokkorer,Dokkorā
533,base_friendship_gen8,70,50
534,base_friendship_gen8,70,50
534,base_experience,227,253
534,name_ja-roma,Roubushin,Rōbushin
535,base_friendship_gen8,70,50
536,base_friendship_gen8,70,50
537,base_friendship_gen8,70,50
537,base_experience,229,255
538,base_friendship_gen8,70,50
539,base_friendship_gen8,70,50
539,ability_1,sturdy,guts
540,base_friendship_gen8,70,50
541,base_friendship_gen8,70,50
542,base_friendship_gen8,70,50
543,base_friendship_gen8,70,50
544,base_friendship_gen8,70,50
544,name_ja-roma,Wheega,Hoīga
545,base_friendship_gen8,70,50
545,base_experience,218,243
545,name_ja-roma,Pendror,Pendorā
546,base_friendship_gen8,70,50
547,base_friendship_gen8,70,50
547,name_ja-roma,Elfuun,Erufūn
548,base_friendship_gen8,70,50
549,base_friendship_gen8,70,50
549,name_ja-roma,Dredear,Doredia
550,catch_rate,25,190
550,base_friendship_gen8,70,50
550,name_ja-roma,Bassrao,Basurao
551,base_friendship_gen8,70,50
551,name_ja-roma,Meguroco,Meguroko
552,base_friendship_gen8,70,50
552,name_ja-roma,Waruvile,Warubiru
553,base_friendship_gen8,70,50
553,base_experience,234,260
553,name_ja-roma,Waruvial,Warubiaru
554,base_friendship_gen8,70,50
555,base_friendship_gen8,70,50
556,base_friendship_gen8,70,50
556,name_ja-roma,Maracacchi,Marakatchi
557,base_friendship_gen8,70,50
558,base_friendship_gen8,70,50
558,name_ja-roma,Iwapalace,Iwaparesu
560,base_friendship_gen8,70,50
561,base_friendship_gen8,70,50
561,name_ja-roma,Symboler,Shinborā
562,base_friendship_gen8,70,50
563,base_friendship_gen8,70,50
563,name_ja-roma,Desukarn,Desukān
564,base_friendship_gen8,70,50
564,name_ja-roma,Protoga,Purotōga
565,base_friendship_gen8,70,50
565,weight_kg,81,82
565,name_ja-roma,Abagoura,Abagōra
566,base_friendship_gen8,70,50
566,name_ja-roma,Archen,Āken
567,base_friendship_gen8,70,50
567,name_ja-roma,Archeos,Ākeosu
568,base_friendship_gen8,70,50
569,base_friendship_gen8,70,50
569,name_ja-roma,Dustdas,Dasutodasu
570,base_friendship_gen8,70,50
570,name_ja-roma,Zorua,Zoroa
571,base_friendship_gen8,70,50
571,name_ja-roma,Zoroark,Zoroāku
572,base_friendship_gen8,70,50
572,name_ja-roma,Chillarmy,Chirāmī
573,base_friendship_gen8,70,50
573,name_ja-roma,Chillaccino,Chirachīno
574,base_friendship_gen8,70,50
574,name_ja-roma,Gothimu,Gochimu
575,base_friendship_gen8,70,50
575,name_ja-roma,Gothimiru,Gochimiru
576,base_friendship_gen8,70,50
576,base_experience,221,245
576,name_ja-roma,Gothiruselle,Gochiruzeru
577,base_friendship_gen8,70,50
577,name_ja-roma,Uniran,Yuniran
578,base_friendship_gen8,70,50
578,name_ja-roma,Doublan,Daburan
579,base_friendship_gen8,70,50
579,base_experience,221,245
579,name_ja-roma,Lanculus,Rankurusu
580,base_friendship_gen8,70,50
580,name_ja-roma,Koaruhie,Koaruhī
581,base_friendship_gen8,70,50
581,name_ja-roma,Swanna,Suwanna
582,base_friendship_gen8,70,50
582,name_ja-roma,Vanipeti,Baniputchi
583,base_friendship_gen8,70,50
583,name_ja-roma,Vanirich,Baniritchi
584,base_friendship_gen8,70,50
584,base_experience,241,268
584,name_ja-roma,Baivanilla,Baibanira
585,base_friendship_gen8,70,50
586,base_friendship_gen8,70,50
587,base_friendship_gen8,70,50
587,name_ja-roma,Emolga,Emonga
588,base_friendship_gen8,70,50
589,base_friendship_gen8,70,50
589,name_ja-roma,Chevargo,Shubarugo
590,base_friendship_gen8,70,50
591,base_friendship_gen8,70,50
592,base_friendship_gen8,70,50
592,name_ja-roma,Pururill,Pururiru
593,base_friendship_gen8,70,50
593,name_ja-roma,Burungel,Burungeru
594,base_friendship_gen8,70,50
594,name_ja-roma,Mamanbou,Mamanbō
595,base_friendship_gen8,70,50
596,base_friendship_gen8,70,50
596,name_ja-roma,Dentula,Denchura
597,base_friendship_gen8,70,50
597,name_ja-roma,Tesseed,Tesshīdo
598,base_friendship_gen8,70,50
598,name_ja-roma,Nutrey,Nattorei
599,base_friendship_gen8,70,50
600,base_friendship_gen8,70,50
601,base_friendship_gen8,70,50
601,base_experience,234,260
602,base_friendship_gen8,70,50
603,base_friendship_gen8,70,50
603,name_ja-roma,Shibibeel,Shibibīru
604,base_friendship_gen8,70,50
605,base_friendship_gen8,70,50
605,name_ja-roma,Ligray,Rigurē
606,base_friendship_gen8,70,50
606,name_ja-roma,Ohbem,Ōbemu
607,base_friendship_gen8,70,50
608,base_friendship_gen8,70,50
608,name_ja-roma,Lampler,Ranpurā
609,base_friendship_gen8,70,50
609,base_experience,234,260
609,name_ja-roma,Chandela,Shandera
612,base_experience,243,270
612,name_ja-roma,Ononokus,Ononokusu
613,base_friendship_gen8,70,50
613,name_ja-roma,Kumasyun,Kumashun
614,base_friendship_gen8,70,50
614,name_ja-roma,Tunbear,Tsunbeā
615,base_friendship_gen8,70,50
615,name_ja-roma,Freegeo,Furījio
616,base_friendship_gen8,70,50
617,base_friendship_gen8,70,50
617,name_ja-roma,Agilder,Agirudā
619,base_friendship_gen8,70,50
619,name_ja-roma,Kojofu,Kojofū
620,base_friendship_gen8,70,50
621,base_friendship_gen8,70,50
621,name_ja-roma,Crimgan,Kurimugan
622,base_friendship_gen8,70,50
622,ev_hp,0,1
622,ev_atk,1,0
622,name_ja-roma,Gobit,Gobitto
623,base_friendship_gen8,70,50
623,name_ja-roma,Goloog,Gorūgu
626,base_friendship_gen8,70,50
626,name_ja-roma,Buffron,Baffuron
627,base_friendship_gen8,70,50
628,base_friendship_gen8,70,50
628,name_ja-roma,Warrgle,Wōguru
629,name_ja-roma,Valchai,Baruchai
630,name_ja-roma,Vulgina,Barujīna
631,base_friendship_gen8,70,50
632,base_friendship_gen8,70,50
632,name_ja-roma,Aiant,Aianto
634,name_ja-roma,Dihead,Jiheddo
635,base_experience,270,300
636,base_friendship_gen8,70,50
636,ability_2,,swarm
636,ability_hidden,swarm,
636,name_ja-roma,Merlarva,Meraruba
637,base_friendship_gen8,70,50
637,ability_2,,swarm
637,ability_hidden,swarm,
637,base_experience,248,275
637,name_ja-roma,Ulgamoth,Urugamosu
638,base_experience,261,290
638,name_ja-roma,Cobalon,Kobaruon
639,base_experience,261,290
639,name_ja-roma,Terrakion,Terakion
640,base_experience,261,290
640,name_ja-roma,Virizion,Birijion
641,base_experience,261,290
641,name_ja-roma,Tornelos,Torunerosu
642,base_experience,261,290
642,name_ja-roma,Voltolos,Borutorosu
643,base_experience,306,340
643,name_ja-roma,Reshiram,Reshiramu
644,base_experience,306,340
644,name_ja-roma,Zekrom,Zekuromu
645,base_experience,270,300
645,name_ja-roma,Landlos,Randorosu
646,base_experience,297,330
646,name_ja-roma,Kyurem,Kyuremu
647,base_experience,261,290
647,name_ja-roma,Keldeo,Kerudio
648,name_ja-roma,Meloetta,Meroetta
649,base_experience,270,300
649,name_ja-roma,Genesect,Genosekuto
650,base_friendship_gen8,70,50
651,base_friendship_gen8,70,50
651,name_ja-roma,Hariborg,Haribōgu
652,base_friendship_gen8,70,50
652,name_ja-roma,Brigarron,Burigaron
653,base_friendship_gen8,70,50
654,base_friendship_gen8,70,50
654,name_ja-roma,Tairenar,Tērunā
655,base_friendship_gen8,70,50
655,name_ja-roma,Mahoxy,Mafokushī
656,base_friendship_gen8,70,50
657,base_friendship_gen8,70,50
658,base_friendship_gen8,70,50
658,name_ja-roma,Gekkouga,Gekkōga
659,base_friendship_gen8,70,50
659,name_ja-roma,Horubee,Horubī
660,base_friendship_gen8,70,50
660,name_ja-roma,Horudo,Horūdo
661,base_friendship_gen8,70,50
662,base_friendship_gen8,70,50
663,base_friendship_gen8,70,50
663,name_ja-roma,Fiarrow,Faiarō
664,base_friendship_gen8,70,50
665,base_friendship_gen8,70,50
665,name_ja-roma,Kofuurai,Kofūrai
666,base_friendship_gen8,70,50
666,pct_male,50,12.5
666,color,white,pink
666,ev_spa,1,0
666,name_ja-roma,Viviyon,Bibiyon
667,base_friendship_gen8,70,50
668,base_friendship_gen8,70,50
669,base_friendship_gen8,70,50
669,name_ja-roma,Flabebe,Furabebe
670,base_friendship_gen8,70,50
670,name_ja-roma,Floette,Furaette
671,base_friendship_gen8,70,50
671,name_ja-roma,Florges,Furājesu
672,base_friendship_gen8,70,50
672,name_ja-roma,Meecle,Mēkuru
673,base_friendship_gen8,70,50
673,name_ja-roma,Gogoat,Gōgōto
674,base_friendship_gen8,70,50
674,name_ja-roma,Yancham,Yanchamu
675,base_friendship_gen8,70,50
676,base_friendship_gen8,70,50
676,name_ja-roma,Trimmien,Torimian
677,base_friendship_gen8,70,50
677,name_ja-roma,Nyasper,Nyasupā
678,base_friendship_gen8,70,50
678,color,blue,white
678,name_ja-roma,Nyaonix,Nyaonikusu
679,base_friendship_gen8,70,50
680,base_friendship_gen8,70,50
680,name_ja-roma,Nidangill,Nidangiru
681,base_friendship_gen8,70,50
681,base_experience,234,250
681,name_ja-roma,Gillgard,Girugarudo
682,base_friendship_gen8,70,50
683,base_friendship_gen8,70,50
683,name_ja-roma,Frefuwan,Furefuwan
684,base_friendship_gen8,70,50
685,base_friendship_gen8,70,50
685,name_ja-roma,Peroream,Perorīmu
686,base_friendship_gen8,70,50
686,name_ja-roma,Maaiika,Māīka
687,base_friendship_gen8,70,50
687,name_ja-roma,Calamanero,Karamanero
688,base_friendship_gen8,70,50
688,ability_1,tough-claws,sniper
688,ability_2,sniper,tough-claws
689,base_friendship_gen8,70,50
689,ability_1,tough-claws,sniper
689,ability_2,sniper,tough-claws
689,name_ja-roma,Gamenodes,Gamenodesu
690,base_friendship_gen8,70,50
690,name_ja-roma,Kuzumo,Kuzumō
691,base_friendship_gen8,70,50
691,name_ja-roma,Dramidoro,Doramidoro
692,base_friendship_gen8,70,50
692,name_ja-roma,Udeppou,Udeppō
693,base_friendship_gen8,70,50
693,name_ja-roma,Bloster,Burosutā
694,base_friendship_gen8,70,50
695,base_friendship_gen8,70,50
695,name_ja-roma,Elezard,Erezādo
696,base_friendship_gen8,70,50
696,name_ja-roma,Chigoras,Chigorasu
697,base_friendship_gen8,70,50
697,name_ja-roma,Gachigoras,Gachigorasu
698,base_friendship_gen8,70,50
698,name_ja-roma,Amarus,Amarusu
699,base_friendship_gen8,70,50
700,base_friendship_gen8,70,50
700,name_ja-roma,Nymphia,Ninfia
701,base_friendship_gen8,70,50
701,name_ja-roma,Luchabull,Ruchaburu
702,base_friendship_gen8,70,50
703,base_friendship_gen8,70,50
703,name_ja-roma,Melecie,Mereshī
705,name_ja-roma,Numeil,Numeiru
706,genus,Dragon Pokémon,Shell Bunker Pokémon
706,type_1,dragon,steel
706,type_2,,dragon
706,ability_2,hydration,shell-armor
706,height_m,2,1.8
706,weight_kg,150.5,334.1
706,base_experience,270,300
706,stat_hp,90,80
706,stat_def,70,100
706,stat_spe,80,60
706,name_ja-roma,Numelgon,Numerugon
707,base_friendship_gen8,70,50
707,name_ja-roma,Cleffy,Kureffi
708,base_friendship_gen8,70,50
708,name_ja-roma,Bokurei,Bokurē
709,base_friendship_gen8,70,50
709,name_ja-roma,Ohrot,Ōrotto
710,base_friendship_gen8,70,50
710,name_ja-roma,Bakeccha,Baketcha
711,base_friendship_gen8,70,50
711,name_ja-roma,Pumpjin,Panpujin
712,base_friendship_gen8,70,50
712,name_ja-roma,Kachikohru,Kachikōru
713,base_friendship_gen8,70,50
713,name_ja-roma,Crebase,Kurebēsu
714,base_friendship_gen8,70,50
714,name_ja-roma,Onbat,Onbatto
715,base_friendship_gen8,70,50
715,name_ja-roma,Onvern,Onbān
716,base_experience,306,340
716,name_ja-roma,Xerneas,Zeruneasu
717,base_experience,306,340
717,name_ja-roma,Yveltal,Iberutaru
718,ability_2,,power-construct
718,base_experience,270,300
718,name_ja-roma,Zygarde,Jigarude
719,base_friendship_gen8,70,50
719,base_experience,270,300
719,name_ja-roma,Diancie,Dianshī
720,name_ja-roma,Hoopa,Fūpa
721,base_experience,270,300
721,name_ja-roma,Volcanion,Borukenion
722,base_friendship_gen8,70,50
722,name_ja-roma,Mokuroh,Mokurō
723,base_friendship_gen8,70,50
723,name_ja-roma,Fukuthrow,Fukusurō
724,base_friendship_gen8,70,50
724,base_experience,239,265
724,name_ja-roma,Junaiper,Junaipā
725,base_friendship_gen8,70,50
725,name_ja-roma,Nyabby,Nyabī
726,base_friendship_gen8,70,50
726,name_ja-roma,Nyaheat,Nyahīto
727,base_friendship_gen8,70,50
727,base_experience,239,265
728,base_friendship_gen8,70,50
729,base_friendship_gen8,70,50
729,name_ja-roma,Osyamari,Oshamari
730,base_friendship_gen8,70,50
730,base_experience,239,265
730,name_ja-roma,Ashirene,Ashirēnu
731,base_friendship_gen8,70,50
732,base_friendship_gen8,70,50
733,base_friendship_gen8,70,50
734,base_friendship_gen8,70,50
734,ability_1,stakeout,strong-jaw
734,ability_2,strong-jaw,stakeout
734,egg_groups,field,flying
734,name_ja-roma,Youngoose,Yangūsu
735,base_friendship_gen8,70,50
735,ability_1,stakeout,strong-jaw
735,ability_2,strong-jaw,stakeout
735,name_ja-roma,Dekagoose,Dekagūsu
736,base_friendship_gen8,70,50
737,base_friendship_gen8,70,50
737,name_ja-roma,Dendimushi,Denjimushi
738,base_friendship_gen8,70,50
738,base_experience,225,250
738,name_ja-roma,Kuwagannon,Kuwaganon
739,base_friendship_gen8,70,50
740,base_friendship_gen8,70,50
741,base_friendship_gen8,70,50
742,base_friendship_gen8,70,50
742,name_ja-roma,Abuly,Aburī
743,base_friendship_gen8,70,50
743,name_ja-roma,Aburibbon,Aburibon
744,base_friendship_gen8,70,50
745,base_friendship_gen8,70,50
745,name_ja-roma,Lugarugan,Rugarugan
746,base_friendship_gen8,70,50
747,base_friendship_gen8,70,50
748,base_friendship_gen8,70,50
749,base_friendship_gen8,70,50
750,base_friendship_gen8,70,50
751,base_friendship_gen8,70,50
752,base_friendship_gen8,70,50
753,base_friendship_gen8,70,50
754,base_friendship_gen8,70,50
754,name_ja-roma,Lalantes,Rarantesu
755,base_friendship_gen8,70,50
755,name_ja-roma,Nemasyu,Nemashu
756,base_friendship_gen8,70,50
756,name_ja-roma,Mashade,Mashēdo
757,base_friendship_gen8,70,50
757,name_ja-roma,Yatoumori,Yatōmori
758,base_friendship_gen8,70,50
758,name_ja-roma,Ennewt,Ennyūto
759,base_friendship_gen8,70,50
760,base_friendship_gen8,70,50
761,base_friendship_gen8,70,50
762,base_friendship_gen8,70,50
763,base_friendship_gen8,70,50
763,base_experience,230,255
763,name_ja-roma,Amajo,Amājo
764,base_friendship_gen8,70,50
764,name_ja-roma,Cuwawa,Kyuwawā
765,base_friendship_gen8,70,50
765,name_ja-roma,Yareyuutan,Yareyūtan
766,base_friendship_gen8,70,50
766,name_ja-roma,Nagetukesaru,Nagetsukesaru
767,base_friendship_gen8,70,50
768,base_friendship_gen8,70,50
769,base_friendship_gen8,70,50
769,name_ja-roma,Sunaba,Sunabā
770,base_friendship_gen8,70,50
770,name_ja-roma,Sirodethna,Shirodesuna
771,base_friendship_gen8,70,50
772,name_ja-roma,Type:Null,Taipu:Nuru
773,base_experience,257,285
773,name_ja-roma,Silvady,Shiruvadi
774,base_friendship_gen8,70,50
774,color,brown,red
775,base_friendship_gen8,70,50
776,base_friendship_gen8,70,50
776,name_ja-roma,Bakugames,Bakugamesu
777,base_friendship_gen8,70,50
778,base_friendship_gen8,70,50
779,base_friendship_gen8,70,50
780,base_friendship_gen8,70,50
780,name_ja-roma,Jijilong,Jijīron
781,base_friendship_gen8,70,50
782,base_friendship_gen8,70,50
782,name_ja-roma,Jyarako,Jarako
783,base_friendship_gen8,70,50
783,name_ja-roma,Jyarango,Jarango
784,base_friendship_gen8,70,50
784,base_experience,270,300
784,name_ja-roma,Jyararanga,Jararanga
785,base_friendship_gen8,70,50
785,base_experience,257,285
785,name_ja-roma,Kapu-Kokeko,Kapu Kokeko
786,base_friendship_gen8,70,50
786,base_experience,257,285
786,name_ja-roma,Kapu-Tetefu,Kapu Tetefu
787,base_friendship_gen8,70,50
787,base_experience,257,285
787,name_ja-roma,Kapu-Bulul,Kapu Bururu
788,base_friendship_gen8,70,50
788,base_experience,257,285
788,name_ja-roma,Kapu-Rehire,Kapu Rehire
789,name_ja-roma,Cosmog,Kosumoggu
790,name_ja-roma,Cosmovum,Kosumoumu
791,base_experience,306,340
791,name_ja-roma,Solgaleo,Sorugareo
792,base_experience,306,340
792,name_ja-roma,Lunala,Runaāra
793,base_experience,257,285
793,name_ja-roma,Uturoid,Utsuroido
794,base_experience,257,285
794,name_ja-roma,Massivoon,Masshibūn
795,base_experience,257,285
795,name_ja-roma,Pheroache,Ferōche
796,base_experience,257,285
796,name_ja-roma,Denjyumoku,Denjumoku
797,base_experience,257,285
798,base_experience,257,285
798,name_ja-roma,Kamiturugi,Kamitsurugi
799,base_experience,257,285
799,name_ja-roma,Akuziking,Akujikingu
800,base_experience,270,300
800,name_ja-roma,Necrozma,Nekurozuma
801,base_experience,270,300
801,name_ja-roma,Magearna,Magiana
802,base_experience,270,300
802,name_ja-roma,Marshadow,Māshadō
803,base_experience,189,210
803,name_ja-roma,Bevenom,Bebenomu
804,base_experience,243,270
804,name_ja-roma,Agoyon,Āgoyon
805,base_experience,257,285
805,name_ja-roma,Tundetunde,Tsundetsunde
806,base_experience,257,285
806,name_ja-roma,Zugadoon,Zugadōn
807,base_experience,270,300
808,base_experience,135,150
808,name_ja-roma,Meltan,Merutan
809,base_experience,270,300
809,name_ja-roma,Melmetal,Merumetaru
810,base_friendship_gen3_7,50,
811,base_friendship_gen3_7,50,
811,name_ja-roma,Bachinkey,Bachinkī
812,base_friendship_gen3_7,50,
812,name_ja-roma,Gorirander,Gorirandā
813,base_friendship_gen3_7,50,
813,name_ja-roma,Hibanny,Hibanī
814,base_friendship_gen3_7,50,
814,name_ja-roma,Rabbifuto,Rabifutto
815,base_friendship_gen3_7,50,
815,name_ja-roma,Aceburn,Ēsubān
816,base_friendship_gen3_7,50,
817,base_friendship_gen3_7,50,
818,base_friendship_gen3_7,50,
819,base_friendship_gen3_7,50,
820,base_friendship_gen3_7,50,
821,base_friendship_gen3_7,50,
822,base_friendship_gen3_7,50,
823,base_friendship_gen3_7,50,
823,name_ja-roma,Armorga,Āmāgā
824,base_friendship_gen3_7,50,
824,name_ja-roma,Sacchimushi,Satchimushi
825,base_friendship_gen3_7,50,
825,name_ja-roma,Redomushi,Redōmushi
826,base_friendship_gen3_7,50,
826,name_ja-roma,Eolb,Iorubu
827,base_friendship_gen3_7,50,
828,base_friendship_gen3_7,50,
828,name_ja-roma,Foxly,Fokusurai
829,base_friendship_gen3_7,50,
830,base_friendship_gen3_7,50,
831,base_friendship_gen3_7,50,
831,name_ja-roma,Wooluu,Ūrū
832,base_friendship_gen3_7,50,
832,name_ja-roma,Baiwooluu,Baiūrū
833,base_friendship_gen3_7,50,
834,base_friendship_gen3_7,50,
835,base_friendship_gen3_7,50,
836,base_friendship_gen3_7,50,
836,name_ja-roma,Pulsewan,Parusuwan
837,base_friendship_gen3_7,50,
838,base_friendship_gen3_7,50,
839,base_friendship_gen3_7,50,
840,base_friendship_gen3_7,50,
840,name_ja-roma,Kajicchu,Kajitchu
841,base_friendship_gen3_7,50,
841,name_ja-roma,Appryu,Appuryū
842,base_friendship_gen3_7,50,
842,name_ja-roma,Tarupple,Taruppuru
843,base_friendship_gen3_7,50,
844,base_friendship_gen3_7,50,
845,base_friendship_gen3_7,50,
845,name_ja-roma,Uu,U'u
846,base_friendship_gen3_7,50,
846,name_ja-roma,Sasikamasu,Sashikamasu
847,base_friendship_gen3_7,50,
847,name_ja-roma,Kamasujaw,Kamasujō
848,base_friendship_gen3_7,50,
848,name_ja-roma,Eleson,Erezun
849,base_friendship_gen3_7,50,
849,name_ja-roma,Strinder,Sutorindā
850,base_friendship_gen3_7,50,
851,base_friendship_gen3_7,50,
852,base_friendship_gen3_7,50,
853,base_friendship_gen3_7,50,
853,name_ja-roma,Otosupus,Otosupasu
854,base_friendship_gen3_7,50,
855,base_friendship_gen3_7,50,
855,name_ja-roma,Potdeath,Pottodesu
856,base_friendship_gen3_7,50,
856,name_ja-roma,Mibrim,Miburimu
857,base_friendship_gen3_7,50,
857,name_ja-roma,Tebrim,Teburimu
858,base_friendship_gen3_7,50,
858,name_ja-roma,Brimuon,Burimuon
859,base_friendship_gen3_7,50,
859,name_ja-roma,Beroba,Berobā
860,base_friendship_gen3_7,50,
860,name_ja-roma,Gimoh,Gimō
861,base_friendship_gen3_7,50,
861,name_ja-roma,Ohlonge,Ōronge
862,base_friendship_gen3_7,50,
863,base_friendship_gen3_7,50,
863,name_ja-roma,Nyaiking,Nyaikingu
864,base_friendship_gen3_7,50,
864,name_ja-roma,Sunigoon,Sanigōn
865,base_friendship_gen3_7,50,
865,name_en,Sirfetch’d,Sirfetch'd
