pokedb_form,pokemon,form,how
cofagrigus-default,cofagrigus,cofagrigus,default
tirtouga-default,tirtouga,tirtouga,default
carracosta-default,carracosta,carracosta,default
archen-default,archen,archen,default
archeops-default,archeops,archeops,default
trubbish-default,trubbish,trubbish,default
garbodor-default,garbodor,garbodor,default
zorua-default,zorua,zorua,default
zorua-hisuian,zorua-hisui,zorua-hisui,suffix
zoroark-default,zoroark,zoroark,default
zoroark-hisuian,zoroark-hisui,zoroark-hisui,suffix
minccino-default,minccino,minccino,default
cinccino-default,cinccino,cinccino,default
gothita-default,gothita,gothita,default
gothorita-default,gothorita,gothorita,default
gothitelle-default,gothitelle,gothitelle,default
solosis-default,solosis,solosis,default
duosion-default,duosion,duosion,default
reuniclus-default,reuniclus,reuniclus,default
ducklett-default,ducklett,ducklett,default
swanna-default,swanna,swanna,default
vanillite-default,vanillite,vanillite,default
vanillish-default,vanillish,vanillish,default
vanilluxe-default,vanilluxe,vanilluxe,default
deerling-spring,deerling,deerling-spring,cosmetic
deerling-summer,deerling,deerling-summer,hand
deerling-autumn,deerling,deerling-autumn,hand
deerling-winter,deerling,deerling-winter,hand
sawsbuck-spring,sawsbuck,sawsbuck-spring,cosmetic
sawsbuck-summer,sawsbuck,sawsbuck-summer,hand
sawsbuck-autumn,sawsbuck,sawsbuck-autumn,hand
sawsbuck-winter,sawsbuck,sawsbuck-winter,hand
emolga-default,emolga,emolga,default
karrablast-default,karrablast,karrablast,default
escavalier-default,escavalier,escavalier,default
foongus-default,foongus,foongus,default
amoonguss-default,amoonguss,amoonguss,default
frillish-male,frillish-male,frillish-male,suffix
jellicent-male,jellicent-male,jellicent-male,suffix
alomomola-default,alomomola,alomomola,default
joltik-default,joltik,joltik,default
galvantula-default,galvantula,galvantula,default
ferroseed-default,ferroseed,ferroseed,default
ferrothorn-default,ferrothorn,ferrothorn,default
klink-default,klink,klink,default
klang-default,klang,klang,default
klinklang-default,klinklang,klinklang,default
tynamo-default,tynamo,tynamo,default
eelektrik-default,eelektrik,eelektrik,default
eelektross-default,eelektross,eelektross,default
elgyem-default,elgyem,elgyem,default
beheeyem-default,beheeyem,beheeyem,default
litwick-default,litwick,litwick,default
lampent-default,lampent,lampent,default
chandelure-default,chandelure,chandelure,default
axew-default,axew,axew,default
fraxure-default,fraxure,fraxure,default
haxorus-default,haxorus,haxorus,default
cubchoo-default,cubchoo,cubchoo,default
beartic-default,beartic,beartic,default
cryogonal-default,cryogonal,cryogonal,default
shelmet-default,shelmet,shelmet,default
accelgor-default,accelgor,accelgor,default
stunfisk-default,stunfisk,stunfisk,default
stunfisk-galarian,stunfisk-galar,stunfisk-galar,suffix
mienfoo-default,mienfoo,mienfoo,default
mienshao-default,mienshao,mienshao,default
druddigon-default,druddigon,druddigon,default
golett-default,golett,golett,default
golurk-default,golurk,golurk,default
pawniard-default,pawniard,pawniard,default
bisharp-default,bisharp,bisharp,default
bouffalant-default,bouffalant,bouffalant,default
rufflet-default,rufflet,rufflet,default
braviary-default,braviary,braviary,default
braviary-hisuian,braviary-hisui,braviary-hisui,suffix
vullaby-default,vullaby,vullaby,default
mandibuzz-default,mandibuzz,mandibuzz,default
heatmor-default,heatmor,heatmor,default
durant-default,durant,durant,default
deino-default,deino,deino,default
zweilous-default,zweilous,zweilous,default
hydreigon-default,hydreigon,hydreigon,default
larvesta-default,larvesta,larvesta,default
volcarona-default,volcarona,volcarona,default
cobalion-default,cobalion,cobalion,default
terrakion-default,terrakion,terrakion,default
virizion-default,virizion,virizion,default
tornadus-incarnate,tornadus-incarnate,tornadus-incarnate,suffix
tornadus-therian,tornadus-therian,tornadus-therian,suffix
thundurus-incarnate,thundurus-incarnate,thundurus-incarnate,suffix
thundurus-therian,thundurus-therian,thundurus-therian,suffix
reshiram-default,reshiram,reshiram,default
zekrom-default,zekrom,zekrom,default
landorus-incarnate,landorus-incarnate,landorus-incarnate,suffix
landorus-therian,landorus-therian,landorus-therian,suffix
kyurem-default,kyurem,kyurem,default
kyurem-white,kyurem-white,kyurem-white,suffix
kyurem-black,kyurem-black,kyurem-black,suffix
keldeo-ordinary,keldeo-ordinary,keldeo-ordinary,suffix
keldeo-resolute,keldeo-resolute,keldeo-resolute,suffix
meloetta-aria,meloetta-aria,meloetta-aria,suffix
meloetta-pirouette,meloetta-pirouette,meloetta-pirouette,suffix
genesect-default,genesect,genesect,default
genesect-douse,genesect,genesect-douse,hand
genesect-shock,genesect,genesect-shock,hand
genesect-burn,genesect,genesect-burn,hand
genesect-chill,genesect,genesect-chill,hand
chespin-default,chespin,chespin,default
quilladin-default,quilladin,quilladin,default
chesnaught-default,chesnaught,chesnaught,default
fennekin-default,fennekin,fennekin,default
braixen-default,braixen,braixen,default
delphox-default,delphox,delphox,default
froakie-default,froakie,froakie,default
frogadier-default,frogadier,frogadier,default
greninja-default,greninja,greninja,default
greninja-battlebond,greninja-battle-bond,greninja-battle-bond,hand
greninja-ash,greninja-ash,greninja-ash,suffix
bunnelby-default,bunnelby,bunnelby,default
diggersby-default,diggersby,diggersby,default
fletchling-default,fletchling,fletchling,default
fletchinder-default,fletchinder,fletchinder,default
talonflame-default,talonflame,talonflame,default
scatterbug-default,scatterbug,scatterbug-icy-snow,default
spewpa-default,spewpa,spewpa-icy-snow,default
vivillon-jungle,vivillon,vivillon-jungle,cosmetic
vivillon-marine,vivillon,vivillon-marine,cosmetic
vivillon-modern,vivillon,vivillon-modern,cosmetic
vivillon-monsoon,vivillon,vivillon-monsoon,cosmetic
vivillon-ocean,vivillon,vivillon-ocean,cosmetic
vivillon-poke-ball,vivillon,vivillon-poke-ball,cosmetic
vivillon-polar,vivillon,vivillon-polar,cosmetic
vivillon-river,vivillon,vivillon-river,cosmetic
vivillon-sandstorm,vivillon,vivillon-sandstorm,cosmetic
vivillon-savanna,vivillon,vivillon-savanna,cosmetic
vivillon-sun,vivillon,vivillon-sun,cosmetic
vivillon-archipelago,vivillon,vivillon-archipelago,cosmetic
vivillon-continental,vivillon,vivillon-continental,cosmetic
vivillon-elegant,vivillon,vivillon-elegant,cosmetic
vivillon-fancy,vivillon,vivillon-fancy,cosmetic
vivillon-garden,vivillon,vivillon-garden,cosmetic
vivillon-high-plains,vivillon,vivillon-high-plains,cosmetic
vivillon-icy-snow,vivillon,vivillon-icy-snow,cosmetic
vivillon-meadow,vivillon,vivillon-meadow,cosmetic
litleo-default,litleo,litleo,default
pyroar-male,pyroar-male,pyroar-male,suffix
flabebe-red,flabebe,flabebe-red,cosmetic
flabebe-yellow,flabebe,flabebe-yellow,cosmetic
flabebe-orange,flabebe,flabebe-orange,cosmetic
flabebe-blue,flabebe,flabebe-blue,cosmetic
flabebe-white,flabebe,flabebe-white,cosmetic
floette-red,floette,floette-red,cosmetic
floette-yellow,floette,floette-yellow,cosmetic
floette-orange,floette,floette-orange,cosmetic
floette-blue,floette,floette-blue,cosmetic
floette-white,floette,floette-white,cosmetic
floette-eternal,floette-eternal,floette-eternal,suffix
florges-red,florges,florges-red,cosmetic
florges-yellow,florges,florges-yellow,cosmetic
florges-orange,florges,florges-orange,cosmetic
florges-blue,florges,florges-blue,cosmetic
skiddo-default,skiddo,skiddo,default
gogoat-default,gogoat,gogoat,default
pancham-default,pancham,pancham,default
pangoro-default,pangoro,pangoro,default
furfrou-natural,furfrou,furfrou-natural,cosmetic
furfrou-heart,furfrou,furfrou-heart,cosmetic
furfrou-star,furfrou,furfrou-star,cosmetic
furfrou-diamond,furfrou,furfrou-diamond,cosmetic
furfrou-debutante,furfrou,furfrou-debutante,cosmetic
furfrou-matron,furfrou,furfrou-matron,cosmetic
furfrou-dandy,furfrou,furfrou-dandy,cosmetic
furfrou-lareine,furfrou,furfrou-la-reine,hand
furfrou-kabuki,furfrou,furfrou-kabuki,cosmetic
furfrou-pharaoh,furfrou,furfrou-pharaoh,cosmetic
espurr-default,espurr,espurr,default
meowstic-male,meowstic-male,meowstic-male,suffix
meowstic-female,meowstic-female,meowstic-female,suffix
honedge-default,honedge,honedge,default
doublade-default,doublade,doublade,default
aegislash-shield,aegislash-shield,aegislash-shield,suffix
aegislash-blade,aegislash-blade,aegislash-blade,suffix
spritzee-default,spritzee,spritzee,default
aromatisse-default,aromatisse,aromatisse,default
swirlix-default,swirlix,swirlix,default
slurpuff-default,slurpuff,slurpuff,default
inkay-default,inkay,inkay,default
malamar-default,malamar,malamar,default
binacle-default,binacle,binacle,default
barbaracle-default,barbaracle,barbaracle,default
skrelp-default,skrelp,skrelp,default
dragalge-default,dragalge,dragalge,default
clauncher-default,clauncher,clauncher,default
clawitzer-default,clawitzer,clawitzer,default
helioptile-default,helioptile,helioptile,default
heliolisk-default,heliolisk,heliolisk,default
tyrunt-default,tyrunt,tyrunt,default
tyrantrum-default,tyrantrum,tyrantrum,default
amaura-default,amaura,amaura,default
aurorus-default,aurorus,aurorus,default
sylveon-default,sylveon,sylveon,default
hawlucha-default,hawlucha,hawlucha,default
dedenne-default,dedenne,dedenne,default
carbink-default,carbink,carbink,default
goomy-default,goomy,goomy,default
sliggoo-default,sliggoo,sliggoo,default
sliggoo-hisuian,sliggoo-hisui,sliggoo-hisui,suffix
goodra-default,goodra,goodra,hand
goodra-hisuian,goodra-hisui,goodra-hisui,suffix
klefki-default,klefki,klefki,default
phantump-default,phantump,phantump,default
trevenant-default,trevenant,trevenant,default
pumpkaboo-small,pumpkaboo-small,pumpkaboo-small,suffix
pumpkaboo-average,pumpkaboo-average,pumpkaboo-average,suffix
pumpkaboo-large,pumpkaboo-large,pumpkaboo-large,suffix
pumpkaboo-super,pumpkaboo-super,pumpkaboo-super,suffix
gourgeist-small,gourgeist-small,gourgeist-small,suffix
gourgeist-average,gourgeist-average,gourgeist-average,suffix
gourgeist-large,gourgeist-large,gourgeist-large,suffix
gourgeist-super,gourgeist-super,gourgeist-super,suffix
bergmite-default,bergmite,bergmite,default
avalugg-default,avalugg,avalugg,default
avalugg-hisuian,avalugg-hisui,avalugg-hisui,suffix
noibat-default,noibat,noibat,default
noivern-default,noivern,noivern,default
xerneas-neutral,xerneas,xerneas-neutral,cosmetic
xerneas-active,xerneas,xerneas-active,cosmetic
yveltal-default,yveltal,yveltal,default
zygarde-50p,zygarde-50,zygarde-50,hand
zygarde-10p,zygarde-10,zygarde-10,hand
diancie-default,diancie,diancie,default
diancie-mega-evolution,diancie-mega,diancie-mega,suffix
hoopa-confined,hoopa,hoopa,named-default
hoopa-unbound,hoopa-unbound,hoopa-unbound,suffix
volcanion-default,volcanion,volcanion,default
rowlet-default,rowlet,rowlet,default
dartrix-default,dartrix,dartrix,default
decidueye-default,decidueye,decidueye,default
decidueye-hisuian,decidueye-hisui,decidueye-hisui,suffix
litten-default,litten,litten,default
torracat-default,torracat,torracat,default
incineroar-default,incineroar,incineroar,default
popplio-default,popplio,popplio,default
brionne-default,brionne,brionne,default
primarina-default,primarina,primarina,default
pikipek-default,pikipek,pikipek,default
trumbeak-default,trumbeak,trumbeak,default
toucannon-default,toucannon,toucannon,default
yungoos-default,yungoos,yungoos,default
gumshoos-default,gumshoos,gumshoos,default
grubbin-default,grubbin,grubbin,default
charjabug-default,charjabug,charjabug,default
vikavolt-default,vikavolt,vikavolt,default
crabrawler-default,crabrawler,crabrawler,default
crabominable-default,crabominable,crabominable,default
oricorio-baile,oricorio-baile,oricorio-baile,suffix
oricorio-pompom,oricorio-pom-pom,oricorio-pom-pom,hand
oricorio-pau,oricorio-pau,oricorio-pau,suffix
oricorio-sensu,oricorio-sensu,oricorio-sensu,suffix
cutiefly-default,cutiefly,cutiefly,default
ribombee-default,ribombee,ribombee,default
rockruff-default,rockruff,rockruff,default
rockruff-owntempo,rockruff-own-tempo,rockruff-own-tempo,hand
lycanroc-midnight,lycanroc-midday,lycanroc-midday,hand
lycanroc-midday,lycanroc-midnight,lycanroc-midnight,hand
lycanroc-dusk,lycanroc-dusk,lycanroc-dusk,suffix
wishiwashi-solo,wishiwashi-solo,wishiwashi-solo,suffix
wishiwashi-school,wishiwashi-school,wishiwashi-school,suffix
mareanie-default,mareanie,mareanie,default
toxapex-default,toxapex,toxapex,default
mudbray-default,mudbray,mudbray,default
mudsdale-default,mudsdale,mudsdale,default
dewpider-default,dewpider,dewpider,default
araquanid-default,araquanid,araquanid,default
fomantis-default,fomantis,fomantis,default
lurantis-default,lurantis,lurantis,default
morelull-default,morelull,morelull,default
shiinotic-default,shiinotic,shiinotic,default
salandit-default,salandit,salandit,default
salazzle-default,salazzle,salazzle,default
stufful-default,stufful,stufful,default
bewear-default,bewear,bewear,default
bounsweet-default,bounsweet,bounsweet,default
steenee-default,steenee,steenee,default
tsareena-default,tsareena,tsareena,default
comfey-default,comfey,comfey,default
oranguru-default,oranguru,oranguru,default
passimian-default,passimian,passimian,default
wimpod-default,wimpod,wimpod,default
golisopod-default,golisopod,golisopod,default
sandygast-default,sandygast,sandygast,default
palossand-default,palossand,palossand,default
pyukumuku-default,pyukumuku,pyukumuku,default
type-null-default,type-null,type-null,default
silvally-default,silvally,silvally-normal,default
minior-red-meteor,minior-red-meteor,minior-red-meteor,suffix
minior-red-core,minior-red,minior-red,hand
minior-blue-meteor,minior-blue-meteor,minior-blue-meteor,suffix
minior-blue-core,minior-blue,minior-blue,hand
minior-indigo-meteor,minior-indigo-meteor,minior-indigo-meteor,suffix
minior-indigo-core,minior-indigo,minior-indigo,hand
minior-orange-meteor,minior-orange-meteor,minior-orange-meteor,suffix
minior-orange-core,minior-orange,minior-orange,hand
minior-violet-meteor,minior-violet-meteor,minior-violet-meteor,suffix
minior-violet-core,minior-violet,minior-violet,hand
minior-yellow-meteor,minior-yellow-meteor,minior-yellow-meteor,suffix
minior-yellow-core,minior-yellow,minior-yellow,hand
minior-green-meteor,minior-green-meteor,minior-green-meteor,suffix
minior-green-core,minior-green,minior-green,hand
komala-default,komala,komala,default
turtonator-default,turtonator,turtonator,default
togedemaru-default,togedemaru,togedemaru,default
mimikyu-disguised,mimikyu-disguised,mimikyu-disguised,suffix
mimikyu-busted,mimikyu-busted,mimikyu-busted,suffix
bruxish-default,bruxish,bruxish,default
drampa-default,drampa,drampa,default
dhelmise-default,dhelmise,dhelmise,default
jangmo-o-default,jangmo-o,jangmo-o,default
hakamo-o-default,hakamo-o,hakamo-o,default
kommo-o-default,kommo-o,kommo-o,default
tapu-koko-default,tapu-koko,tapu-koko,default
tapu-lele-default,tapu-lele,tapu-lele,default
tapu-bulu-default,tapu-bulu,tapu-bulu,default
tapu-fini-default,tapu-fini,tapu-fini,default
cosmog-default,cosmog,cosmog,default
cosmoem-default,cosmoem,cosmoem,default
solgaleo-default,solgaleo,solgaleo,default
lunala-default,lunala,lunala,default
nihilego-default,nihilego,nihilego,default
buzzwole-default,buzzwole,buzzwole,default
pheromosa-default,pheromosa,pheromosa,default
xurkitree-default,xurkitree,xurkitree,default
celesteela-default,celesteela,celesteela,default
kartana-default,kartana,kartana,default
guzzlord-default,guzzlord,guzzlord,default
necrozma-default,necrozma,necrozma,default
necrozma-dusk-mane,necrozma-dusk,necrozma-dusk,hand
necrozma-dawn-wings,necrozma-dawn,necrozma-dawn,hand
necrozma-ultra,necrozma-ultra,necrozma-ultra,suffix
magearna-default,magearna,magearna,default
marshadow-default,marshadow,marshadow,default
poipole-default,poipole,poipole,default
naganadel-default,naganadel,naganadel,default
stakataka-default,stakataka,stakataka,default
blacephalon-default,blacephalon,blacephalon,default
zeraora-default,zeraora,zeraora,default
meltan-default,meltan,meltan,default
melmetal-default,melmetal,melmetal,default
grookey-default,grookey,grookey,default
thwackey-default,thwackey,thwackey,default
rillaboom-default,rillaboom,rillaboom,default
scorbunny-default,scorbunny,scorbunny,default
raboot-default,raboot,raboot,default
cinderace-default,cinderace,cinderace,default
sobble-default,sobble,sobble,default
drizzile-default,drizzile,drizzile,default
inteleon-default,inteleon,inteleon,default
skwovet-default,skwovet,skwovet,default
greedent-default,greedent,greedent,default
rookidee-default,rookidee,rookidee,default
corvisquire-default,corvisquire,corvisquire,default
corviknight-default,corviknight,corviknight,default
blipbug-default,blipbug,blipbug,default
dottler-default,dottler,dottler,default
orbeetle-default,orbeetle,orbeetle,default
nickit-default,nickit,nickit,default
thievul-default,thievul,thievul,default
gossifleur-default,gossifleur,gossifleur,default
eldegoss-default,eldegoss,eldegoss,default
wooloo-default,wooloo,wooloo,default
dubwool-default,dubwool,dubwool,default
chewtle-default,chewtle,chewtle,default
drednaw-default,drednaw,drednaw,default
yamper-default,yamper,yamper,default
boltund-default,boltund,boltund,default
rolycoly-default,rolycoly,rolycoly,default
carkol-default,carkol,carkol,default
coalossal-default,coalossal,coalossal,default
applin-default,applin,applin,default
flapple-default,flapple,flapple,default
appletun-default,appletun,appletun,default
silicobra-default,silicobra,silicobra,default
sandaconda-default,sandaconda,sandaconda,default
cramorant-default,cramorant,cramorant,default
cramorant-gulping,cramorant-gulping,cramorant-gulping,suffix
cramorant-gorging,cramorant-gorging,cramorant-gorging,suffix
arrokuda-default,arrokuda,arrokuda,default
barraskewda-default,barraskewda,barraskewda,default
toxel-default,toxel,toxel,default
toxtricity-amped,toxtricity-amped,toxtricity-amped,suffix
toxtricity-low-key,toxtricity-low-key,toxtricity-low-key,suffix
sizzlipede-default,sizzlipede,sizzlipede,default
centiskorch-default,centiskorch,centiskorch,default
clobbopus-default,clobbopus,clobbopus,default
grapploct-default,grapploct,grapploct,default
sinistea-antique,sinistea,sinistea-antique,cosmetic
polteageist-antique,polteageist,polteageist-antique,cosmetic
hatenna-default,hatenna,hatenna,default
hattrem-default,hattrem,hattrem,default
hatterene-default,hatterene,hatterene,default
impidimp-default,impidimp,impidimp,default
morgrem-default,morgrem,morgrem,default
grimmsnarl-default,grimmsnarl,grimmsnarl,default
obstagoon-default,obstagoon,obstagoon,default
perrserker-default,perrserker,perrserker,default
cursola-default,cursola,cursola,default
sirfetchd-default,sirfetchd,sirfetchd,default
mr-rime-default,mr-rime,mr-rime,default
runerigus-default,runerigus,runerigus,default
milcery-default,milcery,milcery,default
alcremie-default,alcremie,alcremie-vanilla-cream-strawberry-sweet,default
falinks-default,falinks,falinks,default
pincurchin-default,pincurchin,pincurchin,default
snom-default,snom,snom,default
frosmoth-default,frosmoth,frosmoth,default
stonjourner-default,stonjourner,stonjourner,default
eiscue-ice-face,eiscue-ice,eiscue-ice,named-default
eiscue-noice-face,eiscue-noice,eiscue-noice,hand
indeedee-male,indeedee-male,indeedee-male,suffix
indeedee-female,indeedee-female,indeedee-female,suffix
morpeko-full-belly,morpeko-full-belly,morpeko-full-belly,suffix
morpeko-hangry,morpeko-hangry,morpeko-hangry,suffix
cufant-default,cufant,cufant,default
copperajah-default,copperajah,copperajah,default
dracozolt-default,dracozolt,dracozolt,default
arctozolt-default,arctozolt,arctozolt,default
dracovish-default,dracovish,dracovish,default
arctovish-default,arctovish,arctovish,default
duraludon-default,duraludon,duraludon,default
dreepy-default,dreepy,dreepy,default
drakloak-default,drakloak,drakloak,default
dragapult-default,dragapult,dragapult,default
zacian-hero,zacian,zacian,named-default
zacian-sword,zacian-crowned,zacian-crowned,hand
zamazenta-hero,zamazenta,zamazenta,named-default
zamazenta-shield,zamazenta-crowned,zamazenta-crowned,hand
eternatus-default,eternatus,eternatus,default
eternatus-eternamax,eternatus-eternamax,eternatus-eternamax,suffix
kubfu-default,kubfu,kubfu,default
urshifu-single-strike,urshifu-single-strike,urshifu-single-strike,suffix
urshifu-rapid-strike,urshifu-rapid-strike,urshifu-rapid-strike,suffix
zarude-default,zarude,zarude,default
zarude-dada,zarude-dada,zarude-dada,suffix
regieleki-default,regieleki,regieleki,default
regidrago-default,regidrago,regidrago,default
glastrier-default,glastrier,glastrier,default
spectrier-default,spectrier,spectrier,default
calyrex-default,calyrex,calyrex,default
calyrex-ice-rider,calyrex-ice,calyrex-ice,hand
calyrex-shadow-rider,calyrex-shadow,calyrex-shadow,hand
wyrdeer-default,wyrdeer,wyrdeer,default
kleavor-default,kleavor,kleavor,default
ursaluna-default,ursaluna,ursaluna,default
basculegion-male,basculegion-male,basculegion-male,suffix
basculegion-female,basculegion-female,basculegion-female,suffix
sneasler-default,sneasler,sneasler,default
overqwil-default,overqwil,overqwil,default
enamorus-incarnate,enamorus-incarnate,enamorus-incarnate,suffix
enamorus-therian,enamorus-therian,enamorus-therian,suffix
sprigatito-default,sprigatito,sprigatito,default
floragato-default,floragato,floragato,default
meowscarada-default,meowscarada,meowscarada,default
fuecoco-default,fuecoco,fuecoco,default
crocalor-default,crocalor,crocalor,default
skeledirge-default,skeledirge,skeledirge,default
quaxly-default,quaxly,quaxly,default
quaxwell-default,quaxwell,quaxwell,default
quaquaval-default,quaquaval,quaquaval,default
lechonk-default,lechonk,lechonk,default
oinkologne-male,oinkologne-male,oinkologne-male,suffix
oinkologne-female,oinkologne-female,oinkologne-female,suffix
tarountula-default,tarountula,tarountula,default
spidops-default,spidops,spidops,default
nymble-default,nymble,nymble,default
lokix-default,lokix,lokix,default
pawmi-default,pawmi,pawmi,default
pawmo-default,pawmo,pawmo,default
pawmot-default,pawmot,pawmot,default
tandemaus-default,tandemaus,tandemaus,default
maushold-family-of-three,maushold-family-of-three,maushold-family-of-three,suffix
maushold-family-of-four,maushold-family-of-four,maushold-family-of-four,suffix
fidough-default,fidough,fidough,default
dachsbun-default,dachsbun,dachsbun,default
smoliv-default,smoliv,smoliv,default
dolliv-default,dolliv,dolliv,default
arboliva-default,arboliva,arboliva,default
squawkabilly-green,squawkabilly-green-plumage,squawkabilly-green-plumage,named-default
squawkabilly-blue,squawkabilly-blue-plumage,squawkabilly-blue-plumage,hand
squawkabilly-yellow,squawkabilly-yellow-plumage,squawkabilly-yellow-plumage,hand
squawkabilly-white,squawkabilly-white-plumage,squawkabilly-white-plumage,hand
nacli-default,nacli,nacli,default
naclstack-default,naclstack,naclstack,default
garganacl-default,garganacl,garganacl,default
charcadet-default,charcadet,charcadet,default
armarouge-default,armarouge,armarouge,default
ceruledge-default,ceruledge,ceruledge,default
tadbulb-default,tadbulb,tadbulb,default
bellibolt-default,bellibolt,bellibolt,default
wattrel-default,wattrel,wattrel,default
kilowattrel-default,kilowattrel,kilowattrel,default
maschiff-default,maschiff,maschiff,default
mabosstiff-default,mabosstiff,mabosstiff,default
shroodle-default,shroodle,shroodle,default
grafaiai-default,grafaiai,grafaiai,default
bramblin-default,bramblin,bramblin,default
brambleghast-default,brambleghast,brambleghast,default
toedscool-default,toedscool,toedscool,default
toedscruel-default,toedscruel,toedscruel,default
klawf-default,klawf,klawf,default
capsakid-default,capsakid,capsakid,default
scovillain-default,scovillain,scovillain,default
rellor-default,rellor,rellor,default
rabsca-default,rabsca,rabsca,default
flittle-default,flittle,flittle,default
espathra-default,espathra,espathra,default
tinkatink-default,tinkatink,tinkatink,default
tinkatuff-default,tinkatuff,tinkatuff,default
tinkaton-default,tinkaton,tinkaton,default
wiglett-default,wiglett,wiglett,default
wugtrio-default,wugtrio,wugtrio,default
bombirdier-default,bombirdier,bombirdier,default
finizen-default,finizen,finizen,default
palafin-zero,palafin-zero,palafin-zero,suffix
palafin-hero,palafin-hero,palafin-hero,suffix
varoom-default,varoom,varoom,default
revavroom-default,revavroom,revavroom,default
cyclizar-default,cyclizar,cyclizar,default
orthworm-default,orthworm,orthworm,default
glimmet-default,glimmet,glimmet,default
glimmora-default,glimmora,glimmora,default
greavard-default,greavard,greavard,default
houndstone-default,houndstone,houndstone,default
flamigo-default,flamigo,flamigo,default
cetoddle-default,cetoddle,cetoddle,default
cetitan-default,cetitan,cetitan,default
veluza-default,veluza,veluza,default
dondozo-default,dondozo,dondozo,default
tatsugiri-curly,tatsugiri-curly,tatsugiri-curly,suffix
tatsugiri-droopy,tatsugiri-droopy,tatsugiri-droopy,suffix
tatsugiri-stretchy,tatsugiri-stretchy,tatsugiri-stretchy,suffix
annihilape-default,annihilape,annihilape,default
clodsire-default,clodsire,clodsire,default
farigiraf-default,farigiraf,farigiraf,default
dudunsparce-two,dudunsparce-two-segment,dudunsparce-two-segment,named-default
dudunsparce-three,dudunsparce-three-segment,dudunsparce-three-segment,hand
kingambit-default,kingambit,kingambit,default
great-tusk-default,great-tusk,great-tusk,default
scream-tail-default,scream-tail,scream-tail,default
brute-bonnet-default,brute-bonnet,brute-bonnet,default
flutter-mane-default,flutter-mane,flutter-mane,default
slither-wing-default,slither-wing,slither-wing,default
sandy-shocks-default,sandy-shocks,sandy-shocks,default
iron-treads-default,iron-treads,iron-treads,default
iron-bundle-default,iron-bundle,iron-bundle,default
iron-hands-default,iron-hands,iron-hands,default
iron-jugulis-default,iron-jugulis,iron-jugulis,default
iron-moth-default,iron-moth,iron-moth,default
iron-thorns-default,iron-thorns,iron-thorns,default
frigibax-default,frigibax,frigibax,default
arctibax-default,arctibax,arctibax,default
baxcalibur-default,baxcalibur,baxcalibur,default
gimmighoul-chest,gimmighoul,gimmighoul-chest,cosmetic
gimmighoul-roaming,gimmighoul-roaming,gimmighoul-roaming,suffix
gholdengo-default,gholdengo,gholdengo,default
wo-chien-default,wo-chien,wo-chien,default
chien-pao-default,chien-pao,chien-pao,default
ting-lu-default,ting-lu,ting-lu,default
chi-yu-default,chi-yu,chi-yu,default
roaring-moon-default,roaring-moon,roaring-moon,default
iron-valiant-default,iron-valiant,iron-valiant,default
koraidon-apex,koraidon,koraidon-apex-build,named-default
miraidon-ultimate,miraidon,miraidon-ultimate-mode,named-default
walking-wake-default,walking-wake,walking-wake,default
iron-leaves-default,iron-leaves,iron-leaves,default
dipplin-default,dipplin,dipplin,default
poltchageist-artisan,poltchageist,poltchageist-artisan,cosmetic
sinistcha-masterpiece,sinistcha,sinistcha-masterpiece,cosmetic
okidogi-default,okidogi,okidogi,default
munkidori-default,munkidori,munkidori,default
fezandipiti-default,fezandipiti,fezandipiti,default
ogerpon-teal-mask,ogerpon,ogerpon,named-default
ogerpon-wellspring-mask,ogerpon-wellspring-mask,ogerpon-wellspring-mask,suffix
ogerpon-hearthflame-mask,ogerpon-hearthflame-mask,ogerpon-hearthflame-mask,suffix
ogerpon-cornerstone-mask,ogerpon-cornerstone-mask,ogerpon-cornerstone-mask,suffix
archaludon-default,archaludon,archaludon,default
hydrapple-default,hydrapple,hydrapple,default
gouging-fire-default,gouging-fire,gouging-fire,default
raging-bolt-default,raging-bolt,raging-bolt,default
iron-boulder-default,iron-boulder,iron-boulder,default
iron-crown-default,iron-crown,iron-crown,default
terapagos-default,terapagos,terapagos,default
terapagos-terastal,terapagos-terastal,terapagos-terastal,suffix
terapagos-stellar,terapagos-stellar,terapagos-stellar,suffix
pecharunt-default,pecharunt,pecharunt,default
magearna-origin-color,magearna-original,magearna-original,hand
butterfree-gigantamax,butterfree-gmax,butterfree-gmax,suffix
blastoise-gigantamax,blastoise-gmax,blastoise-gmax,suffix
rillaboom-gigantamax,rillaboom-gmax,rillaboom-gmax,suffix
pikachu-gigantamax,pikachu-gmax,pikachu-gmax,suffix
meowth-gigantamax,meowth-gmax,meowth-gmax,suffix
machamp-gigantamax,machamp-gmax,machamp-gmax,suffix
gengar-gigantamax,gengar-gmax,gengar-gmax,suffix
kingler-gigantamax,kingler-gmax,kingler-gmax,suffix
lapras-gigantamax,lapras-gmax,lapras-gmax,suffix
eevee-gigantamax,eevee-gmax,eevee-gmax,suffix
snorlax-gigantamax,snorlax-gmax,snorlax-gmax,suffix
unfezant-female,unfezant,unfezant,hand
garbodor-gigantamax,garbodor-gmax,garbodor-gmax,suffix
frillish-female,frillish-male,frillish-female,cosmetic
jellicent-female,jellicent-male,jellicent-female,cosmetic
vivillon-tundra,vivillon,vivillon-tundra,cosmetic
zygarde-complete,zygarde-complete,zygarde-complete,suffix
melmetal-gigantamax,melmetal-gmax,melmetal-gmax,suffix
